Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.02362572,0.05022299,0.03430676,0.01958797,0.01393189,0.06946252,0.00793802,0.00241501,0.03493731,0.02270138,0.0208474,0.001107799,0.02028285,0.0009305691,0.07964348,0.001211559,0.02023215,0.02052805,0.01800965,0.007688251,5.105481E-05,0.04732771,2.790102E-06,0.0002062237,0.05356433,0.0001936496,0.005287022,0.0006510667,0.007821322,2.355343E-05,0.01473655,0.0002176838,0.01009488,0.0113767,0.01003947,0.0180479,0.02655172,0.0587531,0.006710157,0.001383108,0.03509095,0.1324403,0.3424604,0.01081039,0.05320514,0.002346847,0.4129926,0.05319291,0.2138228,0.001274978,0.01850031,0.4076787,0.003057067,0.09540569,0.01785357,0.02704516,0.1111831,1.332936,1.917679,0.635654,0.1654822,0.08936853,0.01492571,0.01120069,0.01043774,5.531109,0.02696672,0.003275328,0.05234737,0.2141067,5.173642,5.885677,17.10297,24.24364,41.51414,3.347262,33.51609,71.87129
2,0.02438231,0.05261013,0.03614359,0.02077752,0.01416326,0.06765255,0.007892243,0.002413885,0.03505862,0.0224505,0.02072924,0.001087026,0.02054652,0.0009766789,0.1076453,0.001164127,0.02142861,0.01850914,0.01734512,0.00777692,4.900999E-05,0.04159672,2.228638E-06,0.000155173,0.05717542,0.0002016966,0.005322112,0.0007377719,0.008017278,2.504687E-05,0.01179026,0.0001404303,0.01038823,0.01151541,0.01073783,0.0198064,0.0263855,0.05844287,0.006742507,0.001202971,0.03091238,0.1419501,0.3378341,0.01010535,0.05445089,0.001706772,0.4427369,0.05019175,0.2129577,0.000985217,0.01625671,0.4987538,0.00292021,0.08619174,0.01665482,0.02479232,0.1074421,1.2323,2.073996,0.5519065,0.2825986,0.08986957,0.01556495,0.01084165,0.01030095,5.415002,0.02731515,0.003211623,0.05418679,0.2091251,5.23442,5.198288,17.23849,24.56513,41.67814,3.354074,33.52602,71.96703
3,0.02506219,0.05288837,0.03774656,0.02179702,0.01440762,0.06619429,0.007847335,0.002292571,0.03518597,0.02221845,0.02040482,0.001073905,0.02017808,0.001012631,0.1391916,0.001152004,0.02233651,0.01694496,0.01556045,0.007556654,4.788086E-05,0.03686612,2.02961E-06,0.0001358793,0.06027065,0.0002063774,0.005137053,0.000763436,0.008031948,2.715039E-05,0.008884287,8.735271E-05,0.0105683,0.01154007,0.01105175,0.02108255,0.0272014,0.05638532,0.006739302,0.001082072,0.02691712,0.1493517,0.3241264,0.009480837,0.05400519,0.001416191,0.4745558,0.04763316,0.2077022,0.0007918188,0.01401744,0.592003,0.002846979,0.07668106,0.01545344,0.02348537,0.1065475,1.059473,1.948131,0.5842726,0.245499,0.1489428,0.0166948,0.0107408,0.01035655,5.326538,0.02739475,0.003321792,0.05513626,0.2046974,5.241269,4.815335,17.47311,24.76765,41.79074,3.377703,33.54737,72.0603
4,0.02563585,0.05143773,0.03917888,0.02265216,0.01465454,0.06488718,0.007792953,0.002088761,0.03532654,0.0220014,0.0203152,0.001068202,0.01980833,0.001040996,0.1727694,0.001167687,0.02293806,0.01564608,0.01369762,0.007249021,4.565622E-05,0.03250225,2.2854E-06,0.0001599809,0.06312785,0.0002073764,0.004764627,0.0007834097,0.007761786,2.742856E-05,0.007187468,9.483416E-05,0.01068411,0.01151733,0.01100343,0.02138142,0.02656728,0.05491357,0.006583672,0.00100077,0.02325609,0.1514682,0.3041057,0.008953095,0.05279174,0.001304908,0.5097803,0.04533409,0.2006511,0.0006908432,0.01325386,0.6841679,0.002848847,0.06804805,0.01432989,0.02255678,0.1082082,1.042554,1.721899,0.5804147,0.241195,0.1450055,0.01822723,0.0108546,0.01061155,5.287446,0.02750545,0.003380486,0.05012547,0.2023593,5.21785,4.650633,17.6468,24.86806,41.85278,3.398395,33.55682,72.12096
5,0.02612416,0.0487991,0.04047858,0.02341936,0.01489484,0.06368694,0.007718518,0.001896967,0.03549141,0.02179678,0.02028084,0.00106707,0.01963085,0.001063601,0.2067394,0.001203491,0.02321552,0.01452481,0.0129478,0.007114735,4.469253E-05,0.02976576,2.562441E-06,0.000169656,0.06573623,0.0002066579,0.004816011,0.0008140788,0.007387788,2.609337E-05,0.006437866,0.0001009218,0.01076291,0.01148227,0.01050069,0.02154779,0.0250058,0.05154586,0.006370008,0.0009456417,0.02003522,0.1495451,0.2867629,0.008482903,0.05156735,0.001283874,0.5476251,0.04322149,0.1931455,0.0006379135,0.01367934,0.7697803,0.002880081,0.06045223,0.01331548,0.02173535,0.1111915,1.18296,1.776259,0.5221215,0.207371,0.1340311,0.01993127,0.01105069,0.01088211,5.241272,0.02728439,0.003060169,0.06122214,0.1951038,5.17041,4.608088,17.63862,24.87739,41.84599,3.437576,33.55239,72.12452
6,0.02651917,0.04550208,0.04166516,0.02410722,0.01512821,0.06257822,0.007618377,0.001853939,0.03568326,0.02160195,0.01995085,0.001067177,0.01962318,0.001081602,0.2394506,0.001251964,0.02317797,0.01360832,0.01176798,0.006901022,4.43334E-05,0.0282889,2.615812E-06,0.0001714008,0.06803833,0.000205636,0.004807924,0.000842403,0.007012032,2.683844E-05,0.006195418,6.230251E-05,0.01081533,0.01144166,0.01059724,0.02155719,0.02400777,0.04614841,0.006804836,0.00090729,0.01717336,0.1448354,0.27505,0.0080684,0.05057755,0.001287796,0.587173,0.04122264,0.1851497,0.0006092442,0.01417509,0.8409545,0.002860199,0.05378779,0.01241561,0.02096254,0.1136822,1.401557,1.917077,0.5251679,0.1625886,0.1125421,0.02148288,0.01110842,0.01096525,5.17549,0.02666602,0.003684995,0.06018311,0.1928101,5.090858,4.639976,17.58659,24.84453,41.80565,3.482812,33.53232,72.09542
7,0.0268278,0.04199238,0.04275254,0.02474145,0.01537132,0.06157824,0.007479401,0.001790515,0.03589942,0.02141824,0.01908978,0.001071234,0.01974059,0.001096111,0.2694239,0.001306463,0.02287824,0.01288597,0.00959989,0.006537271,4.399244E-05,0.02795575,2.559571E-06,0.0001397518,0.07022369,0.0002079881,0.004627776,0.0008613882,0.006403089,2.808401E-05,0.006283288,3.997283E-05,0.0108537,0.01141087,0.01076713,0.02208024,0.02360214,0.04126782,0.007118445,0.0008815464,0.01467385,0.1394999,0.2622653,0.007723749,0.04961485,0.001316108,0.6282865,0.03937591,0.1770533,0.0005928292,0.01357601,0.8931493,0.00282402,0.04801218,0.01162382,0.02027349,0.1157442,1.27867,2.077562,0.5338445,0.1634729,0.08914665,0.0230031,0.01111902,0.01107555,5.110367,0.02716697,0.003509915,0.03854714,0.1957884,5.008282,4.711046,17.57009,24.80118,41.7878,3.518125,33.52691,72.08427
8,0.02706686,0.03860017,0.04375447,0.02530736,0.01561016,0.06067144,0.007289894,0.00174324,0.03612524,0.02127102,0.01727063,0.001075998,0.01992968,0.0011084,0.2955945,0.001361412,0.02240445,0.01224604,0.007131118,0.00639042,4.320736E-05,0.02782754,2.758826E-06,0.0001602936,0.07246222,0.0002101954,0.004679262,0.0008706804,0.006282411,2.849527E-05,0.006459364,2.632251E-05,0.01088601,0.01138216,0.01057003,0.02222204,0.02388256,0.03746029,0.006621585,0.0008624714,0.01251516,0.1338269,0.2454126,0.007450968,0.04857491,0.001372534,0.6720789,0.03764019,0.1696254,0.0005616685,0.01311256,0.9290028,0.002831864,0.04329038,0.01092956,0.01970649,0.1186245,1.301329,1.95796,0.5438132,0.180326,0.083076,0.02478543,0.01128015,0.01138675,5.079272,0.02661054,0.0028172,0.02505466,0.1759122,4.957783,4.837646,17.64223,24.78483,41.7788,3.550153,33.5275,72.0967
9,0.02726297,0.03553787,0.04463523,0.02580503,0.01581376,0.05986997,0.007049261,0.00167681,0.03634819,0.021141,0.016167,0.001072104,0.02013551,0.001119367,0.3175544,0.001412854,0.02185429,0.01161265,0.005617162,0.006235073,4.339151E-05,0.02866115,2.938626E-06,0.0001579789,0.07471155,0.0002091995,0.004748822,0.0008612529,0.006241176,2.82765E-05,0.006388888,1.476673E-05,0.01091505,0.01132725,0.01010908,0.02137966,0.02316562,0.03400375,0.006225427,0.0008463506,0.01068851,0.1274447,0.2307127,0.007225743,0.0474343,0.001433329,0.7187105,0.03612043,0.1632455,0.0004919742,0.01193384,0.9538476,0.002884819,0.03968779,0.01032159,0.01926071,0.1225673,1.204553,2.02697,0.4941126,0.2289633,0.09638321,0.02670235,0.01159377,0.01176535,5.080775,0.03156032,0.002638884,0.02283537,0.1458208,4.931036,5.025498,17.72363,24.7682,41.74495,3.580243,33.52145,72.08958
10,0.02745803,0.0329029,0.04536969,0.02626684,0.01599096,0.05928941,0.006774095,0.001572913,0.03658034,0.02102022,0.01541547,0.0010665,0.02034888,0.001130103,0.3355599,0.00145883,0.02131557,0.01109131,0.004527599,0.005914998,4.407413E-05,0.02966331,2.918775E-06,0.0001489139,0.07704698,0.0002119414,0.004733239,0.0008652937,0.005076117,2.710987E-05,0.006527037,9.42294E-06,0.01094427,0.01128663,0.009768134,0.02066379,0.0224296,0.03312715,0.006130935,0.0008362047,0.009201995,0.1206077,0.2219321,0.007045537,0.04648648,0.001488802,0.7694921,0.0350027,0.1584792,0.0004628552,0.0104254,0.9718878,0.00291603,0.0371169,0.009789084,0.01890938,0.1259548,1.165837,1.917895,0.5236264,0.1931985,0.1216618,0.02810266,0.01184905,0.01195197,5.101322,0.03125594,0.001986774,0.02697543,0.1411544,4.888599,5.260344,17.79933,24.71799,41.70055,3.593671,33.51731,72.07305
