Year,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (0-1)|King mackerel (0-1yr)","King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (0-3yr)|Red grouper (0-3yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna",Zooplankton|Zooplankton
1,6.932978E-05,0.0001272783,0.0001015573,0.001065505,1.465405E-06,0.004053023,0.0001681856,0.004636321,9.749087E-06,0.004253158,0.0006931254,0.006441744,0.006857365,0.004089934,0.001791044,0,0.003812224,9.656508E-06,6.483057E-05,9.844088E-05,3.764827E-05,0.001670002,0,0.004411881,1.429759E-09,0.000806591,0.0001025105,0.001487488,0.001730981,0.005434393,0.003149114,0.01037592,0.005573376,0.001960349,0.0007370322,0.008666183,0.06261498,0.001619057,0.001206435,0.001187478,0.0003553814,0.01582124,0.005652828,0.009960193,1.175137E-05,0.003066279,0.0553217,1.944492E-05,0.0003000336,0.0001912243,0.001930071,0.4895846,0.4922563,0.06992448,0.01754779,5.566882E-08,0.004134271,0.0003007069,0.001018935,0.2320229,0.08739784,0.1287826,0.1097468,0.01459401,0.01888921,0
2,6.820343E-05,0.0001477813,0.0004699017,0.001072968,2.29064E-06,0.005009644,0.0001652571,0.004620721,1.02395E-05,0.005834485,0.0006654216,0.006829872,0.006172985,0.002532318,0.001610323,0,0.003342818,7.886732E-06,6.45172E-05,0.0001071143,3.856373E-05,0.001498175,0,0.004490148,1.438513E-09,0.002060376,0.0002189504,0.001525664,0.001796951,0.005722364,0.003030308,0.01041925,0.006076849,0.001881197,0.0006462043,0.007602305,0.06785221,0.001585458,0.001129955,0.001245407,0.0002492399,0.01804407,0.005409577,0.01027412,7.981354E-05,0.00560705,0.07269321,1.87465E-05,0.0002733491,0.0001881892,0.001790482,0.3917902,0.3370614,0.08839945,0.01320373,5.8969E-08,0.004013409,0.0002986643,0.00100549,0.2357392,0.08829746,0.1224866,0.1087847,0.0145115,0.01772502,0
3,6.411234E-05,0.0001681133,0.0003750334,0.001080235,2.571941E-06,0.004714932,0.0001632134,0.004463456,1.062124E-05,0.007604295,0.0006584051,0.007128674,0.005648358,0.005480423,0.002516044,0,0.003910654,7.122944E-06,7.182868E-05,0.0001142865,3.914406E-05,0.00174064,0,0.004545966,1.516534E-09,0.002689265,8.796126E-05,0.001548403,0.001857188,0.005814163,0.002737176,0.008532094,0.009608702,0.001920626,0.000584318,0.006578231,0.07205024,0.001516113,0.00105826,0.001295525,0.0002059997,0.02050202,0.00516471,0.01023524,7.855028E-05,0.005114147,0.09066784,1.830233E-05,0.0002464706,0.000189534,0.00147178,0.4451851,0.4131771,0.09416634,0.02522349,6.369978E-08,0.003968617,0.0003018382,0.001004217,0.2382701,0.08749218,0.1316068,0.1028007,0.01427978,0.01736022,0
4,3.718364E-05,0.0002019856,0.0006347355,0.001087527,2.849348E-06,0.004531553,0.0001621544,0.004333786,1.0923E-05,0.009454387,0.0006677499,0.00733211,0.005218386,0.003097801,0.002088214,0,0.003809589,7.797723E-06,5.621133E-05,0.0001205437,3.920197E-05,0.001677339,0,0.004649105,1.543523E-09,0.001838945,4.623706E-05,0.001563025,0.001914881,0.005766038,0.00300973,0.01200804,0.006876351,0.002144133,0.0005419826,0.00564051,0.07322503,0.001430783,0.0009946286,0.001351547,0.0001917154,0.02324983,0.004911944,0.01001453,5.453739E-05,0.003421278,0.1084532,1.814661E-05,0.000223598,0.000194092,0.00140749,0.4788884,0.4871238,0.1100398,0.0306074,6.908551E-08,0.003988746,0.0003104424,0.001012832,0.2377021,0.08796158,0.1399677,0.09866828,0.01396864,0.01772263,0
5,4.606438E-05,0.0002485997,0.0004000125,0.001095251,2.974268E-06,0.004587807,0.0001617631,0.004272814,1.116486E-05,0.01127727,0.0006888678,0.007433318,0.004849636,0.002647013,0.002258359,0,0.00404012,8.754309E-06,5.03045E-05,0.0001260357,3.873879E-05,0.001008392,0,0.004439184,1.471103E-09,0.001442427,8.997374E-05,0.001573173,0.001971648,0.00541392,0.00156339,0.01055852,0.01416209,0.002129763,0.0005125693,0.004823411,0.07198329,0.00135306,0.0009356902,0.001412532,0.0001915718,0.02620725,0.004663158,0.009702532,6.760417E-05,0.001764031,0.1247592,1.81537E-05,0.0002050778,0.0002000116,0.001710809,0.6438755,0.5142316,0.1146608,0.0338365,7.414269E-08,0.004030411,0.0003198483,0.001024773,0.2375327,0.09138734,0.0975498,0.1074435,0.01361721,0.01859334,0
6,5.701918E-05,0.0003000029,0.0003250861,0.001103559,6.416927E-06,0.005138716,0.0001615467,0.004266329,1.135928E-05,0.01298022,0.000717267,0.007433409,0.004551858,0.003605755,0.002412332,0,0.003308052,9.039254E-06,4.054088E-05,0.0001307357,3.811963E-05,0.001582253,0,0.004273172,1.510101E-09,0.001124289,0.0001284645,0.001580116,0.002024541,0.005341146,0.0007151496,0.01122374,0.01533336,0.0007380703,0.0004915221,0.004101148,0.06929471,0.001286938,0.0008809645,0.001469492,0.0001960121,0.02927833,0.004421097,0.009325244,6.243776E-05,0.001631317,0.1378408,1.806069E-05,0.0001897971,0.0002051896,0.002156466,0.5214942,0.4134344,0.07014224,0.02270684,7.878259E-08,0.004031462,0.000323644,0.001039023,0.2378231,0.08477056,0.1660434,0.08819383,0.01323948,0.0197931,0
7,0.0001042656,0.0003746402,0.0004437058,0.001112391,8.782356E-06,0.005842242,0.0001619554,0.004295783,1.151738E-05,0.01449143,0.0007489899,0.007347544,0.00432254,0.004833662,0.002766521,0,0.00379998,8.856742E-06,9.498909E-05,0.000134948,3.838243E-05,0.001408009,0,0.004565956,1.592243E-09,0.0008391889,5.880323E-05,0.00158553,0.002072993,0.005393011,0.0006007007,0.01083482,0.01695873,0.001735083,0.0004769999,0.003473181,0.06639076,0.001225351,0.0008335412,0.001508158,0.0002028133,0.03242579,0.004198153,0.008923064,7.622723E-05,0.003124024,0.1468548,1.794381E-05,0.0001768558,0.0002094455,0.002045389,0.5407248,0.4019121,0.06446091,0.01675864,8.349014E-08,0.004011917,0.0003281749,0.001056021,0.2309477,0.0885059,0.1524726,0.08815792,0.01288994,0.02112255,0
8,6.170157E-05,0.0004490802,0.0003107236,0.001121302,9.017582E-06,0.007388595,0.0001625726,0.004345114,1.165223E-05,0.01576835,0.0007807806,0.007203119,0.004121186,0.004868067,0.00216981,0,0.003204476,9.317234E-06,5.61393E-05,0.000139051,3.866057E-05,0.001117769,0,0.003727535,1.630108E-09,0.0007638332,6.61796E-05,0.001590626,0.002116069,0.005304961,0.000485293,0.01023191,0.01668027,0.002442314,0.0004666003,0.002941559,0.0638044,0.00115301,0.0007957008,0.001526919,0.0002129827,0.03569908,0.004003195,0.008551586,0.0001218923,0.001814198,0.1524875,1.794546E-05,0.0001665623,0.000213948,0.00208536,0.6665043,0.4984573,0.08490285,0.01832321,8.864766E-08,0.004028808,0.0003394268,0.001074011,0.2359873,0.09450132,0.1029487,0.1312276,0.01262598,0.02263412,0
9,9.16174E-05,0.0005270114,0.0004676713,0.001129852,8.099753E-06,0.005123482,0.0001617585,0.004400362,1.177322E-05,0.01680559,0.0008103629,0.007031603,0.003917027,0.00327463,0.002608107,0,0.004137954,1.00829E-05,5.476561E-05,0.000143056,3.840551E-05,0.001250371,0,0.003834762,1.641165E-09,0.001064199,4.105676E-05,0.001595787,0.002150287,0.005054427,0.001019392,0.01171115,0.01843179,0.001949889,0.0004578014,0.00249837,0.06107694,0.001098134,0.0007655195,0.001529933,0.0002244226,0.03907953,0.003840361,0.008228617,0.0002008468,0.004541041,0.1558303,1.802384E-05,0.0001593091,0.0002190312,0.001859158,0.626187,0.4213427,0.1015074,0.01937153,9.356594E-08,0.004089181,0.0003522607,0.001089583,0.2114662,0.09348602,0.08005629,0.1243275,0.01243318,0.02433822,0
10,8.210848E-05,0.000582111,0.0004035657,0.001138326,5.971383E-06,0.006533383,0.0001605895,0.004456235,1.189116E-05,0.01762995,0.0008366087,0.006861643,0.003750311,0.003585642,0.002593762,0,0.005109555,1.009081E-05,5.602777E-05,0.0001471277,3.908186E-05,0.001224475,0,0.005428279,1.572723E-09,0.000530482,2.931115E-05,0.001601019,0.002182516,0.004816839,0.0006818693,0.01020006,0.01381356,0.001826573,0.0004517638,0.002139983,0.05798404,0.001055031,0.0007405644,0.001529662,0.0002355174,0.04260847,0.003724222,0.007976842,0.0001092059,0.004579049,0.157794,1.809456E-05,0.0001550581,0.0002235852,0.001692616,0.6693006,0.4893815,0.09769998,0.02770879,9.694147E-08,0.00414562,0.0003594027,0.001102376,0.2289978,0.09966141,0.0843017,0.08145392,0.01224503,0.0261713,0
