TimeStep,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna"
1,4.235854E-05,0.0001249089,5.463887E-05,0.0005205782,1.472675E-06,0.0003620786,5.826111E-05,0.004478709,5.441914E-06,0.003577849,0.0006748723,0.00619152,0.00631469,0.004138315,0.001346647,0.004098242,8.817644E-07,3.877774E-05,7.468492E-05,3.542684E-05,0.001727383,0.004247898,1.45072E-09,0.0008584886,0.0001042102,0.001464105,0.001591857,5.696842E-08,0.002970743,0.01056788,0.001222995,0.002013493,0.0008171629,0.008547671,0.05372315,0.001587491,0.001088018,0.001186619,0.0003931829,0.01091181,0.005427944,0.005301983,1.268513E-05,0.0006714578,0.04415521,1.802423E-05,0.0003137993,0.0001664544,0.001822191,0.5221717,0.5154605,0.0833489,0.01781207,4.239136E-08,0.003946166,0.0001961556,0.001048159,0.2875137,0.09123397,0.1099016,0.1122404,0.01362451,0.01968148
2,4.234237E-05,0.0001248539,5.503122E-05,0.0005209456,1.471453E-06,0.0003631519,5.814535E-05,0.004496464,5.505712E-06,0.003684627,0.0006729452,0.006246902,0.006828742,0.004113119,0.001332173,0.003848355,9.339141E-07,3.940248E-05,7.536465E-05,3.346951E-05,0.001710969,0.004180171,1.44572E-09,0.0008479418,0.0001044141,0.001470038,0.001558067,4.317908E-08,0.003138777,0.01060977,0.001223878,0.001989299,0.0007754356,0.00882322,0.05468215,0.001593585,0.001079191,0.001162983,0.0003749829,0.01116789,0.005595201,0.005490032,1.238451E-05,0.0006670859,0.04527538,1.777761E-05,0.0003102089,0.0001733876,0.001882399,0.4819684,0.4649725,0.0791223,0.01725787,5.408359E-08,0.004106063,0.0002023744,0.001035872,0.1912316,0.08642349,0.1169842,0.1111121,0.01459707,0.01951757
3,4.239166E-05,0.0001248094,5.544462E-05,0.0005213516,1.470188E-06,0.0003645264,5.807039E-05,0.004513991,5.561408E-06,0.00379555,0.0006711453,0.006300342,0.007163282,0.004087459,0.001315107,0.003602423,9.620459E-07,4.064712E-05,7.606734E-05,3.171265E-05,0.001693986,0.004061426,1.440467E-09,0.0008375994,0.0001030557,0.001475243,0.001514639,3.191429E-08,0.003158024,0.01063396,0.001223449,0.00193953,0.0007254421,0.009113424,0.05558955,0.001597778,0.001074148,0.00112649,0.0003563668,0.01150014,0.005762386,0.005736131,1.210158E-05,0.0006630862,0.04643906,1.77107E-05,0.0003053727,0.0001837269,0.002028199,0.4375007,0.3945376,0.07153957,0.01627125,6.645106E-08,0.004366791,0.0002107422,0.001023073,0.1091083,0.08354915,0.1269077,0.1100353,0.01552895,0.01939378
4,4.245745E-05,0.000124776,5.587197E-05,0.0005218291,1.468873E-06,0.0003658735,5.801045E-05,0.004531962,5.611054E-06,0.003908601,0.0006692211,0.006350845,0.007284859,0.004061701,0.001311667,0.003477697,9.330886E-07,4.178068E-05,7.673346E-05,3.133267E-05,0.001676133,0.003999911,1.435193E-09,0.0008274312,0.000102965,0.001479692,0.001495633,2.934788E-08,0.003190609,0.01068142,0.001222044,0.001891481,0.0006800364,0.009386862,0.05621998,0.001600791,0.001069297,0.001099263,0.0003407844,0.01193592,0.005919194,0.005996063,1.182694E-05,0.000659418,0.047566,1.76203E-05,0.0003044793,0.0001933555,0.002107719,0.4505788,0.4419237,0.07308087,0.01685152,8.128194E-08,0.004839365,0.0002203333,0.001010097,0.06776307,0.08866396,0.1383956,0.1085914,0.01637529,0.01923243
5,4.253904E-05,0.0001247568,5.633204E-05,0.0005224216,1.467499E-06,0.0003674602,5.794327E-05,0.004549891,5.656254E-06,0.004021116,0.000667303,0.006399082,0.007420499,0.004035525,0.0013188,0.003576449,9.535763E-07,4.247889E-05,7.734334E-05,3.210757E-05,0.001661272,0.004066339,1.429985E-09,0.0008174785,0.0001063848,0.001483406,0.001530982,3.17643E-08,0.003285718,0.01072615,0.001221508,0.001872108,0.0006605026,0.009647556,0.05674202,0.001610607,0.001065199,0.001100069,0.000328467,0.01238881,0.006062873,0.006220975,1.155813E-05,0.000655795,0.04858407,1.745588E-05,0.0003046579,0.0002028667,0.002064716,0.4975668,0.5559922,0.07620429,0.01792591,9.532805E-08,0.005352023,0.0002274795,0.0009972737,0.07367319,0.09169274,0.1506474,0.1066021,0.01710089,0.01903575
6,4.257828E-05,0.0001247266,5.678808E-05,0.0005229717,1.466075E-06,0.0003688097,5.786656E-05,0.00456839,5.696192E-06,0.004134738,0.0006655345,0.006445365,0.007774139,0.004008664,0.001331671,0.00368374,1.034494E-06,3.916857E-05,7.792188E-05,3.342151E-05,0.001649789,0.004148316,1.425077E-09,0.000807855,0.000110736,0.001486448,0.001588547,3.041378E-08,0.00328352,0.01074604,0.001221864,0.001878869,0.000662728,0.009524062,0.05712061,0.001624389,0.001062826,0.00111105,0.0003215274,0.01276753,0.00601091,0.006188297,1.1297E-05,0.0006521707,0.04965072,1.735519E-05,0.0003047423,0.0002132229,0.001860367,0.5509609,0.6590282,0.07938684,0.01924642,1.048125E-07,0.005565304,0.0002322206,0.000990103,0.1420644,0.09208565,0.1617373,0.1051922,0.01701095,0.01883982
7,4.247958E-05,0.0001246686,5.723104E-05,0.0005232358,1.464626E-06,0.000369172,5.776759E-05,0.004593046,5.716973E-06,0.004257192,0.000663548,0.006485457,0.007471869,0.00398151,0.001344979,0.003773284,9.142362E-07,3.245227E-05,7.854171E-05,3.459182E-05,0.001649184,0.004172138,1.42147E-09,0.0008012182,0.0001096465,0.001489478,0.001612926,2.242194E-08,0.003102036,0.01064977,0.001224087,0.00189683,0.0006755957,0.009010322,0.0572106,0.001632013,0.001063438,0.001134584,0.0003142915,0.01279642,0.005796536,0.005981811,1.105067E-05,0.0006493909,0.05120397,1.759192E-05,0.000305723,0.000218815,0.001715752,0.5454591,0.6243576,0.07716211,0.0196838,7.587897E-08,0.004962658,0.0002311661,0.000992298,0.2224081,0.08955126,0.1544227,0.1060342,0.01595032,0.01873112
8,4.228441E-05,0.0001245875,5.765365E-05,0.0005233058,1.463185E-06,0.0003689805,5.764959E-05,0.004615425,5.678241E-06,0.0043907,0.00065723,0.006497594,0.006540154,0.003954985,0.001348436,0.003830202,7.199966E-07,2.593481E-05,7.92075E-05,3.537621E-05,0.001652788,0.004153395,1.419998E-09,0.0007929539,0.0001048344,0.00149264,0.001607448,1.537454E-08,0.002851408,0.0103538,0.00122718,0.001919269,0.0006882158,0.008402461,0.05717984,0.001642851,0.001060027,0.001164278,0.0003035535,0.01251898,0.005539387,0.005747167,1.082046E-05,0.0006472502,0.05294818,1.804433E-05,0.0003000618,0.000211094,0.001716364,0.5089309,0.5282177,0.06879605,0.01872902,4.824511E-08,0.004173774,0.0002183656,0.001002644,0.2810971,0.08531653,0.1406915,0.1082463,0.01465499,0.0185642
9,4.207034E-05,0.0001245054,5.80648E-05,0.0005233171,1.461827E-06,0.0003685074,5.752148E-05,0.004631425,5.583761E-06,0.004528287,0.000647599,0.006483237,0.005518173,0.00392979,0.001347366,0.003864762,5.783474E-07,2.03968E-05,7.990308E-05,3.624844E-05,0.001656325,0.004115789,1.421029E-09,0.0007847435,9.890956E-05,0.001496123,0.001588943,1.006294E-08,0.002563658,0.009974576,0.001227956,0.001943899,0.0006976781,0.007797882,0.05708611,0.001661615,0.001053974,0.001195314,0.0002881844,0.01209325,0.005274693,0.005516332,1.059916E-05,0.0006456591,0.05473953,1.848416E-05,0.0002901077,0.0001994186,0.001838478,0.4611146,0.4274502,0.05844442,0.01697077,3.010958E-08,0.003403998,0.0001955206,0.001017652,0.3159939,0.07934117,0.1286439,0.1111296,0.01337596,0.01843378
10,4.188027E-05,0.0001244291,5.849303E-05,0.0005234341,1.460588E-06,0.0003683001,5.740751E-05,0.004638359,5.577669E-06,0.004665319,0.000641526,0.006487052,0.004784235,0.003905356,0.001349855,0.003924907,5.705635E-07,1.644193E-05,8.05565E-05,3.726486E-05,0.001657423,0.004078237,1.422093E-09,0.0007766508,9.356419E-05,0.001500033,0.001578532,6.31429E-09,0.00226549,0.009654497,0.001227881,0.001969857,0.000708839,0.007224743,0.05698927,0.001677107,0.00104896,0.001229842,0.0002730323,0.01157611,0.005019737,0.005258818,1.038268E-05,0.0006440121,0.05648614,1.873706E-05,0.0002864411,0.0001899642,0.002020743,0.4190238,0.3506743,0.05124051,0.015351,2.089436E-08,0.002726718,0.0001809011,0.001032649,0.3507656,0.07960112,0.1106971,0.1138167,0.0121585,0.01849547
