"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Anchovy-silverside-killifish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000324468186590821,0.000355818949174136,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000606074056122452,0.000700424367096275,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.896317852219E-08,6.94054307359693E-08,6.73771580750326E-08,1.17121267351195E-07,-9999,-9999,-9999,-9999,-9999,0.000838998472318053,0.00133837386965752,0.00191562972031534,0.00204761954955757,0.00183516705874354,0.00258766720071435,0.00566447759047151,0.00712687475606799,0.0068685351870954,0.00310198636725545,0.0059599312953651,0.00756321661174297,-9999,-9999,0.029623705893755,0.0320585370063782,0.00142833671998233,7.92168357293122E-05,7.49818445910932E-06,6.16722445556661E-07,4.1582897125636E-08,8.80575612427492E-08,6.82309291732963E-07,2.15478144127701E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.05817948742515E-08,7.58791429689154E-08,8.75378347586775E-08,2.06357924525946E-07,2.61193946471394E-07,6.69933115204913E-07,4.66191613668343E-06,-9999,0.000115192786324769,0.00055524124763906,0.00133790448307991,0.00355778355151415,0.0073642679490149,0.00995002780109644,0.00738185923546553,0.012988843023777,0.0168968271464109,0.0286216232925653,0.0264887791126966,0.0214603543281555,0.0251721739768982,0.0166981536895037,0.0441586673259735,0.0585947632789612,0.0558286756277084,0.0137213598936796,0.00177619885653257,0.000174007232999429,1.53557957673911E-05,1.13197700102319E-06,1.69991693610427E-07,1.24991879602021E-06,1.63139229698572E-05,0.000146103193401359,0.000996378716081381,0.00172212941106409,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.57825233677067E-08,1.00408477976544E-07,1.56550197516481E-06,1.65556673437095E-06,2.10802568290092E-06,4.01310126108001E-06,1.05590224848129E-05,3.85664570785593E-05,0.000128560699522495,0.000999225885607302,0.00272464356385171,0.00759390136227012,0.0202201530337334,0.0374104417860508,0.0539388060569763,0.0792935416102409,0.0895039364695549,0.101422972977161,0.103262521326542,0.089399665594101,0.0899953097105026,0.0875910520553589,0.0935027003288269,0.0833363980054855,0.0290930178016424,0.00536465179175138,0.000681825331412256,9.83261925284751E-05,7.12296514393529E-06,1.16289868401509E-06,3.62795276487304E-07,3.31153751176316E-06,4.26647311542183E-05,0.000374185154214501,0.0017102527199313,0.00276284688152373,0.00229762261733413,0.00130082271061838,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000257828156463802,0.000514366722200066,0.00077053508721292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000780480855610222,-9999,-9999,-9999,0.0018448990304023,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.83873974291782E-07,1.04674643353064E-06,1.10578719159093E-06,-9999,1.87198365892982E-05,6.21129074716009E-05,0.000194454885786399,0.000810962286777794,0.00260036182589829,0.00826868321746588,0.0205320362001657,0.0285365432500839,0.0884504467248917,0.127072036266327,0.139916121959686,0.13902285695076,0.129468038678169,0.117341846227646,0.108590871095657,0.0995334312319756,0.078428827226162,0.0391337461769581,0.0106895361095667,0.00172344944439828,0.000267232331680134,0.000150692925672047,8.28962311061332E-06,7.64518154028337E-06,1.09890754629305E-06,4.01823535867152E-06,1.81455561687471E-05,0.000142852659337223,0.000929980305954814,0.00246559735387564,0.00273597193881869,0.00109758600592613,0.000287660688627511,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000161993448273279,0.000467792269773781,0.00103881419636309,0.00135138595942408,0.00193028885405511,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00173444300889969,0.00211462564766407,-9999,-9999,0.00291994609870017,0.00315833278000355,-9999,-9999,0.00441268319264054,0.00552547862753272,-9999,-9999,-9999,-9999,-9999,0.00022479155450128,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.50800510204863E-05,0.000134090732899494,0.000372693670215085,0.000917361176107079,0.00228973641060293,0.00509684812277555,0.0097449067980051,0.0159474685788155,0.0828178077936172,0.11447648704052,0.115400351583958,0.104742713272572,0.0762795805931091,0.0378721803426743,0.0287014096975327,0.025743817910552,0.020045192912221,0.00864856038242579,0.00206630979664624,0.000158465511049144,1.99783044081414E-05,3.40662381859147E-06,3.61803898840662E-07,4.18056714579507E-07,2.58146337728249E-06,1.62553587870207E-05,2.53858834184939E-05,2.61117620539153E-05,0.000162467040354386,0.000693550799041986,0.00148339511360973,0.000913412717636675,0.000257211038842797,3.51881681126542E-05,-9999,-9999,-9999,-9999,-9999,1.46643969856086E-06,1.44529258250259E-05,7.22574768587947E-05,0.000240540248341858,0.000865606707520783,0.00172264548018575,0.00241906172595918,0.00218689721077681,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000919445883482695,0.00102574483025819,-9999,-9999,-9999,-9999,0.00492866989225149,0.00434125727042556,0.00427702628076077,0.00878333207219839,0.00755034806206822,0.00812601670622826,0.010582510381937,0.0142807345837355,0.0119558647274971,0.00867297220975161,-9999,0.00551519216969609,0.00565925566479564,-9999,-9999,0.00114085106179118,0.000495450396556407,0.000255285442108288,0.000113613728899509,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000373217189917341,0.000224734671064653,-9999,-9999,-9999,0.000555150560103357,0.000913980766199529,0.00148901215288788,0.0025397629942745,0.00456133298575878,0.007731051184237,0.0176986325532198,0.0471933260560036,0.041553795337677,0.0262172035872936,0.0214693434536457,0.0150585938245058,0.0063535706140101,0.00375055032782257,0.00312619027681649,0.00235508964397013,0.00105509243439883,0.000222290182136931,1.60429394213679E-07,5.27889142176718E-07,1.14029276687688E-07,1.44066092389039E-08,1.38365816582109E-08,1.29560831396702E-07,1.65715562161495E-06,9.72975340118865E-06,1.00260749604786E-05,2.81679185718531E-05,0.000154024310177192,0.000696911651175469,0.000690409797243774,0.000173202672158368,1.20703070933814E-05,1.23852572642136E-07,4.72217065450309E-09,3.27211230333191E-10,7.05296754333062E-09,4.91795049128996E-07,2.10809116651944E-06,2.57497504208004E-06,7.99637200543657E-06,3.12787706207018E-05,0.00017344816296827,0.0005053267814219,0.00136288732755929,0.00188850064296275,0.0021298963110894,0.00364674674347043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
