"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Benthic piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000227300784899853,0.00022383063333109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000291474250843748,0.000288112729322165,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00014432221360039,0.000140024843858555,0.000126769911730662,0.000145884463563561,-9999,-9999,-9999,-9999,-9999,0.000198824956896715,0.000221204099943861,0.00024654102162458,0.000274269958026707,0.000296618760330603,0.000348638597643003,0.000397197087295353,0.000410723325330764,0.00040997879114002,0.000387493375455961,0.000387543725082651,0.000381905789254233,-9999,-9999,0.00044251122744754,0.000558911764528602,0.000652301765512675,0.000679827178828418,0.00106530089396983,0.00120124011300504,0.00109150575008243,0.0011581766884774,0.00101831741631031,0.000743652461096644,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000149779822095297,0.000146655045682564,0.000135733804199845,0.000150248495629057,0.000167651494848542,0.000155747446115129,0.000214387895539403,-9999,0.000183587311767042,0.000205230244318955,0.000250368902925402,0.000307652429910377,0.000365191750461236,0.000418217619881034,0.000448223348939791,0.000547930831089616,0.000636500655673444,0.000693859823513776,0.000685265986248851,0.000595742370933294,0.000571651675272733,0.000548457319382578,0.000623918196652085,0.000754478911403567,0.000916166929528117,0.00152578833512962,0.00277998903766274,0.00442519225180149,0.00487565575167537,0.00527210859581828,0.00531689263880253,0.00565609196200967,0.0060825701802969,0.00402102433145046,0.00148553017061204,0.000885741144884378,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000150466337800026,0.000145569851156324,0.000179721435415559,0.000208670142455958,0.00020089975441806,0.000248654454480857,0.000240694935200736,0.000244629336521029,0.000242630019783974,0.000266102491877973,0.000324084045132622,0.000381372490664944,0.000529496464878321,0.000777277688030154,0.00121604406740516,0.0017057437216863,0.00183323235251009,0.0022536888718605,0.00261729001067579,0.0018186253728345,0.00176287465728819,0.00167008046992123,0.00194627011660486,0.00358458049595356,0.00434617651626468,0.00527153676375747,0.00693776924163103,0.0111487219110131,0.0224650595337152,0.0181191880255938,0.0132567454129457,0.0127800339832902,0.0122386366128922,0.00980516616255045,0.00666772294789553,0.00434191385284066,0.00201059132814407,0.000743315322324634,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00029431568691507,0.000302847794955596,0.000267751835053787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000212288505281322,-9999,-9999,-9999,0.0002259251778014,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00016440698527731,0.000188690813956782,0.000194263106095605,-9999,0.000226799078518525,0.000280689360806718,0.000216207903577015,0.000239213244640268,0.000290675088763237,0.000361452432116494,0.000465698074549437,0.000542734982445836,0.00135921372566372,0.00468304380774498,0.00781706254929304,0.00813323818147182,0.00756387831643224,0.00597318587824702,0.00511984247714281,0.00585444737225771,0.00705495662987232,0.00732965394854546,0.00766603695228696,0.00908233504742384,0.0176660362631083,0.0313096903264523,0.0346814543008804,0.0319285057485104,0.0261409096419811,0.0231036655604839,0.0209338143467903,0.0155946677550673,0.0106907356530428,0.00878810603171587,0.00502921734005213,0.00256077805534005,0.000794399646110833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000382079102564603,0.000431820604717359,0.00035812784335576,0.000298628874588758,0.000268030911684036,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000225671290536411,0.000240420806221664,-9999,-9999,0.00023750176478643,0.000246059382334352,-9999,-9999,0.000267128722043708,0.000262241723248735,-9999,-9999,-9999,-9999,-9999,0.00020772113930434,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000235917876125313,0.0002955780364573,0.000242378358962014,0.00023502399562858,0.000277218117844313,0.000325983128277585,0.000409825996030122,0.000536929117515683,0.00126738252583891,0.0059939119964838,0.0133288744837046,0.0153740821406245,0.0134109174832702,0.0116336867213249,0.0101972185075283,0.0100732389837503,0.0102296378463507,0.011022076010704,0.0122925266623497,0.0260202754288912,0.0337710455060005,0.0381714776158333,0.0396243408322334,0.0383645035326481,0.0346792675554752,0.0300210174173117,0.0267788823693991,0.0216531585901976,0.0152499722316861,0.0131630692631006,0.00919186696410179,0.005118228495121,0.00211879564449191,0.000837855273857713,-9999,-9999,-9999,-9999,-9999,0.000492533785291016,0.000498148263432086,0.000559405540116131,0.000644239713437855,0.000539814645890146,0.000444644247181714,0.000367657165043056,0.00027032705838792,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0001915970351547,0.000215523687074892,-9999,-9999,-9999,-9999,0.000279620260698721,0.000286631897324696,0.00030177115695551,0.000390001921914518,0.000373559450963512,0.000378223019652069,0.000393736525438726,0.000436459435150027,0.000361834041541442,0.000327432877384126,-9999,0.000304406770737842,0.000297362479614094,-9999,-9999,0.000300851592328399,0.000243179907556623,0.000213213439565152,0.000215742125874385,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00021106272470206,0.000254616286838427,-9999,-9999,-9999,0.000324468186590821,0.000276512146228924,0.000259974418440834,0.000313227268634364,0.000344873405992985,0.000447858066763729,0.000619109778199345,0.00168566999491304,0.00643112929537892,0.0170495919883251,0.0189377591013908,0.0165651179850101,0.0143629219383001,0.013000606559217,0.0129485102370381,0.0121634034439921,0.0139461858198047,0.0249952711164951,0.0363338589668274,0.0382935516536236,0.0401508212089539,0.0413991063833237,0.0416357405483723,0.0406356528401375,0.0377995185554028,0.0318432338535786,0.022870535030961,0.0177029483020306,0.0148822404444218,0.0111831771209836,0.00689795566722751,0.00363265769556165,0.00100488949101418,0.000464248762000352,0.00040275976061821,0.000419497169787064,0.000474998552817851,0.00073268759297207,0.00107322609983385,0.00129073078278452,0.0013590685557574,0.00118312856648117,0.00109990080818534,0.000854600279126316,0.000574253150261939,0.000362057355232537,0.000281334418104962,0.000234722043387592,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
