"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Billfish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.19264987006318E-05,1.19211299534072E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.70169387274655E-05,1.69261475093663E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.59913798320122E-07,5.25563393694028E-07,7.60472403271706E-07,1.10324640445469E-06,-9999,-9999,-9999,-9999,-9999,2.85247438114311E-06,4.06354502047179E-06,5.72376893615001E-06,8.06565276434412E-06,1.14625081550912E-05,1.6537269402761E-05,2.42053720285185E-05,2.38960747083183E-05,2.36461528402288E-05,2.35102543229004E-05,2.2892925699125E-05,2.17307551793056E-05,-9999,-9999,1.3904695151723E-05,1.97373901755782E-05,1.88099111255724E-05,2.67191862803884E-05,2.60682463704143E-05,2.58810541708954E-05,2.60176020674407E-05,2.63282490777783E-05,2.6724201234174E-05,2.7115223929286E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.67827482250505E-07,5.39163181656477E-07,7.81536357408186E-07,1.11796452983981E-06,1.57091858454805E-06,2.13933935810928E-06,2.97697124551632E-06,-9999,3.27286488754908E-06,3.10904670186574E-06,4.2594861042744E-06,5.91045500186738E-06,8.24247945274692E-06,1.15459670269047E-05,1.63075146701885E-05,2.33635182667058E-05,3.39531579811592E-05,3.33153911924455E-05,3.26742156175897E-05,3.18257370963693E-05,3.05321045743767E-05,2.84987436316442E-05,2.55034901783802E-05,2.29349261644529E-05,2.05740670935484E-05,2.76534901786363E-05,2.55730938079068E-05,3.5423905501375E-05,3.41829290846363E-05,3.41001286869869E-05,3.45868938893545E-05,3.52614733856171E-05,3.60839731001761E-05,3.70259876945056E-05,2.53314447036246E-05,2.59846019616816E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.49060587218264E-07,8.05381489499268E-07,1.16661635729542E-06,1.66784275279497E-06,2.33013588513131E-06,3.09913184537436E-06,4.01018951379228E-06,5.31227442479576E-06,4.91133869218174E-06,4.53502025266062E-06,6.12265421295888E-06,8.38780397316441E-06,1.15902475954499E-05,1.60899562615668E-05,2.24555878958199E-05,3.16678779199719E-05,4.52997592219617E-05,4.39597934018821E-05,4.27701816079207E-05,4.13948582718149E-05,3.95887036575004E-05,3.7066187360324E-05,3.40385631716345E-05,3.08394482999574E-05,2.75503225566354E-05,3.61753882316407E-05,3.26286026393063E-05,0.00010306466720067,0.00265179760754108,0.000892166164703667,0.000254284881521016,0.000213376246392727,0.000162214215379208,0.000100385004770942,3.48478242813144E-05,3.68319269909989E-05,2.59545122389682E-05,1.83514493983239E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.80309403833235E-06,4.64902768726461E-06,3.18365482598892E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.04552236229938E-06,-9999,-9999,-9999,4.18185027228901E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.81293010732043E-07,1.13664077616704E-06,1.64838252203481E-06,-9999,5.3251728786563E-06,7.41646954338648E-06,6.94408117851708E-06,6.41010774415918E-06,8.62485649122391E-06,1.17494464575429E-05,1.61133066285402E-05,2.21161444642348E-05,3.03017477563117E-05,4.16062757722102E-05,5.79610314161982E-05,5.51905322936364E-05,5.33218990312889E-05,5.15763495059218E-05,4.93826119054575E-05,4.62886491732206E-05,4.26737860834692E-05,3.8813057471998E-05,3.48579233104829E-05,6.41918522887863E-05,0.000475548789836466,0.00379654811695218,0.00384237337857485,0.00383931235410273,0.00381717924028635,0.00327711924910545,0.00209855474531651,0.000500242924317718,0.000122469617053866,8.43790621729568E-05,3.69800109183416E-05,2.68163894361351E-05,1.91867402463686E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.51221591094509E-06,6.590717475774E-06,4.59920011053327E-06,3.1994964047044E-06,2.20659944716317E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.27482336817775E-06,4.31170883530285E-06,-9999,-9999,5.89480487178662E-06,5.94874427406467E-06,-9999,-9999,6.20015225649695E-06,4.33777586295037E-06,-9999,-9999,-9999,-9999,-9999,5.66640392207773E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.45931947676581E-06,1.0163003935304E-05,9.58110649662558E-06,8.90090086613782E-06,1.2022886039631E-05,1.63582972163567E-05,2.23003426071955E-05,3.02481021208223E-05,4.05687496822793E-05,5.3957923228154E-05,9.80349432211369E-05,0.000189620433957316,0.000184477437869646,0.000131668784888461,0.000102625672298018,0.000107430721982382,0.000135552792926319,0.000186824516276829,0.000173303909832612,0.00349342729896307,0.00381359318271279,0.00383469951339066,0.00384966051205993,0.00384944141842425,0.00384928658604622,0.0038599653635174,0.00386507157236338,0.00260044587776065,0.000424836063757539,0.000275846541626379,9.55132127273828E-05,3.84921586373821E-05,2.84542275039712E-05,2.04983316507423E-05,-9999,-9999,-9999,-9999,-9999,2.4388253223151E-05,1.70516395883169E-05,1.25268779811449E-05,9.01514704310102E-06,6.43711973680183E-06,4.56664474768331E-06,3.19452806252229E-06,2.18846275856777E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.8080472626898E-06,5.82252278036322E-06,-9999,-9999,-9999,-9999,7.34311197447823E-06,6.16426768829115E-06,5.95032133787754E-06,5.74293108002166E-06,8.38305459183175E-06,8.37245806906139E-06,8.34043930808548E-06,8.24886865302688E-06,8.30043154564919E-06,8.45091562950984E-06,-9999,1.0718336852733E-05,1.06543739093468E-05,-9999,-9999,9.89237378234975E-06,8.20284367364366E-06,7.81137532612775E-06,7.74072759668343E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.06452636525501E-06,5.92804781263112E-06,-9999,-9999,-9999,1.33191415443434E-05,1.29636728161131E-05,8.18075204733759E-06,1.11158042273019E-05,1.51123749674298E-05,2.04759362532059E-05,2.74783906206721E-05,3.62927421519998E-05,4.67291283712257E-05,0.000171711813891307,0.000371796690160409,0.00040193332824856,0.000289201212581247,0.00030582447652705,0.000355681928340346,0.000277676590485498,0.00038008889532648,0.00339597766287625,0.00384290423244238,0.00384497293271124,0.00385659979656339,0.00386937893927097,0.00387884886004031,0.0038753526750952,0.00387190096080303,0.00387855572625995,0.00325979827903211,0.0010689334012568,0.000475133041618392,0.000170812490978278,3.66643616871443E-05,2.76799710263731E-05,2.05825908778934E-05,2.2518224795931E-05,1.68388523889007E-05,1.84918790182564E-05,1.9852186596836E-05,3.16667610604782E-05,3.34908872900996E-05,2.36676532949787E-05,1.70141574926674E-05,1.23054487630725E-05,8.88445720192976E-06,6.38676374364877E-06,4.53227221441921E-06,3.16704358738207E-06,2.18356285586196E-06,1.49406969285337E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
