"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Blacktip shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000689332722686231,0.000669208006002009,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0011740664485842,0.00106482463888824,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00013662718993146,0.000170432438608259,0.000212835482670926,0.000220794827328064,-9999,-9999,-9999,-9999,-9999,0.0807793587446213,0.0833068415522575,0.0729281082749367,0.0516629405319691,0.020175052806735,0.0216268561780453,0.0759361237287521,0.0798456221818924,0.07811289280653,0.0137777701020241,0.0703491792082787,0.0815957486629486,-9999,-9999,0.0737789869308472,0.11019104719162,0.103060774505138,0.10401227325201,0.120614670217037,0.120687320828438,0.120239444077015,0.119458362460136,0.11724054068327,0.0930356904864311,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000141033859108575,0.000174653920112178,0.000221940834308043,0.00028669839957729,0.000322121719364077,0.000413433066569269,0.000490407983306795,-9999,0.0121700586751103,0.100467316806316,0.10942517220974,0.128701746463776,0.137721538543701,0.146458387374878,0.0853067263960838,0.117749221622944,0.12808008491993,0.126637548208237,0.124600641429424,0.123128607869148,0.124668255448341,0.109185725450516,0.114431172609329,0.123323440551758,0.122881703078747,0.121710330247879,0.12030440568924,0.119381375610828,0.118947267532349,0.11875456571579,0.118250988423824,0.117162972688675,0.115309447050095,0.11335414648056,0.110828049480915,0.108717620372772,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000186570498044603,0.000222680551814847,0.000304103828966618,0.000376762967789546,0.000418073032051325,0.000530559977050871,0.00072724767960608,0.00140767369884998,0.00262504606507719,0.121886298060417,0.138081207871437,0.135408729314804,0.139218434691429,0.139813438057899,0.14231288433075,0.138796120882034,0.132917195558548,0.130189955234528,0.129921168088913,0.130491480231285,0.129785567522049,0.127914309501648,0.125782832503319,0.123711094260216,0.121897116303444,0.120036549866199,0.118278831243515,0.115986198186874,0.0949790105223656,0.108671434223652,0.113079898059368,0.11238057911396,0.111175678670406,0.109717078506947,0.108232922852039,0.106705918908119,0.105520471930504,0.104949444532394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0841815322637558,0.084393322467804,0.0846297591924667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0768735259771347,-9999,-9999,-9999,0.0963872522115707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000279437750577927,0.000278904044535011,0.000281437300145626,-9999,0.00079266750253737,0.00160305085591972,0.00328372092917562,0.0469066351652145,0.113454654812813,0.137686207890511,0.140301913022995,0.127051889896393,0.138581931591034,0.135152772068977,0.132255464792252,0.130798920989037,0.129857867956161,0.129224300384521,0.12803241610527,0.126200512051582,0.12411854416132,0.122529745101929,0.120996221899986,0.119010753929615,0.11299841105938,0.00857985392212868,0.000773074338212609,0.000972726382315159,0.0334977656602859,0.081684798002243,0.0960154831409454,0.104771330952644,0.106474094092846,0.105419933795929,0.10511065274477,0.104786932468414,0.105053998529911,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.118078775703907,0.135046452283859,0.11984495818615,0.085066482424736,0.0856217965483665,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0735509246587753,0.0880568698048592,-9999,-9999,0.0695511996746063,0.0755958557128906,-9999,-9999,0.0861911997199059,0.134789407253265,-9999,-9999,-9999,-9999,-9999,0.0421415120363235,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00101548887323588,0.00197052280418575,0.0294696930795908,0.0370145663619041,0.0983434841036797,0.0921209901571274,0.0887413620948792,0.0867801830172539,0.140430852770805,0.136690780520439,0.132608607411385,0.129657328128815,0.128215685486794,0.127370730042458,0.126141458749771,0.124436862766743,0.12247622013092,0.120489828288555,0.119288392364979,0.0764607787132263,0.000813071033917367,0.000802817521616817,0.000514080456923693,0.000623721105512232,0.000752912543248385,0.0110850827768445,0.0323045924305916,0.0892189741134644,0.103433154523373,0.103677861392498,0.104279674589634,0.104556009173393,0.105204418301582,0.105981484055519,-9999,-9999,-9999,-9999,-9999,0.118945263326168,0.121726647019386,0.133430525660515,0.136445865035057,0.13815338909626,0.138013705611229,0.12839449942112,0.0863281264901161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.052117221057415,0.0551693215966225,-9999,-9999,-9999,-9999,0.0763689503073692,0.0759807899594307,0.075065903365612,0.121803782880306,0.0727546215057373,0.10844399034977,0.130725651979446,0.135117396712303,0.129575505852699,0.0851107090711594,-9999,0.113354310393333,0.125853702425957,-9999,-9999,0.0916075557470322,0.0465114004909992,0.0262991599738598,0.011283521540463,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0764134079217911,0.0366548374295235,-9999,-9999,-9999,0.0512360110878944,0.100628033280373,0.100251823663712,0.0955615118145943,0.0918597504496574,0.0897643268108368,0.125008255243301,0.142224907875061,0.137816548347473,0.132002085447311,0.127847790718079,0.125916957855225,0.125204771757126,0.123429328203201,0.121443957090378,0.120711259543896,0.118410594761372,0.083508662879467,0.000825618975795805,0.000548077339772135,0.00054178258869797,0.00034614818287082,0.000416769442381337,0.00050210248446092,0.000764311873354018,0.00313797546550632,0.0793755874037743,0.0991756543517113,0.102194517850876,0.103722080588341,0.104723051190376,0.105524197220802,0.10695980489254,0.0665443912148476,0.0554287806153297,0.000956031028181314,0.0572399310767651,0.122484229505062,0.122758977115154,0.126798212528229,0.130882993340492,0.134034872055054,0.13669490814209,0.139055296778679,0.141090393066406,0.122884958982468,0.0875122025609016,0.0880190804600716,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
