"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Cobia

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00738000962883234,0.00738743366673589,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00821986515074968,0.00733830174431205,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00488359294831753,0.00502644618973136,0.00521796802058816,0.00533898966386914,-9999,-9999,-9999,-9999,-9999,0.012587177567184,0.0132169798016548,0.0120067782700062,0.0151013638824224,0.0108733214437962,0.0118872374296188,0.0117536308243871,0.0111008137464523,0.00994918029755354,0.00739893084391952,0.00823127757757902,0.00765399262309074,-9999,-9999,0.00901394244283438,0.00999922957271338,0.0083983838558197,0.00993588753044605,0.0104665467515588,0.00922947376966476,0.00935033708810806,0.0103531340137124,0.00995641574263573,0.0104037085548043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00484003312885761,0.00491558760404587,0.00518340850248933,0.00545910093933344,0.0049952631816268,0.00540992384776473,0.00416793022304773,-9999,0.00730719277635217,0.00949294213205576,0.0126955360174179,0.0125085506588221,0.0132240708917379,0.014124283567071,0.0104485163465142,0.0117841251194477,0.0116815911605954,0.0125902779400349,0.0119990576058626,0.0103083187714219,0.00994178839027882,0.00669855903834105,0.00948801636695862,0.00851927790790796,0.00980107299983501,0.0121100572869182,0.012486819177866,0.0109461368992925,0.0119519652798772,0.0111655099317431,0.0127612566575408,0.0100159952417016,0.0124893970787525,0.0115965185686946,0.0100741591304541,0.00731013854965568,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00492177344858646,0.00510830897837877,0.00540976785123348,0.00562257878482342,0.00521037727594376,0.00561744626611471,0.00523723941296339,0.00628339778631926,0.00570883555337787,0.00739872641861439,0.0121054137125611,0.012671853415668,0.0151115721091628,0.0174783300608397,0.0175847392529249,0.0185952857136726,0.0171606056392193,0.0168462861329317,0.0166389141231775,0.0145876398310065,0.0134055633097887,0.0131524279713631,0.0106306914240122,0.0128602935001254,0.0112180979922414,0.0131476363167167,0.0107631366699934,0.0135529851540923,0.0114475572481751,0.0128364423289895,0.0141318151727319,0.013106812722981,0.00961390044540167,0.0115423798561096,0.0109487427398562,0.00960282143205404,0.00665801065042615,0.00623537600040436,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0129567729309201,0.0121817598119378,0.0106886746361852,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00248613976873457,-9999,-9999,-9999,0.00254496326670051,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00590839050710201,0.00596595229580998,0.004915417637676,-9999,0.00580992829054594,0.00647791801020503,0.00629651499912143,0.00787584576755762,0.00940435379743576,0.0118549726903439,0.0137549377977848,0.0170294102281332,0.0200800411403179,0.0219384469091892,0.0192302372306585,0.0178315937519073,0.0170790906995535,0.0217900052666664,0.0156738050282001,0.0148455481976271,0.0159260686486959,0.0158329159021378,0.00923268124461174,0.0101886782795191,0.0142605621367693,0.00950268190354109,0.00942922849208117,0.00746611738577485,0.0101070422679186,0.01040552649647,0.0116560980677605,0.0117368930950761,0.0080552576109767,0.0104985665529966,0.00921337120234966,0.00799104012548923,0.00582557031884789,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0133094061166048,0.0147423930466175,0.00944817438721657,0.0103945340961218,0.0105696907266974,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00338511168956757,0.00348073709756136,-9999,-9999,0.00452589197084308,0.0043024942278862,-9999,-9999,0.0031213853508234,0.00416111946105957,-9999,-9999,-9999,-9999,-9999,0.00795865710824728,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00726420059800148,0.00743013061583042,0.00660912366583943,0.00686755683273077,0.00843038782477379,0.0102975470945239,0.00947645306587219,0.0144712869077921,0.0138954054564238,0.0154726672917604,0.0152496127411723,0.0129338726401329,0.0132418107241392,0.0145558994263411,0.0139821711927652,0.0128045277670026,0.0128477532416582,0.0145122967660427,0.00987073220312595,0.00946960225701332,0.00895089190453291,0.00834202580153942,0.0066830120049417,0.00647187838330865,0.00749131012707949,0.0090588266029954,0.00519796228036284,0.00532941473647952,0.00792781729251146,0.00793709512799978,0.00876661576330662,0.00976265873759985,0.00735726207494736,0.00969951413571835,-9999,-9999,-9999,-9999,-9999,0.00886593945324421,0.0101545471698046,0.0124456491321325,0.0148701583966613,0.0150144761428237,0.0129284551367164,0.013425387442112,0.0113447280600667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.006263118237257,0.00830048695206642,-9999,-9999,-9999,-9999,0.00568289589136839,0.00669119879603386,0.00620259577408433,0.00699762394651771,0.00731181027367711,0.0066213421523571,0.00590985361486673,0.00722131505608559,0.00755071034654975,0.00536090461537242,-9999,0.00226904219016433,0.00460560852661729,-9999,-9999,0.00741679454222322,0.00554663687944412,0.00536262709647417,0.00740013085305691,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00846789684146643,0.00731230480596423,-9999,-9999,-9999,0.00785310007631779,0.00857223756611347,0.00886760465800762,0.00853396207094193,0.0122232316061854,0.00894264411181211,0.00987237971276045,0.0132151823490858,0.013039281591773,0.0117607805877924,0.0103406924754381,0.00962228421121836,0.00964388437569141,0.0134777100756764,0.0103215584531426,0.00961032882332802,0.00898449402302504,0.00803385023027658,0.00793447904288769,0.00819664634764194,0.00668174121528864,0.00685392878949642,0.00628122221678495,0.006145094987005,0.00604616245254874,0.00543262902647257,0.00604677200317383,0.00767475459724665,0.0090727424249053,0.00894804764539003,0.00956149585545063,0.00922864209860563,0.00665446743369102,0.00680906418710947,0.00815899949520826,0.00652100006118417,0.00715732760727406,0.00898000039160252,0.014425721950829,0.0129334833472967,0.0150511087849736,0.0162914283573627,0.0138992257416248,0.0123024415224791,0.016213521361351,0.0153588866814971,0.0124672940000892,0.0139934811741114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
