"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Crab

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.577032148838043,0.566720366477966,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.558206081390381,0.553093492984772,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0476080626249313,0.0610578879714012,0.0671626701951027,0.070645734667778,-9999,-9999,-9999,-9999,-9999,0.527306258678436,0.511943280696869,0.524843871593475,0.518868029117584,0.526114404201508,0.512705087661743,0.477263867855072,0.441904723644257,0.451718658208847,0.497306048870087,0.48374679684639,0.462952196598053,-9999,-9999,0.32803475856781,0.293388694524765,0.303426831960678,0.305277198553085,0.313116461038589,0.335527151823044,0.352114707231522,0.342423737049103,0.342410504817963,0.326837658882141,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0490855351090431,0.0738199502229691,0.141533076763153,0.159152880311012,0.17444035410881,0.247480779886246,0.613908588886261,-9999,0.609845578670502,0.544097185134888,0.49574202299118,0.451874583959579,0.428474813699722,0.423538863658905,0.444268941879272,0.429716825485229,0.394014775753021,0.361466526985168,0.358895599842072,0.394236236810684,0.403219044208527,0.41205245256424,0.356570065021515,0.324425458908081,0.30061599612236,0.263118624687195,0.24693338572979,0.262355893850327,0.293594390153885,0.320016503334045,0.336623191833496,0.345910549163818,0.322884321212769,0.29108589887619,0.235099717974663,0.175089985132217,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0655656531453133,0.149785369634628,0.559678018093109,0.601110816001892,0.60950243473053,0.611936509609222,0.64536052942276,0.632398903369904,0.614093661308289,0.545004725456238,0.46814239025116,0.413455188274384,0.351735949516296,0.331574976444244,0.30955383181572,0.286718398332596,0.280957639217377,0.273658990859985,0.270740181207657,0.281174182891846,0.294766902923584,0.306056886911392,0.30461660027504,0.28955540060997,0.279297769069672,0.254310667514801,0.237278074026108,0.240561097860336,0.230615302920341,0.283652603626251,0.319504737854004,0.328655898571014,0.32964950799942,0.288673639297485,0.237903237342834,0.176094189286232,0.160123810172081,0.18685457110405,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.399489492177963,0.418250679969788,0.442283093929291,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.591252028942108,-9999,-9999,-9999,0.582559585571289,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.638903915882111,0.642929494380951,0.65333366394043,-9999,0.654065907001495,0.628947794437408,0.599761188030243,0.543862760066986,0.465545207262039,0.395105987787247,0.354944974184036,0.33855527639389,0.279659807682037,0.255227446556091,0.265433609485626,0.273558795452118,0.271818488836288,0.26720717549324,0.283012598752975,0.287495315074921,0.284456074237823,0.285624980926514,0.304213404655457,0.289841026067734,0.252812325954437,0.0128958290442824,0.000420736731030047,0.00163822912145406,0.116809949278831,0.285569280385971,0.329587936401367,0.325328379869461,0.303646802902222,0.269047319889069,0.235061451792717,0.196374982595444,0.235955893993378,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.388127326965332,0.372289210557938,0.413149833679199,0.428068667650223,0.429361164569855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.560650408267975,0.561306238174438,-9999,-9999,0.551335334777832,0.544370293617249,-9999,-9999,0.507776319980621,0.512647092342377,-9999,-9999,-9999,-9999,-9999,0.562228083610535,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.626807987689972,0.616075277328491,0.58764773607254,0.543497562408447,0.463427841663361,0.415421307086945,0.400211811065674,0.349317133426666,0.283473670482635,0.263909727334976,0.283038735389709,0.300061285495758,0.303325593471527,0.296345859766006,0.300636351108551,0.301535487174988,0.29655534029007,0.298939377069473,0.323722809553146,0.207322224974632,0.000602463085670024,7.26309590390883E-05,1.40381525852717E-05,0.000109771419374738,0.00146790000144392,0.03425482660532,0.136264190077782,0.340220153331757,0.357262134552002,0.335804909467697,0.288979023694992,0.213405355811119,0.238828912377357,0.291825234889984,-9999,-9999,-9999,-9999,-9999,0.387762546539307,0.381788492202759,0.357008337974548,0.348856538534164,0.352587193250656,0.366653919219971,0.385830163955688,0.417054027318954,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.54100090265274,0.531512558460236,-9999,-9999,-9999,-9999,0.514512717723846,0.518421173095703,0.525360941886902,0.497514188289642,0.503920078277588,0.51356315612793,0.496271640062332,0.475221574306488,0.459393411874771,0.487511545419693,-9999,0.552664220333099,0.545199155807495,-9999,-9999,0.54413115978241,0.572526574134827,0.596527874469757,0.624451100826263,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.535569548606873,0.556547224521637,-9999,-9999,-9999,0.565885603427887,0.513002157211304,0.475615382194519,0.44201797246933,0.424576342105865,0.402119040489197,0.34035137295723,0.27806231379509,0.275858610868454,0.298134744167328,0.31854784488678,0.325484454631805,0.325096428394318,0.309090077877045,0.314427733421326,0.317848950624466,0.324027836322784,0.241901636123657,0.000182188654434867,1.35580203277641E-05,1.66742802321096E-06,4.05910498102457E-07,3.73722559743328E-06,6.48419372737408E-05,0.000802689930424094,0.00663184653967619,0.315714120864868,0.360226273536682,0.335137873888016,0.301094263792038,0.254121005535126,0.261393874883652,0.291707158088684,0.311119943857193,0.32171642780304,0.357243031263351,0.342666387557983,0.295023620128632,0.314208388328552,0.340679675340652,0.333015501499176,0.342626512050629,0.356212317943573,0.360673159360886,0.347134292125702,0.379818916320801,0.403487712144852,0.411700010299683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
