"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Deep-water grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.01435827370733E-05,5.96782774664462E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.77021234878339E-05,0.000100141274742782,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.32850753088132E-07,1.55847430960421E-06,2.57070405496052E-06,4.0985601117427E-06,-9999,-9999,-9999,-9999,-9999,1.51248059410136E-05,2.18905879592057E-05,3.15211873385124E-05,4.50236948381644E-05,6.41417573206127E-05,9.12208342924714E-05,0.000129929961985908,0.000124408092233352,0.000119095820991788,0.000112722860649228,0.000163816279382445,0.000163747943588533,-9999,-9999,0.000121610130008776,0.000173050400917418,0.000249635777436197,0.000256521860137582,0.000409324304200709,0.000431255495641381,0.000446332880528644,0.000299555278616026,0.000289473566226661,0.000277405721135437,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.05574779608287E-07,1.55030784299015E-06,2.79545542980486E-06,4.73172531201271E-06,7.87831231718883E-06,1.37015695145237E-05,2.28654753300361E-05,-9999,3.68517976312432E-05,2.39923519984586E-05,2.28380358748836E-05,3.2273048418574E-05,4.59332113678101E-05,6.54394389130175E-05,9.28848094190471E-05,0.000131994704133831,0.000188156845979393,0.000180616916622967,0.000174124506884255,0.000168341939570382,0.00024308348656632,0.00023580358538311,0.000222388393012807,0.00030921126017347,0.000190054517588578,0.000262852729065344,0.000380185956601053,0.000390421831980348,0.000619128462858498,0.000651531736366451,0.000673956994432956,0.000453468004707247,0.000437610840890557,0.000410786480642855,0.000250536657404155,0.000153552799019963,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.44572686622269E-06,2.64924301518477E-06,5.26502526554395E-06,8.8286606114707E-06,1.41568934850511E-05,2.26510601351038E-05,3.63788531103637E-05,5.56337399757467E-05,5.52317542314995E-05,3.57494136551395E-05,3.38691206707153E-05,4.73211730422918E-05,6.65326952002943E-05,9.354356006952E-05,0.000131246124510653,0.00018596657901071,0.000265742040937766,0.000256864703260362,0.000248853320954368,0.000241465648286976,0.000348641333403066,0.000337901583407074,0.000323170330375433,0.000457164307590574,0.000288388051558286,0.000406015227781609,0.000592639553360641,0.00060279481112957,0.00676888320595026,0.00268995272926986,0.00115135370288044,0.000697955139912665,0.000683863589074463,0.000646005675662309,0.000394293398130685,0.000238060049014166,0.00014574195665773,9.16987846721895E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.57596332428511E-05,1.0687428584788E-05,7.27394808563986E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.16639618884074E-05,-9999,-9999,-9999,1.41303071359289E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.15060640079901E-06,6.47752221993869E-06,9.97031747829169E-06,-9999,5.6373330153292E-05,8.36032195365988E-05,8.23820009827614E-05,5.31206751475111E-05,5.01395916217007E-05,6.97038121870719E-05,9.73306814557873E-05,0.000135519876494072,0.000187593381269835,0.000264195026829839,0.000379603152396157,0.000370015477528796,0.000359867408405989,0.000349228444974869,0.000505470321513712,0.000491984013933688,0.000475613313028589,0.000685350212734193,0.000443491822807118,0.000634744646959007,0.00155107071623206,0.0452981293201447,0.0503544509410858,0.0419141389429569,0.0362944230437279,0.0116303879767656,0.00391738815233111,0.00116098474245518,0.000646529020741582,0.000395560404285789,0.0002386063861195,0.0001448606926715,9.28439476410858E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.29014021897456E-05,1.56591704580933E-05,1.07984178612242E-05,7.44302906241501E-06,5.08265020471299E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.10030884773005E-05,3.1480856705457E-05,-9999,-9999,3.06060028378852E-05,2.04007683350937E-05,-9999,-9999,2.81399352388689E-05,1.91844810615294E-05,-9999,-9999,-9999,-9999,-9999,3.6388446460478E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.46441980684176E-05,0.000123962963698432,0.0001214470830746,7.79060283093713E-05,7.35307476134039E-05,0.000102216952654999,0.000142187855090015,0.000196085980860516,0.00026808405527845,0.000376523414161056,0.000543608039151877,0.000533752026967704,0.000522548449225724,0.000509408302605152,0.000740982824936509,0.000725557911209762,0.000706673716194928,0.00109604396857321,0.000669993925839663,0.020314883440733,0.055107619613409,0.0487040467560291,0.0311026703566313,0.0359253473579884,0.0523294322192669,0.0444371774792671,0.0242608040571213,0.00437078438699245,0.000694431306328624,0.000651536858640611,0.000393978349165991,0.000234725113841705,0.000146071804920211,9.55737705226056E-05,-9999,-9999,-9999,-9999,-9999,4.23297533416189E-05,3.01306463370565E-05,3.20213948725723E-05,2.2443102352554E-05,1.56891619553789E-05,1.09048860394978E-05,7.51348670746665E-06,5.12424139742507E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.15941963688238E-05,2.16476382774999E-05,-9999,-9999,-9999,-9999,2.99481216643471E-05,3.01522013614886E-05,4.47376187366899E-05,4.38352726632729E-05,4.34885878348723E-05,4.34332032455131E-05,2.83431199932238E-05,4.03885787818581E-05,4.0003600588534E-05,4.04368038289249E-05,-9999,4.46918893430848E-05,4.54045730293728E-05,-9999,-9999,5.26369112776592E-05,5.31995938217733E-05,5.32337362528779E-05,5.32198573637288E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.35749750270043E-05,7.99504050519317E-05,-9999,-9999,-9999,0.000178178379428573,0.00017395245959051,0.000111885870865081,0.000106234001577832,0.000147684520925395,0.000203657138627023,0.000276932871202007,0.000376926647732034,0.000530114397406578,0.000770078913774341,0.000764465890824795,0.00075814756564796,0.000746677920687944,0.00115051213651896,0.00120146980043501,0.000700009462889284,0.00138473976403475,0.014888783916831,0.0514550171792507,0.0511797219514847,0.0358832366764545,0.0387535355985165,0.0374237187206745,0.0404992923140526,0.0406706184148788,0.0360494032502174,0.00814855098724365,0.00201706774532795,0.00115903315600008,0.000628725392743945,0.000378476805053651,0.000232853475608863,0.000147241647937335,9.47068183450028E-05,6.2168859585654E-05,6.27848276053555E-05,4.52523599960841E-05,4.97819601150695E-05,5.63660651096143E-05,4.22227349190507E-05,4.53017091786023E-05,3.21337065543048E-05,2.26241227210267E-05,1.58352813741658E-05,1.10110595414881E-05,7.60479315431439E-06,5.20297544426285E-06,3.52127085534448E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
