"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Dusky shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.78938158671372E-05,7.39657189114951E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000104158811154775,0.000117511852295138,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.17231694882503E-06,6.31036709819455E-06,9.55379709921544E-06,1.43971810757648E-05,-9999,-9999,-9999,-9999,-9999,0.00138776074163616,0.00131112255621701,0.000591306597925723,0.000502533803228289,0.000355388823663816,0.000424708414357156,0.000828715041279793,0.00147850776556879,0.00112678285222501,0.00015579946921207,0.000171973253600299,0.00109613582026213,-9999,-9999,0.00134639895986766,0.00150689959991723,0.00132716842927039,0.0014183041639626,0.00175445876084268,0.00191157148219645,0.00185798457823694,0.00185789400711656,0.0016521941870451,0.00138206838164479,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.12339750255342E-06,6.24171252638916E-06,9.50667526922189E-06,1.444914687454E-05,2.1935258700978E-05,3.35245822498109E-05,5.1240003813291E-05,-9999,0.000179116817889735,0.00127868517301977,0.00162129919044673,0.00182175624649972,0.0019869189709425,0.00202862522564828,0.000494837702717632,0.000915554643142968,0.00184414675459266,0.00191500189248472,0.00168765790294856,0.00153917178977281,0.00154162780381739,0.00131531921215355,0.00157520070206374,0.00173920928500593,0.00197697477415204,0.00258188811130822,0.00333290454000235,0.00404948787763715,0.00401650136336684,0.00411304878070951,0.00422006938606501,0.00432695262134075,0.00453672092407942,0.0039087631739676,0.00234094425104558,0.00180182233452797,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.169704192871E-06,9.37202912609791E-06,1.43837787618395E-05,2.18743152800016E-05,3.32152849296108E-05,5.10901882080361E-05,8.14424856798723E-05,0.000129117397591472,0.000212652637856081,0.000811419798992574,0.00194381969049573,0.00194015563465655,0.00235355249606073,0.00275539071299136,0.00319023849442601,0.00335564068518579,0.00313013000413775,0.00333731388673186,0.00353578245267272,0.00303314626216888,0.0029875070322305,0.00285021541640162,0.00295533635653555,0.0038688057102263,0.00408437289297581,0.00441044103354216,0.00486647477373481,0.00583736691623926,0.0101903695613146,0.00823760498315096,0.00668436987325549,0.00657832715660334,0.00620256084948778,0.00583099573850632,0.00499850977212191,0.00423315912485123,0.00295599037781358,0.00173459469806403,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00184705958236009,0.00185301003511995,0.0018591022817418,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000503931078128517,-9999,-9999,-9999,0.000958864053245634,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.79581182036782E-06,1.47610089697991E-05,2.21985574171413E-05,-9999,6.2079110648483E-05,9.97658644337207E-05,0.000172490821569227,0.000266719609498978,0.00178872584365308,0.00196750834584236,0.00206490326672792,0.00185918645001948,0.0028451366815716,0.00454196147620678,0.0052841673605144,0.005300706718117,0.00533051416277885,0.00486972462385893,0.00454073352739215,0.00489228591322899,0.00524808140471578,0.00524313561618328,0.00523354392498732,0.00545331463217735,0.00746104260906577,0.0147219458594918,0.0156666152179241,0.0153644224628806,0.0133515503257513,0.0109810484573245,0.00957806780934334,0.00738566322252154,0.00588151160627604,0.00553470896556973,0.00431360816583037,0.003280327655375,0.00183819641824812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00198972271755338,0.00219355965964496,0.0020234293770045,0.00192045525182039,0.00187404197640717,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000428004917921498,0.000722989905625582,-9999,-9999,0.000725124264135957,0.00114397972356528,-9999,-9999,0.0014632293023169,0.00168451212812215,-9999,-9999,-9999,-9999,-9999,0.000127072547911666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.99512888281606E-05,0.000141711789183319,0.000247638497967273,0.000247639516601339,0.00146108469925821,0.00181642000097781,0.00176856538746506,0.00166258064564317,0.00252323457971215,0.00471725407987833,0.00657650223001838,0.00733144674450159,0.00720139127224684,0.00677442224696279,0.00634813215583563,0.00633364683017135,0.00644285371527076,0.00667465571314096,0.00648659840226173,0.0117153786122799,0.0156866610050201,0.0157545898109674,0.0156122138723731,0.0154510932043195,0.0152771435678005,0.0142987938597798,0.013243586756289,0.00984705612063408,0.00719462707638741,0.00659277010709047,0.00562648894265294,0.00440884148702025,0.00312031432986259,0.00185722333844751,-9999,-9999,-9999,-9999,-9999,0.00191854941658676,0.00196692091412842,0.00236461218446493,0.00263792183250189,0.00252960086800158,0.00227928371168673,0.0021052488591522,0.00187772721983492,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000316471268888563,0.00022110331337899,-9999,-9999,-9999,-9999,0.00111975241452456,0.00108569068834186,0.000391207344364375,0.0011228839866817,0.000365988205885515,0.000659438490401953,0.00174373749177903,0.00202809949405491,0.00174157600849867,0.00152124464511871,-9999,0.00136838329490274,0.00117692968342453,-9999,-9999,0.000443856086349115,0.000173712091054767,0.000122160374303348,8.16735118860379E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000530033255927265,0.000151219617691822,-9999,-9999,-9999,0.000186376651981845,0.00147872697561979,0.00157210614997894,0.00185914256144315,0.00179690041113645,0.0017102804267779,0.00180516962427646,0.00278614019043744,0.00474543310701847,0.00730937905609608,0.00808375515043736,0.0081019988283515,0.00750012835487723,0.00748194102197886,0.00759372813627124,0.00726922694593668,0.00747250020503998,0.0114649282768369,0.0159481018781662,0.0158775914460421,0.0157165676355362,0.0155497621744871,0.0153920399025083,0.0152759207412601,0.0152195859700441,0.0147836524993181,0.010659733787179,0.00827272050082684,0.00729121314361691,0.00606261985376477,0.00481503829360008,0.00383294676430523,0.00199484219774604,0.00137534714303911,0.000465705670649186,0.000242449546931311,0.000396833493141457,0.00231392495334148,0.00282336003147066,0.00313935149461031,0.00332515290938318,0.00322912447154522,0.00320762814953923,0.0029997059609741,0.00263658119365573,0.00210436573252082,0.00187218538485467,0.00187350041233003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
