"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Gag grouper (0-3yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.81465144225513E-06,7.81144535721978E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.39080746320542E-06,1.06822253655992E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.36323379251735E-07,2.07363981985509E-07,3.18147186817441E-07,4.86830515455949E-07,-9999,-9999,-9999,-9999,-9999,9.65523850027239E-06,1.17775634862483E-05,1.46301435961504E-05,1.45032463478856E-05,1.41581149364356E-05,1.68745700648287E-05,1.96986820810707E-05,2.671558286238E-05,1.98628076759633E-05,1.56272817548597E-05,1.81066698132781E-05,1.99886671907734E-05,-9999,-9999,4.13304442190565E-05,6.70807203277946E-05,5.42831367056351E-05,6.87687206664123E-05,0.000157700313138776,0.000179839247721247,0.000170357845490798,0.000194461899809539,0.000122741490486078,7.21034884918481E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.33811980163046E-07,2.02879988364657E-07,3.11307331912758E-07,4.83262340367219E-07,7.59875206313154E-07,1.21479331482988E-06,1.88998365047155E-06,-9999,4.36229947808897E-06,8.32101704872912E-06,1.28498841149849E-05,1.89214151760098E-05,2.73213263426442E-05,2.77665822068229E-05,2.6782605345943E-05,3.03939104924211E-05,3.2553758501308E-05,4.66229430458043E-05,3.57051212631632E-05,3.45020453096367E-05,3.23356434819289E-05,2.59962653217372E-05,5.0839389587054E-05,8.0352408986073E-05,0.000132119210320525,0.000253408245043829,0.000403804006054997,0.000457286048913375,0.000443263037595898,0.000449037353973836,0.000442177406512201,0.000401449913624674,0.000482052389997989,0.000477693567518145,0.000304100365610793,0.000160556388436817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.99452472315897E-07,3.02762344972507E-07,4.66614750394001E-07,7.2523869221186E-07,1.14328190647939E-06,1.84080499820993E-06,2.92120148515096E-06,4.24926383857382E-06,6.11058203503489E-06,1.1111887943116E-05,1.90538357855985E-05,2.89540239464259E-05,5.63594767299946E-05,0.000107111758552492,0.000165813471539877,0.000219785724766552,0.000210790924029425,0.000259482592809945,0.000291177915642038,0.000263285124674439,0.000259398948401213,0.000250537996180356,0.000275089085334912,0.000392613641452044,0.00041651027277112,0.000461638643173501,0.000425606587668881,0.000454313063528389,0.000319769111229107,0.000424292404204607,0.000449528190074489,0.000493228668347001,0.000436411733971909,0.000502605980727822,0.000493441126309335,0.000475790147902444,0.000321879721013829,0.000131576496642083,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.93304585991427E-05,2.41921261476818E-05,1.71072624652879E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.70750944966858E-06,-9999,-9999,-9999,4.33371405961225E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.14267481371644E-07,4.80278742998053E-07,7.35127230200305E-07,-9999,2.1961604943499E-06,3.25757855534903E-06,4.70504710392561E-06,7.11187885826803E-06,1.36357111841789E-05,2.29362849495374E-05,3.29851973219775E-05,3.94738053728361E-05,0.000172989821294323,0.0003444041358307,0.00036310069845058,0.00038124862476252,0.000416632421547547,0.00050260842544958,0.000459553673863411,0.000483448558952659,0.000483854644699022,0.000485577678773552,0.00042087965994142,0.000418519368395209,0.000366582680726424,1.87617624760605E-05,2.16751868720166E-05,2.1833073333255E-05,7.66261873650365E-05,0.000287321803625673,0.00032586490851827,0.000390784058254212,0.000432633445598185,0.000485138763906434,0.000448455044534057,0.000377731135813519,0.000127218183479272,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.91560627374565E-05,3.94607050111517E-05,2.32356796914246E-05,2.2519527192344E-05,1.75422828760929E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.28159625901026E-06,5.48586194781819E-06,-9999,-9999,6.12711028225021E-06,6.3484308157058E-06,-9999,-9999,6.35107380730915E-06,4.26373662776314E-06,-9999,-9999,-9999,-9999,-9999,4.5818983380741E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.9955008358229E-06,4.9551235861145E-06,4.22157427237835E-06,6.14837563261972E-06,1.06290281109978E-05,1.57849954121048E-05,2.11515925911954E-05,2.31744015763979E-05,0.00012202316429466,0.000251396471867338,0.000268625182798132,0.000308522081468254,0.000353191047906876,0.000430820713518187,0.000427562452387065,0.000438820949057117,0.000451325468020514,0.000452806241810322,0.000390038738260046,0.000209932739380747,1.7189267964568E-05,1.56616133608622E-05,1.89684360520914E-05,2.2296107999864E-05,3.28692294715438E-05,2.84668985841563E-05,6.22801453573629E-05,0.00026595575036481,0.00035800933255814,0.000412909226724878,0.000471581937745214,0.000480002694530413,0.000354332238202915,0.000111257380922325,-9999,-9999,-9999,-9999,-9999,3.42019739036914E-05,3.94187445635907E-05,6.49255089228973E-05,9.11043462110683E-05,7.50917170080356E-05,4.35750735050533E-05,2.60056749539217E-05,1.86313973244978E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.65534663412836E-06,3.94933977077017E-06,-9999,-9999,-9999,-9999,8.12652888271259E-06,8.53803067002445E-06,9.8720829555532E-06,1.27285538837896E-05,1.47737109728041E-05,1.06070701804128E-05,1.19124433695106E-05,1.7150692656287E-05,1.44616760735516E-05,1.08508284029085E-05,-9999,8.36630169942509E-06,8.47467072162544E-06,-9999,-9999,7.90557442087447E-06,7.19603713150718E-06,5.87731892665033E-06,6.217182999535E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.36074242315954E-06,6.57803775538923E-06,-9999,-9999,-9999,7.94068182585761E-06,6.75330466037849E-06,9.70897781371605E-06,1.50146306623355E-05,2.045704604825E-05,2.82471191894729E-05,3.25534529110882E-05,0.000175354260136373,0.000236959647736512,0.000255006685620174,0.000277494254987687,0.000324505032040179,0.000361226208042353,0.000424107012804598,0.000395173410652205,0.000381217047106475,0.000368788430932909,0.000218269735341892,1.40351266963989E-05,1.46818028952111E-05,1.35231757667498E-05,1.61535117513267E-05,1.8193723008153E-05,2.86151789623545E-05,2.83407698589144E-05,2.96805756079266E-05,0.000240665744058788,0.000349105626810342,0.000423027202486992,0.000484927004436031,0.000536738021764904,0.000455732602858916,0.000125728605780751,2.4557943106629E-05,1.79502731043613E-05,1.38968516694149E-05,2.47714106080821E-05,9.2596652393695E-05,0.000174390079337172,0.000198635389097035,0.000229934623348527,0.000178890972165391,0.000129008112708107,0.000104978847957682,8.55996186146513E-05,2.38952998188324E-05,2.13506955333287E-05,1.54437093442539E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
