"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Gag grouper (3+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0011288815876469,0.00113239558413625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00152210693340749,0.00153946736827493,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.15979923975829E-06,1.22249275591457E-06,1.32581976686197E-06,1.43995930557139E-06,-9999,-9999,-9999,-9999,-9999,6.15037833995302E-06,1.21246730486746E-05,3.03931756207021E-05,0.000105956270999741,0.000309528026264161,0.000617709767539054,0.000866498216055334,0.00117436307482421,0.00148424634244293,0.00176962988916785,0.00185399421025068,0.00181874632835388,-9999,-9999,0.00188968284055591,0.00208568153902888,0.00202940287999809,0.00198940234258771,0.0019438179442659,0.00190765876322985,0.0018683448433876,0.00183957512490451,0.00181225873529911,0.00180708221159875,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.14302895326546E-06,1.18769685286679E-06,1.28028204926522E-06,1.43207159908343E-06,1.67878965839918E-06,2.12726104109606E-06,2.56736689152604E-06,-9999,5.25064797329833E-06,6.60812384012388E-06,1.3504407434084E-05,3.09627503156662E-05,9.28916415432468E-05,0.000230401143198833,0.000500883208587766,0.000854158250149339,0.00108671875204891,0.00138286221772432,0.00167057383805513,0.00189244968350977,0.00202085869386792,0.00202684546820819,0.001862708828412,0.00182740297168493,0.00189487542957067,0.00241835508495569,0.00421631103381515,0.00589520670473576,0.00529310153797269,0.00546187907457352,0.00539593724533916,0.004459448158741,0.00615157932043076,0.00483255041763186,0.00220374623313546,0.00165903905872256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.16769069791189E-06,1.22774042665696E-06,1.34229503601091E-06,1.51823462601897E-06,1.81504799456889E-06,2.40578947341419E-06,3.36557445734798E-06,4.84714064441505E-06,6.96840106684249E-06,1.7649832443567E-05,4.24427271354944E-05,0.000118038515211083,0.000264338334091008,0.000493935192935169,0.000844678899738938,0.00134432385675609,0.00134567194618285,0.00191097229253501,0.00270628207363188,0.0025426265783608,0.0025601873639971,0.00253089889883995,0.00260295229963958,0.0047481725923717,0.00545463152229786,0.00679573882371187,0.00669257715344429,0.0089024156332016,0.0116135673597455,0.0110656712204218,0.0091584101319313,0.00948067847639322,0.00797277223318815,0.00871661957353354,0.00749732181429863,0.00616622343659401,0.00266043771989644,0.00145499571226537,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000601937412284315,0.000524830480571836,0.000370701542124152,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.04178228261299E-06,-9999,-9999,-9999,6.96351708029397E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.34505182813882E-06,1.45567264553392E-06,1.60002616667043E-06,-9999,4.16903412769898E-06,5.91547996009467E-06,1.07062505776412E-05,3.78727345378138E-05,0.000131016087834723,0.000280700827715918,0.000510798068717122,0.000811711128335446,0.00110954139381647,0.0026275273412466,0.00341450027190149,0.00384453777223825,0.00473208492621779,0.00559154246002436,0.0050138640217483,0.0063238930888474,0.00762949977070093,0.00808765552937984,0.00737621448934078,0.00791451428085566,0.0105986734852195,0.0101323565468192,0.00752981891855597,0.00979249458760023,0.0117875998839736,0.0114635564386845,0.0100653916597366,0.00947520788758993,0.00836409348994493,0.00877489056438208,0.00585106620565057,0.0036352111492306,0.00164325954392552,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00085005204891786,0.000721632619388402,0.000494235602673143,0.000364609353709966,0.000249786739004776,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.3307995434152E-05,2.39264318224741E-05,-9999,-9999,2.28565222641919E-05,2.31195790547645E-05,-9999,-9999,3.43357060046401E-05,1.20497552416055E-05,-9999,-9999,-9999,-9999,-9999,1.39006324388902E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.55347435490694E-06,6.28034104011022E-06,1.42561229949933E-05,7.58275200496428E-05,0.000246204377617687,0.000455269182566553,0.000718651863280684,0.000990580418147147,0.00111603701952845,0.00217742612585425,0.00383959547616541,0.0056067081168294,0.0066107758320868,0.00771381892263889,0.00742888264358044,0.00809409283101559,0.00904601532965899,0.0099139166995883,0.00856192875653505,0.0127542465925217,0.00776946032419801,0.00129684642888606,0.00137210381217301,0.00521235074847937,0.0106913587078452,0.0115500018000603,0.00996049586683512,0.00976390112191439,0.00893327314406633,0.00948639214038849,0.00882405042648315,0.00683194119483232,0.00346695980988443,0.00206233933568001,-9999,-9999,-9999,-9999,-9999,0.00140187761280686,0.00125369394663721,0.00129613082390279,0.00107689271681011,0.000661219004541636,0.000494926469400525,0.000343875406542793,0.000245748145971447,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.64668163558235E-06,1.14016775114578E-05,-9999,-9999,-9999,-9999,7.96864405856468E-05,8.37867337395437E-05,8.54381578392349E-05,8.92514508450404E-05,9.67708911048248E-05,7.33315318939276E-05,8.20929853944108E-05,0.000110139502794482,0.000120716955279931,0.000163162767421454,-9999,0.000389792956411839,0.000394498085370287,-9999,-9999,0.000286109920125455,0.000224294082727283,0.000151239160913974,9.94848596747033E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.16401996719651E-06,1.83239772013621E-05,-9999,-9999,-9999,0.00101573346182704,0.000620351755060256,0.000502885668538511,0.00063111400231719,0.000879497732967138,0.00120628159493208,0.00147278828080744,0.00165197043679655,0.00267250137403607,0.00527905346825719,0.00669650733470917,0.00776580534875393,0.00791603606194258,0.00913686584681273,0.00905393157154322,0.00857891328632832,0.00880212336778641,0.0111860912293196,0.00290452688932419,0.00164824782405049,0.00163465039804578,0.00166398915462196,0.00179351679980755,0.00389730324968696,0.00933980010449886,0.0105689289048314,0.0106173139065504,0.00960935559123755,0.0101668946444988,0.0100702596828341,0.00889004580676556,0.00599774718284607,0.00217372854240239,0.0019366682972759,0.00180222245398909,0.00159442599397153,0.00170480238739401,0.00183976360131055,0.00210915389470756,0.00199398887343705,0.00222465628758073,0.00149543338920921,0.00100652303081006,0.000708245672285557,0.000481182622024789,0.000354301300831139,0.00024733497411944,0.000172378364368342,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
