"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Goliath grouper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.95010122499662E-05,2.90744937956333E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.97095861646812E-05,4.88374353153631E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.83331506934337E-07,8.72943132890214E-07,1.37719609938358E-06,2.51954566010681E-06,-9999,-9999,-9999,-9999,-9999,4.19588359363843E-05,4.87067518406548E-05,5.8664518292062E-05,6.56761549180374E-05,7.66464800108224E-05,8.41880028019659E-05,8.65585243445821E-05,9.08903894014657E-05,8.67635608301498E-05,8.69957148097456E-05,8.4273298853077E-05,8.43820598674938E-05,-9999,-9999,0.000122694022138603,0.000130257685668766,0.000122394863865338,0.000134903501020744,0.000201961942366324,0.000223568713408895,0.000220171292312443,0.00025564109091647,0.00016898057947401,0.000130466825794429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.45057184556208E-07,8.4463368921206E-07,1.50518121699861E-06,3.01291538562509E-06,4.63379274151521E-06,8.10973597253906E-06,1.29186810227111E-05,-9999,3.03290544252377E-05,4.25916368840262E-05,6.51767768431455E-05,8.34253587527201E-05,0.000112134948722087,0.000129067033412866,0.000132829474750906,0.00015847641043365,0.000170140381669626,0.000188618607353419,0.000170185478054918,0.000174849294126034,0.000165285280672833,0.000159048897330649,0.000172926564118825,0.000216180647839792,0.000234811624977738,0.000264675909420475,0.000288487615762278,0.000330530310748145,0.000335393589921296,0.00036247938987799,0.000360671954695135,0.000332809082465246,0.000334490963723511,0.000307532667648047,0.000240809400565922,0.000174717424670234,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.91234867847379E-07,1.4473637293122E-06,3.41191389452433E-06,5.31910609424813E-06,8.69724135554861E-06,1.3004932043259E-05,2.10987745958846E-05,3.27538764395285E-05,4.25285070377868E-05,6.7143642809242E-05,0.000107043262687512,0.000151825035572983,0.000209994861506857,0.000237721964367665,0.0002825953415595,0.000339397403877228,0.000340601545758545,0.000355592288542539,0.000347934110322967,0.000368981214705855,0.000338312354870141,0.000338890473358333,0.000338408804964274,0.000399227952584624,0.000402317760745063,0.000383363018045202,0.000330974929966033,0.000399296230170876,0.000368633976904675,0.000425133010139689,0.000424565048888326,0.000429023028118536,0.000362362305168062,0.00037074412102811,0.000313956348691136,0.000275556783890352,0.000183008160092868,0.000119442578579765,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.69043176155537E-05,8.13712904346175E-05,6.78962387610227E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.23222177737625E-05,-9999,-9999,-9999,2.57161573244957E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.79491018773115E-06,4.18010586145101E-06,6.56193105896818E-06,-9999,2.126551407855E-05,3.24645880027674E-05,4.07606530643534E-05,5.87260292377323E-05,9.60786928771995E-05,0.000163727963808924,0.000217965003685094,0.000192902210983448,0.000309481227304786,0.000392249930882826,0.000431576743721962,0.000462928612250835,0.000466129276901484,0.000521196343470365,0.000464988988824189,0.00050689623458311,0.000468806218123063,0.000467287638457492,0.000428033410571516,0.000435247929999605,0.000398009840864688,8.80142033565789E-05,7.14357374818064E-05,7.19395538908429E-05,0.000259067310253158,0.000417186238337308,0.000373591261450201,0.000381620047846809,0.000354806077666581,0.000345589069183916,0.000270629650913179,0.000205169781111181,0.000132478802697733,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000182410803972743,0.000189792641322128,0.000130546744912863,9.31465547182597E-05,7.38646267564036E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.93250738852657E-05,3.96101459045894E-05,-9999,-9999,4.61754061689135E-05,4.33668901678175E-05,-9999,-9999,3.75193849322386E-05,2.50002558459528E-05,-9999,-9999,-9999,-9999,-9999,2.61101849901024E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.40154167840956E-05,3.63117760571185E-05,4.47270322183613E-05,5.83360524615273E-05,8.99560618563555E-05,0.000127753228298388,0.000153956672875211,0.00016473863797728,0.000288121431367472,0.00035009061684832,0.000380050914827734,0.000435644178651273,0.000470434199087322,0.000510713958647102,0.000479989190353081,0.000496582360938191,0.000479449110571295,0.000499194662552327,0.000475204782560468,0.000422103330492973,7.17987495590933E-05,6.33706004009582E-05,5.27118609170429E-05,5.44434733456001E-05,6.70829613227397E-05,0.000134721689391881,0.000221219917875715,0.000356691947672516,0.000372833921574056,0.000374426163034514,0.000345978711266071,0.000290166703052819,0.000214232044527307,0.000155355388415046,-9999,-9999,-9999,-9999,-9999,0.000205899181310087,0.000226084594032727,0.000297670776490122,0.000310445786453784,0.000251976773142815,0.000189462312846445,0.000147969461977482,9.03576219570823E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.72034807899036E-05,5.12056576553732E-05,-9999,-9999,-9999,-9999,5.97617327002808E-05,6.41207952867262E-05,6.92120665917173E-05,0.000108388529042713,9.28858789848164E-05,7.53751155571081E-05,7.28042068658397E-05,0.000102276746474672,8.03517759777606E-05,5.96589779888745E-05,-9999,4.18515046476386E-05,4.55837798654102E-05,-9999,-9999,4.83137773699127E-05,3.73498151020613E-05,3.45317894243635E-05,3.50564841937739E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.90783248399384E-05,3.01278669212479E-05,-9999,-9999,-9999,4.44184588559438E-05,5.17601947649382E-05,6.35253309155814E-05,9.27084984141402E-05,0.000116313036414795,0.000162254844326526,0.000193321408005431,0.000349657260812819,0.000354012823663652,0.000386270723538473,0.000436082162195817,0.000490380509290844,0.000479456211905926,0.000503174378536642,0.000467473379103467,0.000447087397333235,0.00046184379607439,0.000416700990172103,6.93235051585361E-05,5.31459954800084E-05,4.44952129328158E-05,3.68697692465503E-05,3.8287449569907E-05,5.22976843058132E-05,6.70223962515593E-05,6.61805752315558E-05,0.000384149985620752,0.000394823407987133,0.000414031441323459,0.000406233855756,0.000376464653527364,0.000289315066765994,0.000181628318387084,8.83110187714919E-05,6.6522006818559E-05,7.34243440092541E-05,0.000126169936265796,0.000233943705097772,0.000307055306620896,0.000356691773049533,0.000397812254959717,0.000364786566933617,0.00032837621984072,0.000300739193335176,0.00027801442774944,0.000166102385264821,9.34732015593909E-05,5.76024867768865E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
