"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Infauna

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.8257102966309,31.9270763397217,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.3697624206543,31.7517852783203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.67684374901E-05,3.28260757669341E-05,3.25919208989944E-05,3.24934189848136E-05,-9999,-9999,-9999,-9999,-9999,34.8808670043945,34.9569358825684,35.2225303649902,34.4864196777344,34.8586502075195,33.8887672424316,32.1350021362305,29.8099937438965,29.8850250244141,31.5523490905762,30.3239593505859,28.3105087280273,-9999,-9999,18.7961387634277,18.4024085998535,18.5815410614014,18.7140426635742,19.7622623443604,20.0013942718506,20.7790985107422,19.7432441711426,19.8479995727539,19.0250663757324,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.67197995324386E-05,5.39342727279291E-05,0.0249544810503721,0.0246629621833563,0.0246042031794786,0.0515853688120842,37.2078819274902,-9999,35.865364074707,34.6687431335449,33.9165840148926,33.0001525878906,32.2819862365723,32.4749488830566,32.7765007019043,31.9485321044922,29.8867835998535,27.7399826049805,25.5520324707031,28.5799293518066,28.2572422027588,28.0205497741699,22.9211673736572,21.0558815002441,20.0090141296387,18.387357711792,16.9573726654053,18.3449974060059,19.6195106506348,19.9962520599365,19.7066402435303,19.5361766815186,19.3735618591309,19.0081672668457,16.4243869781494,10.7748460769653,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.82094112865161E-05,0.0288806669414043,38.303596496582,38.0255928039551,38.0456466674805,38.1155815124512,37.4669342041016,36.7473793029785,36.4201278686523,34.8525695800781,32.9044342041016,31.3900489807129,26.9674129486084,26.2848129272461,24.0907077789307,22.8378753662109,22.117748260498,20.5498142242432,19.9535236358643,20.5119190216064,20.5592079162598,20.7331962585449,20.479808807373,19.7001934051514,19.14501953125,18.3139324188232,17.1007213592529,19.2524127960205,21.8297595977783,22.1009311676025,21.5373497009277,21.0470943450928,20.5904655456543,19.412052154541,16.3471736907959,10.6492872238159,8.82789897918701,12.8349361419678,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.8918380737305,24.8595409393311,26.426685333252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.455207824707,-9999,-9999,-9999,32.9076156616211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.4847869873047,37.6663017272949,37.7781829833984,-9999,38.0488929748535,37.4048919677734,36.3236885070801,35.0261993408203,32.6858978271484,30.9779415130615,26.1636581420898,25.5084362030029,23.2018508911133,21.6036605834961,20.4418983459473,19.7765636444092,19.5029106140137,19.4535427093506,19.5734539031982,19.6330127716064,19.8202419281006,19.71262550354,19.8452110290527,20.6408767700195,21.5187530517578,29.6544227600098,32.0057182312012,34.4488296508789,29.0010585784912,24.644172668457,22.8669281005859,21.1340408325195,19.5874366760254,18.3636264801025,16.0700759887695,11.6365213394165,14.6813697814941,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.6762466430664,21.864372253418,25.5253658294678,27.1000194549561,23.4406280517578,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.8450584411621,31.7340450286865,-9999,-9999,32.865406036377,32.4036293029785,-9999,-9999,29.0203971862793,30.4415416717529,-9999,-9999,-9999,-9999,-9999,34.1792221069336,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.8462524414063,38.0661735534668,36.8023338317871,35.1330757141113,32.9261741638184,31.1865291595459,30.6939697265625,24.3241577148438,22.4513835906982,21.2368316650391,20.4542713165283,20.2347869873047,20.1014881134033,19.7173004150391,19.6550559997559,19.8829650878906,20.3223056793213,20.3681163787842,20.9127655029297,24.4888496398926,33.7749938964844,35.2748489379883,36.2240104675293,37.1126594543457,37.1091957092285,35.6893119812012,29.0345687866211,23.4456768035889,21.2105674743652,19.3887710571289,18.8381309509277,12.5012359619141,14.4528045654297,17.8546142578125,-9999,-9999,-9999,-9999,-9999,22.9781875610352,23.056978225708,22.4045352935791,22.7971534729004,22.8218669891357,21.4469337463379,21.0654048919678,22.4810066223145,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,31.7067127227783,32.001293182373,-9999,-9999,-9999,-9999,31.1349678039551,31.25315284729,31.6631240844727,31.2577953338623,32.150390625,32.7099494934082,32.0111198425293,30.0489616394043,28.3406600952148,28.7547206878662,-9999,31.5316333770752,33.125904083252,-9999,-9999,33.7104225158691,34.227237701416,34.6423568725586,34.9581451416016,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33.7170829772949,35.8287887573242,-9999,-9999,-9999,36.8538208007813,34.7054786682129,33.9278717041016,32.0284004211426,31.7279014587402,30.7062835693359,23.5789585113525,21.3992099761963,20.6761207580566,20.7132167816162,20.8578548431396,20.6673431396484,20.5183811187744,20.5834541320801,20.8585548400879,21.3290214538574,22.0183849334717,24.636116027832,35.2652473449707,35.4972381591797,36.5048866271973,37.3068962097168,37.686580657959,37.7058181762695,36.9833374023438,35.5783195495605,25.1626777648926,22.5309047698975,20.8208122253418,19.5441150665283,16.6658496856689,16.510274887085,17.6734275817871,17.3771133422852,17.6698474884033,18.8879127502441,19.2478694915771,18.2619647979736,20.6843795776367,22.3439273834229,22.987642288208,23.5741806030273,23.86572265625,23.4752712249756,22.1505279541016,19.6191368103027,16.7330226898193,17.2308502197266,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
