"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Inshore coastal piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0903081446886063,0.0881517007946968,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0983696579933167,0.0963968560099602,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0571097135543823,0.0632911026477814,0.0692553520202637,0.0740335583686829,-9999,-9999,-9999,-9999,-9999,0.13401435315609,0.128625273704529,0.124947175383568,0.127679362893105,0.126762583851814,0.119760796427727,0.105319038033485,0.0948622524738312,0.0945814847946167,0.0951869785785675,0.0945224016904831,0.0912713408470154,-9999,-9999,0.0706262066960335,0.0649797692894936,0.0606413334608078,0.0643036738038063,0.0694801434874535,0.0729792863130569,0.0758997648954391,0.0773223340511322,0.0727080628275871,0.0684663876891136,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0572164766490459,0.0652864053845406,0.0824039652943611,0.0938653349876404,0.104783825576305,0.128447413444519,0.167575746774673,-9999,0.161957815289497,0.150524631142616,0.133430704474449,0.122613318264484,0.121162429451942,0.120015516877174,0.114615604281425,0.109619133174419,0.0978770777583122,0.0900628715753555,0.089845135807991,0.0894469171762466,0.0881172046065331,0.0865126103162766,0.0821599960327148,0.0762282758951187,0.0692539438605309,0.0631670355796814,0.0549265258014202,0.0462832674384117,0.0491268783807755,0.0515327602624893,0.0539347007870674,0.0516680628061295,0.0402713380753994,0.0481377132236958,0.0519431382417679,0.0456418879330158,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0626521557569504,0.081246480345726,0.133866727352142,0.153209879994392,0.161329314112663,0.166924253106117,0.178818225860596,0.179206609725952,0.171516418457031,0.15084071457386,0.13143527507782,0.122916013002396,0.122458003461361,0.115372970700264,0.108920902013779,0.102162763476372,0.0946708768606186,0.0878266468644142,0.0865936428308487,0.0880788490176201,0.0866578370332718,0.0868097618222237,0.0843584388494492,0.0690300315618515,0.0581787824630737,0.0445189103484154,0.0287589523941278,0.0150998597964644,0.00749649107456207,0.00801511015743017,0.011350410990417,0.0119528705254197,0.0124317463487387,0.0142554063349962,0.0223030298948288,0.029453607276082,0.0410742312669754,0.043422032147646,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0899395793676376,0.0913935899734497,0.094132736325264,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.156592071056366,-9999,-9999,-9999,0.152752131223679,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.174587994813919,0.179911032319069,0.184159219264984,-9999,0.182826176285744,0.183637380599976,0.172204315662384,0.152713045477867,0.136817738413811,0.129657775163651,0.12364336848259,0.114858955144882,0.103600263595581,0.0835591033101082,0.060259971767664,0.0547563321888447,0.0519308783113956,0.0602342933416367,0.0658365786075592,0.05599095672369,0.0400115847587585,0.034077487885952,0.031701035797596,0.0220807958394289,0.0053956862539053,0.00494114868342876,0.00365620781667531,0.00409960094839334,0.0051129418425262,0.00514880241826177,0.00479071727022529,0.0042366529814899,0.010859108529985,0.0141434818506241,0.0285807494074106,0.0403422564268112,0.0453530997037888,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0903015732765198,0.0921903401613235,0.0962481647729874,0.0971349477767944,0.0970562100410461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.149427488446236,0.150435358285904,-9999,-9999,0.146404132246971,0.145344361662865,-9999,-9999,0.132312476634979,0.133053824305534,-9999,-9999,-9999,-9999,-9999,0.163033872842789,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.185440436005592,0.177164912223816,0.162522986531258,0.150310352444649,0.143014743924141,0.13225182890892,0.125242173671722,0.112930342555046,0.0989780426025391,0.075514130294323,0.0292132329195738,0.0155946398153901,0.0153547283262014,0.0180825740098953,0.0226710699498653,0.0186195373535156,0.0150167485699058,0.010034735314548,0.0100607238709927,0.00484487460926175,0.00294284545816481,0.001998798456043,0.00139718619175255,0.00168327358551323,0.00261576473712921,0.0030285706743598,0.00308456644415855,0.00303499517031014,0.0036963929887861,0.00614777393639088,0.0128337191417813,0.0284596644341946,0.0446489304304123,0.048531387001276,-9999,-9999,-9999,-9999,-9999,0.0827251523733139,0.0874289497733116,0.0897533893585205,0.092834047973156,0.0953228548169136,0.0960462465882301,0.0959915742278099,0.0954932644963264,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.157178610563278,0.157942235469818,-9999,-9999,-9999,-9999,0.139491051435471,0.141661405563354,0.13796778023243,0.129676148295403,0.12829264998436,0.130353733897209,0.125614047050476,0.114342570304871,0.115988925099373,0.125059098005295,-9999,0.141280636191368,0.142717868089676,-9999,-9999,0.15448571741581,0.160907834768295,0.168417111039162,0.174728229641914,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.145680800080299,0.154274806380272,-9999,-9999,-9999,0.15272730588913,0.148278042674065,0.146550387144089,0.137937530875206,0.129702135920525,0.121660329401493,0.107385106384754,0.0925938487052917,0.0684204772114754,0.0157982259988785,0.00733955111354589,0.0062928618863225,0.00788142997771502,0.00728257140144706,0.00582833867520094,0.00655945157632232,0.00456662941724062,0.00351984216831625,0.00208618701435626,0.00104364531580359,0.000803641392849386,0.000576040591113269,0.000682631100062281,0.00111141451634467,0.00149636645801365,0.00181616086047143,0.00195611244998872,0.00273018842563033,0.00375376339070499,0.00923873949795961,0.0240730997174978,0.0404118895530701,0.0510836243629456,0.0510065406560898,0.0518405809998512,0.0529796257615089,0.056408628821373,0.0623461566865444,0.0734316557645798,0.0813668221235275,0.0866884514689445,0.0914869830012321,0.0946070328354836,0.0956960693001747,0.0951910614967346,0.0959194004535675,0.0949275121092796,0.0943262279033661,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
