"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"King mackerel (0-1yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.36050322605297E-06,5.2548648454831E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.18936622029287E-06,6.60584373690654E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.63936975292745E-08,1.31440913264669E-07,2.0643156517508E-07,3.26178962950507E-07,-9999,-9999,-9999,-9999,-9999,4.33952700404916E-05,4.6825734898448E-05,4.29754691140261E-05,3.26130466419272E-05,2.18484001379693E-05,2.27311757043935E-05,5.47326744708698E-05,5.9115973272128E-05,5.34748178324662E-05,5.83995461056475E-06,2.80057720374316E-05,6.0679576563416E-05,-9999,-9999,7.60917828301899E-05,7.29326711734757E-05,1.75096138264053E-05,6.438203399739E-06,8.43638372316491E-06,1.02806870927452E-05,1.12391126094735E-05,1.00416764325928E-05,6.98983512847917E-06,3.81059703613573E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.25518640112932E-08,1.23437814636418E-07,1.88957002933421E-07,3.05783686371797E-07,5.18715239650192E-07,9.09921766378829E-07,1.49311779296113E-06,-9999,4.6287632358144E-06,5.07897602801677E-05,6.91840614308603E-05,0.000103162688901648,0.000128079351270571,0.000145504352985881,8.30906210467219E-05,0.000120621938549448,0.000131455177324824,0.000151686544995755,0.000146641221363097,0.000134221656480804,0.000144298232044093,0.000111543195089325,0.000209964928217232,0.000204595824470744,0.000150062667671591,6.39506179140881E-05,1.80175447894726E-05,7.29335715732304E-06,8.23507434688509E-06,8.51097684062552E-06,8.62701836013002E-06,7.94242441770621E-06,4.9553318604012E-06,9.23308289202396E-06,7.41444018785842E-05,9.50136964092962E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.20010341220222E-07,1.77105334842054E-07,2.71306106469638E-07,4.41140599605205E-07,7.61942828830797E-07,1.39136307097942E-06,2.37948802350729E-06,3.52150323124079E-06,4.38973074778914E-06,6.40546641079709E-05,0.000110327440779656,0.000141473996336572,0.000174089494976215,0.000194037842447869,0.000189244194189087,0.000178871705429628,0.000198611538507976,0.000153940491145477,0.000116601113404613,0.00017373678565491,0.000169454870047048,0.000175436129211448,0.00015251399599947,4.56864763691556E-05,1.32537707031588E-05,7.03906653143349E-06,4.99023371958174E-06,4.16603143094108E-06,3.73212174054061E-06,3.45961916536908E-06,3.66920676242444E-06,3.83507494916557E-06,3.59970908903051E-06,4.27503709943267E-06,5.97829239268322E-06,1.00347342595342E-05,2.88669780275086E-05,8.98338330443949E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.68678005947731E-05,5.73485449422151E-05,5.87938302487601E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.77931449090829E-05,-9999,-9999,-9999,6.41645165160298E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.85991339662905E-07,2.83334259165713E-07,4.45555770056671E-07,-9999,2.509058049327E-06,3.72264662473754E-06,5.37917503606877E-06,2.40456265601097E-05,9.28219524212182E-05,0.000149156752740964,0.000193767802556977,0.000229509547352791,0.000248329801252112,7.79153342591599E-05,6.23547603026964E-05,6.85439081280492E-05,5.79065672354773E-05,6.80063094478101E-05,7.45503857615404E-05,5.16282379976474E-05,2.57999836321687E-05,1.30092757899547E-05,8.11179870652268E-06,8.37518928165082E-06,8.01617625256767E-06,5.14133125761873E-06,1.03675984064466E-06,1.64711104844173E-06,6.05268405706738E-06,6.74990769766737E-06,5.65837035537697E-06,5.51397442904999E-06,6.12863595961244E-06,7.20817979527055E-06,8.6426507550641E-06,1.88076028280193E-05,6.33886738796718E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.70270853536204E-05,0.000104382161225658,9.39939709496684E-05,6.59919751342386E-05,6.67404892737977E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.29753274854738E-05,4.02282312279567E-05,-9999,-9999,4.58007743873168E-05,5.74642981518991E-05,-9999,-9999,7.76730012148619E-05,0.000129164473037235,-9999,-9999,-9999,-9999,-9999,1.0910564014921E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.58865372618311E-06,4.91477521791239E-06,1.00388715509325E-05,2.33712016779464E-05,7.49081809772179E-05,8.31436773296446E-05,9.46928266785108E-05,0.000122941462905146,0.000254899758147076,6.15226090303622E-05,3.460508378339E-05,4.035548408865E-05,2.55268387263641E-05,1.03292941275868E-05,8.83870598045178E-06,9.36974265641766E-06,1.01138593890937E-05,1.01251143860281E-05,9.24817049963167E-06,1.05672152130865E-05,1.53763789967343E-06,5.79978177484008E-07,2.25221000960119E-07,4.18594197526545E-07,1.29536340409686E-06,6.11468976785545E-06,6.91738932800945E-06,6.49291223453474E-06,5.4707047638658E-06,6.19559159531491E-06,6.50234005661332E-06,6.83537200529827E-06,2.26339088840177E-05,2.88337687379681E-05,-9999,-9999,-9999,-9999,-9999,4.31850203312933E-05,6.49373032501899E-05,8.78188875503838E-05,0.000113455571408849,0.000124504542327486,0.000128652900457382,0.000109710817923769,6.74262410029769E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.31274098041467E-05,2.30009591177804E-05,-9999,-9999,-9999,-9999,6.60100995446555E-05,5.9433910791995E-05,4.43927892774809E-05,9.51594338403083E-05,5.51464618183672E-05,8.71699157869443E-05,0.000130306929349899,0.00013281125575304,0.000136737289722078,9.27726578083821E-05,-9999,0.000101090481621213,9.38884331844747E-05,-9999,-9999,2.95188165182481E-05,1.25208571262192E-05,6.86876546751591E-06,4.2394531192258E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.55917493632296E-05,4.19487059843959E-06,-9999,-9999,-9999,8.07794185675448E-06,5.29192002431955E-05,5.81476924708113E-05,6.02530490141362E-05,6.24483800493181E-05,6.49917346891016E-05,0.000114416769065429,0.000147851911606267,2.31615758821135E-05,7.39449205866549E-06,7.44002772989916E-06,7.00859345670324E-06,6.1805585573893E-06,7.1436193138652E-06,7.92079845268745E-06,8.5932497313479E-06,1.01367077149916E-05,1.10376768134302E-05,7.74265686231956E-07,2.49281157493897E-07,7.3461627891902E-08,3.79707500997029E-08,7.07879124206556E-08,2.30850062621357E-07,6.485893777608E-07,4.07641800848069E-06,7.97367374616442E-06,7.62508807383711E-06,7.64787273510592E-06,7.51942889110069E-06,6.1044524954923E-06,9.81274024525192E-06,2.00115719053429E-05,5.69733128941152E-06,1.76284697772644E-06,1.04861541672108E-07,6.63515811538673E-06,3.05718640447594E-05,4.71344428660814E-05,6.10597489867359E-05,7.64511423767544E-05,0.000104904371255543,0.000114852547994815,0.000130386441014707,0.000133533772896044,0.000101557590824086,6.5363259636797E-05,6.72496898914687E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
