"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"King mackerel (1+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00475145690143108,0.0058344486169517,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00590805057436228,0.00724659347906709,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.81958297011442E-05,0.000120539079944137,0.000191712271771394,0.000305907247820869,-9999,-9999,-9999,-9999,-9999,0.0181140657514334,0.019504627212882,0.01750005222857,0.0155968395993114,0.0115071563050151,0.0120222019031644,0.0181154366582632,0.0268212202936411,0.024600388482213,0.00696846563369036,0.0172937717288733,0.0240322351455688,-9999,-9999,0.0174192171543837,0.0197150483727455,0.00442247465252876,0.00255318288691342,0.00673849834129214,0.00800605490803719,0.00816963147372007,0.00841584242880344,0.00599073292687535,0.00260772090405226,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.49917380744591E-05,0.00011348444968462,0.000176411107531749,0.000289997609797865,0.000501686823554337,0.000906138739082962,0.00152451114263386,-9999,0.00477146496996284,0.0163955129683018,0.0261533353477716,0.0409560799598694,0.0479620397090912,0.0434512011706829,0.0294997077435255,0.0304540190845728,0.0386405102908611,0.0625305622816086,0.058579795062542,0.0420053862035275,0.0435459725558758,0.0287123806774616,0.0468733943998814,0.0556397512555122,0.0514847114682198,0.0343102216720581,0.0229562539607286,0.0181766245514154,0.0166201237589121,0.0166061595082283,0.0169556401669979,0.0168596673756838,0.0173673667013645,0.0197527017444372,0.0284720249474049,0.0305097997188568,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000110065237095114,0.000164694953127764,0.000254067883361131,0.000421047996496782,0.000745308992918581,0.00141659192740917,0.00257239327766001,0.00404616165906191,0.00536406459286809,0.0251803062856197,0.0449781455099583,0.0575360953807831,0.0900639519095421,0.10186068713665,0.101784743368626,0.103689223527908,0.105264395475388,0.109804391860962,0.108529917895794,0.0984650775790215,0.0952157527208328,0.0888586342334747,0.0845324993133545,0.0754556879401207,0.056960042566061,0.045121755450964,0.0373836494982243,0.0317172519862652,0.0267675295472145,0.0259220339357853,0.0273585729300976,0.028118459507823,0.0285149980336428,0.0308859646320343,0.0353663824498653,0.0377448536455631,0.0367866568267345,0.031609021127224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0128766214475036,0.0150300599634647,0.0156077537685633,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0161749292165041,-9999,-9999,-9999,0.04330675303936,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000163946475367993,0.000261918146861717,0.00042341896914877,-9999,0.00278565566986799,0.00393313262611628,0.00514827715232968,0.0201550051569939,0.0348332710564137,0.0560770221054554,0.0755471810698509,0.0585155412554741,0.103151209652424,0.109463714063168,0.111078500747681,0.110134907066822,0.104657888412476,0.0967575237154961,0.0904778242111206,0.0860118046402931,0.080083891749382,0.0694356188178062,0.0595673881471157,0.054196871817112,0.0487142279744148,0.0272278673946857,0.000815186940599233,0.00725056789815426,0.0331656448543072,0.0385754816234112,0.0386599600315094,0.0391568429768085,0.0402158908545971,0.0409716479480267,0.0387678146362305,0.0326913297176361,0.0233577098697424,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0161948539316654,0.0277823526412249,0.0213870629668236,0.0182982869446278,0.0194700863212347,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0173742044717073,0.0196970757097006,-9999,-9999,0.0238679628819227,0.0327791273593903,-9999,-9999,0.0466010682284832,0.0764233618974686,-9999,-9999,-9999,-9999,-9999,0.00722888391464949,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00406173523515463,0.00499348388984799,0.00718794204294682,0.0204847268760204,0.0293031483888626,0.0314070768654346,0.0309532713145018,0.0284988898783922,0.0826475396752357,0.0906021818518639,0.0935380756855011,0.0920399203896523,0.084632620215416,0.0721405074000359,0.0676872655749321,0.066488616168499,0.065700463950634,0.0643334314227104,0.0632393434643745,0.0606227666139603,0.00361754116602242,0.000110478191345464,6.62328166072257E-05,0.000115659349830821,0.00481020612642169,0.0319653041660786,0.0407680422067642,0.0454123839735985,0.0440558418631554,0.0430468581616879,0.0407828502357006,0.0347624532878399,0.0243196338415146,0.0135993892326951,-9999,-9999,-9999,-9999,-9999,0.00773003604263067,0.012207018211484,0.0236267186701298,0.0354836322367191,0.0364151187241077,0.0332300141453743,0.0258465092629194,0.0174843203276396,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0157552845776081,0.0140076261013746,-9999,-9999,-9999,-9999,0.031856682151556,0.0258902031928301,0.0212795063853264,0.0381937101483345,0.0262283198535442,0.0351980477571487,0.0569033585488796,0.075900211930275,0.0625041201710701,0.0493091680109501,-9999,0.0472925193607807,0.0438844375312328,-9999,-9999,0.0169806834310293,0.00896933674812317,0.0059435204602778,0.00478959875181317,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0182125438004732,0.00657410174608231,-9999,-9999,-9999,0.00824857782572508,0.0262795817106962,0.0269406288862228,0.025994474068284,0.0256192944943905,0.0220285020768642,0.0270999129861593,0.0558345317840576,0.0583200752735138,0.0595006532967091,0.0609439797699451,0.0591176450252533,0.0560718327760696,0.0566586218774319,0.0585417225956917,0.0608369112014771,0.0642948746681213,0.066023588180542,0.000182571646291763,8.12303478596732E-05,2.2846845240565E-05,1.54522494995035E-05,2.55267386819469E-05,9.91540218819864E-05,0.001432791701518,0.0206829905509949,0.0518623553216457,0.0505864769220352,0.0481099411845207,0.0442996323108673,0.0367320068180561,0.0249198023229837,0.0114313708618283,0.00166195724159479,0.000617377401795238,0.000144670528243296,0.00120792107190937,0.00950070191174746,0.0162876397371292,0.0231250654906034,0.0298378430306911,0.0346158184111118,0.0359426327049732,0.0386109799146652,0.0375931560993195,0.0192793291062117,0.015657652169466,0.0164172984659672,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
