"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Large coastal sharks"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000195794869796373,0.000234965758863837,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00030815287027508,0.000383490871172398,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.17517292892444E-05,1.758056532708E-05,2.62686862697592E-05,3.92177425965201E-05,-9999,-9999,-9999,-9999,-9999,0.00308218039572239,0.00306685920804739,0.00134788756258786,0.00120907265227288,0.000819990877062082,0.000921361905056983,0.00203961879014969,0.00328067317605019,0.00275930436328053,0.000458176975371316,0.000575009733438492,0.00279096490703523,-9999,-9999,0.00284714763984084,0.0038284168113023,0.0033563687466085,0.0035126565489918,0.00673872139304876,0.00826613698154688,0.00770780025050044,0.00768366828560829,0.00539018725976348,0.00320995808579028,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.17434155981755E-05,1.75997010956053E-05,2.64220107055735E-05,3.95474671677221E-05,5.92598735238425E-05,8.97936915862374E-05,0.000137451352202334,-9999,0.000480136804981157,0.00304942950606346,0.00368192326277494,0.00469699315726757,0.00565140973776579,0.00574209401383996,0.00124688225332648,0.00277676270343363,0.00491100642830133,0.00537620345130563,0.00476534338667989,0.00423061195760965,0.00426188018172979,0.00349096744321287,0.00395625410601497,0.00560645805671811,0.00842840783298016,0.0174206029623747,0.030652217566967,0.0398004055023193,0.0396088361740112,0.0403025522828102,0.0409489125013351,0.041484396904707,0.0431551970541477,0.0372483469545841,0.0149378413334489,0.00742509495466948,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.7563063011039E-05,2.64051359408768E-05,3.98965385102201E-05,5.98193182668183E-05,8.98691650945693E-05,0.000137715760502033,0.000220839399844408,0.000345976004609838,0.000536265317350626,0.00249763345345855,0.00494471332058311,0.0050947736017406,0.00881233811378479,0.0130581147968769,0.018491106107831,0.0215881951153278,0.0191272776573896,0.0241449158638716,0.0284253489226103,0.0215385723859072,0.0213895216584206,0.0201459843665361,0.0220179446041584,0.0365330465137959,0.0397820770740509,0.0431200079619884,0.046077836304903,0.0493552535772324,0.0518317334353924,0.0514048263430595,0.050407350063324,0.0500403121113777,0.0493215397000313,0.0480335280299187,0.0452383607625961,0.0408731624484062,0.0261021628975868,0.00684566330164671,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0031370222568512,0.00314287329092622,0.00314923888072371,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00176097010262311,-9999,-9999,-9999,0.00258693564683199,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.70368236670038E-05,4.03801241191104E-05,6.02946856815834E-05,-9999,0.00017096679948736,0.000262460816884413,0.000410135049605742,0.000582667998969555,0.00363758718594909,0.00477501796558499,0.00575848901644349,0.00423666788265109,0.0152530213817954,0.0389688648283482,0.0465179868042469,0.0468672215938568,0.0471999756991863,0.0440695509314537,0.0421247556805611,0.0447787307202816,0.0478496998548508,0.047849677503109,0.0478262603282928,0.0488015301525593,0.0516772121191025,0.05157271027565,0.0509296245872974,0.0509817600250244,0.0512541644275188,0.0511710718274117,0.0509391836822033,0.0500586442649364,0.0480302013456821,0.046915203332901,0.0413009934127331,0.030963683500886,0.00784824416041374,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00388224329799414,0.00523372925817966,0.00391618674620986,0.00313924113288522,0.0031506116501987,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00147837563417852,0.00226679421029985,-9999,-9999,0.00193964003119618,0.00264700129628181,-9999,-9999,0.00302399322390556,0.00438098423182964,-9999,-9999,-9999,-9999,-9999,0.000681491510476917,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000271769386017695,0.000397011521272361,0.00059408467495814,0.000552630925085396,0.00303814373910427,0.00336510571651161,0.00322029646486044,0.00314033683389425,0.0111042894423008,0.0406727008521557,0.0524595640599728,0.0540495961904526,0.0537108890712261,0.0526569224894047,0.0516942888498306,0.0515513122081757,0.0518309436738491,0.0521296672523022,0.0515689179301262,0.0527785755693913,0.0518879890441895,0.0513256378471851,0.0509184040129185,0.0504623763263226,0.0505177490413189,0.0508158840239048,0.0507782138884068,0.050626065582037,0.0496524572372437,0.0490722246468067,0.0470092445611954,0.041801743209362,0.0270892437547445,0.00789492297917604,-9999,-9999,-9999,-9999,-9999,0.00426959712058306,0.00431598536670208,0.00678067235276103,0.00903007946908474,0.00740886805579066,0.00562203489243984,0.00422481121495366,0.00314308702945709,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000912735820747912,0.000633349758572876,-9999,-9999,-9999,-9999,0.00265620625577867,0.00264800479635596,0.00134602678008378,0.00430753547698259,0.00102721329312772,0.00239996705204248,0.00515720248222351,0.00783966109156609,0.00445516174659133,0.00308237713761628,-9999,0.00323734385892749,0.0033886528108269,-9999,-9999,0.00179257441777736,0.000692233094014227,0.000430268031777814,0.000286960566882044,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00164150400087237,0.000409574626246467,-9999,-9999,-9999,0.000522851129062474,0.00314623350277543,0.0032068588770926,0.00346343079581857,0.00334077957086265,0.00321328919380903,0.00391643680632114,0.0150603568181396,0.0413973852992058,0.0540555343031883,0.0549913756549358,0.0548309348523617,0.0541355013847351,0.0538868382573128,0.0536973513662815,0.0530325956642628,0.0529145039618015,0.0531906634569168,0.0522782504558563,0.052148949354887,0.0517841279506683,0.0512756295502186,0.0506968572735786,0.0502324476838112,0.0502142831683159,0.0505277886986732,0.0506727509200573,0.0502477511763573,0.0496289618313313,0.0482585467398167,0.0443265996873379,0.0364227071404457,0.00908341445028782,0.00283697084523737,0.00133781775366515,0.000567324750591069,0.000906955858226866,0.00811446458101273,0.0134307397529483,0.0170457698404789,0.0192242152988911,0.0165345333516598,0.0157845802605152,0.0125275058671832,0.00853890739381313,0.0039133126847446,0.00313971703872085,0.00314918020740151,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
