"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Large oceanic planktivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.22107155423146E-05,2.2815842385171E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.37994970323052E-05,3.47317254636437E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.29710791347316E-07,1.1338347576384E-06,1.76658204509295E-06,2.72196507467015E-06,-9999,-9999,-9999,-9999,-9999,7.95615414972417E-06,1.17441213660641E-05,1.73316639120458E-05,2.53696471190779E-05,3.69249464711174E-05,3.66431559086777E-05,5.32212288817391E-05,5.21489782840945E-05,5.13709856022615E-05,5.16564941790421E-05,5.34053506271448E-05,5.48241041542497E-05,-9999,-9999,0.00012174277799204,0.000181101902853698,0.000181480863830075,0.000271516561042517,0.000404020654968917,0.000275092868832871,0.000275744852842763,0.000271492666797712,0.000265594833763316,0.000178378031705506,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.1191345796251E-07,1.11063229724095E-06,1.77181379967806E-06,2.80283188658359E-06,4.44360648543807E-06,7.20905836715247E-06,1.14472959467093E-05,-9999,1.52053844431066E-05,1.16550190796261E-05,1.20330496429233E-05,1.7733329514158E-05,2.60704782704124E-05,3.80801066057757E-05,5.53447571292054E-05,5.48764401173685E-05,7.97164611867629E-05,7.81986454967409E-05,7.72573403082788E-05,7.81596609158441E-05,8.09530756669119E-05,8.28472475404851E-05,8.35281316540204E-05,0.000124649202916771,0.000185365614015609,0.000276272825431079,0.000275157100986689,0.000398724863771349,0.000569109572097659,0.000403304147766903,0.000411695189541206,0.000405446771765128,0.00039487105095759,0.000264940958004445,0.000174198881722987,0.000113237962068524,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.07712378394353E-06,1.71093552125967E-06,2.82970995613141E-06,4.48225500804256E-06,7.05806496625883E-06,1.12519692265778E-05,1.77969104697695E-05,2.61905588558875E-05,2.40147528529633E-05,1.76980211108457E-05,1.82449166459264E-05,2.68797575699864E-05,3.94284215872176E-05,5.74163896089885E-05,8.31494035082869E-05,8.22833826532587E-05,0.000119431191706099,0.000117189447337296,0.000115910232125316,0.000117555122415069,0.000121916127682198,0.000124851852888241,0.000126267725136131,0.000190418082638644,0.000285538117168471,0.000420846481574699,0.000404495076509193,0.000524083734489977,0.00326525024138391,0.000523183611221611,0.000560333719477057,0.000560137326829135,0.000553351419512182,0.000387687468901277,0.000262346700765193,0.000170209546922706,0.000110623717773706,7.30920219211839E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.01936404159642E-06,2.70323880613432E-06,1.82072596999205E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.14362749931752E-06,-9999,-9999,-9999,6.87112788000377E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.99841451831162E-06,3.0699745821039E-06,4.69654241896933E-06,-9999,2.76988248515408E-05,3.98734846385196E-05,3.65880950994324E-05,2.68510830210289E-05,2.77077087957878E-05,4.0835340769263E-05,5.98355181864463E-05,8.69412469910458E-05,0.000125347200082615,0.000123593577882275,0.000178774265805259,0.00017517211381346,0.000173275620909408,0.00017621205188334,0.00018356618238613,0.000189236990991049,0.000193402272998355,0.000293371151201427,0.000426379410782829,0.000583073357120156,0.000529839773662388,0.0617153719067574,0.0625726878643036,0.0631715804338455,0.0508270934224129,0.007501021027565,0.00181251065805554,0.000516986474394798,0.000389440770959482,0.000261107459664345,0.000169042570632882,0.000110332781332545,7.3608047387097E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.95580695517128E-06,4.01711668018834E-06,2.71675867224985E-06,1.84057239493995E-06,1.24506414067582E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.04605478554731E-05,1.05628814708325E-05,-9999,-9999,1.04675673355814E-05,1.0340016160626E-05,-9999,-9999,1.03718493846827E-05,6.94231403031154E-06,-9999,-9999,-9999,-9999,-9999,1.17241734187701E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.20514661527704E-05,6.06234898441471E-05,5.55891128897201E-05,4.07478692068253E-05,4.20440665038768E-05,6.19290585746057E-05,9.06273344298825E-05,0.000131616383441724,0.000189785787370056,0.000186970239155926,0.000268833100562915,0.000262532383203506,0.000259766791714355,0.000265279697487131,0.000278686173260212,0.000290328112896532,0.000296576967230067,0.000428033352363855,0.00054607616038993,0.0133949695155025,0.0623026564717293,0.0626235604286194,0.0630928948521614,0.063330240547657,0.0636971592903137,0.0626828521490097,0.0510666072368622,0.00295577757060528,0.000553409627173096,0.000397529220208526,0.000259729829849675,0.000167417645570822,0.000111152192403097,7.44412027415819E-05,-9999,-9999,-9999,-9999,-9999,1.90967512025964E-05,1.28424744616495E-05,8.74285524332663E-06,5.93857521380414E-06,4.03322201236733E-06,2.74091257779219E-06,1.86055012818542E-06,1.26037502923282E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00044280770817E-05,1.00723927971558E-05,-9999,-9999,-9999,-9999,1.49668558151461E-05,1.54941662913188E-05,1.57755330292275E-05,1.58459479280282E-05,1.58043949340936E-05,1.56338192027761E-05,1.53676865011221E-05,1.51769181684358E-05,1.52385373439756E-05,1.54481531353667E-05,-9999,1.6875837900443E-05,1.68982514878735E-05,-9999,-9999,1.74915949173737E-05,1.75949007825693E-05,1.7651784219197E-05,1.76863286469597E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.90554346772842E-05,2.85964124486782E-05,-9999,-9999,-9999,9.16898497962393E-05,8.42176887090318E-05,6.16661636740901E-05,6.35469186818227E-05,9.35102580115199E-05,0.000137012684717774,0.000199901012820192,0.000289986986899748,0.000285686604911461,0.000404187943786383,0.000393970200093463,0.00039147914503701,0.000402070058044046,0.00042417089571245,0.000441310869064182,0.00043330856715329,0.000549533637240529,0.00957202631980181,0.0625936612486839,0.0630420744419098,0.0636081397533417,0.0641121119260788,0.064314991235733,0.064255878329277,0.0642190352082253,0.064263217151165,0.0069160582497716,0.00052525254432112,0.000395709532313049,0.00026527774753049,0.000256223022006452,0.000169278660905547,0.000112154048110824,7.31654145056382E-05,6.9447596615646E-05,6.47976412437856E-05,4.4173499190947E-05,3.03320794046158E-05,2.90607131319121E-05,1.90863793250173E-05,1.29172076412942E-05,8.79713024914963E-06,5.98661199546768E-06,4.07211564379395E-06,2.77003118753782E-06,1.8858735302274E-06,1.28364899865119E-06,8.68549705046462E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
