"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Menhaden (0yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.06177568435669,3.14223122596741,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.464519739151,3.52951622009277,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.549551665782928,0.589289844036102,0.623552441596985,0.679537057876587,-9999,-9999,-9999,-9999,-9999,2.39411115646362,2.52730917930603,2.7287266254425,3.04920768737793,3.23698830604553,3.49457406997681,3.70213770866394,3.82760286331177,3.83010601997375,3.8698673248291,3.8980085849762,3.66538333892822,-9999,-9999,1.63000416755676,1.66450333595276,1.68609404563904,1.86691391468048,2.70950484275818,3.21451139450073,3.56658697128296,3.49519014358521,2.97309064865112,2.05632090568542,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.576287984848022,0.609971821308136,0.681902945041656,0.769003689289093,0.857321202754974,1.05032753944397,1.4267326593399,-9999,2.13913655281067,2.30936360359192,2.59304618835449,2.90889477729797,3.26151013374329,3.57129049301147,3.8125422000885,4.13919973373413,4.40152597427368,4.66357231140137,4.60383653640747,4.42506742477417,4.24465370178223,3.79135537147522,3.30069470405579,2.98903012275696,2.47247457504272,2.02404546737671,1.33925247192383,0.985317587852478,1.03635036945343,1.08002626895905,1.18606722354889,1.12778997421265,0.79044497013092,0.972839832305908,1.93679702281952,1.73068153858185,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.630684375762939,0.703965425491333,0.958064436912537,1.09280502796173,1.22027111053467,1.47370338439941,1.75948452949524,2.03117489814758,2.30568289756775,2.53142189979553,2.80595326423645,3.13042616844177,3.59438824653625,3.76917767524719,3.67969131469727,3.81823205947876,4.26339483261108,3.58989024162292,2.9829740524292,3.84936237335205,3.58234047889709,3.30314350128174,2.61706686019897,1.47013366222382,1.4521164894104,1.26428520679474,1.06661713123322,0.644449234008789,0.374813467264175,0.5795037150383,0.733270645141602,0.772766888141632,0.756275177001953,0.837165713310242,0.962438642978668,0.942559719085693,1.47251415252686,1.83180093765259,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.17148661613464,3.15586590766907,3.13579893112183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.24160718917847,-9999,-9999,-9999,3.45629358291626,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.16524112224579,1.23576045036316,1.31040132045746,-9999,2.02180457115173,2.30033874511719,2.37520217895508,2.51770043373108,2.76223063468933,3.29641175270081,3.78821587562561,3.99735760688782,4.28136920928955,1.73024523258209,1.35325908660889,1.43752145767212,1.32204961776733,1.55139458179474,1.7710907459259,1.47445356845856,1.15636372566223,1.16649067401886,1.2988246679306,1.06814539432526,0.675624310970306,0.251953035593033,0.176351591944695,0.196037366986275,0.235932230949402,0.290892511606216,0.41528308391571,0.858938932418823,0.807884395122528,0.892654538154602,1.01485466957092,1.13963091373444,1.76128804683685,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.57908725738525,3.77320766448975,3.51742768287659,3.34975600242615,3.22238349914551,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.42755007743835,3.44315958023071,-9999,-9999,3.49937891960144,3.55235886573792,-9999,-9999,3.42601680755615,3.63658833503723,-9999,-9999,-9999,-9999,-9999,2.58987021446228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.11402606964111,2.41602635383606,2.45385575294495,2.64189028739929,2.88602352142334,3.18401980400085,3.60807585716248,3.85441899299622,4.709792137146,1.74773073196411,1.23801124095917,0.993254244327545,1.02230715751648,1.22077178955078,1.31714344024658,1.21642982959747,0.888167381286621,0.926462650299072,0.819333970546722,0.384174138307571,0.211352318525314,0.0994423627853394,0.0801083296537399,0.0820149183273315,0.0952612981200218,0.123342268168926,0.180368408560753,0.456541836261749,0.761525452136993,0.917448580265045,0.880489230155945,0.93931120634079,1.17145681381226,1.69873309135437,-9999,-9999,-9999,-9999,-9999,3.8028290271759,3.9626886844635,4.19665098190308,4.13648319244385,4.16472673416138,3.95912432670593,3.66248083114624,3.3120653629303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.16654014587402,3.26145386695862,-9999,-9999,-9999,-9999,3.6076500415802,3.52392840385437,3.70581412315369,4.25319242477417,4.23052215576172,4.1648588180542,4.24264574050903,4.4851713180542,4.2122917175293,3.71050000190735,-9999,3.93728256225586,4.04814672470093,-9999,-9999,3.30584478378296,2.78414177894592,2.74334192276001,2.83807778358459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.60640001296997,2.66958498954773,-9999,-9999,-9999,2.64980435371399,2.72896409034729,2.8819751739502,3.11193156242371,3.40288782119751,3.71192908287048,4.23994779586792,4.35508823394775,1.74458682537079,0.995102524757385,1.05318582057953,1.07746183872223,1.27920436859131,1.15673124790192,1.14519834518433,0.890832483768463,0.804490566253662,0.3819879591465,0.20173853635788,0.0913658067584038,0.0458584502339363,0.0399780012667179,0.0407010316848755,0.0467790551483631,0.0626095831394196,0.0956569388508797,0.253122597932816,0.495973259210587,0.808807730674744,0.819882452487946,0.984088003635406,0.90949159860611,1.72882926464081,1.27428424358368,1.16005563735962,1.29211473464966,1.68946218490601,2.51037073135376,3.25389432907104,3.47595739364624,3.45709371566772,3.86722731590271,3.92042112350464,4.10546064376831,4.16948318481445,3.74851131439209,3.32456231117249,3.23542547225952,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
