"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Mobile epifauna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.17978592647705E-05,3.08552771457471E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000120794793474488,0.00213010981678963,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.65184163517063E-09,2.12515649522516E-09,1.89783877502236E-09,1.74472269964809E-09,-9999,-9999,-9999,-9999,-9999,7.69446560298093E-05,0.00015022286970634,0.00200449535623193,0.00126497622113675,8.42739609652199E-05,0.00669900793582201,0.411879450082779,2.64752578735352,2.36791706085205,0.0190090537071228,0.221661388874054,1.68351197242737,-9999,-9999,9.96946048736572,4.56368350982666,3.7047073841095,5.56408071517944,9.38180255889893,14.6893844604492,16.3438987731934,18.7381935119629,14.5859003067017,8.35399627685547,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.59899146648479E-09,1.73529468572298E-09,4.76992845221957E-09,2.06370542876755E-09,1.56349788671406E-09,1.83072956794206E-09,7.3555111157475E-07,-9999,9.75941729848273E-05,0.0470574498176575,0.00558254262432456,0.0273977182805538,0.646752834320068,0.387993991374969,0.00917371641844511,0.0263448860496283,1.34939634799957,3.5681266784668,7.95469093322754,2.40013813972473,2.09076523780823,1.75661206245422,8.14885425567627,7.93995761871338,6.09084320068359,4.39645767211914,2.97375226020813,6.04604434967041,9.27215957641602,16.6048145294189,22.0783061981201,22.0753211975098,18.2747173309326,8.36904525756836,1.59463155269623,0.121694758534431,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.99204386319707E-09,5.28374233255136E-09,3.74061414731841E-06,1.40343058774306E-06,1.11742087938183E-06,9.83126028586412E-07,3.81255517822865E-07,3.59394704219085E-07,2.02277783500904E-06,0.0012585548684001,0.858692288398743,2.29811549186707,8.8385534286499,9.82489967346191,12.6082420349121,13.1134719848633,14.0840911865234,17.6801261901855,19.136775970459,16.4800319671631,15.6554574966431,13.5949010848999,12.4192399978638,11.136981010437,8.66315460205078,5.08400535583496,2.5525016784668,3.99887800216675,7.05602264404297,13.2727909088135,17.9504833221436,18.6653747558594,15.2082204818726,7.41972398757935,2.30214881896973,0.358427464962006,0.148013100028038,0.287056535482407,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.8252429962158,10.9133710861206,8.31461334228516,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00781793240457773,-9999,-9999,-9999,0.183640480041504,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.94140351747774E-07,4.54098341151621E-07,3.91605567529041E-07,-9999,3.8493925558214E-07,5.33375896338839E-07,4.82489213027293E-06,0.00260989321395755,1.46967267990112,3.24472284317017,11.1793413162231,12.0188302993774,12.4702606201172,14.4090576171875,19.605131149292,22.0509128570557,22.3829536437988,21.6353740692139,20.574728012085,18.6210289001465,16.6122055053711,16.7462997436523,16.5740795135498,10.3880586624146,6.58748912811279,0.0622306354343891,6.80593700508325E-07,1.58176032982738E-06,8.45636367797852,14.2320213317871,14.213077545166,9.78603076934814,7.05153512954712,5.94853687286377,2.59691739082336,0.484134405851364,0.74408358335495,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.69034862518311,13.5052299499512,8.28195858001709,7.18557929992676,16.516242980957,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000279535306617618,0.0113135231658816,-9999,-9999,0.0519570112228394,0.325521647930145,-9999,-9999,0.514724791049957,0.586382985115051,-9999,-9999,-9999,-9999,-9999,5.52460260223597E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.07162633059488E-07,3.1191979360301E-05,0.000935845193453133,0.0117406584322453,1.64680290222168,3.86644124984741,4.17597913742065,15.0550384521484,11.9893341064453,12.9577264785767,20.6642475128174,23.7502193450928,23.3927230834961,23.782341003418,23.0969219207764,20.6359596252441,17.7068881988525,20.5062675476074,22.0149230957031,14.6178579330444,1.37643326070247E-06,1.95374980194174E-07,1.82604082965554E-07,3.50082132172247E-07,1.05651611193025E-06,0.0806839317083359,6.85690116882324,11.1478958129883,14.2492733001709,21.356912612915,10.3223323822021,0.784181892871857,1.19456541538239,2.49663853645325,-9999,-9999,-9999,-9999,-9999,10.9693050384521,10.7180500030518,11.2530117034912,10.8386468887329,11.9216575622559,17.4945907592773,20.2220363616943,19.9398517608643,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00852172635495663,0.0105945477262139,-9999,-9999,-9999,-9999,0.101309262216091,0.0668710395693779,0.00106141937430948,0.0433436371386051,0.00155488902237266,0.0564883090555668,0.479115933179855,0.379355907440186,0.618743360042572,0.551768243312836,-9999,0.278788387775421,0.319710612297058,-9999,-9999,0.0150655526667833,0.00531348213553429,3.23665008181706E-05,5.29171586549637E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.026243194937706,0.00107972952537239,-9999,-9999,-9999,0.00918932817876339,2.15645670890808,2.28506660461426,3.07455325126648,3.44448137283325,3.66331768035889,14.9523582458496,13.4675607681274,13.5672626495361,19.0000858306885,21.9811859130859,23.7416381835938,24.0736827850342,23.0491027832031,21.0587863922119,18.0431022644043,16.5844020843506,13.5259876251221,4.54201057209502E-07,1.39670191856567E-07,1.32509825334637E-07,1.412460761685E-07,1.52041835121963E-07,2.34315365332805E-07,5.7552819043849E-07,0.0209269355982542,10.4908714294434,13.1809225082397,15.6141748428345,10.1741647720337,3.27046728134155,3.51151728630066,2.7503035068512,1.95641255378723,0.0237131174653769,0.00012367260933388,0.00441281497478485,2.00198793411255,5.17250108718872,11.0360536575317,9.6649923324585,9.184814453125,9.953200340271,12.3237791061401,15.2517251968384,26.1421241760254,38.7221336364746,37.1107940673828,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
