"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Mullet

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0194616988301277,0.0195582434535027,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0461947657167912,0.0454842932522297,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00539266411215067,0.00599755952134728,0.00640682782977819,0.0066183777526021,-9999,-9999,-9999,-9999,-9999,0.0575696118175983,0.0636997520923615,0.0619931519031525,0.0607429668307304,0.0624159537255764,0.0665849596261978,0.0678818598389626,0.0669026151299477,0.064676433801651,0.0543353110551834,0.0598556511104107,0.057641826570034,-9999,-9999,0.0519001632928848,0.0376614071428776,0.00098926795180887,2.94446836051065E-05,1.56849580434937E-06,9.07743142875006E-08,8.52820658536757E-09,2.15320450358547E-09,6.1528193651128E-10,1.91089033485525E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00544741656631231,0.00662424461916089,0.0100558921694756,0.0115641979500651,0.01151392608881,0.0153566915541887,0.0232692882418633,-9999,0.0369051694869995,0.0470085144042969,0.0534108132123947,0.0639411434531212,0.0699444487690926,0.0751779899001122,0.0632020235061646,0.0728936269879341,0.0753786191344261,0.0814498588442802,0.0803579092025757,0.075431652367115,0.0759700909256935,0.0601205453276634,0.0774329602718353,0.0664827302098274,0.0451453775167465,0.00682144006714225,0.000502535083796829,3.33645148202777E-05,1.89897968994046E-06,2.04609435172642E-07,6.09199730661203E-08,2.1910301128969E-08,8.47493808464606E-09,6.97852264863741E-09,2.96445676895019E-08,4.44547119116123E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00626487843692303,0.0104286270216107,0.0289160199463367,0.0330378711223602,0.0306589566171169,0.0313748903572559,0.0303908176720142,0.0343784987926483,0.0318041704595089,0.0404337905347347,0.0504238903522491,0.066603995859623,0.0781574845314026,0.0888901948928833,0.092844232916832,0.0984304174780846,0.097090058028698,0.0982865393161774,0.0956165418028831,0.0931146144866943,0.0904159620404243,0.0817240178585052,0.0698942616581917,0.0517458356916904,0.0125275766476989,0.00197993498295546,0.000234461782383732,3.8178957765922E-05,2.23277379518549E-06,6.92035996507911E-07,2.98684057042919E-07,9.35453741135461E-08,3.31752367799254E-08,2.99256193159181E-08,6.21826430347028E-08,8.25649379976312E-08,5.52764021222174E-08,2.26938734471105E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0016105278627947,0.00437088776379824,0.00805853866040707,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.016664057970047,-9999,-9999,-9999,0.0177695620805025,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0388616807758808,0.0398333631455898,0.0337278470396996,-9999,0.031022384762764,0.036620732396841,0.0361591055989265,0.0437769517302513,0.052266538143158,0.0655969977378845,0.0728920847177505,0.0843028575181961,0.0905440896749496,0.0958646088838577,0.0906213894486427,0.0877599790692329,0.0809425786137581,0.0780612155795097,0.072614774107933,0.0647338703274727,0.0389900468289852,0.0142133226618171,0.00317247956991196,0.000791949860285968,0.00018764087872114,3.14487551804632E-05,1.45490844261076E-06,3.17589609721836E-07,1.90992253124023E-07,7.4578224484867E-08,2.27398171404047E-08,2.81308913940848E-08,6.12337061056678E-08,1.10895385319054E-07,1.01012858522154E-07,3.22998126023322E-08,7.25808657620064E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000920798862352967,0.00343371275812387,0.00693067675456405,0.0144463665783405,0.0205166675150394,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0234469119459391,0.024001058191061,-9999,-9999,0.0315349921584129,0.0300631131976843,-9999,-9999,0.0235393941402435,0.0247460082173347,-9999,-9999,-9999,-9999,-9999,0.042046245187521,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0407054834067822,0.0407867059111595,0.0393570847809315,0.0408364348113537,0.0484727956354618,0.0592413805425167,0.0605466105043888,0.0663075894117355,0.0718313604593277,0.072205051779747,0.0593603998422623,0.0470736026763916,0.030273063108325,0.0114588448777795,0.00893282517790794,0.00832989439368248,0.00578035181388259,0.0022915955632925,0.000849002855829895,9.29975649341941E-05,1.31487904582173E-05,5.8304732419856E-07,3.118488933751E-08,7.66759900017178E-09,2.51761633762726E-08,7.3834740987877E-08,3.65933630064319E-08,1.56918229521352E-08,3.17765262991543E-08,7.84579583523737E-08,1.15783734599972E-07,5.41784537233525E-08,1.19898277972652E-08,1.7597902024491E-09,-9999,-9999,-9999,-9999,-9999,7.38562721380731E-06,8.38280320749618E-05,0.000594743469264358,0.0024400451220572,0.00682494882494211,0.0120075419545174,0.0175420399755239,0.0216689556837082,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0353583246469498,0.0431964099407196,-9999,-9999,-9999,-9999,0.0324678234755993,0.0364584773778915,0.0329392664134502,0.0395370200276375,0.0428224839270115,0.0385561846196651,0.0384147316217422,0.0298528056591749,0.0363782644271851,0.0285116154700518,-9999,0.018616059795022,0.0316337496042252,-9999,-9999,0.0404923222959042,0.0323656834661961,0.032277025282383,0.0211504232138395,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.046472929418087,0.0434576496481895,-9999,-9999,-9999,0.0453787781298161,0.0489483214914799,0.0508812256157398,0.0501162335276604,0.0501686967909336,0.0472177751362324,0.0471405349671841,0.0316704511642456,0.0166579186916351,0.00627129152417183,0.00432145176455379,0.00293889339081943,0.00118963071145117,0.000894502503797412,0.000691271736286581,0.000593570002820343,0.000330222508637235,5.56852974114008E-05,2.6336031169194E-06,2.06141137937266E-07,9.4795673533099E-09,5.52653589558361E-10,1.09248679547314E-10,4.60415344738507E-10,5.28374277664057E-09,3.63908938538771E-08,4.42255867483254E-08,3.50136168947301E-08,8.96112837267538E-08,1.43706358812778E-07,9.14660489570451E-08,1.8374736399096E-08,1.50717338609496E-09,6.84515708004874E-11,1.95452369566862E-11,2.83162632230827E-10,8.95169005588059E-09,1.84739576525317E-07,2.88301725959172E-06,2.7843034331454E-05,0.000180450311745517,0.000636927608866245,0.00170767237432301,0.00409250659868121,0.0089754406362772,0.0104496786370873,0.0121499141678214,0.0183382220566273,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
