"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Mutton snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000281078566331416,0.000262768182437867,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000486282981000841,0.00045402068644762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.93209046983611E-07,2.90631078314618E-07,4.88915873120277E-07,7.7604687476196E-07,-9999,-9999,-9999,-9999,-9999,0.000115609109343495,0.000150350577314384,0.000231980258831754,0.00038239688728936,0.000548463314771652,0.000783141003921628,0.000853288976941258,0.00092457520077005,0.000887159316334873,0.00083545467350632,0.000763136660680175,0.000816485553514212,-9999,-9999,0.000812507176306099,0.000838462030515075,0.000779536901973188,0.00111443374771625,0.00117197341751307,0.00127135985530913,0.00134841783437878,0.00136577733792365,0.00135934096761048,0.00124707480426878,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.52380920326323E-07,2.20746429135943E-07,3.99350511770535E-07,7.91535001098964E-07,1.75227523868671E-06,4.06074650527444E-06,6.67862559566856E-06,-9999,2.87628154183039E-05,0.000106906074506696,0.000145447964314371,0.000236736377701163,0.000396325107431039,0.000558005704078823,0.000791694677900523,0.00112255569547415,0.00122431945055723,0.0013256537495181,0.00128846801817417,0.00125700770877302,0.0011439478257671,0.0011825361289084,0.00113531737588346,0.00133946083951741,0.0012352408375591,0.00125042488798499,0.00122341071255505,0.00280587817542255,0.00280799344182014,0.00328059517778456,0.00357463699765503,0.00364082772284746,0.00443902797996998,0.00277623441070318,0.00118806352838874,0.000912201823666692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.68275093415104E-07,2.6804013941728E-07,5.40034648111032E-07,1.02352566955233E-06,2.25750636673183E-06,5.68235236642067E-06,2.04873613256495E-05,0.000101010016805958,0.000105744664324448,0.000140156509587541,0.000238281398196705,0.000404378428356722,0.000565909023862332,0.000795198313426226,0.0010940944775939,0.00153699959628284,0.00173284544143826,0.00189680396579206,0.00185578863602132,0.00181658193469048,0.00163119321223348,0.0017137787071988,0.00175797031261027,0.0029011694714427,0.00344861717894673,0.00508203916251659,0.0063224034383893,0.0134838502854109,0.0228350255638361,0.0241553001105785,0.020048750564456,0.0196965765208006,0.0157019719481468,0.0125456815585494,0.00646593421697617,0.00315771484747529,0.000919886108022183,0.000684467377141118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000465620658360422,0.000394349975977093,0.000290534866508096,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00010276186367264,-9999,-9999,-9999,0.000142510354635306,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.1322765532168E-07,8.38137168557296E-07,1.22053120321652E-06,-9999,0.000100597222626675,0.00024306275008712,0.000239257264183834,0.000292881915811449,0.00041881250217557,0.00059217814123258,0.000830490316729993,0.00114098924677819,0.0015315170167014,0.00252295029349625,0.00497742975130677,0.00623282371088862,0.00707498891279101,0.00632750755175948,0.00488532334566116,0.00738497730344534,0.0110467132180929,0.0112971868366003,0.0104180965572596,0.013704689219594,0.022859837859869,0.00639590620994568,0.00132319168187678,0.0013482931535691,0.0245493613183498,0.0279337037354708,0.0239410623908043,0.0215106662362814,0.0141194155439734,0.0110067976638675,0.00347993732430041,0.00122701376676559,0.000704849837347865,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00065321137662977,0.000557300983928144,0.000421371922129765,0.000292810174869373,0.000201773014850914,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000161704054335132,0.000163934280863032,-9999,-9999,0.00014432288298849,0.000217995315324515,-9999,-9999,0.000202145951334387,0.000151711225043982,-9999,-9999,-9999,-9999,-9999,0.000135701848194003,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000242883543251082,0.000355560885509476,0.000276728562312201,0.000322786683682352,0.000464261858724058,0.000662392820231616,0.000922035542316735,0.00124567770399153,0.00161319645121694,0.0024901763536036,0.00918409787118435,0.0174276456236839,0.0208223890513182,0.0216979272663593,0.0187441110610962,0.0207344740629196,0.0241993255913258,0.026594553142786,0.0232675615698099,0.0307305287569761,0.00128192803822458,0.00133387942332774,0.00098121864721179,0.000995279755443335,0.00136988994199783,0.014106310904026,0.0214459430426359,0.0234033223241568,0.0211683679372072,0.0196579173207283,0.0115277040749788,0.00393071118742228,0.00100124452728778,0.000615254451986402,-9999,-9999,-9999,-9999,-9999,0.000672144815325737,0.000877048238180578,0.00086163094965741,0.000765030737966299,0.00059007084928453,0.000414671609178185,0.000291116157313809,0.000201667222427204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000164790340932086,0.000159151677507907,-9999,-9999,-9999,-9999,0.000229584460612386,0.000226881791604683,0.000228072603931651,0.00021957591525279,0.000249911361606792,0.000258993590250611,0.000331625138642266,0.000315760291414335,0.000314561650156975,0.000324113789247349,-9999,0.000327822315739468,0.000279704196145758,-9999,-9999,0.000311440002406016,0.000239199114730582,0.000206980199436657,0.000193701023817994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000134599569719285,0.000249002419877797,-9999,-9999,-9999,0.000531326862983406,0.000409859116189182,0.000344106374541298,0.000490296632051468,0.000690155255142599,0.000947067455854267,0.00124482274986804,0.0016036155866459,0.0027270142454654,0.0143814012408257,0.023027652874589,0.0283017717301846,0.0281760413199663,0.0317906923592091,0.031110679730773,0.028400095179677,0.0289437901228666,0.0310306921601295,0.00125427858438343,0.000928755034692585,0.000973153277300298,0.000692579487804323,0.000704561767634004,0.00101152283605188,0.00141633371822536,0.00265062204562128,0.0271394401788712,0.0249596014618874,0.0244989208877087,0.0190231557935476,0.00789828971028328,0.00229738419875503,0.000879449245985597,0.000575536454562098,0.000439229246694595,0.000444649398559704,0.000616699457168579,0.00069215107942,0.00086499669123441,0.00119061197619885,0.00117746682371944,0.00104523310437799,0.00080861133756116,0.000574331672396511,0.000411633984185755,0.000293091376079246,0.000207726712687872,0.000142072822200134,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
