"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Oceanic planktivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000359902216587216,0.000352259812643752,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000381477206246927,0.000371713686035946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.96900600712979E-05,2.86461108771618E-05,4.12596382375341E-05,5.95955971220974E-05,-9999,-9999,-9999,-9999,-9999,2.77589297184022E-05,2.20588517549913E-05,2.42117530433461E-05,3.23778513120487E-05,4.49848630523775E-05,4.26814949605614E-05,4.50933766842354E-05,0.000105730025097728,0.000161736767040566,0.000263734953477979,0.000256546016316861,0.00017693592235446,-9999,-9999,4.55707377113868E-05,0.000134198679006658,0.000313958356855437,0.000612566305790097,0.000613494194112718,0.000690935761667788,0.000748631195165217,0.000568342569749802,0.00068837299477309,0.000522909744177014,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.04558255063603E-05,2.96871276077582E-05,4.24675599788316E-05,5.99166560277808E-05,8.2429796748329E-05,0.000107237938209437,0.000141999189509079,-9999,8.94673721631989E-05,7.18355076969601E-05,4.8956266255118E-05,3.1886447686702E-05,2.94791298074415E-05,3.61475540557876E-05,4.90810634801164E-05,4.6848930651322E-05,4.95534623041749E-05,0.000112481706310064,0.000153073589899577,0.00019764993339777,0.000184875738341361,0.00014208494394552,0.000133938854560256,7.98648543423042E-05,0.000114823247713502,0.000241404748521745,0.000478838628623635,0.000882605207152665,0.000886331836227328,0.00100997718982399,0.00113915419206023,0.000952210510149598,0.00124649726785719,0.00111151661258191,0.00107712636236101,0.000907462323084474,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.06574729620479E-05,4.43986464233603E-05,6.28100024187006E-05,8.81682353792712E-05,0.000119932694360614,0.000149456900544465,0.000167756108567119,0.000184312710189261,0.000142357108416036,0.000103020502137952,6.61697267787531E-05,3.81397039745934E-05,2.83480021607829E-05,3.0825973226456E-05,4.10750653827563E-05,4.14653441112023E-05,4.75968990940601E-05,0.000119147269288078,0.000155077097588219,0.000186385732376948,0.000174080138094723,0.000156446156324819,0.000219125591684133,0.000155849309521727,0.000210621336009353,0.000345563574228436,0.000583902117796242,0.00104443717282265,0.00106729997787625,0.00121898879297078,0.00143179064616561,0.00134838640224189,0.00191514473408461,0.00182949495501816,0.00172842456959188,0.00151745101902634,0.00122444482985884,0.000906423549167812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.56740746510332E-06,4.59286002296722E-06,2.69798101726337E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.22921246656915E-05,-9999,-9999,-9999,1.11223280327977E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.1150542529067E-05,5.94355078646913E-05,8.55014368426055E-05,-9999,0.000185720389708877,0.000223587281652726,0.000176218934939243,0.000123189311125316,7.37664086045697E-05,3.69186018360779E-05,2.01508628379088E-05,2.12471295526484E-05,3.37708843289874E-05,4.31774606113322E-05,6.25647808192298E-05,0.000179847731487826,0.000235361396335065,0.000278411025647074,0.000268616160610691,0.000257534848060459,0.000388963497243822,0.00027568664518185,0.000303515320410952,0.000409646279877052,0.000657949596643448,0.00727039622142911,0.0762267708778381,0.0251478590071201,0.00314401090145111,0.00151482061482966,0.00234313029795885,0.00248016300611198,0.00246064038947225,0.00221599149517715,0.00176537455990911,0.00133061816450208,0.00143188610672951,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.37270108098164E-05,8.06801745056873E-06,4.55733743365272E-06,2.57631313616002E-06,1.44324644679727E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.69978538906435E-05,1.71866049640812E-05,-9999,-9999,1.52364091263735E-05,1.55109228217043E-05,-9999,-9999,1.65150795510272E-05,1.14530357677722E-05,-9999,-9999,-9999,-9999,-9999,2.68144485744415E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000227087817620486,0.000239005254115909,0.000182537754881196,0.000122228753753006,6.47781562292948E-05,2.42152036662446E-05,3.43312694894848E-06,1.00503621069947E-05,3.53428549715318E-05,6.48481363896281E-05,0.000114654387289193,0.000341314182151109,0.000437287031672895,0.000501625647302717,0.000475901120807976,0.00044408329995349,0.00061984418425709,0.000409918662626296,0.000395578827010468,0.000585872505325824,0.042132280766964,0.158271938562393,0.152763649821281,0.111960686743259,0.038449265062809,0.00715831015259027,0.00454056030139327,0.00277710193768144,0.00303956842981279,0.00288885366171598,0.00235409918241203,0.00179840519558638,0.00192510313354433,0.00126438413280994,-9999,-9999,-9999,-9999,-9999,8.40592474560253E-05,4.97119144711178E-05,2.67168616119307E-05,1.46350321301725E-05,8.06349453341682E-06,4.43886438006302E-06,2.40960957853531E-06,1.34837387122388E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.74519879894797E-05,2.70897489826893E-05,-9999,-9999,-9999,-9999,2.3865746697993E-05,2.38066495512612E-05,2.3362203137367E-05,2.19926423596917E-05,2.13326366065303E-05,2.14008796319831E-05,2.14108804357238E-05,2.1131618268555E-05,2.13543444260722E-05,2.20118508877931E-05,-9999,2.57063402386848E-05,2.5234616259695E-05,-9999,-9999,3.69736699212808E-05,4.32552624261007E-05,5.2227100240998E-05,5.88434522796888E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.52950430876808E-05,3.97362018702552E-05,-9999,-9999,-9999,0.000183689611731097,0.000148144143167883,9.27255969145335E-05,3.55138909071684E-05,1.00000000317108E-30,1.00000000317108E-30,1.00000000317108E-30,4.74961998406798E-05,0.000110167013190221,0.00020258838776499,0.000576540129259229,0.000708013656549156,0.000778338348027319,0.000704387901350856,0.000612093426752836,0.000777365930844098,0.000488083198433742,0.000540010107215494,0.117059215903282,0.156703352928162,0.160036012530327,0.161424711346626,0.157313540577888,0.131455257534981,0.065687321126461,0.0151515938341618,0.00177311303559691,0.00210745702497661,0.00216869986616075,0.001889449195005,0.0022636039648205,0.00249563856050372,0.00170139339752495,0.00112710916437209,0.000784967909567058,0.000577623315621167,0.000387810112442821,0.000242443915340118,0.00013913563452661,7.93576036812738E-05,4.46412523160689E-05,2.53016442002263E-05,1.44246951094829E-05,8.05765921541024E-06,4.32116667070659E-06,2.23923052544706E-06,1.07234234292264E-06,4.76932029869204E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
