"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Offshore dolphins"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000118814023153391,0.000118495830975007,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000183594675036147,0.000182991963811219,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.62755941346404E-06,2.48881474362861E-06,3.7987290397723E-06,5.74422938370844E-06,-9999,-9999,-9999,-9999,-9999,3.4393095120322E-05,4.96693319291808E-05,7.16228314558975E-05,0.000103504738945048,0.000149851635796949,0.000216639135032892,0.000209620789973997,0.00030044509912841,0.000292514421744272,0.000285467802314088,0.000283673201920465,0.00019296033133287,-9999,-9999,0.000301270774798468,0.000299904204439372,0.000447765691205859,0.000451941043138504,0.000459062808658928,0.000464917218778282,0.000466411001980305,0.000462374708149582,0.0004549904842861,0.000448381761088967,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.60461445375404E-06,2.46596619035699E-06,3.83681481253006E-06,5.8940004237229E-06,8.96941583050648E-06,1.36689423015923E-05,2.06249023904093E-05,-9999,2.65401922661113E-05,3.74013943655882E-05,5.21033143741079E-05,7.35554640414193E-05,0.000104926271887962,0.000150831197970547,0.000217992317629978,0.00031501887133345,0.000306148489471525,0.000442242569988593,0.000435032445238903,0.000430131534812972,0.000431247754022479,0.000297010119538754,0.000459922390291467,0.000462456489913166,0.000459204253274947,0.000456879672128707,0.0654464215040207,0.0685736089944839,0.0698629021644592,0.0707282200455666,0.0708669126033783,0.0701324194669724,0.068745531141758,0.0673701092600822,0.000431401713285595,0.000417996488977224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.42006103690073E-06,3.76829348169849E-06,6.00855673837941E-06,9.23845436773263E-06,1.39367730298545E-05,2.06534186872886E-05,3.01044219668256E-05,4.29397223342676E-05,4.05759637942538E-05,5.60426960873883E-05,7.76415108703077E-05,0.00010872827260755,0.000153936984133907,0.000219785433728248,0.000315403274726123,0.000455482921097428,0.000447345897555351,0.0587860532104969,0.0642848759889603,0.000748679682146758,0.000754761917050928,0.000455975095974281,0.0290690381079912,0.0701256021857262,0.0701457336544991,0.0700921937823296,0.0698681846261024,0.070414699614048,0.0712533742189407,0.0720812603831291,0.0722187906503677,0.0713902860879898,0.0697237998247147,0.0674917474389076,0.0647899806499481,0.062267255038023,0.0606235489249229,0.00039866755832918,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000119389507744927,0.000120238728413824,0.000121212004160043,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.27443145681173E-05,-9999,-9999,-9999,0.000117493284051307,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.21156028096448E-06,6.36883851257153E-06,9.57606516749365E-06,-9999,4.40147887275089E-05,6.33261151961051E-05,6.02415930188727E-05,8.34199308883399E-05,0.000115597693365999,0.000161692994879559,0.000228606106247753,0.000325372559018433,0.000464001088403165,0.0661746859550476,0.0663359090685844,0.0664083585143089,0.0670621544122696,0.0686081945896149,0.0697991549968719,0.070650041103363,0.0711263194680214,0.0713450610637665,0.0716057568788528,0.0718310549855232,0.072072945535183,0.0727236643433571,0.0734290331602097,0.0743140652775764,0.0744528919458389,0.0735539719462395,0.0717470347881317,0.0692566931247711,0.0664677321910858,0.0637329369783401,0.061520017683506,0.0601741187274456,0.00039890268817544,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000177549940417521,0.000179103197297081,0.000181297582457773,0.000183336218469776,0.000123858189908788,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000119307616841979,0.000119909054774325,-9999,-9999,0.000170942017575726,0.000171021994901821,-9999,-9999,0.000164669036166742,0.000111366629425902,-9999,-9999,-9999,-9999,-9999,6.11181094427593E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.477179704234E-05,9.25511703826487E-05,5.91665229876526E-05,8.26400573714636E-05,0.000115212846139912,0.000161856369231828,0.000229292883886956,0.000326365552609786,0.000466247904114425,0.0670696422457695,0.0673909336328506,0.0678927302360535,0.0687159076333046,0.0698371380567551,0.0709045380353928,0.0717807933688164,0.0724669992923737,0.0730199888348579,0.0735348016023636,0.073866531252861,0.0742398276925087,0.0746120363473892,0.0753306895494461,0.0761389955878258,0.076546773314476,0.0760269612073898,0.0743863508105278,0.0718295276165009,0.0689730793237686,0.0660590454936028,0.0634033754467964,0.0614079460501671,0.0603970363736153,0.000399195501813665,-9999,-9999,-9999,-9999,-9999,0.00025289281620644,0.000256543309660628,0.000261573266470805,0.000265685463091359,0.000269290612777695,0.000272369245067239,0.000184447853825986,0.000124679660075344,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000118811498396099,0.000118751297122799,-9999,-9999,-9999,-9999,0.000171093168319203,0.000172251195181161,0.000171788662555628,0.000168732352904044,0.000166791243827902,0.00024680356727913,0.000244133349042386,0.000239792512729764,0.000238283420912921,0.000239434739341959,-9999,0.000166472920682281,0.000167609279742464,-9999,-9999,0.000128957151900977,8.87531496118754E-05,9.01970779523253E-05,9.12253162823617E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.8059420553036E-05,8.63161913002841E-05,-9999,-9999,-9999,0.000130824191728607,8.49355128593743E-05,8.12481303000823E-05,0.000114291397039779,0.000161656076670624,0.000229789584409446,0.000328274065395817,0.00047200481640175,0.0685190260410309,0.0689453333616257,0.0696738138794899,0.0706085413694382,0.0716482996940613,0.0726248621940613,0.0734996423125267,0.0742744877934456,0.0749189257621765,0.0753598436713219,0.0754929482936859,0.0757961198687553,0.0763159021735191,0.076952800154686,0.0775421187281609,0.077868677675724,0.0776838138699532,0.0766384303569794,0.0744225904345512,0.07164416462183,0.0686552226543427,0.0657920613884926,0.0634651333093643,0.0620452202856541,0.00040335749508813,0.000262024492258206,0.000255481398198754,0.000166608035215177,0.000243734597461298,0.00036438467213884,0.000371328671462834,0.000379685807274655,0.000387972220778465,0.000395200768252835,0.000400955410441384,0.000405938568292186,0.00027503672754392,0.000186212360858917,0.000125903228763491,8.48658310133033E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
