"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Other snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000477831636089832,0.000488659949041903,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000609404174610972,0.00062648591119796,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000629904039669782,0.000589417293667793,0.000533523736521602,0.000674732378683984,-9999,-9999,-9999,-9999,-9999,0.000515359046403319,0.0005881586112082,0.000700410106219351,0.000682955316733569,0.000674555543810129,0.000731227046344429,0.000755874789319932,0.000760164170060307,0.000744718825444579,0.000781600538175553,0.000756240915507078,0.000557018851395696,-9999,-9999,0.000812890357337892,0.000813046004623175,0.000545962771866471,0.000729565392248333,0.00151315215043724,0.00130457151681185,0.00148049043491483,0.00189909501932561,0.00144174648448825,0.000574121542740613,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000649195688311011,0.000615710159763694,0.00056080985814333,0.000675822258926928,0.00062722124857828,0.000538949389010668,0.000543389120139182,-9999,0.000397754309233278,0.000526390911545604,0.000624283333308995,0.00098664197139442,0.00116483040619642,0.00136679701972753,0.00118453323375434,0.00132228911388665,0.00140141579322517,0.00163036037702113,0.00157869164831936,0.00138738320674747,0.00120212440378964,0.000889884890057147,0.00115710683166981,0.00146434619091451,0.00157631258480251,0.00154996162746102,0.00196332181803882,0.00202086032368243,0.00211799656972289,0.0022579615470022,0.00233539869077504,0.00170525594148785,0.00242645689286292,0.00211611785925925,0.00211178557947278,0.00152758369222283,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000638822617474943,0.000598500482738018,0.000737178430426866,0.000722349504940212,0.000658407632727176,0.000771311693824828,0.000574046745896339,0.000630061433184892,0.000578354054596275,0.000657355005387217,0.000850049545988441,0.00113748456351459,0.00180722679942846,0.00214063539169729,0.0023183966986835,0.0026216059923172,0.00258553680032492,0.00270935706794262,0.00283843791112304,0.00275791296735406,0.00234047858975828,0.00206972402520478,0.00198009819723666,0.00221390696242452,0.00195048633031547,0.00202127988450229,0.00165834371000528,0.0023877308703959,0.00225097709335387,0.00269206962548196,0.00258779083378613,0.00260513811372221,0.00175430532544851,0.00201255944557488,0.00199807854369283,0.00183634622953832,0.00128808268345892,0.00100581033620983,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000691605207975954,0.000658488017506897,0.000526229676324874,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00036539020948112,-9999,-9999,-9999,0.000365888001397252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000621525919996202,0.000636115437373519,0.000617089390289038,-9999,0.000544508744496852,0.000669975823257118,0.000582371780183166,0.00059819727903232,0.000764687778428197,0.00108486053068191,0.00158031564205885,0.00162247999105603,0.00266117928549647,0.00314776529558003,0.00290342746302485,0.00268018804490566,0.00293386378325522,0.0034743626601994,0.00288033112883568,0.0027100290171802,0.00263791927136481,0.00295422272756696,0.00223348452709615,0.00214076926931739,0.00235676229931414,0.00243649096228182,0.00244641001336277,0.00207695481367409,0.00261024595238268,0.00242584873922169,0.00182727177161723,0.00173879927024245,0.00161880673840642,0.00169079634360969,0.00151460582856089,0.00121597398538142,0.000973992224317044,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00172170018777251,0.00189659115858376,0.000786489865276963,0.000605438952334225,0.000621181272435933,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000488817458972335,0.000540733861271292,-9999,-9999,0.000542932888492942,0.000548335374332964,-9999,-9999,0.000513117702212185,0.000660605495795608,-9999,-9999,-9999,-9999,-9999,0.00058366172015667,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000581170024815947,0.000661792990285903,0.000552412355318666,0.000539354630745947,0.000626911234576255,0.000736046873498708,0.000728376558981836,0.000963105820119381,0.00206062337383628,0.00259568425826728,0.00259594689123333,0.00234530353918672,0.00219440646469593,0.00254222890362144,0.00225727981887758,0.0023060932289809,0.0025167060084641,0.00284868525341153,0.00249994010664523,0.00297554628923535,0.00259837647899985,0.00143854017369449,0.00128059252165258,0.00165178452152759,0.00254056439734995,0.00241304701194167,0.00174525496549904,0.00147999275941402,0.00142127007711679,0.00147207034751773,0.00159567920491099,0.00150241586379707,0.00120473385322839,0.000901555293239653,-9999,-9999,-9999,-9999,-9999,0.00119887047912925,0.00117179285734892,0.00242524826899171,0.00253155059181154,0.00178793584927917,0.00133685686159879,0.00110066006891429,0.000639282166957855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000558425963390619,0.000714323192369193,-9999,-9999,-9999,-9999,0.000662797363474965,0.000744810560718179,0.000859703286550939,0.00130196986719966,0.00135196791961789,0.0011928720632568,0.00117198342923075,0.00134352070745081,0.00117968744598329,0.00072588148759678,-9999,0.000473166583105922,0.00065103021916002,-9999,-9999,0.000957137264776975,0.000595250574406236,0.000495495100039989,0.000407468702178448,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000635952979791909,0.000697501236572862,-9999,-9999,-9999,0.000705249840393662,0.000652599905151874,0.000586220761761069,0.00065230077598244,0.000683856778778136,0.000871675729285926,0.00123646948486567,0.00222168723121285,0.00236010365188122,0.00223813205957413,0.00212410604581237,0.00198073615320027,0.00198256759904325,0.00243869656696916,0.002174137160182,0.00209784437902272,0.00218649581074715,0.00258480152115226,0.00207376875914633,8.81461965036578E-05,8.91436793608591E-05,0.000379954784875736,0.00114528089761734,0.00167779950425029,0.00182350701652467,0.00176184868905693,0.00173428317066282,0.0016128234565258,0.00181832909584045,0.00182944966945797,0.00174085644539446,0.00147314590867609,0.00100384536199272,0.000382078607799485,0.000375627278117463,0.000315555837005377,0.000583232671488076,0.00171806302387267,0.00188893207814544,0.00192735472228378,0.00294019421562552,0.00268576573580503,0.00212432187981904,0.00178439938463271,0.00183646543882787,0.00125906034372747,0.000699251657351851,0.000714562775101513,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
