"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Pelagic coastal piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00654690712690353,0.00686257937923074,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00714814942330122,0.00754414033144712,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00499429041519761,0.00582295889034867,0.0065667387098074,0.00778661342337728,-9999,-9999,-9999,-9999,-9999,0.00746497604995966,0.00816235691308975,0.00816299300640821,0.0086688157171011,0.00528955226764083,0.00641559157520533,0.00587010057643056,0.00533370906487107,0.0052121109329164,0.00602988852187991,0.00632688589394093,0.00701409112662077,-9999,-9999,0.00718116108328104,0.013019846752286,0.00904601905494928,0.0106714749708772,0.0233552642166615,0.0227541998028755,0.0198387168347836,0.0236387271434069,0.018437696620822,0.0124915596097708,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00511827645823359,0.00621419260278344,0.00704459985718131,0.007766954600811,0.00849059876054525,0.0088396780192852,0.0100829675793648,-9999,0.00801313109695911,0.00923423748463392,0.0105696385726333,0.0123092774301767,0.0130371302366257,0.0159176141023636,0.00666674459353089,0.00784557685256004,0.0079046580940485,0.0103114387020469,0.00885957665741444,0.00754848401993513,0.0095153683796525,0.00520913815125823,0.0105966180562973,0.0136705068871379,0.0180254466831684,0.0221162904053926,0.024614105001092,0.0282533429563046,0.0305628720670938,0.0308762919157743,0.0305499359965324,0.0300884656608105,0.0288042277097702,0.0263231433928013,0.0240730382502079,0.0198158398270607,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00649341661483049,0.00775288231670856,0.00886139180511236,0.00987473037093878,0.0108726751059294,0.0116553902626038,0.0112877758219838,0.012005552649498,0.0109291132539511,0.0124675845727324,0.0138461031019688,0.015295491553843,0.0284806340932846,0.0364908128976822,0.0338802337646484,0.0319422222673893,0.0280792377889156,0.027872558683157,0.0263388659805059,0.0212415978312492,0.0221093315631151,0.0205198917537928,0.0234950855374336,0.0269472133368254,0.0284991413354874,0.0296302828937769,0.0309474784880877,0.0314599461853504,0.0320257432758808,0.0323992595076561,0.0326122790575027,0.0328268744051456,0.0331533029675484,0.0328918546438217,0.0303623266518116,0.0255819167941809,0.0209363661706448,0.0215295180678368,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00833482481539249,0.0079342657700181,0.00768160354346037,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0137824453413486,-9999,-9999,-9999,0.011988490819931,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00649028504267335,0.00761820562183857,0.00903834123164415,-9999,0.010716107673943,0.0139690488576889,0.0117650628089905,0.0129931783303618,0.0148889292031527,0.0197858288884163,0.025230910629034,0.0233948491513729,0.0413801334798336,0.0493124462664127,0.0483185686171055,0.044198140501976,0.0392948351800442,0.0350122377276421,0.0325259491801262,0.0313931927084923,0.03133524954319,0.0310362763702869,0.0302311852574348,0.0298713203519583,0.0297867972403765,0.0299294777214527,0.0258601121604443,0.0305900443345308,0.0313835665583611,0.0314444005489349,0.0316078774631023,0.0319113023579121,0.0322531387209892,0.0319314114749432,0.0283664837479591,0.0230935383588076,0.0179155915975571,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0104363998398185,0.0167369153350592,0.0120833488181233,0.00602590478956699,0.00629197945818305,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0114634037017822,0.0135233663022518,-9999,-9999,0.00911819003522396,0.0106005938723683,-9999,-9999,0.0112801650539041,0.0213413443416357,-9999,-9999,-9999,-9999,-9999,0.01100785844028,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0110295433551073,0.013778280466795,0.0123913660645485,0.0108845820650458,0.00931017007678747,0.00959659088402987,0.0099541274830699,0.00919291842728853,0.0355044007301331,0.0490593053400517,0.0466336794197559,0.041687797755003,0.0377447716891766,0.0349690765142441,0.0329435020685196,0.0316671058535576,0.0307006202638149,0.0299608819186687,0.0296154990792274,0.0294056609272957,0.0273466408252716,0.00122640421614051,0.00447278190404177,0.0194603521376848,0.030267670750618,0.0311665292829275,0.0308611430227757,0.030815189704299,0.0312228426337242,0.0322407633066177,0.0333922542631626,0.0318712703883648,0.0244908723980188,0.0171700064092875,-9999,-9999,-9999,-9999,-9999,0.00735892215743661,0.010448626242578,0.0147680332884192,0.0245004706084728,0.0206608455628157,0.0143385026603937,0.00980646628886461,0.00521765928715467,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0113797010853887,0.0116866864264011,-9999,-9999,-9999,-9999,0.00973426178097725,0.0110656749457121,0.0112184341996908,0.0153958685696125,0.0100502222776413,0.0103660132735968,0.0108407353982329,0.0153144560754299,0.00930558796972036,0.00937151443213224,-9999,0.0105679873377085,0.0182157047092915,-9999,-9999,0.0314153917133808,0.0118783265352249,0.00995462294667959,0.00902863871306181,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0098914559930563,0.00728257326409221,-9999,-9999,-9999,0.0127942049875855,0.0129278423264623,0.0122302798554301,0.0104345520958304,0.0110398456454277,0.00844460632652044,0.0119713637977839,0.0383701808750629,0.0469273291528225,0.0434540174901485,0.0387546233832836,0.0355839505791664,0.0333514176309109,0.0318044535815716,0.0307702384889126,0.0301354248076677,0.0298001058399677,0.0298262238502502,0.0135581977665424,0.00043793473741971,0.000548258074559271,0.000516767264343798,0.00256088422611356,0.0135679505765438,0.0283219665288925,0.0309257470071316,0.0305759180337191,0.0305072404444218,0.0312309321016073,0.0329698249697685,0.0346464514732361,0.0306597631424665,0.017245851457119,0.00667212158441544,0.00756005058065057,0.00445423554629087,0.00619652587920427,0.0134594775736332,0.0257973074913025,0.0322433933615685,0.0346014089882374,0.0383580960333347,0.0336855538189411,0.0287625063210726,0.0206372942775488,0.0091741569340229,0.0053690867498517,0.00941587705165148,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
