"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Phytoplankton

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,36.2380447387695,36.7479019165039,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.9020309448242,37.5168418884277,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.13497425604181E-13,1.10173274947556E-08,1.10271134445838E-08,1.10992086632677E-08,-9999,-9999,-9999,-9999,-9999,38.5925788879395,37.7265167236328,38.0659561157227,38.7499465942383,36.8319778442383,35.4361381530762,33.9707717895508,33.6230430603027,33.0471267700195,36.0251083374023,35.4656181335449,34.076286315918,-9999,-9999,25.954080581665,24.8501396179199,24.4425811767578,25.1425647735596,31.4466857910156,34.5401840209961,36.4761619567871,36.1897087097168,33.8863258361816,26.2884674072266,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.10047851678469E-13,2.53913547965112E-08,0.000688214204274118,0.00068907585227862,0.000690683373250067,0.0014466408174485,44.6275901794434,-9999,43.2211036682129,42.3449401855469,41.5073127746582,40.8683624267578,40.9299507141113,40.8493576049805,39.0798568725586,36.840991973877,36.4987182617188,36.80126953125,35.6748161315918,35.6084671020508,36.1117477416992,34.9116973876953,34.1595344543457,32.9848480224609,30.7368946075439,27.8198146820068,25.166919708252,28.2168045043945,31.3212718963623,35.4517936706543,37.6250457763672,37.3576354980469,35.1725006103516,30.0038146972656,23.8585739135742,17.0626583099365,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.47081795631721E-08,0.000793263607192785,45.1437377929688,45.206729888916,45.3020210266113,45.500171661377,45.1536865234375,44.4947738647461,44.2147216796875,42.5035095214844,42.0127487182617,41.0762100219727,40.8677444458008,40.6958618164063,39.5078582763672,38.4988098144531,37.9892883300781,37.5764198303223,37.3848152160645,37.1557502746582,36.857738494873,36.0691070556641,34.9735641479492,33.2116737365723,31.0337829589844,28.0450115203857,25.2182998657227,28.3176383972168,32.4982528686523,36.407470703125,38.181079864502,37.8392677307129,35.4867973327637,30.2132320404053,24.0606288909912,17.0026187896729,14.9494915008545,19.0280246734619,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29.9200115203857,31.2135696411133,33.2172012329102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.3878555297852,-9999,-9999,-9999,40.2634620666504,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44.9625053405762,45.2060737609863,45.3363723754883,-9999,45.7617874145508,45.2164459228516,44.1034469604492,42.7892227172852,42.1341896057129,41.662467956543,41.0981826782227,40.2286758422852,38.369312286377,37.4647674560547,38.3758811950684,38.6549911499023,38.3616409301758,38.0217437744141,37.6707649230957,36.9514541625977,35.9638137817383,35.6210784912109,35.4742584228516,33.517894744873,32.2767028808594,35.0438537597656,37.0546722412109,39.8217926025391,40.9358329772949,40.0685119628906,37.8787040710449,33.4637069702148,30.1913452148438,28.2031936645508,23.8097877502441,18.0498695373535,21.1792621612549,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34.798641204834,36.4961624145508,36.638126373291,35.0862083435059,33.8602600097656,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,38.7686309814453,38.7702369689941,-9999,-9999,40.2729110717773,40.182056427002,-9999,-9999,36.4548988342285,38.2542610168457,-9999,-9999,-9999,-9999,-9999,41.3890724182129,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,45.5580520629883,45.8941421508789,44.3212890625,42.9594764709473,42.3785591125488,41.3269271850586,40.5684661865234,39.0742111206055,37.2188415527344,36.2232780456543,38.6585426330566,39.7438430786133,39.410099029541,38.9773635864258,38.6021156311035,37.8179359436035,36.8397102355957,38.092960357666,39.6405754089355,39.7537651062012,39.021297454834,39.9083786010742,40.9141654968262,42.1249160766602,42.619327545166,41.8519439697266,40.0003242492676,37.0044898986816,35.8872146606445,36.6971740722656,30.8506031036377,19.241907119751,21.4146423339844,25.4699115753174,-9999,-9999,-9999,-9999,-9999,35.4193572998047,35.7054557800293,36.2165794372559,36.5846748352051,37.2623558044434,37.5922737121582,35.894157409668,32.9282455444336,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,38.7481880187988,39.1055068969727,-9999,-9999,-9999,-9999,38.5468597412109,38.6624755859375,38.7463111877441,38.7561988830566,39.4643974304199,40.2197418212891,40.0970840454102,37.7907066345215,36.0941009521484,36.2926292419434,-9999,38.9632301330566,40.9375762939453,-9999,-9999,41.2048416137695,41.4057312011719,41.6435470581055,41.9592018127441,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,41.3967514038086,43.3125305175781,-9999,-9999,-9999,44.4944801330566,44.9612846374512,44.0824127197266,42.5799331665039,42.5316848754883,41.5123672485352,39.7543601989746,36.6485939025879,35.3913650512695,37.7098960876465,39.2864036560059,40.0323753356934,40.0069465637207,39.6678848266602,39.0764274597168,38.2348937988281,38.4952545166016,39.6512756347656,40.056079864502,40.0873756408691,41.1025848388672,41.9606552124023,42.4192924499512,42.6309242248535,42.3532218933105,41.334342956543,38.9222946166992,37.1957817077637,36.0884628295898,31.6975975036621,25.1474914550781,24.8368854522705,25.5368194580078,22.6445789337158,21.6097640991211,22.3543338775635,23.3684463500977,26.0231037139893,30.9927177429199,36.2226943969727,36.4816589355469,36.7906188964844,37.5051002502441,38.3303756713867,38.3358268737793,35.1763229370117,32.9571876525879,33.5771217346191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
