"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Pink shrimp"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.34558052499779E-05,9.43005870794877E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000688601634465158,0.000917939352802932,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.02568750451837E-09,1.53590882234766E-08,2.13758042377776E-08,3.18479180805298E-08,-9999,-9999,-9999,-9999,-9999,0.00686225667595863,0.00733030866831541,0.00714743882417679,0.00802361778914928,0.00848829746246338,0.00731178978458047,0.00596239883452654,0.00425145402550697,0.00453883409500122,0.00266850763000548,0.00456793233752251,0.00495536671951413,-9999,-9999,0.0127404844388366,0.0126878991723061,0.010182311758399,0.0105908429250121,0.0143772596493363,0.0145600009709597,0.0138964988291264,0.0144965779036283,0.0124765383079648,0.01134143024683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.56677867638678E-09,2.44815225869388E-08,9.61428412438181E-08,1.24221983810457E-07,2.02430214812921E-07,6.06687251547555E-07,2.22387348003394E-06,-9999,0.0021956549026072,0.0070101311430335,0.00798245426267385,0.00678236782550812,0.00649566389620304,0.00646913005039096,0.00740107614547014,0.00686868093907833,0.00500945234671235,0.0047609955072403,0.00488438829779625,0.00570927560329437,0.00662925140932202,0.00869555771350861,0.0114242937415838,0.0130194993689656,0.0142413843423128,0.0149196516722441,0.0181722100824118,0.0199864692986012,0.0211745146661997,0.0216827411204576,0.0206844452768564,0.0202416609972715,0.0192649252712727,0.0190172549337149,0.01786769926548,0.0167735833674669,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.77772214726701E-08,1.0428810526264E-07,7.32155342575425E-07,8.22872038952482E-07,9.9842236522818E-07,2.22447351916344E-06,1.46238344314042E-05,0.000189062702702358,0.00188591238111258,0.00817148946225643,0.00748622184619308,0.00640099262818694,0.00589800719171762,0.00632913410663605,0.00781264901161194,0.00944178830832243,0.00928911194205284,0.0100921019911766,0.0103328758850694,0.0109075931832194,0.011826011352241,0.0132726663723588,0.0156128108501434,0.0180759187787771,0.0216956939548254,0.0231907367706299,0.0262519158422947,0.0287990048527718,0.0291009042412043,0.0305547807365656,0.0295757856220007,0.0278599783778191,0.0263024475425482,0.0252224802970886,0.0224849153310061,0.0196206960827112,0.0159300677478313,0.0160331632941961,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0050570541061461,0.00534570449963212,0.00562753295525908,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00451296474784613,-9999,-9999,-9999,8.25698662083596E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.66878338001698E-07,8.81073162872781E-07,9.1036133653688E-07,-9999,1.62628221005434E-05,0.000176266694325022,0.00160507508553565,0.00589929381385446,0.00673867296427488,0.00574907194823027,0.00590414460748434,0.00708943465724587,0.00961367413401604,0.0120734693482518,0.0144999083131552,0.0163033530116081,0.0187256261706352,0.0196405649185181,0.0200928281992674,0.0221903771162033,0.025447778403759,0.0274980701506138,0.0296087972819805,0.0324284583330154,0.030942065641284,0.0128278024494648,0.00438671186566353,0.0108991218730807,0.0359453521668911,0.0378040112555027,0.035118393599987,0.032656341791153,0.0284918248653412,0.024949437007308,0.0213904324918985,0.0175858363509178,0.0144613943994045,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00606784597039223,0.00650999881327152,0.00637928163632751,0.00584924779832363,0.00576597871258855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00233900593593717,0.00442648585885763,-9999,-9999,0.0014981864951551,0.000788639998063445,-9999,-9999,0.00106040318496525,0.000711474218405783,-9999,-9999,-9999,-9999,-9999,2.47538559960958E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.0779612896149E-05,0.000212133629247546,0.00136022246442735,0.00520975235849619,0.0065457196906209,0.00585368974134326,0.00542890327051282,0.0049687223508954,0.00957930367439985,0.0118220560252666,0.0182562861591578,0.0248923934996128,0.0274944994598627,0.0279578063637018,0.028117960318923,0.0299710240215063,0.0320201180875301,0.0348801463842392,0.0380036421120167,0.0340459793806076,0.00424784328788519,0.00358314625918865,0.00270617753267288,0.00398430926725268,0.00568625517189503,0.0373740643262863,0.0399526171386242,0.0379772633314133,0.0341414101421833,0.0303877592086792,0.0257002282887697,0.0211268179118633,0.0171607285737991,0.0136145362630486,-9999,-9999,-9999,-9999,-9999,0.00681709730997682,0.00847125612199306,0.00799408555030823,0.00885261222720146,0.0078857559710741,0.00605163676664233,0.00563537050038576,0.00534755922853947,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00526729691773653,0.00459961872547865,-9999,-9999,-9999,-9999,0.00196845107711852,0.00330148753710091,0.00470986496657133,0.00737207569181919,0.0048485635779798,0.00403176713734865,0.00425764732062817,0.00724261440336704,0.00554016558453441,0.00387165765278041,-9999,0.000794066116213799,0.000558139523491263,-9999,-9999,5.39906031917781E-05,4.43526514573023E-05,4.03189078497235E-05,3.4105727536371E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.86389899631467E-07,4.62153366243001E-07,-9999,-9999,-9999,0.000707891769707203,0.00182690331712365,0.00393537618219852,0.00548027269542217,0.00504903681576252,0.00456875050440431,0.00753292441368103,0.0109418509528041,0.0152366468682885,0.0238213427364826,0.0310442112386227,0.0343088023364544,0.0336598753929138,0.0338356122374535,0.0352530889213085,0.036950159817934,0.0398183986544609,0.040320847183466,0.00378897739574313,0.00254881288856268,0.0023786355741322,0.00184851174708456,0.0025063524954021,0.00314715621061623,0.0045552821829915,0.0288985688239336,0.0441423542797565,0.0385238379240036,0.0352912768721581,0.0313922725617886,0.0261108931154013,0.0203107614070177,0.0134341903030872,0.00713825831189752,0.00331424572505057,0.00181493535637856,0.00863473210483789,0.0116848321631551,0.0133173819631338,0.0143027594313025,0.0144895697012544,0.0142454653978348,0.0131254028528929,0.0121938288211823,0.00947172660380602,0.00633856561034918,0.00509340083226562,0.00437319930642843,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
