"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Red snapper (0yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00230029155500233,0.00232626590877771,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00375331449322402,0.00379642238840461,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.04608204512624E-05,2.7851237973664E-05,4.05210230383091E-05,5.66429553146008E-05,-9999,-9999,-9999,-9999,-9999,0.00447537796571851,0.00502698821946979,0.00584498140960932,0.00610912917181849,0.00652583176270127,0.00736983818933368,0.00800013821572065,0.00868386495858431,0.00860280729830265,0.00648283446207643,0.00788303278386593,0.00726613774895668,-9999,-9999,0.00857437774538994,0.0112759321928024,0.0109832668676972,0.0125914942473173,0.0162250623106956,0.0156073877587914,0.015371223911643,0.0165276415646076,0.0151524161919951,0.0119612030684948,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.89495094673475E-05,2.45951287070056E-05,3.59725090675056E-05,5.64173351449426E-05,9.54288843786344E-05,0.000167819336638786,0.000396307412302122,-9999,0.00279884482733905,0.00429851049557328,0.00523301819339395,0.00808017048984766,0.00914718024432659,0.0100638959556818,0.00940769724547863,0.0107609601691365,0.0114633655175567,0.012999078258872,0.0126617942005396,0.0113512426614761,0.0110213570296764,0.00920803658664227,0.0102400425821543,0.0127561027184129,0.0146729918196797,0.0174664650112391,0.0207627136260271,0.0229125395417213,0.0220408923923969,0.0227887276560068,0.0225456617772579,0.0198062621057034,0.021994736045599,0.0217627193778753,0.0189202073961496,0.0144198890775442,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.26709416892845E-05,3.04952463920927E-05,4.5252400013851E-05,7.09865562384948E-05,0.000119165022624657,0.000375462142983451,0.000837723549921066,0.00169980514328927,0.00262998626567423,0.00493575865402818,0.00784477405250072,0.00986675079911947,0.0135185811668634,0.0155759649351239,0.0170210599899292,0.019307691603899,0.0184890795499086,0.019129266962409,0.0198610443621874,0.0183139573782682,0.0174528323113918,0.0166864600032568,0.0172300506383181,0.0199122279882431,0.0208097603172064,0.0236734766513109,0.0241777505725622,0.0257336515933275,0.0170462373644114,0.021832812577486,0.0240292064845562,0.0233829356729984,0.0217967703938484,0.0231910981237888,0.0227216724306345,0.0207548961043358,0.0164496768265963,0.0133930770680308,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0100173288956285,0.00915842689573765,0.00799854006618261,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0052900998853147,-9999,-9999,-9999,0.00678581511601806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.27909326390363E-05,5.71658238186501E-05,7.93681610957719E-05,-9999,0.00118887750431895,0.0019286050228402,0.00281942565925419,0.0046584359370172,0.0071878838352859,0.0102386167272925,0.0126548875123262,0.0125933298841119,0.0187619365751743,0.0245302282273769,0.0241642892360687,0.0233509242534637,0.0241593718528748,0.0253556314855814,0.0229863189160824,0.0235264953225851,0.0238743983209133,0.0247654989361763,0.0221792533993721,0.0252241361886263,0.0222024768590927,0.0177816189825535,0.0139301512390375,0.018241960555315,0.0189048368483782,0.0184465311467648,0.0163929220288992,0.0200873073190451,0.0229808762669563,0.0228030290454626,0.0215607769787312,0.0180204771459103,0.0133498068898916,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0131349889561534,0.0141415167599916,0.0103848362341523,0.008777872659266,0.00799553841352463,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.006590377073735,0.00781157054007053,-9999,-9999,0.00854652095586061,0.0086552994325757,-9999,-9999,0.00771727366372943,0.00754828797653317,-9999,-9999,-9999,-9999,-9999,0.00406539952382445,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00155794294551015,0.00233008456416428,0.00326601113192737,0.00431005656719208,0.00646148482337594,0.00830313097685575,0.00990479253232479,0.0106526622548699,0.0170283634215593,0.0243628714233637,0.0248683877289295,0.022416740655899,0.0220845080912113,0.0245654918253422,0.0240217726677656,0.0237000603228807,0.0238125454634428,0.0225991513580084,0.0238561984151602,0.0176330469548702,0.016181368380785,0.00912204850465059,0.007029022090137,0.0110404184088111,0.0164983868598938,0.0180037580430508,0.0161895453929901,0.0155665148049593,0.0188104957342148,0.0198487006127834,0.0225286055356264,0.0224075950682163,0.0179011952131987,0.0131224859505892,-9999,-9999,-9999,-9999,-9999,0.0125468485057354,0.0128050344064832,0.0164577662944794,0.0166824925690889,0.0148797798901796,0.012624672614038,0.0106268050149083,0.00839958619326353,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00649988232180476,0.00682390807196498,-9999,-9999,-9999,-9999,0.00928620807826519,0.00936367642134428,0.00951136462390423,0.0114949503913522,0.0108570121228695,0.011769381351769,0.0121339289471507,0.0127928666770458,0.0118469260632992,0.00917291641235352,-9999,0.0073786280117929,0.00841374509036541,-9999,-9999,0.00646104011684656,0.0045374040491879,0.00351864518597722,0.00237789773382246,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0052031553350389,0.00467437505722046,-9999,-9999,-9999,0.00523925060406327,0.00536133581772447,0.00558149069547653,0.0069803548976779,0.00822828710079193,0.00922211445868015,0.0108814854174852,0.01825968362391,0.0249240174889565,0.0250643286854029,0.0220780186355114,0.0207683574408293,0.0216554906219244,0.0227065496146679,0.019757492467761,0.0212938599288464,0.020932761952281,0.0161423273384571,0.00979284197092056,0.00746692856773734,0.00492935813963413,0.00383475376293063,0.00563150923699141,0.00819557812064886,0.0122737260535359,0.0163389220833778,0.0169852152466774,0.0172097887843847,0.0206121653318405,0.022947009652853,0.0251819062978029,0.0208505485206842,0.0155256520956755,0.00949885975569487,0.00917243026196957,0.00595969567075372,0.00960405357182026,0.0148205617442727,0.018301896750927,0.0192905701696873,0.0217705871909857,0.0200421325862408,0.0172395054250956,0.0156522672623396,0.0153332548215985,0.0113012194633484,0.00894003920257092,0.00815405417233706,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
