"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Reef invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.63795542297885E-05,7.43804412195459E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000137978917337023,0.000142603224958293,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000173283537151292,0.000132516273879446,9.86732775345445E-05,8.11588033684529E-05,-9999,-9999,-9999,-9999,-9999,2.08711171580944E-05,3.14720346068498E-05,3.82346006517764E-05,7.23412231309339E-05,0.000126235274365172,0.000276248581940308,0.000349092500982806,0.000573729746975005,0.000547676521819085,0.000430163985583931,0.000426121609052643,0.000404646736569703,-9999,-9999,0.000581118743866682,0.000393617374356836,2.18671302718576E-05,1.20524418889545E-05,3.64008592441678E-05,6.47994893370196E-05,8.61125809024088E-05,8.35961764096282E-05,4.71793537144549E-05,1.45468711707508E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000173550331965089,0.000132639717776328,8.11446734587662E-05,5.25264549651183E-05,3.29136673826724E-05,1.40406637001433E-05,7.65801269153599E-06,-9999,6.14113969277241E-06,9.54589631874114E-06,1.84727523446782E-05,3.41861014021561E-05,8.72167438501492E-05,0.000155331246787682,0.000345617532730103,0.000540205626748502,0.00101212610024959,0.00136811041738838,0.00143179192673415,0.00129471381660551,0.00116393540520221,0.00102149962913245,0.00125599885359406,0.00139247428160161,0.000954743009060621,0.000224634670303203,0.000192706254892983,0.000339806050760671,0.000623874017037451,0.00100355292670429,0.00121328036766499,0.000758190464694053,0.000925149652175605,0.000486367120174691,0.000285884307231754,0.000122127865324728,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000142638964462094,8.95487319212407E-05,3.95893621316645E-05,2.31297726713819E-05,1.43353063322138E-05,1.09143711597426E-05,6.43325074634049E-06,7.24363280824036E-06,7.23254925105721E-06,1.13519208753132E-05,2.41364432440605E-05,8.4295759734232E-05,0.000229863551794551,0.000672161870170385,0.00138721440453082,0.00339791784062982,0.0040598651394248,0.00552598899230361,0.00652744807302952,0.00553837697952986,0.00484369322657585,0.00401994818821549,0.00399643927812576,0.00463661644607782,0.00142237660475075,0.000951913767494261,0.000722463126294315,0.00160821282770485,0.00239027477800846,0.00315375835634768,0.00307363271713257,0.00301959388889372,0.0013606013962999,0.00116200791671872,0.000835797167383134,0.000587314483709633,0.000249313627136871,5.43276764801703E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.24358040618245E-05,4.67737445433158E-05,3.84666927857324E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.10114906419767E-05,-9999,-9999,-9999,1.51638432726031E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.5827366951271E-05,1.22581404866651E-05,8.72975215315819E-06,-9999,5.00507348988322E-06,8.04825867817272E-06,8.12535836303141E-06,1.15772081699106E-05,3.77318792743608E-05,9.16408971534111E-05,0.000258297834079713,0.000728345010429621,0.00239334302023053,0.0070297378115356,0.00988663546741009,0.0106277847662568,0.0116754164919257,0.012565185315907,0.010354021564126,0.00894899014383554,0.00811921618878841,0.00543572194874287,0.00267997477203608,0.00265873363241553,0.00317235803231597,0.00310283759608865,0.000106394887552597,0.00156004540622234,0.00599513435736299,0.00500069558620453,0.0023302196059376,0.00143697485327721,0.00108557462226599,0.000978963798843324,0.000579161685891449,0.000190607490367256,3.92825568269473E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.14348539581988E-05,8.28773918328807E-05,4.10839202231728E-05,4.75637716590427E-05,6.11467912676744E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.97239423869178E-05,2.09369773074286E-05,-9999,-9999,3.5457964258967E-05,5.02794391650241E-05,-9999,-9999,4.20721844420768E-05,2.01231796381762E-05,-9999,-9999,-9999,-9999,-9999,1.23611598610296E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.63700154493563E-06,1.34455158331548E-05,1.1277104022156E-05,1.43429897434544E-05,3.23413660225924E-05,8.48119816510007E-05,0.000222434595343657,0.000486407720018178,0.00152376154437661,0.00622598547488451,0.0104899741709232,0.0110686151310802,0.00770740630105138,0.00471020443364978,0.00395358586683869,0.0038541501853615,0.00426057726144791,0.00507083861157298,0.00510295759886503,0.0107187442481518,0.00115949031896889,1.27772091218503E-05,2.75676370620204E-06,1.15150905912742E-05,0.00127111305482686,0.0046270415186882,0.00248393416404724,0.00152334733866155,0.00121105986181647,0.00143200031016022,0.00102990330196917,0.000418553769122809,0.000127403851365671,2.43946324189892E-05,-9999,-9999,-9999,-9999,-9999,2.16618591366569E-05,3.68528417311609E-05,0.000121918463264592,0.000186409917660058,0.000110152512206696,8.8084110757336E-05,9.13492986001074E-05,8.38944979477674E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.14371459858376E-05,1.50767800732865E-05,-9999,-9999,-9999,-9999,4.51909290859476E-05,6.93800684530288E-05,9.09715818124823E-05,0.000154615452629514,0.000162055424880236,0.000168644211953506,0.000199435948161408,0.000299840699881315,0.000236649051657878,0.000144006728078239,-9999,6.15815952187404E-05,5.00257847306784E-05,-9999,-9999,2.35301813518163E-05,1.52816319314297E-05,1.01591322163586E-05,8.16282499727095E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.2722004915704E-06,1.17712797873537E-05,-9999,-9999,-9999,2.08825076697394E-05,2.2175216145115E-05,2.26859647227684E-05,3.32939489453565E-05,8.737370808376E-05,0.000167882913956419,0.000322510808473453,0.000702692836057395,0.00196105754002929,0.00280863326042891,0.0032222606241703,0.00274406815879047,0.00243662600405514,0.00336687965318561,0.00325451791286469,0.00327921495772898,0.00448828143998981,0.00924043729901314,3.85955390811432E-05,7.02640500094276E-06,8.86271834588115E-07,6.27552822152211E-07,9.06732509520225E-07,6.29099440629943E-06,9.76662413449958E-05,0.00175615912303329,0.00229468569159508,0.00188678980339319,0.00209474260918796,0.00160516984760761,0.000770314014516771,0.000244191876845434,2.58139752986608E-05,3.48870412381075E-06,1.6434979670521E-06,1.36490336899442E-06,4.77775392937474E-06,3.29087233694736E-05,9.70628825598396E-05,0.000245030678343028,0.000517011038027704,0.000430251966463402,0.000216942804399878,0.000150497231516056,0.000131289445562288,9.69622633419931E-05,9.81696284725331E-05,9.14612392080016E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
