"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Reef omnivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.92526030673434E-07,1.82057064535002E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.5136028600391E-05,3.16467449010815E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.38740616217881E-10,2.30578653392932E-10,2.29977231702705E-10,2.18418547137667E-10,-9999,-9999,-9999,-9999,-9999,7.81260223448044E-06,7.46206133044325E-05,9.21961618587375E-05,7.47391022741795E-05,5.90768322581425E-05,6.296337232925E-05,7.83866780693643E-05,9.36933720367961E-05,9.24466585274786E-05,8.75651530805044E-05,8.68191200424917E-05,7.10087770130485E-05,-9999,-9999,0.000113715490442701,9.09037698875181E-05,1.38649636483024E-06,8.45885892886145E-07,4.36067284681485E-06,9.63850197877036E-06,1.3352628229768E-05,1.28652627608972E-05,3.41594500241627E-06,5.26531493960647E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.47998974187047E-10,3.54411194836146E-10,1.21484289294926E-09,1.23697474485596E-09,1.23423715692184E-09,1.82827064598712E-09,9.22107989964616E-09,-9999,1.66263987466664E-07,5.73691022509593E-06,7.15666319592856E-05,0.000125483929878101,0.000191515064216219,0.000193693558685482,0.000115218754217494,0.000139376861625351,0.000189093218068592,0.000387812353437766,0.000323388580000028,0.000186737583135255,0.00017117997049354,0.000118595795356669,0.000254675134783611,0.000621921673882753,0.00121716863941401,0.000471354898763821,0.000465891294879839,0.000705528887920082,0.00157476065214723,0.00247474852949381,0.0027967372443527,0.00146851094905287,0.00198359740898013,0.00133520958479494,0.00276447250507772,0.000970431254245341,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.82931372774797E-10,1.37447253578671E-09,1.05459943000596E-08,1.04786144206059E-08,1.02281854097441E-08,9.91030990604713E-09,1.13577618421346E-08,1.80466432908588E-08,2.95050188725554E-08,5.85613524890505E-05,0.000101231256849132,0.000222680551814847,0.000931029324419796,0.00366881373338401,0.0066806897521019,0.00954016577452421,0.00922684650868177,0.0136695522814989,0.0181584600359201,0.0149147603660822,0.0126537382602692,0.0103768920525908,0.0109308809041977,0.0145049504935741,0.00383654702454805,0.00344797479920089,0.00236413977108896,0.00378985027782619,0.0035130528267473,0.00463462853804231,0.00440399348735809,0.00462485104799271,0.00226596416905522,0.00329342391341925,0.0055567929521203,0.00628554448485374,0.0028756707906723,0.00010063880472444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.36204680529772E-05,2.57267620327184E-05,2.80686217593029E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.05751067692017E-08,-9999,-9999,-9999,4.54213204648113E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.04412860579828E-08,1.0225139845943E-08,1.02995034723108E-08,-9999,1.02606545482331E-08,1.2673026184018E-08,1.80014083639435E-08,6.31853254162706E-05,0.000101111378171481,0.00018396505038254,0.000365253363270313,0.000285780435660854,0.00677355611696839,0.0169569198042154,0.0165702905505896,0.0163977537304163,0.0212731491774321,0.0295391995459795,0.0253749862313271,0.0222667008638382,0.0189318545162678,0.0110892029479146,0.00528791965916753,0.00548660475760698,0.00655248900875449,0.000313774071400985,2.96338635052962E-06,1.52809025166789E-05,0.00307721202261746,0.00461798207834363,0.002528240904212,0.00239941361360252,0.00325978058390319,0.00477158557623625,0.00402015121653676,0.00193628726992756,5.89133524044883E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.85179664590396E-05,0.000149069222970866,3.01710770145291E-05,4.35845795436762E-05,5.8572299167281E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.18348852993222E-05,2.75330512522487E-05,-9999,-9999,7.28164377505891E-05,8.75771584105678E-05,-9999,-9999,7.33820488676429E-05,5.16584259457886E-05,-9999,-9999,-9999,-9999,-9999,1.39255114106618E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.25137477736371E-09,1.10510400830321E-08,1.45831648978856E-08,4.49854887847323E-05,6.38205092400312E-05,9.01128223631531E-05,9.11769748199731E-05,8.56285769259557E-05,0.0016612735344097,0.0123245464637876,0.0137207852676511,0.012757046148181,0.00951223727315664,0.00548003800213337,0.00523811904713511,0.00580145418643951,0.00681163882836699,0.00762640591710806,0.00652362173423171,0.00880534015595913,1.20489212349639E-05,6.35433707429911E-07,3.96616677278416E-08,3.81694519546727E-07,1.06706966107595E-05,0.000338821875629947,0.00121484068222344,0.00172750267665833,0.00175904715433717,0.00276491371914744,0.0037155500613153,0.00271547143347561,0.00107835966628045,1.6075893654488E-05,-9999,-9999,-9999,-9999,-9999,4.33903187513351E-06,1.14126323751407E-05,0.000235989238717593,0.00139923754613847,0.000266247254330665,0.000136565635330044,9.23483166843653E-05,5.76212296437006E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.00293566574328E-08,2.63326029426025E-07,-9999,-9999,-9999,-9999,9.52480841078795E-05,7.91386119090021E-05,9.45528008742258E-05,0.000115243601612747,0.000108546781120822,0.000114363123429939,0.000153352477354929,0.00037915597204119,0.000151990636368282,0.000111631161416881,-9999,7.98198816482909E-05,7.59123577154242E-05,-9999,-9999,2.3152148060035E-05,1.46868560477742E-05,8.729142791708E-06,5.46617866348242E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.53667389923839E-08,1.60292472628498E-08,-9999,-9999,-9999,1.4227263811506E-08,1.51939882897523E-08,2.82550117844949E-05,4.09871827287134E-05,5.86471323913429E-05,8.38594496599399E-05,0.000132802917505614,0.00243381201289594,0.0040625398978591,0.00268320715986192,0.00267197377979755,0.00243975967168808,0.00245054787956178,0.00423034094274044,0.0042750546708703,0.00434192735701799,0.00513959908857942,0.00647052982822061,3.57902877112792E-06,1.30976445689157E-07,7.11595271596366E-09,4.63501209635453E-10,4.69375027734031E-09,1.50032775536602E-07,2.55804752669064E-06,3.81116951757576E-05,0.00256216782145202,0.00249622482806444,0.00346250692382455,0.00420517474412918,0.00360404746606946,0.00135811662767082,1.59790761244949E-05,2.58226890537117E-07,1.65686060427106E-07,1.77864862394017E-07,4.24404618115659E-07,6.54398245387711E-05,0.000423174526076764,0.00102269626222551,0.00341435149312019,0.00286639947444201,0.00158228736836463,0.000982384546659887,0.000256225641351193,5.65153568459209E-05,3.1601324735675E-05,3.04143613902852E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
