"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Reef piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00589071866124868,0.00583304231986403,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0129677252843976,0.0126654775813222,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00202702428214252,0.00212263688445091,0.00219743675552309,0.00223521515727043,-9999,-9999,-9999,-9999,-9999,0.0120738996192813,0.0257587991654873,0.029798086732626,0.0325167588889599,0.0304489433765411,0.0350959897041321,0.0331637971103191,0.0308615863323212,0.0287360362708569,0.0254595968872309,0.0239466540515423,0.0203380677849054,-9999,-9999,0.0145494155585766,0.0133152455091476,0.0129484739154577,0.0164902657270432,0.0258842147886753,0.0270783547312021,0.0318754464387894,0.0379754342138767,0.0283709019422531,0.0165022648870945,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00204269494861364,0.00218407134525478,0.00247633690014482,0.00264784088358283,0.00269936118274927,0.00297909858636558,0.00320794596336782,-9999,0.00728739658370614,0.0112823192030191,0.0234875753521919,0.0316482037305832,0.0369558893144131,0.0402019210159779,0.0450852960348129,0.0438736937940121,0.0398053377866745,0.0425915829837322,0.0415788181126118,0.0368014052510262,0.0320727787911892,0.0247875601053238,0.0257740560919046,0.0273504815995693,0.0285746436566114,0.0310733485966921,0.0457581505179405,0.0542820356786251,0.0604416616261005,0.0730493739247322,0.0863223373889923,0.0616436041891575,0.0818150714039803,0.0593485496938229,0.029230834916234,0.013758865185082,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00214147428050637,0.00247670896351337,0.00330610363744199,0.00361431203782558,0.00360041903331876,0.00381836039014161,0.00408580340445042,0.00618601171299815,0.00879546161741018,0.0209939163178205,0.0283694677054882,0.035709984600544,0.0457661114633083,0.0708389729261398,0.0860631540417671,0.0991802886128426,0.104532361030579,0.118666023015976,0.133573055267334,0.107357800006866,0.0885592252016068,0.0697900205850601,0.0674893781542778,0.0799733400344849,0.0643338412046432,0.0597097538411617,0.0445490330457687,0.0603224337100983,0.0614113546907902,0.0835011377930641,0.0925384312868118,0.0929163992404938,0.0593150146305561,0.0579945556819439,0.0474840179085732,0.0381409600377083,0.019756268709898,0.00785540230572224,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0240322891622782,0.0238856635987759,0.0160157512873411,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0150718670338392,-9999,-9999,-9999,0.0178334191441536,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00420637242496014,0.00425977539271116,0.00384245347231627,-9999,0.0048314412124455,0.00767216831445694,0.00954433064907789,0.0189425088465214,0.0248040594160557,0.0296944379806519,0.0413154363632202,0.0404455848038197,0.086093544960022,0.157750219106674,0.156382218003273,0.14483630657196,0.159699961543083,0.176820740103722,0.140348061919212,0.120621502399445,0.122121572494507,0.125683814287186,0.086992472410202,0.0702556818723679,0.0639944970607758,0.0489133819937706,0.00562480045482516,0.0301081798970699,0.0799851790070534,0.0816793441772461,0.0585544183850288,0.0493801720440388,0.044630404561758,0.0427214056253433,0.0309237781912088,0.0213162787258625,0.00865387730300426,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0346065498888493,0.0375097021460533,0.0207199789583683,0.0176095850765705,0.0152837038040161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.020539591088891,0.0214679017663002,-9999,-9999,0.0262286365032196,0.0248381998389959,-9999,-9999,0.0155155993998051,0.0111944805830717,-9999,-9999,-9999,-9999,-9999,0.0175286866724491,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00605751760303974,0.00969609711319208,0.0105084516108036,0.0172457452863455,0.0225331448018551,0.0321545004844666,0.031202120706439,0.0324069485068321,0.0662827640771866,0.131336361169815,0.142260894179344,0.127868592739105,0.116743832826614,0.128415986895561,0.114406861364841,0.106955483555794,0.116661012172699,0.134198263287544,0.113376118242741,0.121490210294724,0.0221114568412304,0.000483700045151636,0.000148322418681346,0.000744055607356131,0.0258312188088894,0.0631360411643982,0.0500872097909451,0.0463983155786991,0.0437104925513268,0.0455184392631054,0.0405385382473469,0.0310863554477692,0.0215400476008654,0.010321756824851,-9999,-9999,-9999,-9999,-9999,0.0236567053943872,0.0233293250203133,0.0421028919517994,0.0538061708211899,0.0308897290378809,0.0259701088070869,0.0220127385109663,0.0163533445447683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.011674240231514,0.0191919282078743,-9999,-9999,-9999,-9999,0.02707364782691,0.0275640208274126,0.0303311944007874,0.0379698611795902,0.0395283177495003,0.0358871743083,0.0331512056291103,0.0346663482487202,0.0291656590998173,0.0210693888366222,-9999,0.0242801401764154,0.0260436721146107,-9999,-9999,0.0246268585324287,0.0193772818893194,0.0151683185249567,0.0104177882894874,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00498983170837164,0.00575598701834679,-9999,-9999,-9999,0.0279230959713459,0.0241027623414993,0.0207783877849579,0.0226076804101467,0.0283142160624266,0.031419362872839,0.0375839099287987,0.0757431760430336,0.11627484858036,0.11773470044136,0.108141638338566,0.0994267240166664,0.0989280045032501,0.118298768997192,0.103319272398949,0.103340685367584,0.106363005936146,0.123820446431637,0.00149875145871192,0.000250695127760991,2.2253903807723E-05,9.90454918792238E-06,4.24702702730428E-05,0.000288165756501257,0.00484092812985182,0.0363077223300934,0.0566441975533962,0.0587490648031235,0.0614087656140327,0.0530208721756935,0.0421672016382217,0.0300900153815746,0.0130995465442538,0.00868568196892738,0.00874811783432961,0.00931437313556671,0.0116825122386217,0.0249478314071894,0.040051244199276,0.05074467882514,0.0882731303572655,0.0815134346485138,0.0571161285042763,0.0431661680340767,0.0333372466266155,0.0243878550827503,0.019377326592803,0.0159682389348745,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
