"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Sardine-herring-scad

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000935590243898332,0.000963278580456972,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00162059790454805,0.00182998739182949,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.24287817016011E-06,1.99651822185842E-06,3.10981340589933E-06,4.78739229947678E-06,-9999,-9999,-9999,-9999,-9999,0.00044504480320029,0.00070902012521401,0.00117557018529624,0.00193858111742884,0.00255208509042859,0.00317967473529279,0.0043442384339869,0.00476852850988507,0.0045793647877872,0.00383293908089399,0.00462245987728238,0.00522453850135207,-9999,-9999,0.00705183297395706,0.00825289078056812,0.00264075119048357,0.00273876776918769,0.0112217301502824,0.01418980024755,0.0121347848325968,0.0129419406875968,0.00667644757777452,0.00279831746593118,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.24077212149132E-06,2.10133134714852E-06,3.83718679586309E-06,6.17648129264126E-06,9.99029180093203E-06,1.80129227373982E-05,3.72607573808637E-05,-9999,0.000130939210066572,0.000299629755318165,0.000599323655478656,0.00113285600673407,0.00209036446176469,0.003916937392205,0.00478243641555309,0.00533200381323695,0.00726671842858195,0.00925222784280777,0.00891424249857664,0.00810742378234863,0.00912266504019499,0.00688525475561619,0.0115848388522863,0.0165135413408279,0.0230742413550615,0.0402344577014446,0.0702162832021713,0.107903204858303,0.124355629086494,0.130196452140808,0.12225903570652,0.109565548598766,0.0951905399560928,0.0736898183822632,0.0360446721315384,0.0174133870750666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.99482883544988E-06,3.85356997867348E-06,9.25784115679562E-06,1.49813104144414E-05,2.33132541325176E-05,3.65751038771123E-05,5.89102164667565E-05,0.000101104080385994,0.00017116627714131,0.00043780158739537,0.00088963087182492,0.00179808819666505,0.0050220238044858,0.0114185828715563,0.0257565155625343,0.0422527641057968,0.0449943132698536,0.0649066269397736,0.0781702101230621,0.0554501377046108,0.0609642118215561,0.0589166581630707,0.0753758400678635,0.118985623121262,0.130704164505005,0.156883388757706,0.195717096328735,0.230047777295113,0.236736088991165,0.247617870569229,0.236458092927933,0.210531234741211,0.180504187941551,0.153210654854774,0.124695532023907,0.0913451015949249,0.0529464781284332,0.0171877611428499,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000777119596023113,0.000837908533867449,0.000843763002194464,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000729246239643544,-9999,-9999,-9999,0.00123195920605212,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.9915163294354E-06,1.06467714431346E-05,1.63191689352971E-05,-9999,7.88844845374115E-05,0.000133916677441448,0.000180972390808165,0.000460845796624199,0.000955581606831402,0.00191980914678425,0.0039645591750741,0.00615245429798961,0.0336438976228237,0.117249876260757,0.165305495262146,0.180635780096054,0.178579613566399,0.16078245639801,0.150971263647079,0.161137714982033,0.178225442767143,0.189856633543968,0.211026638746262,0.253002971410751,0.299944013357162,0.302663803100586,0.180430918931961,0.297602891921997,0.328087031841278,0.300144761800766,0.254101037979126,0.208259433507919,0.173860922455788,0.146947830915451,0.103078067302704,0.0599583014845848,0.0137714194133878,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00135806959588081,0.00175394851248711,0.00140274642035365,0.00112256081774831,0.000927235931158066,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00127730867825449,0.00128750107251108,-9999,-9999,0.00195678719319403,0.00212278449907899,-9999,-9999,0.00198051054030657,0.00208341726101935,-9999,-9999,-9999,-9999,-9999,0.000286983500700444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000110595239675604,0.000208533019758761,0.000297296122880653,0.000453643675427884,0.000773318985011429,0.00142689107451588,0.00256846938282251,0.00409077713266015,0.0269302390515804,0.13875350356102,0.198265925049782,0.20956027507782,0.202002808451653,0.184815958142281,0.179238200187683,0.187060073018074,0.206349179148674,0.241673573851585,0.29021492600441,0.326662421226501,0.283923655748367,0.00144409667700529,0.00891899317502975,0.105275504291058,0.320899784564972,0.363409250974655,0.323092609643936,0.264013409614563,0.211493462324142,0.178330391645432,0.145665749907494,0.100943081080914,0.0480535328388214,0.0103599736467004,-9999,-9999,-9999,-9999,-9999,0.00202950416132808,0.00237988866865635,0.00291456165723503,0.00376637140288949,0.0030785002745688,0.00242358562536538,0.00153725675772876,0.000931050686631352,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000755350105464458,0.000653327966574579,-9999,-9999,-9999,-9999,0.00210340297780931,0.00244986452162266,0.00283684115856886,0.00461022974923253,0.00400176970288157,0.00466638989746571,0.00534678203985095,0.00686079915612936,0.00520150642842054,0.00414955895394087,-9999,0.00297660566866398,0.00304990843869746,-9999,-9999,0.000841803033836186,0.000541139394044876,0.000363279192242771,0.000267403578618541,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000237572239711881,0.00025916108279489,-9999,-9999,-9999,0.000404423015424982,0.000483003706904128,0.000490451813675463,0.000779250054620206,0.00139122211840004,0.00217424263246357,0.00384041992947459,0.0365111865103245,0.135294288396835,0.186221972107887,0.198780402541161,0.199962541460991,0.195269092917442,0.199533149600029,0.217694774270058,0.255924940109253,0.317883998155594,0.369063884019852,0.0599832348525524,0.00132518250029534,0.000627068395260721,0.000940982135944068,0.00334574561566114,0.0552368722856045,0.257161378860474,0.353707134723663,0.318561673164368,0.254743069410324,0.204589173197746,0.165612310171127,0.126540213823318,0.0755631327629089,0.0102236522361636,0.00140887824818492,0.000955704832449555,0.000421504926634952,0.0013419525930658,0.00327020976692438,0.00993897207081318,0.014148329384625,0.0150244673714042,0.0122111467644572,0.00877897534519434,0.00532016297802329,0.00300690508447587,0.00143379217479378,0.000898851081728935,0.000808186247013509,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
