"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Seagrass

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,54.8707656860352,29.6322841644287,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.7541923522949,21.3576049804688,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.89322578213192E-23,9.50119607310685E-19,1.03079095489683E-17,9.32872969087137E-20,-9999,-9999,-9999,-9999,-9999,77.1248779296875,95.1190872192383,88.3196411132813,59.5890655517578,104.706619262695,111.011810302734,108.955322265625,102.779167175293,107.275917053223,44.9294815063477,38.6254577636719,49.2342987060547,-9999,-9999,76.5008163452148,46.6861305236816,40.3051300048828,48.5415534973145,0.00488532707095146,5.70212250750046E-07,8.81402784091989E-10,3.29853446601192E-06,0.026888944208622,59.3154563903809,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.77504542533545E-23,2.17826247671626E-18,1.05364368014412E-14,1.17924211519814E-13,9.79493865370059E-16,7.33052473626957E-19,5.58823640924763E-20,-9999,5.44520626135636E-05,0.131942749023438,7.0491042137146,11.3874063491821,5.07766962051392,6.34922218322754,26.7947254180908,54.0860176086426,46.2432289123535,25.7179470062256,43.7379684448242,43.1206932067871,23.6530151367188,31.8808097839355,17.582986831665,0.00822394713759422,0.00265469704754651,0.000163827848155051,4.47420145377464E-09,5.15823561642037E-09,1.56675258704275E-12,3.08040498397751E-16,4.02243120181694E-19,1.40011930966911E-15,5.27095728175553E-12,6.02440497488033E-09,5.58070408461508E-13,7.83944874551616E-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.24774539556186E-18,1.1734442085555E-14,1.14078579915855E-10,1.28986166192391E-09,1.02842664939651E-11,6.60890469073353E-15,3.44106102500655E-16,2.80131820518115E-12,1.44719489725276E-08,6.26302789896727E-05,0.109836556017399,10.7241840362549,0.0011539722327143,0.000222652495722286,0.000130160333355889,0.000143404206028208,0.000176601446582936,3.79159282601904E-05,4.73513894760913E-09,0.000101480538432952,5.98302794969641E-05,8.70895892148837E-05,2.82345008599805E-05,1.75423304354938E-12,9.24829223619694E-13,4.00052549680979E-13,3.28807863098426E-13,3.78633241296736E-13,1.4717229222279E-16,3.50351120600613E-20,1.00360959066398E-23,1.43118091650283E-19,4.32476044036071E-16,4.41704696907061E-13,3.77989180631171E-17,7.15972530472193E-22,1.90133150491434E-26,9.42178205717701E-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,130.350982666016,119.728240966797,93.8807678222656,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.04948000582794E-22,-9999,-9999,-9999,3.2293380520334E-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.50457632464018E-10,6.0257743239589E-10,3.82798664728262E-13,-9999,5.51454362859513E-15,6.23919058778677E-12,3.74185020746154E-08,0.000294244266115129,0.170898288488388,3.6459584236145,0.0382270403206348,4.64471817016602,5.36959705641493E-05,4.91826143613622E-13,3.8314650389025E-13,2.28704885975664E-13,3.47036147648611E-13,3.57052847574715E-13,2.1794253955796E-13,2.83743867160804E-13,1.69795181062006E-13,1.47327987466407E-16,6.76898438864394E-17,2.93766577103307E-17,2.42001912154759E-17,2.80119089612917E-17,1.31539997764351E-20,8.26380115949455E-25,4.11579549132912E-27,3.03427991065321E-24,3.52971538308302E-20,3.24136414031518E-17,1.23231947960956E-21,4.19813346460915E-26,4.30896048696133E-27,3.69079760308767E-26,1.8639475069665E-21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37.1125144958496,2.14749479293823,20.7377910614014,68.1925048828125,101.621238708496,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.5413428600436E-18,1.6286582031581E-20,-9999,-9999,5.9835871503728E-18,1.38011641984394E-21,-9999,-9999,5.94632697577935E-22,4.31476521922937E-22,-9999,-9999,-9999,-9999,-9999,1.31297972494338E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.41113969068341E-11,2.14643976420917E-13,1.30171950996072E-09,8.3520953921834E-06,0.035111840814352,15.7686061859131,22.7571926116943,29.1674652099609,0.000592782045714557,4.2375960596433E-13,6.41870913343019E-17,1.68115823735808E-17,2.54293700252012E-17,2.60453813535368E-17,1.59355683263851E-17,2.07682701391914E-17,1.24878960768763E-17,1.21873576435167E-20,1.10894324962013E-21,4.81148556148033E-22,3.96367465853396E-22,4.58830482070755E-22,2.29066545385393E-25,3.80001346948558E-27,3.74982604625078E-27,3.85300774302133E-27,5.96616537998589E-25,5.30983158828477E-22,3.55247361669629E-26,4.18259213440431E-27,5.82229576306056E-26,2.00174477063565E-21,7.28949407566558E-17,8.25328285714022E-08,-9999,-9999,-9999,-9999,-9999,14.4556732177734,10.6840362548828,0.00763435987755656,0.000115520335384645,0.00603761244565248,11.3070383071899,53.2497215270996,124.196556091309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.91024648824134E-10,1.49084833367397E-09,-9999,-9999,-9999,-9999,1.23948820985366E-17,1.9094209720294E-14,7.07026871402637E-17,5.13695800942909E-20,8.41720727186036E-17,3.08858926819038E-19,6.68997062634858E-22,3.54019695899803E-22,9.27912858092145E-20,7.18832119699183E-22,-9999,4.0051783346972E-22,2.55868676953731E-18,-9999,-9999,8.91152031431857E-18,5.16155755560677E-14,9.06360392194523E-17,8.96974299854616E-21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.209016188505E-11,2.53074783351792E-11,-9999,-9999,-9999,5.205312569867E-11,9.66527524681737E-10,7.68421273278364E-07,0.00141919183079153,0.0334819406270981,1.59664189815521,0.0276836194097996,2.88990520402876E-07,6.04720749725605E-16,5.79252093997981E-20,2.76990217917132E-22,4.17218031455023E-22,4.27245450680566E-22,2.61513726211556E-22,3.40759814985477E-22,2.05034314623608E-22,2.0962580793332E-25,2.21483114569938E-26,1.17885131893773E-26,1.03940266649602E-26,1.13698029231439E-26,3.80466150881336E-27,3.76856650016763E-27,3.75399915125428E-27,3.76297321442315E-27,3.82987886513319E-27,1.26780840528782E-26,4.07655274278229E-27,1.92492522525385E-26,7.17037454828918E-22,3.7855507143183E-17,4.42746317039222E-13,0.00072869542054832,27.0480480194092,29.5789680480957,38.3687629699707,25.9440174102783,0.00195761304348707,0.000172830987139605,5.05399184476119E-05,4.08723188627391E-08,1.81684733924214E-09,7.02266618191061E-08,0.000182149378815666,0.0163988098502159,77.4948120117188,129.266723632813,116.189575195313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
