"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Sessile epifauna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.169743165373802,0.172818571329117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.354472398757935,0.421320199966431,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.336843758821487,0.499158799648285,0.599542677402496,0.449676781892776,-9999,-9999,-9999,-9999,-9999,22.5549335479736,21.7277812957764,19.574613571167,16.4864978790283,11.8002777099609,11.2257957458496,17.0326366424561,16.7758483886719,16.9145488739014,15.5261631011963,17.6077289581299,16.3872680664063,-9999,-9999,11.1562404632568,10.2563505172729,4.43557357788086,4.04652738571167,5.92849969863892,6.42814540863037,6.78214263916016,6.96428632736206,5.80816316604614,4.2791051864624,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.35349977016449,0.636094808578491,1.34105658531189,1.61974430084229,1.62743437290192,1.17501473426819,1.05283904075623,-9999,15.185302734375,21.4907474517822,21.7563762664795,20.4411659240723,19.4425830841064,19.6699466705322,17.4712467193604,17.0256233215332,16.6954250335693,15.5848827362061,14.8814363479614,15.8875522613525,15.8138265609741,14.7924137115479,12.8884944915771,11.9741020202637,10.7926635742188,8.13468837738037,6.45935344696045,6.32197523117065,7.20114612579346,7.78875494003296,7.82663249969482,7.55259943008423,6.6370964050293,6.41930055618286,8.29272556304932,7.4302134513855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.563130855560303,1.40172648429871,5.65575170516968,6.1981520652771,5.77127408981323,4.84832811355591,2.94619536399841,1.6821471452713,5.39521408081055,21.2168064117432,20.3819026947021,18.8066101074219,17.0245265960693,15.6339836120605,14.4092321395874,13.9502544403076,13.0737113952637,12.1644067764282,11.8673143386841,11.8880290985107,11.8167562484741,11.9374742507935,11.9424886703491,11.3204259872437,9.31216430664063,8.84554004669189,8.28037071228027,7.869797706604,1.12494730949402,3.54780626296997,6.06277561187744,6.29972171783447,6.77597045898438,7.63314294815063,8.27697563171387,7.29428100585938,7.01558351516724,8.09944915771484,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.95168399810791,11.3925685882568,12.5172777175903,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.5643196105957,-9999,-9999,-9999,22.9280414581299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.44450855255127,7.21375751495361,6.63134002685547,-9999,4.57211780548096,4.22610473632813,8.53970146179199,20.0556602478027,19.2472229003906,17.3357162475586,15.2486381530762,13.828577041626,13.7567491531372,13.6809825897217,11.9342947006226,11.2470617294312,10.8447780609131,10.6846199035645,10.6305208206177,10.5442657470703,9.9120454788208,9.0669116973877,8.34737873077393,9.23084449768066,5.53320789337158,0.12799945473671,0.0909242108464241,0.12118311971426,0.119177751243114,0.592176377773285,1.43696475028992,4.77392673492432,7.83552551269531,7.87939548492432,8.08106327056885,6.89400386810303,7.08560466766357,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.5029850006104,10.7305603027344,11.9206237792969,12.0599641799927,11.1108627319336,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22.0805587768555,23.6226444244385,-9999,-9999,22.8318176269531,22.5276508331299,-9999,-9999,20.0905513763428,20.4392185211182,-9999,-9999,-9999,-9999,-9999,21.0380477905273,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.01519441604614,6.93961238861084,18.8512554168701,19.4596824645996,18.7288341522217,16.7739582061768,16.0648384094238,12.8217945098877,13.050482749939,13.4035024642944,10.3823661804199,8.36967277526855,7.79459428787231,7.40754985809326,7.38360786437988,7.41574192047119,7.03164196014404,6.1591272354126,6.63171243667603,0.426379263401031,0.106246069073677,0.0418009534478188,0.0393062978982925,0.0528482273221016,0.0809037387371063,0.141706526279449,0.117676571011543,1.03189766407013,5.02500534057617,5.79430770874023,7.62862110137939,7.58167839050293,6.98193073272705,6.96254062652588,-9999,-9999,-9999,-9999,-9999,8.81575584411621,9.49494361877441,10.2745656967163,10.9064960479736,11.1691484451294,10.6288986206055,10.3267459869385,10.0993022918701,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.4646320343018,22.3438873291016,-9999,-9999,-9999,-9999,21.6869163513184,21.985221862793,22.0147647857666,21.1583023071289,20.8666648864746,21.3730850219727,20.8151416778564,19.3380432128906,19.0962657928467,19.4360733032227,-9999,21.9956836700439,21.845588684082,-9999,-9999,23.2947826385498,21.6215133666992,17.8748588562012,13.779899597168,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.6433715820313,21.7091121673584,-9999,-9999,-9999,20.993579864502,19.6722106933594,18.5647048950195,17.4926948547363,16.4089698791504,15.2591514587402,11.6902046203613,11.202691078186,11.2769641876221,7.40278148651123,5.53501462936401,5.09365224838257,5.53498077392578,5.44927072525024,5.23106813430786,5.7631254196167,5.36800575256348,0.524489104747772,0.069598987698555,0.0361254625022411,0.0225902236998081,0.0228555575013161,0.02480398863554,0.0314926207065582,0.0704282820224762,0.134527638554573,0.646932601928711,3.13443970680237,4.83857107162476,6.81511306762695,8.33152294158936,7.07017135620117,5.91142702102661,4.23735857009888,3.89802050590515,0.476867765188217,5.00519752502441,6.93430757522583,8.21570873260498,9.01460266113281,9.86871719360352,10.3776378631592,10.7132158279419,10.7537975311279,10.3269491195679,9.1995964050293,7.93071269989014,7.85926628112793,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
