"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Skates-rays

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0377001874148846,0.0429267361760139,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0423600077629089,0.0475181043148041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0484193749725819,0.0494207367300987,0.0507120974361897,0.0517970137298107,-9999,-9999,-9999,-9999,-9999,0.0564789772033691,0.0548304282128811,0.0525242313742638,0.0498861409723759,0.0470697470009327,0.0442398227751255,0.0415405593812466,0.0391702055931091,0.0373188257217407,0.0464853458106518,0.0504638515412807,0.0332346148788929,-9999,-9999,0.0236721429973841,0.0367604605853558,0.0322944708168507,0.0316416770219803,0.0558653622865677,0.0597288087010384,0.0583066046237946,0.0577449426054955,0.0480204187333584,0.0265342593193054,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0477706305682659,0.0487712472677231,0.0505802147090435,0.052431084215641,0.0545207001268864,0.0577705502510071,0.0602507926523685,-9999,0.0611238181591034,0.0679016336798668,0.0734598487615585,0.0948742479085922,0.104863710701466,0.0993495285511017,0.0798565074801445,0.0747029930353165,0.0699591115117073,0.0765235647559166,0.0677240714430809,0.0596637092530727,0.0569794699549675,0.0438130833208561,0.044046264141798,0.0581887103617191,0.0661455094814301,0.068398229777813,0.0663188919425011,0.064773790538311,0.0641005858778954,0.0637741088867188,0.0633637830615044,0.0626140609383583,0.0612552091479301,0.0594900101423264,0.0571585074067116,0.0509776696562767,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0481024496257305,0.0496330745518208,0.0529647022485733,0.0550890378654003,0.0570550449192524,0.0769207030534744,0.0704207420349121,0.0711237043142319,0.088593602180481,0.0949475020170212,0.0992685332894325,0.101777322590351,0.136306613683701,0.137726560235023,0.129997938871384,0.121580712497234,0.113541707396507,0.107257105410099,0.101368986070156,0.0957493931055069,0.0906369313597679,0.0850518718361855,0.0797673836350441,0.0751574635505676,0.0712270364165306,0.067941889166832,0.0653877109289169,0.0636443421244621,0.0624956227838993,0.0618673712015152,0.0613960474729538,0.0607038401067257,0.0596980191767216,0.0582599900662899,0.0568673722445965,0.0557596683502197,0.0549990274012089,0.0482875853776932,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0401070937514305,0.0403976328670979,0.040759265422821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.082531213760376,-9999,-9999,-9999,0.0711380690336227,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0556120872497559,0.0565973073244095,0.0575473457574844,-9999,0.07185348123312,0.0902097076177597,0.0697145164012909,0.0587433055043221,0.0637170672416687,0.09213986992836,0.107669465243816,0.0729767829179764,0.122113972902298,0.116169326007366,0.108981102705002,0.102509923279285,0.0965832024812698,0.0911852717399597,0.0862970054149628,0.0814492851495743,0.0768682807683945,0.0730247646570206,0.0699536427855492,0.0671438202261925,0.0646762698888779,0.0604278482496738,0.018674623221159,0.0480540916323662,0.0592771396040916,0.0591685846447945,0.0585130527615547,0.0575282201170921,0.0565521828830242,0.055661141872406,0.0551374107599258,0.0550758689641953,0.0508992001414299,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0558163598179817,0.0800153315067291,0.0577561147511005,0.0408079922199249,0.0414776243269444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0713437050580978,0.0803415700793266,-9999,-9999,0.0527871586382389,0.053199790418148,-9999,-9999,0.0531613118946552,0.0957993119955063,-9999,-9999,-9999,-9999,-9999,0.0609954036772251,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0629343539476395,0.0700748115777969,0.0596178397536278,0.0573206357657909,0.0544131770730019,0.0510848760604858,0.0474348068237305,0.0432551056146622,0.111619174480438,0.110242523252964,0.103609427809715,0.0974842756986618,0.0918292254209518,0.0866063237190247,0.0819508209824562,0.0776821598410606,0.0738689973950386,0.0708707794547081,0.0686764493584633,0.0663789808750153,0.0361652784049511,0.000416062044678256,0.000659867073409259,0.00629822677001357,0.0375938825309277,0.0565383583307266,0.0573313646018505,0.0571531541645527,0.0564683154225349,0.0558329671621323,0.0553636141121387,0.0553292036056519,0.0560904182493687,0.0524645820260048,-9999,-9999,-9999,-9999,-9999,0.0570381842553616,0.0594840496778488,0.0903107449412346,0.104013539850712,0.0999191999435425,0.0865889117121696,0.0654241815209389,0.041765995323658,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0539875403046608,0.0615934915840626,-9999,-9999,-9999,-9999,0.0521472468972206,0.0528572387993336,0.06805419921875,0.117618456482887,0.103936664760113,0.096619501709938,0.102917082607746,0.131380528211594,0.0865847319364548,0.0503769852221012,-9999,0.0659325942397118,0.0825273245573044,-9999,-9999,0.119589388370514,0.0593029074370861,0.0592702701687813,0.0765768215060234,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0596695840358734,0.0591463670134544,-9999,-9999,-9999,0.0582418963313103,0.057020865380764,0.0549953170120716,0.0522335022687912,0.0488206371665001,0.0448182374238968,0.0582325756549835,0.109641022980213,0.105023592710495,0.098624162375927,0.0928510800004005,0.0876138955354691,0.0827709585428238,0.0782287940382957,0.0744782909750938,0.0713835135102272,0.0690712034702301,0.0674806535243988,0.00372657575644553,0.00042639032471925,0.000277021114015952,0.000402510253479704,0.000396301795262843,0.00273661501705647,0.0219359006732702,0.0518952384591103,0.0565724559128284,0.0560415238142014,0.0555649511516094,0.0553919970989227,0.0556972622871399,0.0567146651446819,0.054943174123764,0.0206553861498833,0.0220843441784382,0.0237839538604021,0.0333325788378716,0.0760943740606308,0.0894261822104454,0.0965942516922951,0.10317175090313,0.107924424111843,0.112084150314331,0.113903857767582,0.108656279742718,0.0598129108548164,0.0428142137825489,0.0436860173940659,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
