"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Swordfish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.70977499592118E-05,5.71223245060537E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.30732169561088E-05,8.3124206867069E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.6853032320796E-06,2.49522463491303E-06,3.67998018191429E-06,5.43077931070002E-06,-9999,-9999,-9999,-9999,-9999,1.27223911476904E-05,1.84347973117838E-05,2.66071801888756E-05,3.84249578928575E-05,5.5556018196512E-05,8.06526295491494E-05,0.000118202609883156,0.000175289780599996,0.000175622393726371,0.000118890333396848,0.000118862226372585,0.000117502488137688,-9999,-9999,0.000164426281116903,0.000162365118740126,0.000238744862144813,0.000235501764109358,0.000346072047250345,0.000344982952810824,0.000346098939189687,0.000348298926837742,0.000350763410096988,0.000235615487326868,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.70065686688758E-06,2.52262088906718E-06,3.72830277228786E-06,5.47541958439979E-06,7.98008386482252E-06,1.15017273856211E-05,1.67292746482417E-05,-9999,2.17165070353076E-05,1.38957084345748E-05,1.9432252884144E-05,2.76321479759645E-05,3.95852002839092E-05,5.69299081689678E-05,8.20475179352798E-05,0.000118777941679582,0.000173615902895108,0.000256716914009303,0.000256126601016149,0.000171093925018795,0.000170080165844411,0.000167741949553601,0.00016342374146916,0.000239513930864632,0.000237207961617969,0.00023251747188624,0.000339273072313517,0.000333498464897275,0.000489247206132859,0.00048994756070897,0.000494610809255391,0.000500159396324307,0.000505656294990331,0.000341641687555239,0.000231818732572719,0.000234871913562529,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.54015048994916E-06,3.77349510927161E-06,5.5881046137074E-06,8.20698915049434E-06,1.19248579721898E-05,1.69886297953781E-05,2.40135050262325E-05,3.41853265126701E-05,3.29515387420543E-05,2.08633300644578E-05,2.9185859602876E-05,4.12741173931863E-05,5.87886061111931E-05,8.40697830426507E-05,0.000120495322335046,0.000173604872543365,0.000252735568210483,0.000372339301975444,0.00037012982647866,0.000245561939664185,0.000243026108364575,0.000239525485085323,0.000234868391999044,0.000343408581102267,0.000336521421559155,0.000326944835251197,0.00047333727707155,0.00046286711585708,0.00656263343989849,0.00230560405179858,0.00104783242568374,0.000948474160395563,0.000808210403192788,0.000487671029986814,0.000335176649969071,0.000342312414431944,0.00023329934629146,0.00015868031186983,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.5700146832387E-05,1.05699273262871E-05,7.17650164006045E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.49878296724637E-05,-9999,-9999,-9999,1.54554181790445E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.76010302716168E-06,5.55587939743418E-06,8.19541219243547E-06,-9999,3.45246371580288E-05,5.02043258165941E-05,4.88373480038717E-05,3.10670948238112E-05,4.36082627857104E-05,6.1580998590216E-05,8.73005192261189E-05,0.000124008394777775,0.000176469126017764,0.000252645899308845,0.00036603698390536,0.000537322543095797,0.000532551784999669,0.000351666356436908,0.000346704007824883,0.000341031729476526,0.000334326003212482,0.000487848767079413,0.000476115761557594,0.000460263720015064,0.00150522158946842,0.0574836134910583,0.065056599676609,0.0644671767950058,0.0374181568622589,0.0104594985023141,0.00479371100664139,0.00157070811837912,0.00048091312055476,0.000493685714900494,0.000339273916324601,0.00023223135212902,0.000157531118020415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.35097468248568E-05,1.57832291733939E-05,1.07177402242087E-05,7.2816651481844E-06,4.92689923703438E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.20120255107759E-05,2.21061982301762E-05,-9999,-9999,2.25992571358802E-05,2.2683614588459E-05,-9999,-9999,2.25324565690244E-05,1.54278859554324E-05,-9999,-9999,-9999,-9999,-9999,3.23172425851226E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.06470278196502E-05,7.34616041881964E-05,7.18235169188119E-05,4.60326446045656E-05,6.49650319246575E-05,9.16719727683812E-05,0.000129244799609296,0.000182106057764031,0.000257035891991109,0.000365703017450869,0.000527597847394645,0.000775241991505027,0.00076707050902769,0.000503802904859185,0.000495804182719439,0.000487265264382586,0.000477568013593554,0.000832298304885626,0.000811212172266096,0.0142768006771803,0.0644201636314392,0.0647848024964333,0.0649936273694038,0.065251998603344,0.065219521522522,0.0556957013905048,0.0376271717250347,0.0062654479406774,0.00140377983916551,0.00107590388506651,0.000491247454192489,0.000337839068379253,0.000231557118240744,0.000157593851326965,-9999,-9999,-9999,-9999,-9999,5.3031664720038E-05,3.5215423849877E-05,3.51635499100666E-05,2.34861672652187E-05,1.5885356333456E-05,1.07815758383367E-05,7.314496087929E-06,4.9478403525427E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.96255550690694E-05,2.92150016321102E-05,-9999,-9999,-9999,-9999,3.18752499879338E-05,3.22387386404444E-05,3.24736683978699E-05,3.2575673685642E-05,3.27657253365032E-05,3.30338480125647E-05,3.30496259266511E-05,3.27141424349975E-05,3.23688873322681E-05,3.22185369441286E-05,-9999,4.30956097261515E-05,4.31014123023488E-05,-9999,-9999,4.74605112685822E-05,4.78777292300947E-05,3.23053682222962E-05,3.25127075484488E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.01844575005816E-05,4.4932312448509E-05,-9999,-9999,-9999,0.000106183339084964,0.000104817198007368,6.77662101224996E-05,9.61073092184961E-05,0.000135157242766581,0.000189105863682926,0.000264025700744241,0.000369939894881099,0.000524163304362446,0.000757386558689177,0.00118830206338316,0.00124660762958229,0.00103122578002512,0.00107689807191491,0.00119038589764386,0.00103919790126383,0.00128258729819208,0.0118210092186928,0.0645080283284187,0.0645106434822083,0.0646126717329025,0.0647889450192451,0.065015122294426,0.0652697756886482,0.0654220804572105,0.0629471316933632,0.00990604422986507,0.0025887496303767,0.00149052601773292,0.00080595473991707,0.000492047052830458,0.000339034886565059,0.000233310551266186,0.00016043140203692,0.000110898094135337,0.000113487272756174,0.000115173446829431,0.00011620649456745,7.79154506744817E-05,5.18018096045125E-05,5.18372035003267E-05,3.45974476658739E-05,2.33706014114432E-05,1.58670645760139E-05,1.07945816125721E-05,7.34652348910458E-06,4.99492580274818E-06,3.38259974341781E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
