"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Vermilion snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000764530210290104,0.000761680246796459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00127630378119648,0.00127084832638502,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.82296683105233E-07,1.51079336774274E-06,2.55456075137772E-06,4.05556420446374E-06,-9999,-9999,-9999,-9999,-9999,0.000297264021355659,0.000436221831478179,0.00063959154067561,0.000932641909457743,0.00136024574749172,0.00198317249305546,0.00225696247071028,0.00224917544983327,0.0025870946701616,0.00216635782271624,0.00213456316851079,0.00216521508991718,-9999,-9999,0.00244034896604717,0.00278005190193653,0.00350212771445513,0.00442010629922152,0.00471016298979521,0.00504317227751017,0.00524573540315032,0.0051973108202219,0.00544043444097042,0.00483511807397008,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.78653520935768E-07,1.03650791061227E-06,1.91739263755153E-06,3.9570763874508E-06,9.13731855689548E-06,1.68829246831592E-05,0.00011614879622357,-9999,0.000236165200476535,0.000306209636619315,0.000440051342593506,0.000636219920124859,0.000925949367228895,0.00135642406530678,0.00198998488485813,0.0029314924031496,0.00338413845747709,0.00340963853523135,0.003979557659477,0.0034415852278471,0.00339576089754701,0.00339240790344775,0.00343351112678647,0.00432807160541415,0.00387948588468134,0.00430725980550051,0.00728689599782228,0.0152973830699921,0.0167762078344822,0.0189191177487373,0.0204060859978199,0.013596635311842,0.0256068501621485,0.0135287083685398,0.00508188828825951,0.00423422874882817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.22680510989449E-07,1.17233435048547E-06,2.39232122112298E-06,4.93893003294943E-06,9.43013765208889E-06,0.000109494692878798,0.000240734094404615,0.000374609400751069,0.000349453504895791,0.000454446126241237,0.000648204411845654,0.000931428163312376,0.00134361779782921,0.00195482349954545,0.0028629032894969,0.00430084485560656,0.00519250938668847,0.00534713827073574,0.0071769799105823,0.00556627428159118,0.00544812064617872,0.00542597193270922,0.0055527207441628,0.00977105833590031,0.0096545135602355,0.0165837127715349,0.0216309260576963,0.0849218517541885,0.196752518415451,0.202480435371399,0.133664563298225,0.126079320907593,0.0594553165137768,0.0542787835001945,0.0284946635365486,0.0141463512554765,0.0042379260994494,0.00253178807906806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00129476003348827,0.0009906857740134,0.00079964887117967,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00034064645296894,-9999,-9999,-9999,0.00037052045809105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.55359259426768E-06,3.72820068150759E-06,5.81570111535257E-06,-9999,0.000377323274733499,0.00056147511349991,0.000523588969372213,0.000684334663674235,0.000972458336036652,0.00139248149935156,0.00200701761059463,0.00290816370397806,0.00421264441683888,0.00937424786388874,0.0157679188996553,0.0172087345272303,0.024030227214098,0.0243519432842731,0.0181920807808638,0.0206921882927418,0.0332180894911289,0.046503409743309,0.0341578312218189,0.0477049872279167,0.157763600349426,0.273513376712799,0.288975864648819,0.209244057536125,0.267230063676834,0.227223321795464,0.133811920881271,0.0834237486124039,0.0410911701619625,0.0305391699075699,0.0103837065398693,0.00442487467080355,0.00253583700396121,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00189101498108357,0.00145686639007181,0.00119122304022312,0.000828067888505757,0.000567308685276657,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000523602415341884,0.000620227656327188,-9999,-9999,0.00057485798606649,0.000577986647840589,-9999,-9999,0.000725045742001384,0.000494724663440138,-9999,-9999,-9999,-9999,-9999,0.000468639103928581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000564003421459347,0.00083595048636198,0.000615886121522635,0.00074810953810811,0.00107069674413651,0.00153610471170396,0.00220793695189059,0.0031628874130547,0.00451267883181572,0.00936291553080082,0.0355700589716434,0.0528995841741562,0.0533517748117447,0.0592441111803055,0.0491928383708,0.0523989647626877,0.0743106752634048,0.116518475115299,0.10822256654501,0.321750342845917,0.314804017543793,0.256850063800812,0.147327497601509,0.164239645004272,0.27550807595253,0.236240595579147,0.13900563120842,0.0924863070249557,0.0557692609727383,0.0490345023572445,0.0264629535377026,0.00991642940789461,0.0033404587302357,0.0021346143912524,-9999,-9999,-9999,-9999,-9999,0.00214406941086054,0.00222579389810562,0.00267309788614511,0.0021248369012028,0.00174487370532006,0.0012145274085924,0.000835070502944291,0.000570144504308701,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000348908244632185,0.000349849404301494,-9999,-9999,-9999,-9999,0.000734883709810674,0.000796081672888249,0.000877186423167586,0.000775502237956971,0.000759229296818376,0.000814154103863984,0.000815465115010738,0.000847870600409806,0.000922818959224969,0.00103791174478829,-9999,0.00116400269325823,0.000999092357233167,-9999,-9999,0.000690342159941792,0.000691371678840369,0.00059480284107849,0.00048423046246171,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000434731045970693,0.000655319192446768,-9999,-9999,-9999,0.00122383562847972,0.000896548153832555,0.000749703147448599,0.00106792978476733,0.00152884668204933,0.00217735511250794,0.00309016066603363,0.004375284537673,0.0093846283853054,0.0556391067802906,0.0781766250729561,0.0773493200540543,0.0770425349473953,0.107457429170609,0.102090544998646,0.0958227217197418,0.127912580966949,0.263596385717392,0.269956141710281,0.0689362362027168,0.0662996247410774,0.141387745738029,0.151664838194847,0.173752188682556,0.165762424468994,0.1389180123806,0.115634717047215,0.090459793806076,0.0811833143234253,0.0493434816598892,0.0179242789745331,0.0063805771060288,0.00301555451005697,0.00195602420717478,0.00152608240023255,0.00149540090933442,0.00185903278179467,0.00256935856305063,0.00289833964779973,0.00318875350058079,0.00401667039841413,0.00315427500754595,0.002575249876827,0.00177503377199173,0.00121405115351081,0.000829229771625251,0.000596939877141267,0.000397948198951781,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
