"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"White shrimp"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000229289478738792,0.00013489811681211,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00812818482518196,0.0120819928124547,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.92570527196767E-08,1.5554610399704E-07,2.88361974298823E-07,5.12422388965206E-07,-9999,-9999,-9999,-9999,-9999,0.0987178534269333,0.108050420880318,0.0895091146230698,0.0556223541498184,0.0371165797114372,0.0470725446939468,0.0962394848465919,0.113552987575531,0.107435941696167,0.0549428388476372,0.0818993672728539,0.0805325210094452,-9999,-9999,0.0673612654209137,0.0772585049271584,0.000449886516435072,2.702503297769E-05,2.88676419586409E-05,8.08262411737815E-05,0.000100249904789962,0.000148206599988043,0.00191559642553329,0.000301395950373262,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.16802379277215E-08,2.63871271499738E-07,1.84960401838907E-06,3.16709520120639E-06,6.9192092269077E-06,2.60104261542438E-05,0.00022583338432014,-9999,0.0328414291143417,0.0794955044984818,0.092558965086937,0.113034144043922,0.118157178163528,0.117709942162037,0.0903437733650208,0.112439095973969,0.120402991771698,0.138421088457108,0.148992404341698,0.122005350887775,0.130091115832329,0.0871219709515572,0.10715439170599,0.0707031711935997,0.0629824921488762,0.0173426251858473,0.00135429238434881,0.00158911570906639,0.000708629260770977,0.00162138848099858,0.0020494400523603,0.00170134368818253,0.0255932845175266,0.00934791564941406,0.0137101402506232,0.0007946562836878,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.77292889702585E-07,2.01716375158867E-06,3.15945690090302E-05,4.91193313791882E-05,9.12988616619259E-05,0.000231715253903531,0.000650999369099736,0.00228831823915243,0.0149382082745433,0.0695761740207672,0.0857212916016579,0.104013979434967,0.133359894156456,0.188634186983109,0.208310008049011,0.2158193141222,0.207885727286339,0.213728219270706,0.220927998423576,0.178040087223053,0.166318416595459,0.122653983533382,0.0913406908512115,0.0116331707686186,0.00320809963159263,0.00217534508556128,0.0363511517643929,0.0844184085726738,0.025576189160347,0.0967765003442764,0.0706478878855705,0.00380778079852462,0.00265960488468409,0.00200541387312114,0.00204566703177989,0.000784383795689791,0.000241521294810809,0.000119498297863174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0386333540081978,0.0544160306453705,0.059843186289072,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0569479763507843,-9999,-9999,-9999,0.0759951546788216,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.48344071628526E-05,5.14264102093875E-05,6.00389248575084E-05,-9999,0.00112931057810783,0.00436715548858047,0.0192502401769161,0.0881628841161728,0.0938475653529167,0.1119075268507,0.11778137087822,0.156077072024345,0.215364068746567,0.253068387508392,0.247532039880753,0.226404339075089,0.219980418682098,0.162131622433662,0.133540168404579,0.0458862334489822,0.0110919754952192,0.00616534240543842,0.00417639268562198,0.0780773907899857,0.136050701141357,0.00619031209498644,0.00118850951548666,0.00509724207222462,0.00847782380878925,0.00710450578480959,0.0120618585497141,0.0216344371438026,0.0035718462895602,0.00270110345445573,0.0016764075262472,0.000406199105782434,0.000117272931674961,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0213449113070965,0.0405459329485893,0.0414494276046753,0.0483657568693161,0.0712631568312645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0810091719031334,0.0783384740352631,-9999,-9999,0.0971849262714386,0.101786598563194,-9999,-9999,0.0776983201503754,0.0999214947223663,-9999,-9999,-9999,-9999,-9999,0.0851173028349876,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00295679131522775,0.0216296017169952,0.0865361541509628,0.0921081602573395,0.0999908149242401,0.107563823461533,0.0881255641579628,0.122825026512146,0.19056136906147,0.259025663137436,0.276725292205811,0.248575538396835,0.179006323218346,0.0419565513730049,0.0300558116286993,0.0206276476383209,0.00489111617207527,0.0116593623533845,0.106073915958405,0.0117941116914153,0.0032101646065712,0.000188428748515435,4.69416627311148E-05,0.000424300698796287,0.00338247581385076,0.00621232949197292,0.0069612180814147,0.0129811689257622,0.00704183802008629,0.00379825313575566,0.00318350526504219,0.00138320820406079,0.000397321826312691,0.00124006997793913,-9999,-9999,-9999,-9999,-9999,2.99551229545614E-05,0.000559415260795504,0.00509520526975393,0.0161383412778378,0.0191222801804543,0.0434814095497131,0.0578380711376667,0.0830192938446999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0824590250849724,0.0990077555179596,-9999,-9999,-9999,-9999,0.099178858101368,0.102565139532089,0.0907295867800713,0.113293789327145,0.113044492900372,0.11955501139164,0.122743219137192,0.0984631031751633,0.100575141608715,0.0833831951022148,-9999,0.0775427222251892,0.119256921112537,-9999,-9999,0.131772518157959,0.0733425319194794,0.0519154705107212,0.0268925335258245,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.155555561184883,0.139738127589226,-9999,-9999,-9999,0.14101742208004,0.155261769890785,0.146900713443756,0.120021402835846,0.11263145506382,0.0805757269263268,0.117846094071865,0.161154881119728,0.185392379760742,0.163996428251266,0.149133235216141,0.109817013144493,0.0252343565225601,0.0222746450453997,0.00431079836562276,0.00436259061098099,0.0157997366040945,0.0115637015551329,0.000676154857501388,6.89432199578732E-05,4.89194599140319E-06,1.56149917529547E-06,1.37390143208904E-05,0.000148689476191066,0.00110957445576787,0.0078122285194695,0.0177406314760447,0.0277320332825184,0.0201727021485567,0.00686145480722189,0.00429796054959297,0.000843889720272273,0.000314286444336176,2.53772759606363E-05,8.04294995759847E-06,9.44714955153358E-08,2.20008569158381E-05,0.000267801922746003,0.000216595450183377,0.00104418664705008,0.00380129786208272,0.00710007036104798,0.0109308063983917,0.0159637797623873,0.0385881997644901,0.0467706471681595,0.0752397105097771,0.107565462589264,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
