"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Yellowedge grouper (0-3yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.28734123197682E-07,2.2870054294799E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.30365139689093E-07,3.30212969856802E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.25560431338567E-09,6.36596197978179E-09,9.62024948591989E-09,1.46572656234412E-08,-9999,-9999,-9999,-9999,-9999,1.63301166367091E-07,2.36317120538843E-07,3.38093684604246E-07,4.84368456454831E-07,4.72814718932568E-07,4.67792858671601E-07,4.75580122838437E-07,4.88879834392719E-07,4.90036597966537E-07,4.7841569994489E-07,4.77456694625289E-07,4.78462141018099E-07,-9999,-9999,4.84508916542836E-07,6.96261906796281E-07,7.06410048678663E-07,7.71845179770025E-07,8.15730345493648E-07,8.36026799788669E-07,8.22597883143317E-07,7.74097202338453E-07,7.12861378815433E-07,6.59739271213766E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.2425174484606E-09,6.32826457902524E-09,9.52959400279951E-09,1.465007226642E-08,2.33200321275717E-08,3.9082323155526E-08,6.46584084051938E-08,-9999,1.26754301277288E-07,1.80211941369635E-07,2.54438361935172E-07,3.64902376759346E-07,5.22011134762579E-07,7.41799624393025E-07,7.08969082552358E-07,6.93362778747542E-07,6.98488349826221E-07,7.07250308096263E-07,7.09322705461091E-07,7.01765372923546E-07,6.9451897388717E-07,6.85909412823094E-07,6.78638571116608E-07,6.69630537686317E-07,6.5970516516245E-07,1.48319190884649E-06,4.33228206020431E-06,8.43460838950705E-06,8.54434438224416E-06,1.01059222288313E-05,1.05340095615247E-05,7.1812983151176E-06,1.20228651212528E-05,7.49103628550074E-06,1.55323880335345E-06,4.19136028995126E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.30124574740876E-09,9.41573397028606E-09,1.43343488190339E-08,2.2255518317138E-08,3.57604150735824E-08,6.1941626938733E-08,1.01101178984209E-07,1.49369810742428E-07,2.03301226520125E-07,2.82209867918937E-07,4.03157770278995E-07,5.7648526308185E-07,8.19252818473615E-07,1.36068160827563E-06,1.94873678083241E-06,2.46876015808084E-06,2.24108703150705E-06,3.39166058438423E-06,4.67317022412317E-06,3.16634827868256E-06,2.73147429652454E-06,2.10598659577954E-06,2.19538628698501E-06,5.26065969097544E-06,6.38367009742069E-06,8.67535527504515E-06,1.02681397038396E-05,2.556485014793E-05,4.98987319588196E-05,5.02584662172012E-05,3.54321855411399E-05,3.00485116895288E-05,1.55600482685259E-05,1.57024696818553E-05,9.36070682655554E-06,5.84927283853176E-06,1.44710600125109E-06,3.81535954829815E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.84402107758797E-07,4.86231783725088E-07,3.26469574929433E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.13015155736684E-07,-9999,-9999,-9999,3.26432768815721E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.78675274154739E-09,1.48667611554743E-08,2.27165077859581E-08,-9999,1.10905574501885E-07,1.63128063945805E-07,1.5578781642489E-07,2.13725812159282E-07,2.99784403523518E-07,4.21229799485445E-07,5.87959618769673E-07,8.02527438281686E-07,1.68776489317679E-06,6.55585699860239E-06,9.86636405286845E-06,1.05538938441896E-05,1.24108992167749E-05,1.25344295156538E-05,9.64099763223203E-06,1.06219113149564E-05,1.39884668897139E-05,1.91906892723637E-05,1.65969049703563E-05,2.0830984794884E-05,4.29293249908369E-05,6.94007467245683E-05,8.2321566878818E-05,6.27518747933209E-05,5.92866272199899E-05,4.89312296849675E-05,3.052928877878E-05,2.12573595490539E-05,1.22587143778219E-05,1.03207803476835E-05,4.64899403596064E-06,1.86149190994911E-06,4.17599949287251E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.93148990649206E-07,7.00487760241231E-07,4.78016602301068E-07,4.87148895444989E-07,3.33878489300332E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.16780699449737E-07,3.15932567218624E-07,-9999,-9999,4.79001130315737E-07,4.84068948480854E-07,-9999,-9999,3.23601966556453E-07,2.22230866597783E-07,-9999,-9999,-9999,-9999,-9999,1.2340578336989E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.74756948467802E-07,2.62426993913323E-07,1.74553647980247E-07,2.41148939039704E-07,3.3203787097591E-07,4.57821641930423E-07,6.25611733084952E-07,8.37469542602776E-07,1.11027486582316E-06,6.80376797390636E-06,1.55596517288359E-05,2.01868660951732E-05,2.00038266484626E-05,2.00993781618308E-05,1.82579169631936E-05,1.96382079593604E-05,2.28264179895632E-05,3.56781165464781E-05,3.69626613974106E-05,8.53969468153082E-05,9.42085753194988E-05,9.61568512138911E-05,7.51085244701244E-05,7.30637402739376E-05,8.0275181971956E-05,5.71993441553786E-05,3.59261248377152E-05,2.73704681603704E-05,1.77552119566826E-05,1.55984052980784E-05,1.06572115328163E-05,4.79137497677584E-06,1.64515756750916E-06,4.96521977311204E-07,-9999,-9999,-9999,-9999,-9999,5.90442994052864E-07,6.14175007740414E-07,1.23138454455329E-06,1.41729697133997E-06,6.84667554651242E-07,7.07921685716428E-07,4.91489231535525E-07,3.38903049623696E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.51918513324745E-07,2.24501576440161E-07,-9999,-9999,-9999,-9999,4.765260541717E-07,4.73735894956917E-07,4.65955594108891E-07,6.89757996497065E-07,6.89666478592699E-07,6.98939913945651E-07,7.02842214650445E-07,6.85225927554711E-07,6.87333510995813E-07,4.66584708647133E-07,-9999,4.96816142003809E-07,3.4185080721727E-07,-9999,-9999,1.78866116584686E-07,1.80939608185327E-07,1.82556377126275E-07,1.25456267596746E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.19304104373441E-07,1.76759755277089E-07,-9999,-9999,-9999,4.06806833552764E-07,2.81471642438191E-07,2.71738201718108E-07,3.67893534303221E-07,4.92792196382652E-07,6.56880445149E-07,8.56068538723775E-07,1.68608323747321E-06,7.01915632816963E-06,1.9844925191137E-05,2.38328157138312E-05,2.51188757829368E-05,2.36564610531786E-05,2.83206973108463E-05,2.81373158941278E-05,2.69775337073952E-05,3.46009146596771E-05,6.71923044137657E-05,8.67135677253827E-05,0.000104381433629896,9.21399987419136E-05,9.85325459623709E-05,8.70837029651739E-05,8.20500063127838E-05,7.21608375897631E-05,5.32560588908382E-05,4.07178667956032E-05,2.76950140687404E-05,2.3197597329272E-05,1.62073210958624E-05,8.77134516485967E-06,3.84748182113981E-06,5.35765764198004E-07,4.11110818276939E-07,4.09899854503237E-07,3.77944502361061E-07,4.87101317503402E-07,9.02376882550016E-07,1.25325482258631E-06,1.59621743023308E-06,3.12464317175909E-06,2.23170923163707E-06,1.44947614444391E-06,1.01624323178839E-06,7.08571917584777E-07,4.98232395784726E-07,3.48258424764936E-07,2.39242694988206E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
