"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,"Yellowedge grouper (3+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.38767235411797E-05,5.38599633728154E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.99350236775354E-05,7.99267654656433E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.96281683631605E-07,2.96150147960361E-07,2.96016651191167E-07,2.95942243155878E-07,-9999,-9999,-9999,-9999,-9999,2.40093941101804E-05,2.39169457927346E-05,3.55265656253323E-05,5.28659220435657E-05,7.8990837209858E-05,7.89359255577438E-05,7.88750403444283E-05,0.000117575618787669,0.000117670489999,0.0001178771344712,0.000117863099148963,0.000117949522973504,-9999,-9999,0.000253750651609153,0.00037404676550068,0.000554391997866333,0.000816715939436108,0.000800989684648812,0.000795077241491526,0.000794944236986339,0.0005347267142497,0.000539581233169883,0.000367851083865389,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.96191558391001E-07,2.96101035246465E-07,2.95963218377437E-07,2.95875395295297E-07,2.95777027758959E-07,2.95171247444159E-07,2.42401220020838E-05,-9999,3.60502817784436E-05,3.58744691766333E-05,3.56190248567145E-05,3.52881907019764E-05,5.20737194165122E-05,7.72674029576592E-05,0.000115102455310989,0.000114742113510147,0.000114460519398563,0.00017015180492308,0.000170357277966104,0.000170882500242442,0.00017107515304815,0.000170889892615378,0.000250561657594517,0.000246822630288079,0.000364025123417377,0.000534458667971194,0.000785139331128448,0.00115100550465286,0.00113469350617379,0.00113247078843415,0.00113741797395051,0.000768840312957764,0.000772214203607291,0.000522977905347943,0.000353292649379,0.000239947243244387,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.96011108957828E-07,2.95885456580436E-07,2.95743831202344E-07,2.95644554171304E-07,2.95282092110938E-07,2.41106372413924E-05,3.60442063538358E-05,5.36949228262529E-05,5.35846447746735E-05,5.33120328327641E-05,5.28447017131839E-05,5.22389818797819E-05,7.64072465244681E-05,0.000112242603790946,0.000164595374371856,0.000162829179316759,0.000162015567184426,0.000240833236603066,0.00024084685719572,0.000241707777604461,0.000242174923187122,0.000241668152739294,0.000357620883733034,0.000353458832250908,0.000521410198416561,0.000762417330406606,0.00110570073593408,0.00158721802290529,0.0015244820388034,0.00153927237261087,0.0015848238253966,0.00109133694786578,0.0011104887817055,0.000754580600187182,0.000513171660713851,0.000349172449205071,0.000237899439525791,0.000162211508722976,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.81607276014984E-06,3.23154904435796E-06,2.17349656850274E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.05681680856651E-07,-9999,-9999,-9999,3.13932275730622E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.95711771514107E-07,2.95707934583334E-07,2.95797349281202E-07,-9999,5.37364394403994E-05,7.99407935119234E-05,7.99606350483373E-05,7.97677566879429E-05,7.92117716628127E-05,7.81965209171176E-05,0.00011465070565464,0.00016810696979519,0.000241036046645604,0.000234920953516848,0.000231771497055888,0.000344129308359697,0.000344089785357937,0.000344682019203901,0.00034637757926248,0.000345818203641102,0.000512002501636744,0.000508736586198211,0.000748711638152599,0.00106894969940186,0.00147497828584164,0.0320270173251629,0.10771919041872,0.0705545321106911,0.00590432668104768,0.00152192951645702,0.00158547039609402,0.00109572499059141,0.000752011488657445,0.00051030539907515,0.000348236557329074,0.000238315915339626,0.000242461508605629,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.0726741796534E-06,4.72804640594404E-06,3.1978511287889E-06,2.1642397314281E-06,1.45929857353622E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.03320490502301E-07,3.02846643762678E-07,-9999,-9999,3.09183747049246E-07,3.09496101635887E-07,-9999,-9999,3.0293182362584E-07,3.02830130749498E-07,-9999,-9999,-9999,-9999,-9999,2.40854387811851E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.01697387942113E-05,0.000119279407954309,0.000119264928798657,0.00011904531129403,0.000118561976705678,0.000117705065349583,0.000173342254129238,0.000251975900027901,0.000357346696546301,0.000346109503880143,0.000338663230650127,0.000500557420309633,0.000500580703373998,0.000501430302392691,0.000502685201354325,0.000502605689689517,0.000745046476367861,0.000734598084818572,0.00105326622724533,0.00140579917933792,0.107295393943787,0.111510515213013,0.0834266692399979,0.082897461950779,0.091989129781723,0.0202504135668278,0.00410331133753061,0.00159260805230588,0.00110210618004203,0.000750004895962775,0.000510741083417088,0.000349261215887964,0.000356794393155724,0.000243719594436698,-9999,-9999,-9999,-9999,-9999,2.29965371545404E-05,1.53841974679381E-05,1.02850599432713E-05,6.88356112732436E-06,4.64087361251586E-06,3.1497481813858E-06,2.13789508052287E-06,1.45056560540979E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.9811019430781E-07,2.98786432040288E-07,-9999,-9999,-9999,-9999,2.37399726756848E-05,2.36895866692066E-05,2.35374791373033E-05,2.32879519899143E-05,2.32507190958131E-05,2.32582860917319E-05,2.32044531003339E-05,2.31222038564738E-05,2.33184164244449E-05,2.35672468988923E-05,-9999,3.54863295797259E-05,3.53976247424725E-05,-9999,-9999,3.53951327269897E-05,3.58174038410652E-05,3.59375590051059E-05,3.58767720172182E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.36463994649239E-05,8.00303241703659E-05,-9999,-9999,-9999,0.000177534471731633,0.000177325346157886,0.000177029360202141,0.000176455345354043,0.000175019114976749,0.000256716652074829,0.000369916757335886,0.000525275827385485,0.000510466343257576,0.000498005654662848,0.000735792913474143,0.000735616486053914,0.000735403911676258,0.000731902197003365,0.000731541949789971,0.0010851314291358,0.001058355323039,0.00144690705928952,0.105683669447899,0.114952698349953,0.0929456278681755,0.0954257249832153,0.0862446650862694,0.085425540804863,0.0819588974118233,0.042983416467905,0.00153132504783571,0.00107515847776085,0.000738725939299911,0.000505613279528916,0.000515339197590947,0.000525852374266833,0.000363321654731408,0.000252330995863304,0.000171615713043138,0.000115670511149801,7.66784578445368E-05,5.00822425237857E-05,3.31552764691878E-05,2.21557511395076E-05,1.48679882840952E-05,1.00064926300547E-05,6.75939190841746E-06,4.57998658021097E-06,3.10671362058201E-06,2.12593113246839E-06,1.44713703775778E-06,9.7767178885988E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
