"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Amberjack

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.13462038548096E-07,3.14858198180445E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.86373937242024E-07,6.91756838477886E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.46526393049562E-11,5.70581915049218E-11,1.31423372184969E-10,2.99088254163138E-10,-9999,-9999,-9999,-9999,-9999,5.8789904500145E-08,1.27813308381519E-07,2.76428238521476E-07,5.89917135584983E-07,1.29892259792541E-06,1.33564822135668E-06,1.39354949624249E-06,1.45717956456792E-06,1.48142498801462E-06,1.50416826727451E-06,1.51123424529942E-06,1.54426993503876E-06,-9999,-9999,1.61260152253817E-06,3.59036107511201E-06,3.65385608347424E-06,3.82481357519282E-06,4.13120460507344E-06,4.4179760152474E-06,4.59838656752254E-06,4.63959895569133E-06,4.59981310996227E-06,4.43232056568377E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.42960894458744E-11,5.69015286278063E-11,1.36469571754283E-10,3.18564785661835E-10,7.39713013064858E-10,1.75486847275863E-09,4.19755608049854E-09,-9999,2.34407924182278E-08,5.43153788612472E-08,1.26944456724232E-07,2.85032001556829E-07,6.08177117555897E-07,1.31219326249266E-06,2.97919336844643E-06,3.11754365611705E-06,3.27989096149395E-06,3.43173860528623E-06,3.50479990629537E-06,3.55189945366874E-06,3.57802650796657E-06,3.69216422768659E-06,3.81082691092161E-06,3.95929509977577E-06,3.98232850784552E-06,1.28965239127865E-05,0.000107886851765215,0.000316290592309088,0.000311174197122455,0.000380933226551861,0.000440612202510238,0.000222196336835623,0.000780535221565515,0.000345171109074727,2.55797822319437E-05,5.09864776176983E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.52997404812405E-11,1.33528257895144E-10,3.40652728247903E-10,7.95328414238128E-10,1.82065251763674E-09,4.13436351820451E-09,9.54577483724961E-09,2.19001847767686E-08,5.12934938967646E-08,1.19687385335965E-07,2.81571175264617E-07,6.31083310054237E-07,1.35056086492114E-06,3.02892067338689E-06,8.9056093202089E-06,2.14400333788944E-05,1.7338372344966E-05,3.34564174409024E-05,7.60073744459078E-05,3.99161872337572E-05,3.23080021189526E-05,2.39695418713382E-05,2.77901144727366E-05,0.00021587175433524,0.000256467115832493,0.000717002141755074,0.000869333860464394,0.00294024008326232,0.0145260095596313,0.013766149058938,0.00636375928297639,0.00692277494817972,0.00321957818232477,0.00245585548691452,0.00156209315173328,0.000652312708552927,3.46275119227357E-05,4.90183765577967E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.1968355541685E-07,7.34839034066681E-07,3.39357200118684E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.10755266291562E-07,-9999,-9999,-9999,1.8645614829893E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.63340230230347E-10,3.70168506957924E-10,8.39326386170569E-10,-9999,9.59423651636371E-09,2.17934239543638E-08,4.96700707230957E-08,1.16881906819799E-07,2.732010955242E-07,5.99737973061565E-07,1.33704168092663E-06,3.07636719298898E-06,1.27698958749534E-05,0.000251844467129558,0.000469194026663899,0.000403945770813152,0.00100059830583632,0.00144931301474571,0.000831621466204524,0.0014083469286561,0.00321511761285365,0.00249786139465868,0.00116139266174287,0.00202353508211672,0.00946896988898516,0.0191184189170599,0.0198001489043236,0.0123141221702099,0.0176562685519457,0.0139203434810042,0.00726787792518735,0.00415132939815521,0.00208736141212285,0.00226322328671813,0.000473905383842066,8.86425405042246E-05,4.7895337047521E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.60956881245511E-06,1.6299106846418E-06,7.57355621772149E-07,7.73877104620624E-07,7.84106362061721E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.14660849703796E-07,2.53978839737101E-07,-9999,-9999,2.46088774247255E-07,4.61755149672172E-07,-9999,-9999,3.79339326173067E-07,1.71458239606181E-07,-9999,-9999,-9999,-9999,-9999,4.58510562850734E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.10680042300737E-08,4.96301559849144E-08,2.26560814553523E-08,5.2083262147562E-08,1.16567690611191E-07,2.63464386307533E-07,6.04747697252606E-07,1.40499628287216E-06,3.53744371750508E-06,0.00012786197476089,0.00100501405540854,0.00180827127769589,0.00221464061178267,0.00420073885470629,0.00328921875916421,0.0039535160176456,0.00723660364747047,0.00737168500199914,0.00387976015917957,0.021848039701581,0.0197778511792421,0.0161163043230772,0.00707496143877506,0.00854757335036993,0.0179767981171608,0.0142774283885956,0.00682772416621447,0.00444266619160771,0.00216400832869112,0.0025502082426101,0.00165933521930128,0.000527945929206908,4.71163111797068E-05,4.49465005658567E-06,-9999,-9999,-9999,-9999,-9999,3.45181501870684E-06,3.52646179635485E-06,3.6176172670821E-06,3.66950325769722E-06,1.67741382028908E-06,1.70681198596867E-06,1.73037233253126E-06,7.85064628416876E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.23731425105689E-07,1.21831078558898E-07,-9999,-9999,-9999,-9999,2.73134020289945E-07,2.67639251205765E-07,5.99039879034535E-07,6.17306852745969E-07,6.14337182014424E-07,5.73403497128311E-07,1.13355008579674E-06,1.22945323255408E-06,1.19842604817677E-06,9.36704395826382E-07,-9999,6.61580486394087E-07,2.90203416852819E-07,-9999,-9999,1.10789258656041E-07,1.08886830219035E-07,4.85703459673914E-08,4.91883831443829E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.78823577559706E-08,6.19197138007621E-08,-9999,-9999,-9999,1.17714975544914E-07,5.28738048899413E-08,5.12606561642315E-08,1.15299741310082E-07,2.6351690962656E-07,6.11255018156953E-07,1.43112140449375E-06,3.66599215340102E-06,0.000141739394166507,0.00183159741573036,0.00323722534812987,0.00355640985071659,0.00459512788802385,0.0112044513225555,0.00933868903666735,0.00751491216942668,0.00679645780473948,0.0151840327307582,0.0154634946957231,0.0156231848523021,0.00812398921698332,0.00984446611255407,0.00854046270251274,0.00959535595029593,0.00953789055347443,0.00781152211129665,0.00685320561751723,0.00444334140047431,0.00569044565781951,0.0037984128575772,0.00109810649883002,0.000202550596441142,4.53897064289777E-06,1.7637621567701E-06,1.60347576638742E-06,6.92211415298516E-07,1.53112830503233E-06,3.54242479261302E-06,9.20020738703897E-06,1.24749694805359E-05,3.48291978298221E-05,2.19208450289443E-05,3.91644607589114E-06,3.89722663385328E-06,3.85171006200835E-06,1.73701414496463E-06,7.80041546022403E-07,3.48579220599277E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
