"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Anchovy-silverside-killifish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.92244915504003E-12,1.00333864480606E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.36176165430146E-11,2.21397657151901E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.59349798995633E-20,7.27648244191206E-19,9.63970953463039E-19,1.65986683586563E-18,-9999,-9999,-9999,-9999,-9999,8.94581839161468E-11,2.28169205751527E-10,4.75015471401719E-10,5.84747639198469E-10,5.77894176956306E-10,1.08334730075654E-09,6.02426952767132E-09,8.08417244257953E-09,8.76285000117605E-09,1.1676316580278E-09,8.05034172657315E-09,1.02738164642346E-08,-9999,-9999,6.04651404501055E-08,5.28572599023391E-08,9.29381155367892E-11,1.51530806132005E-13,4.73177380049959E-16,1.39356441285789E-18,5.18449787253423E-22,1.16230548680743E-21,1.63316968499306E-18,2.86890092322256E-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.69189173831989E-20,9.42465084717273E-19,1.57223801010875E-18,2.05300582527981E-18,3.42235804122281E-18,1.35669978537048E-17,5.75249773573108E-16,-9999,6.72049276038283E-13,3.78374068188414E-11,2.15854542573446E-10,1.8503389931368E-09,8.56974313734327E-09,1.98483594004983E-08,1.16177307774024E-08,3.81820228767538E-08,6.22746583189837E-08,1.34130829110291E-07,1.22858310191987E-07,8.98491023804127E-08,1.02536617418991E-07,5.62771340639756E-08,1.57055964677966E-07,2.50393298983909E-07,1.70315374248275E-07,4.76630068746431E-09,3.87891732622769E-11,1.62366078698337E-13,6.09853557627729E-16,2.4746850273689E-19,5.33343481143996E-22,4.16278281375793E-19,1.06314175704321E-15,1.98618248584137E-13,2.48340237263278E-11,1.11116900403108E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.26807967687073E-19,1.77122095934933E-18,5.81346769667004E-17,7.11475117864702E-17,1.13166884005845E-16,3.97137035383234E-16,2.67990848357657E-15,3.72216092583283E-14,4.54066417712035E-13,1.37274303035895E-10,1.01167529908963E-09,8.80549766435479E-09,5.72849074842452E-08,1.73896154365138E-07,3.32829131366452E-07,5.13353427322727E-07,6.41944211565715E-07,7.44125543405971E-07,7.47090439290332E-07,6.45785746655747E-07,5.79651725729491E-07,5.29328303855436E-07,4.65638152036263E-07,2.96744730121645E-07,2.10333670480622E-08,2.38635278204669E-10,1.84230343654168E-12,3.59238497510492E-14,1.94938577848493E-17,1.20150010565828E-18,7.94044597319463E-21,5.14854253173623E-18,1.27532600907761E-14,2.57646703451242E-12,8.46156963940636E-11,2.83466500272667E-10,2.26867802322062E-10,5.28231729191031E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.18611369126898E-12,2.11589981646831E-11,5.66961443071445E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.3961558272041E-11,-9999,-9999,-9999,5.24564836013042E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.79427831318619E-17,2.97807354395629E-17,3.03551495092544E-17,-9999,8.31605851482663E-15,9.3588873630035E-14,1.31540514158174E-12,8.83354916991763E-11,8.5990498055466E-10,1.14127320927082E-08,5.7898560612557E-08,1.02860731487908E-07,5.1171861059629E-07,7.32285116100684E-07,8.15516727925569E-07,7.8983669027366E-07,6.84505891968001E-07,5.65954678677372E-07,4.86346664274606E-07,3.9484996250394E-07,2.33625641499202E-07,4.02144486599809E-08,1.59045299152893E-09,1.46917738391705E-11,2.07706573294997E-13,1.39311294704986E-12,6.00447553210002E-15,3.75131918800911E-15,2.41588313576677E-18,8.94645132440608E-17,1.36800574953986E-15,1.58752676802931E-13,1.79743633171858E-11,1.60249535863244E-10,2.18266182905325E-10,3.77506741144895E-11,2.36714554208151E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.4377672229865E-12,8.15774617995979E-12,9.69350294477422E-11,2.51339088430669E-10,5.0517778849013E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.55946030930576E-10,6.28214036346719E-10,-9999,-9999,1.30473831738698E-09,1.45360401493377E-09,-9999,-9999,2.75817879646922E-09,4.82557194203537E-09,-9999,-9999,-9999,-9999,-9999,2.23155304998612E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.93580162621671E-14,4.12199462930529E-13,8.81082880266337E-12,8.19979015243E-11,7.44898420723672E-10,3.55178286781666E-09,1.56115742555585E-08,4.1962934460571E-08,3.98606033513715E-07,5.31336581843789E-07,5.30903491835488E-07,4.23316151909603E-07,2.20947839579821E-07,3.60429730505984E-08,1.83110060447689E-08,1.45962939512856E-08,8.43538927597365E-09,9.6111296699064E-10,2.3029437731803E-11,7.1749153994949E-15,3.87615049920412E-14,9.73641079462769E-16,1.32042750191972E-17,1.18150028465379E-17,4.17146494696222E-16,1.12896024045137E-14,1.53999924113911E-14,2.82798233649259E-15,2.00109026571305E-13,7.49727623733376E-12,5.2779492581978E-11,2.43801819010958E-11,1.80283479117582E-12,3.06199327232502E-14,-9999,-9999,-9999,-9999,-9999,7.15217084432545E-17,7.9385647293556E-15,1.62583339261176E-13,1.04877380651541E-12,2.7502469052143E-11,2.31164462571876E-10,7.44120209894561E-10,6.98506197327475E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.10098888339571E-10,1.27845622976963E-10,-9999,-9999,-9999,-9999,3.59146912209951E-09,2.88265966652546E-09,2.21930118726732E-09,1.4276793969259E-08,1.02683541669535E-08,1.2098789525794E-08,2.02383905190118E-08,3.78317679405882E-08,2.38100525962182E-08,1.07177875463549E-08,-9999,4.86166262803067E-09,5.20082066302052E-09,-9999,-9999,7.94276866500354E-11,1.41164354511281E-11,3.52856220804665E-12,5.2462044040566E-13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.5269074946952E-12,1.94753067839226E-12,-9999,-9999,-9999,1.87696577030882E-11,6.10490893948601E-11,2.06280256764835E-10,7.10675462922694E-10,3.21108850620533E-09,9.02895180843188E-09,3.81300466756329E-08,9.95928175484551E-08,5.1177661219981E-08,1.64347184750113E-08,1.05411555040291E-08,4.64991467552522E-09,4.82205608776098E-10,1.0276717671287E-10,7.05576500004135E-11,3.97862992551623E-11,5.47870993364286E-12,1.68360713825172E-13,1.10822983057561E-19,3.2502113332748E-17,1.43246392533169E-18,2.5547675167092E-20,1.55245742040092E-20,1.10510967945567E-18,1.55727536748295E-16,5.55234925012993E-15,6.1544180455768E-16,2.66466316107541E-15,1.6780950544068E-13,1.13891205494321E-11,1.3623441784405E-11,5.91634759846554E-13,2.78960708530076E-15,4.97084056151238E-19,8.29139057568991E-22,3.70478426717461E-24,3.52731744787954E-21,1.00902088466342E-17,7.3554574281775E-17,1.03730798007089E-17,4.94915428467502E-17,5.654652724829E-16,2.14579425734072E-13,5.07748530720331E-12,7.71977204383489E-11,4.4400003118561E-10,7.62039931156977E-10,1.80889481171675E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
