"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Atlantic sharpnose shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.53838550179353E-07,2.42188804122634E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.75425291976717E-07,6.49565663479734E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.22546106595678E-09,2.67231459183392E-09,5.73600811293318E-09,1.22987140471764E-08,-9999,-9999,-9999,-9999,-9999,0.000555127218831331,0.000555161794181913,0.000523664988577366,0.00034865242196247,4.82770992675796E-05,8.04153314675204E-05,0.000554530182853341,0.000470472383312881,0.000432873202953488,5.11359667143552E-06,0.000253893987974152,0.000433618552051485,-9999,-9999,0.000334881711751223,0.000757898902520537,0.000605945417191833,0.000605785346124321,0.00251928553916514,0.00341393589042127,0.0030634650029242,0.0030240009073168,0.00160420103929937,0.000452442764071748,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.24790811018016E-09,2.74815636913672E-09,5.97286442527434E-09,1.26346364481833E-08,2.59673154090478E-08,5.19012601785107E-08,1.10017815302399E-07,-9999,4.87045190311619E-06,0.000744540942832828,0.000886186026036739,0.00153093808330595,0.00214440934360027,0.00219811499118805,0.000970824214164168,0.00138942198827863,0.00131202954798937,0.00170498935040087,0.00138185627292842,0.00110860902350396,0.00112133554648608,0.000704833830241114,0.000829675060231239,0.00184496666770428,0.00364975794218481,0.006672996096313,0.00759991118684411,0.00763885909691453,0.00746532343327999,0.00739225093275309,0.00730381673201919,0.00717406766489148,0.00699608400464058,0.00671470025554299,0.00516327563673258,0.00257632159627974,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.78853895530062E-09,6.17301676442139E-09,1.35493296582467E-08,2.87098380624684E-08,5.88287001335175E-08,1.16797160387705E-07,2.52115142984621E-07,5.98280735175649E-07,1.64125992796471E-06,0.00127292855177075,0.00169764168094844,0.00187347631435841,0.0052605289965868,0.00793291721493006,0.00958874821662903,0.00975291058421135,0.00886821839958429,0.00927103962749243,0.00932681746780872,0.00846542697399855,0.00823445152491331,0.00781711935997009,0.00776248564943671,0.00821233633905649,0.00802447088062763,0.00782556552439928,0.00761051801964641,0.00739094894379377,0.00717271212488413,0.00709859747439623,0.00705757224932313,0.00694237602874637,0.00676527014002204,0.00657693296670914,0.00639086775481701,0.0062047285027802,0.00581890903413296,0.0022056414745748,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000455751724075526,0.000457911897683516,0.000460694282082841,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000382305646780878,-9999,-9999,-9999,0.000448155653430149,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.20892848246513E-09,1.3386772579338E-08,2.8675653851451E-08,-9999,2.59532839663734E-07,6.47197964553925E-07,1.76113962879754E-06,0.00018762810213957,0.000856394763104618,0.00163053185679018,0.00249382574111223,0.00114563235547394,0.00833760295063257,0.0106203388422728,0.0102882944047451,0.00990410055965185,0.0095770675688982,0.00927499402314425,0.00898492243140936,0.0087366160005331,0.00848392862826586,0.00824544299393892,0.00802550930529833,0.00779237039387226,0.00747710559517145,0.00673507573083043,0.0045559867285192,0.00602230848744512,0.00664836727082729,0.00665068300440907,0.00654095085337758,0.00642186729237437,0.00630560563877225,0.00618701428174973,0.00607819622382522,0.00592081574723125,0.00270693376660347,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000811396399512887,0.00170646701008081,0.000832976773381233,0.000448940380010754,0.000454963213996962,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00034417086862959,0.000466971017885953,-9999,-9999,0.000309585884679109,0.000336809287546203,-9999,-9999,0.000469484744826332,0.00134344783145934,-9999,-9999,-9999,-9999,-9999,0.000102590216556564,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.67015263186477E-07,1.56496844283538E-06,3.0289993446786E-05,0.000141050288220868,0.000718413852155209,0.000620917999185622,0.000556590093765408,0.000503989460412413,0.0063138916157186,0.0104995872825384,0.010160556063056,0.00975920353084803,0.00944015942513943,0.00917002372443676,0.00891842320561409,0.00866709463298321,0.00842956639826298,0.00821319781243801,0.00799356494098902,0.00756880175322294,0.00593128986656666,0.000114989481517114,0.000551820150576532,0.00286500412039459,0.0053880256600678,0.00623462675139308,0.00628755055367947,0.00631583295762539,0.00625514471903443,0.00616381177678704,0.00609459448605776,0.00605046516284347,0.00588133418932557,0.0027713377494365,-9999,-9999,-9999,-9999,-9999,0.000982011668384075,0.00101633707527071,0.00277210702188313,0.00443681934848428,0.00332015240564942,0.00197085132822394,0.00100914458744228,0.000450158171588555,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000133157125674188,0.000129640495288186,-9999,-9999,-9999,-9999,0.000347830675309524,0.000334917829604819,0.000370772177120671,0.00182136672083288,0.000672130205202848,0.00106134917587042,0.00151840480975807,0.00352137885056436,0.00111955835018307,0.000431500287959352,-9999,0.000671430840156972,0.000872140633873641,-9999,-9999,0.000702914665453136,0.000117904506623745,2.48668784479378E-05,2.58223303717386E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000360369682312012,3.59814730472863E-05,-9999,-9999,-9999,0.000127097562653944,0.000745330529753119,0.000751809973735362,0.000679704244248569,0.000611256284173578,0.000552063283976167,0.000933139817789197,0.00817356910556555,0.0104410694912076,0.0100294919684529,0.00962604954838753,0.00931758712977171,0.00906019471585751,0.00881443172693253,0.00859175994992256,0.00836885161697865,0.00815671496093273,0.00781144434586167,0.00236757681705058,3.72809893178783E-07,3.6737412756338E-07,1.03080392364063E-05,0.000191888539120555,0.00174960913136601,0.00450149085372686,0.0058706128038466,0.0062860120087862,0.00624411273747683,0.00616914033889771,0.00610578339546919,0.00608922401443124,0.00611945101991296,0.0033345993142575,0.000281273009022698,0.000175355991814286,4.02468771198983E-07,0.000309426512103528,0.00320783560164273,0.00572794256731868,0.00685965269804001,0.00757132843136787,0.00732959527522326,0.00735233724117279,0.00637356145307422,0.0041761570610106,0.000827591691631824,0.000456587964436039,0.000467445061076432,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
