"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Benthic coastal invertebrate feeders"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0390166267752647,0.035954799503088,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0483646392822266,0.0445028245449066,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0119629222899675,0.0146582154557109,0.0176104456186295,0.0200280323624611,-9999,-9999,-9999,-9999,-9999,0.113177336752415,0.126122862100601,0.130375429987907,0.114503681659698,0.102620609104633,0.0903811007738113,0.0716621056199074,0.0635136738419533,0.0598709359765053,0.0498219951987267,0.0451084189116955,0.0301319509744644,-9999,-9999,0.0108722662553191,0.0101365000009537,0.00499475933611393,0.00464206095784903,0.00478006666526198,0.00434733647853136,0.00520718842744827,0.00797985028475523,0.00692846346646547,0.0113589772954583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0116440448909998,0.0148498844355345,0.0223129503428936,0.0289082545787096,0.0297088846564293,0.0402192547917366,0.0381185300648212,-9999,0.0640505701303482,0.107584796845913,0.112705312669277,0.138034403324127,0.132534831762314,0.113736867904663,0.0937762558460236,0.0839321315288544,0.0646064206957817,0.0564688108861446,0.0527056977152824,0.0440811030566692,0.0329070724546909,0.0235867761075497,0.0158178489655256,0.0120906960219145,0.00806383322924376,0.00568085489794612,0.00304254703223705,0.00306365359574556,0.00281861564144492,0.00306733138859272,0.00360799231566489,0.00523379119113088,0.00496991258114576,0.00341788004152477,0.00169450952671468,0.000915999175049365,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0135347042232752,0.0209235455840826,0.0481976307928562,0.0619479864835739,0.0578829869627953,0.0590833984315395,0.0626502558588982,0.0768827646970749,0.0715512111783028,0.0923318639397621,0.117689862847328,0.138222083449364,0.118616163730621,0.0930920839309692,0.0711285993456841,0.058445367962122,0.0409437492489815,0.0367955900728703,0.0337768532335758,0.0241864714771509,0.018303494900465,0.0144603019580245,0.0105767566710711,0.00925605278462172,0.00653366791084409,0.00422873254865408,0.00326688564382493,0.00417805137112737,0.00430024322122335,0.00437065679579973,0.00440562935546041,0.00458954880014062,0.00556870503351092,0.00480251852422953,0.00234038685448468,0.00125557789579034,0.000837718136608601,0.000873916549608111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0734152421355247,0.0619759373366833,0.0485081560909748,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0131460800766945,-9999,-9999,-9999,0.0133443530648947,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0798645615577698,0.0856416597962379,0.0681371688842773,-9999,0.0573208257555962,0.0752192586660385,0.0754472687840462,0.101303026080132,0.11192936450243,0.112728886306286,0.0900144502520561,0.068494975566864,0.050738487392664,0.054153848439455,0.0433622673153877,0.0364238321781158,0.0283212978392839,0.0169628653675318,0.0121716521680355,0.0113337552174926,0.00775283901020885,0.00599792134016752,0.00411842996254563,0.00447684712707996,0.00437252409756184,2.59364469457068E-06,6.18628837045776E-09,7.42624237659584E-08,0.000185224460437894,0.00240477104671299,0.00381954037584364,0.00494901882484555,0.00391240185126662,0.00327232689596713,0.00184216792695224,0.001179538667202,0.00097202358301729,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0564155615866184,0.0522563904523849,0.0466689951717854,0.0563004910945892,0.0550548993051052,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0207576099783182,0.0210418291389942,-9999,-9999,0.0259555578231812,0.0236916318535805,-9999,-9999,0.0154808824881911,0.0172892194241285,-9999,-9999,-9999,-9999,-9999,0.0749394148588181,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0896500125527382,0.110323883593082,0.0846248865127563,0.0841203480958939,0.0875057876110077,0.0932548567652702,0.0696786195039749,0.0525186806917191,0.0353472717106342,0.0424228496849537,0.0382215417921543,0.0315528176724911,0.0209554694592953,0.0129138408228755,0.00956477969884872,0.00831229146569967,0.00506881158798933,0.00368201872333884,0.00396820763126016,0.00252749444916844,2.16344613335195E-08,1.91789348291671E-10,2.58522652070436E-12,9.17699666258542E-11,2.69624376159072E-08,6.27441477263346E-06,0.000188044810784049,0.00345930084586143,0.00414050742983818,0.00478742085397243,0.00406961794942617,0.0023537315428257,0.00170295417774469,0.00210075872018933,-9999,-9999,-9999,-9999,-9999,0.0217691045254469,0.0259713623672724,0.0328209325671196,0.0336619354784489,0.0540783070027828,0.0573319084942341,0.0613297186791897,0.0624604783952236,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0486512258648872,0.0679241195321083,-9999,-9999,-9999,-9999,0.0229081176221371,0.0279192328453064,0.0256099533289671,0.0252051167190075,0.0289655607193708,0.0249417368322611,0.0217689983546734,0.0112146064639091,0.0150230098515749,0.0115447621792555,-9999,0.00854604411870241,0.0181335192173719,-9999,-9999,0.0653825700283051,0.0629235357046127,0.0512790009379387,0.0228538122028112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0662783980369568,0.104436747729778,-9999,-9999,-9999,0.120058789849281,0.0861738175153732,0.0784277990460396,0.0724491104483604,0.0597358047962189,0.0450725816190243,0.033603124320507,0.0241747442632914,0.0247240401804447,0.024500610306859,0.0179559271782637,0.0131809646263719,0.00785207748413086,0.00585499871522188,0.004370525944978,0.00296502071432769,0.00278220209293067,0.00215387716889381,3.26130433769833E-09,7.23594361512481E-12,5.73767311331901E-14,9.34938344157707E-16,4.41498949216041E-14,1.84599887459447E-11,4.78872008713438E-09,2.18430088239074E-07,0.00362812960520387,0.00354052498005331,0.00386427436023951,0.00381057476624846,0.0035819923505187,0.00212367391213775,0.00269578490406275,0.00391639722511172,0.00559412781149149,0.006273761857301,0.00749765615910292,0.00867483951151371,0.0135084502398968,0.0166104324162006,0.0188926961272955,0.0191176664084196,0.0252615697681904,0.0343750156462193,0.0645677000284195,0.0698459595441818,0.0784429237246513,0.0757112205028534,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
