"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Benthic piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.49554972242549E-07,2.39000314650184E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.0659648448127E-07,3.91619010997601E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.00583946505139E-07,9.60731938448589E-08,7.94611807464207E-08,1.13965825221385E-07,-9999,-9999,-9999,-9999,-9999,2.07819709885371E-07,2.44678261651643E-07,2.98562838452199E-07,3.6168577821627E-07,4.21565687247494E-07,5.56285101538379E-07,7.68507106840843E-07,8.42811630263895E-07,7.20413652288698E-07,7.40481198135967E-07,7.14024452008744E-07,7.00412670084916E-07,-9999,-9999,9.18070782063296E-07,1.42559179039381E-06,2.2642334442935E-06,2.5170866138069E-06,5.87639897275949E-06,7.58888745622244E-06,6.64374601910822E-06,7.39726237952709E-06,5.8045843616128E-06,2.81008033198304E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.08458721115312E-07,1.05378596515493E-07,9.10840682877279E-08,1.37008456135845E-07,1.19369659046242E-07,1.09394051150957E-07,2.39695680193108E-07,-9999,1.79542411160583E-07,2.1229236324416E-07,3.12649831357703E-07,4.77355456496298E-07,6.62245213334245E-07,8.38595440200152E-07,8.99998667591717E-07,1.28529211451678E-06,1.87917203220422E-06,2.31192802857549E-06,1.87510613613995E-06,1.66145821367536E-06,1.44657224154798E-06,1.39992118874943E-06,1.79170308456378E-06,3.01630916510476E-06,4.97386827191804E-06,1.22493556773406E-05,3.76793905161321E-05,8.36699837236665E-05,9.89607142400928E-05,0.000119228046969511,0.000121387143735774,0.000139609779580496,0.000163110278663225,7.54212669562548E-05,1.20846552817966E-05,4.50424431619467E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.10185645496585E-07,1.0421149454487E-07,1.83955151555892E-07,1.83225850491908E-07,1.82712014407116E-07,3.35890433689201E-07,2.99113338542156E-07,2.90037121430942E-07,3.22810024044884E-07,3.52532708802755E-07,5.3216683681967E-07,7.00814723586518E-07,1.42229066568689E-06,3.09301253764716E-06,7.55956943976344E-06,1.52951852214755E-05,1.86539273272501E-05,2.97938313451596E-05,3.53300129063427E-05,1.88019675988471E-05,1.6944690287346E-05,1.65133078553481E-05,1.96883829630679E-05,5.96184145251755E-05,8.29135460662656E-05,0.000117035953735467,0.000190385937457904,0.000457874382846057,0.00214902497828007,0.00127419922500849,0.000657618802506477,0.000644372601527721,0.000609872979111969,0.000389975059079006,0.000190370687050745,8.77936545293778E-05,2.14873634831747E-05,3.00920987683639E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.26340506010092E-07,4.35766196460463E-07,3.4045763186441E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.29677198149147E-07,-9999,-9999,-9999,2.57627306154973E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.59017645273707E-07,1.79354458396119E-07,1.93294013683953E-07,-9999,2.62928836036735E-07,3.85094210741954E-07,2.51316038202276E-07,2.6898820237875E-07,4.00471748207565E-07,6.25386348929169E-07,1.04472690054536E-06,1.210439904753E-06,9.7966767498292E-06,9.97017195913941E-05,0.000264267902821302,0.000284866313450038,0.000239245608099736,0.00015754891501274,0.000116681527288165,0.000150615203892812,0.000208121549803764,0.000221043534111232,0.000238518347032368,0.000307390320813283,0.00118329131510109,0.00466391257941723,0.00594556936994195,0.00486560724675655,0.00290871504694223,0.00226793414913118,0.0018778279190883,0.000994602567516267,0.00047281789011322,0.000324384920531884,0.000116902301670052,3.34893011313397E-05,3.49480569639127E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.87168380864023E-07,9.03368174931529E-07,5.78116839733411E-07,4.20520194666096E-07,3.54542294189741E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.50603250151471E-07,2.83336049733407E-07,-9999,-9999,2.674169365946E-07,2.80710537481355E-07,-9999,-9999,3.33941699182105E-07,3.51740652604349E-07,-9999,-9999,-9999,-9999,-9999,2.23443464619777E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.77847931329234E-07,4.14754140365403E-07,3.03877243368333E-07,2.89476048465076E-07,3.91760124784923E-07,5.23369237726001E-07,8.15348244032066E-07,1.34031745346874E-06,9.39421988732647E-06,0.000157293223310262,0.000732899236027151,0.000982163706794381,0.000717898830771446,0.000559267471544445,0.00042840585228987,0.000420743715949357,0.000426580780185759,0.000484328716993332,0.000553920690435916,0.00282853120006621,0.00551916938275099,0.00689837569370866,0.00730843562632799,0.00689405342563987,0.00568498205393553,0.00401809578761458,0.00318840425461531,0.00202119396999478,0.000961923389695585,0.000718601630069315,0.000350249378243461,0.000115066795842722,2.29565685003763E-05,3.56243231180997E-06,-9999,-9999,-9999,-9999,-9999,1.13214696284558E-06,1.10859684809839E-06,1.458614974581E-06,2.02439309759939E-06,1.33595619900007E-06,9.36885953706224E-07,6.41584620098001E-07,3.59497505542095E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.92823307543222E-07,2.26235798095331E-07,-9999,-9999,-9999,-9999,3.740998693047E-07,3.9399520801453E-07,4.51725838956918E-07,7.25462200534821E-07,6.66273194838141E-07,6.85533109390235E-07,7.4890232326652E-07,9.66075731412275E-07,6.28650695944089E-07,4.75601837024442E-07,-9999,4.35922004271561E-07,4.63715338128168E-07,-9999,-9999,4.63159238961453E-07,3.03580435456752E-07,2.32233020369677E-07,2.37632349353589E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.33184039188927E-07,3.23837866744725E-07,-9999,-9999,-9999,4.96163181651355E-07,3.93638998730239E-07,3.24425144526685E-07,4.56986356311972E-07,5.42005125225842E-07,9.04390503819741E-07,1.70431303558871E-06,1.52808461280074E-05,0.000177695081220008,0.00124021631199867,0.00155969790648669,0.00113326939754188,0.000866724702063948,0.000691230699885637,0.000693771580699831,0.000599968014284968,0.000743078824598342,0.00261511374264956,0.0065609966404736,0.0068994639441371,0.00738393608480692,0.00782092101871967,0.00796830840408802,0.00770427053794265,0.00680143665522337,0.00464444933459163,0.00207068724557757,0.00129991152789444,0.000954860763158649,0.00052483327453956,0.000199224421521649,5.97602120251395E-05,5.91503112445935E-06,9.75764237409749E-07,7.30513875168981E-07,8.12891585155739E-07,1.06886170669895E-06,2.59470266428252E-06,6.1348214330792E-06,8.91001491254428E-06,9.85614315140992E-06,7.08397374182823E-06,5.91265779803507E-06,3.53000541508663E-06,1.6179849353648E-06,6.05344041559874E-07,3.83484177746141E-07,2.80194029755876E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
