"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Billfish

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.48438176697618E-08,2.46794176206322E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.06604358463392E-08,4.98485874800281E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.21227983848715E-11,4.72127302530989E-11,9.89621717906175E-11,2.08500855469751E-10,-9999,-9999,-9999,-9999,-9999,1.41967981814872E-09,2.88865398268001E-09,5.73552316751602E-09,1.13416929181653E-08,2.27379537420802E-08,4.72260950346026E-08,1.0243226000739E-07,1.00966879301723E-07,9.97965301507975E-08,9.78408678520282E-08,9.21620042504401E-08,8.27755357590831E-08,-9999,-9999,3.41436283690655E-08,6.91880188696814E-08,6.34277199651478E-08,1.30421710764494E-07,1.24958020819577E-07,1.23188172551636E-07,1.24155064895604E-07,1.26726646954012E-07,1.30160998423889E-07,1.33841481897434E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.30838941711609E-11,4.96372873359796E-11,1.04421783719832E-10,2.14027823242091E-10,4.23720641906655E-10,7.89834864178829E-10,1.53711188222161E-09,-9999,1.88969573322595E-09,1.69530411930907E-09,3.15102743897455E-09,6.07418071396637E-09,1.18340546251261E-08,2.31678303208582E-08,4.60244891087314E-08,9.45664240248334E-08,2.02726454290314E-07,1.97788494915585E-07,1.92472356275175E-07,1.81655565256733E-07,1.6644830225232E-07,1.45065229162356E-07,1.17920684772344E-07,9.58196721967397E-08,7.62546292776278E-08,1.3729864178913E-07,1.17289026491108E-07,2.25898389771828E-07,2.11177251685513E-07,2.10036660064361E-07,2.15112720525212E-07,2.22312849018635E-07,2.31661800853544E-07,2.43853463643973E-07,1.165425516092E-07,1.23645619964918E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.14351582159289E-11,1.10759061644483E-10,2.32719371551227E-10,4.76502559632053E-10,9.33059518537505E-10,1.66228475428909E-09,2.8132263185654E-09,4.97461272175315E-09,4.23159196571987E-09,3.57978358067612E-09,6.44969766483428E-09,1.21171206401982E-08,2.32132144617481E-08,4.47984653817457E-08,8.73265548761992E-08,1.74592770463278E-07,3.62789279506615E-07,3.4687855077209E-07,3.33069124280883E-07,3.11104258798878E-07,2.8393964157658E-07,2.49197995572104E-07,2.12764845741731E-07,1.75297415694331E-07,1.3800267595343E-07,2.32826224078053E-07,1.8535941137543E-07,1.94894937521894E-06,0.00125748524442315,0.000142508535645902,1.16733926915913E-05,8.25790266389959E-06,4.797406745638E-06,1.89560716989945E-06,2.0972487391191E-07,2.39085750308732E-07,1.21629611271601E-07,6.1551723717912E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.05183386631825E-09,3.79474718315009E-09,1.80015102824171E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.62522750812855E-09,-9999,-9999,-9999,3.06569902797094E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.04406983059135E-10,2.21189330740224E-10,4.65742389099688E-10,-9999,4.98957541950062E-09,9.68023528002959E-09,8.4164692992772E-09,7.11140701881163E-09,1.27200978639053E-08,2.36323547397888E-08,4.47113812640509E-08,8.47869472409002E-08,1.59989966164176E-07,3.0164051167958E-07,5.8233626987203E-07,5.32749993453763E-07,5.03285946251708E-07,4.69834645855371E-07,4.30723332556227E-07,3.78919679633327E-07,3.26038161801989E-07,2.70528715873297E-07,2.14009062915466E-07,7.61421347306168E-07,4.02548575948458E-05,0.00254093995317817,0.00258581526577473,0.0025893182028085,0.00256802700459957,0.00189980259165168,0.000780184811446816,4.45569858129602E-05,2.71961425823974E-06,1.36982498588623E-06,2.33987890396747E-07,1.29340847365711E-07,6.68373516532483E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.57329012040464E-08,7.61709983976289E-09,3.75048214706908E-09,1.8237750198935E-09,8.63277394014261E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.16622172924497E-09,3.28023808116029E-09,-9999,-9999,5.99564931036412E-09,6.12668893396062E-09,-9999,-9999,6.77088030087702E-09,3.28806204485943E-09,-9999,-9999,-9999,-9999,-9999,5.64025848248662E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.79177627868921E-09,1.81430017676121E-08,1.60109827618271E-08,1.37436764191534E-08,2.48755611664819E-08,4.62120937072541E-08,8.67262741621744E-08,1.61426143563403E-07,2.91844571620459E-07,5.03377862060006E-07,1.79708081304852E-06,6.47023580313544E-06,6.13158272244618E-06,3.14463841277757E-06,1.92633115148055E-06,2.08663527700992E-06,3.29393355968932E-06,6.2311883084476E-06,5.32713102074922E-06,0.00215360592119396,0.00254524173215032,0.00256867753341794,0.00258957827463746,0.00259320042096078,0.00259557971730828,0.00261551816947758,0.00262716109864414,0.00119372073095292,3.19419159495737E-05,1.35949658215395E-05,1.72464467596001E-06,2.61467732798337E-07,1.46618830854095E-07,7.55652393991113E-08,-9999,-9999,-9999,-9999,-9999,1.03075869617442E-07,5.03167036924879E-08,2.72385527466668E-08,1.42399523284098E-08,7.33875005209939E-09,3.71215236327771E-09,1.80551029682618E-09,8.41705483090038E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.9113802741706E-09,5.95763083310885E-09,-9999,-9999,-9999,-9999,1.11132347768716E-08,5.78101477799464E-09,6.13727424436661E-09,5.78492365121974E-09,1.21527614638239E-08,1.20518324209229E-08,1.19808873932925E-08,1.18089928946574E-08,1.2117338243911E-08,1.26629320362781E-08,-9999,1.94758005278572E-08,1.96510026029273E-08,-9999,-9999,2.03210532845333E-08,1.01479562530926E-08,1.03232382642204E-08,1.03333341883172E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.89577606338298E-09,6.15719519814206E-09,-9999,-9999,-9999,3.11285681675599E-08,2.93940711770801E-08,1.16352492085525E-08,2.14473985238328E-08,3.99702564379822E-08,7.44840420452419E-08,1.36425782670813E-07,2.39580373317949E-07,3.85150201509532E-07,5.35205617779866E-06,2.44481834670296E-05,2.84821835521143E-05,1.47931632454856E-05,1.65197761816671E-05,2.2306470782496E-05,1.35319105538656E-05,2.53678881563246E-05,0.00202653300948441,0.00257527222856879,0.00257933046668768,0.00259795179590583,0.00261824321933091,0.00263130152598023,0.00262838299386203,0.00262601021677256,0.00264164293184876,0.00187113846186548,0.000201667178771459,3.98362826672383E-05,5.2497121032502E-06,2.39558801240491E-07,1.39797563747379E-07,7.62109451102333E-08,9.03773695881682E-08,5.06662942711955E-08,6.2107083920182E-08,7.12927530344132E-08,1.78493152702686E-07,1.96568450405721E-07,9.71480744738074E-08,5.0234376658409E-08,2.65419579648096E-08,1.39893598927188E-08,7.26330462441638E-09,3.63400820546644E-09,1.76265291251809E-09,8.3535761641329E-10,3.90762117108423E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
