"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Blacktip shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.06632905125548E-09,3.88866139289235E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.10081943560658E-08,8.6760367778993E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.86936841006791E-10,2.65756028294817E-10,4.53235504682681E-10,3.50769496781922E-10,-9999,-9999,-9999,-9999,-9999,5.56460836378392E-05,5.47971067135222E-05,5.16942600370385E-05,4.28979692514986E-05,1.28083438539761E-05,1.55445613927441E-05,5.19456843903754E-05,4.88097430206835E-05,5.25984287378378E-05,4.68697498945403E-06,6.18471094639972E-05,5.308850450092E-05,-9999,-9999,5.02080911246594E-05,0.000111905654193833,9.92335262708366E-05,9.98457180685364E-05,0.000134693211293779,0.000134810179588385,0.000133825655211695,0.000132240951643325,0.00012748726294376,8.04348746896721E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.01558367218801E-10,2.66873384502375E-10,4.28923313533502E-10,8.05338296050451E-10,9.24044951666758E-10,1.82802817327854E-09,2.08118988709316E-09,-9999,2.55814506999741E-06,8.09005214250647E-05,0.000101207828265615,0.000140823060064577,0.000149499232065864,0.000149704414070584,0.000111440465843771,0.000130746499053203,0.000124862053780816,0.000135996204335243,0.000137122391606681,0.000135072084958665,0.000133756097056903,0.000105016275483649,0.000119284974061884,0.000140263568027876,0.000139403404318728,0.000136700793518685,0.000133444395032711,0.000131600943859667,0.000130768719827756,0.000130377287860028,0.000129265754367225,0.000126956598251127,0.000123051839182153,0.000119017968245316,0.000113730959128588,0.000109474400233012,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.33423622045359E-10,3.91947752031996E-10,7.34125038537314E-10,1.24223220598907E-09,1.39358613537865E-09,2.44530973247947E-09,3.81112208458489E-09,1.39192755099771E-08,5.91362798729733E-08,0.000137000301037915,0.00015667756088078,0.000161037605721503,0.000170441446243785,0.00016511176363565,0.000162093652761541,0.000155673027620651,0.000152712716953829,0.000153063374455087,0.000154622088302858,0.000155670233652927,0.000152670036186464,0.000149155966937542,0.000145671307109296,0.000141414217068814,0.000137275201268494,0.000133052555611357,0.000129222418763675,0.000124553946079686,8.36415274534374E-05,0.000109469910967164,0.000118465817649849,0.000116889154014643,0.000114464637590572,0.000111506094981451,0.000108395382994786,0.00010538177593844,0.000103126549220178,0.00010216351802228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.52071466902271E-05,6.55132462270558E-05,6.58589779050089E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.13202066940721E-05,-9999,-9999,-9999,8.41729997773655E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.19374354424463E-10,7.50187301168381E-10,5.99607030693505E-10,-9999,5.18517451197908E-09,2.11414672435239E-08,2.42258749949542E-07,4.13556153944228E-05,0.000104205078969244,0.000168386541190557,0.000179929731530137,0.000147079670568928,0.000173054286278784,0.000165041899890639,0.00016034439613577,0.000158636510604993,0.000156884125317447,0.000154944122186862,0.000151495245518163,0.000147128084790893,0.000142496457556263,0.000138909919769503,0.000135342255816795,0.000130892396555282,0.00011803739471361,6.7679570747714E-07,5.88554449620915E-09,5.82960435480118E-09,1.03817101262393E-05,6.17740952293389E-05,8.53381570777856E-05,0.000101782687124796,0.000105067047115881,0.000102936297480483,0.000102332669484895,0.000101796198578086,0.000102417667221744,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000128494895761833,0.00016791294910945,0.000132157394546084,6.65389597998001E-05,6.73845206620172E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.34528044227045E-05,6.32231094641611E-05,-9999,-9999,4.20837932324503E-05,4.73474028694909E-05,-9999,-9999,6.85991690261289E-05,0.000167403588420711,-9999,-9999,-9999,-9999,-9999,1.41787058964837E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.54084431062074E-09,1.8696859171996E-08,1.4478387129202E-05,3.73820221284404E-05,8.24794187792577E-05,7.48981983633712E-05,7.2368151450064E-05,6.98166259098798E-05,0.000182579213287681,0.000173052874743007,0.000163243297720328,0.000156281050294638,0.000152780368807726,0.000150490828673355,0.000147383951116353,0.000143254117574543,0.000138694609631784,0.000134097441332415,0.000131477660033852,5.3899970225757E-05,6.09791506178681E-09,6.02023053630774E-09,2.67437672007986E-09,2.62786681304306E-09,5.66146152181091E-09,1.12824534426181E-06,9.62051854003221E-06,7.37174341338687E-05,9.92365457932465E-05,9.96071466943249E-05,0.000100821293017361,0.000101350611657836,0.000102591890026815,0.000103995080280583,-9999,-9999,-9999,-9999,-9999,0.000130680025904439,0.000137163850013167,0.000164457684149966,0.000171614432474598,0.000175714303622954,0.000175251014297828,0.000151621759869158,6.85424165567383E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.4887807740015E-05,2.97051374218427E-05,-9999,-9999,-9999,-9999,5.15588471898809E-05,4.60358314740006E-05,6.38004203210585E-05,0.000121940887765959,8.66301124915481E-05,0.000118947136797942,0.000142326607601717,0.000163447897648439,0.00015337388322223,6.65714178467169E-05,-9999,0.000119689568236936,0.000142262317240238,-9999,-9999,7.82281349529512E-05,2.09325080504641E-05,6.38048277323833E-06,1.13834596504603E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.27290685568005E-05,1.03491847767145E-05,-9999,-9999,-9999,2.68944295385154E-05,8.35614700918086E-05,8.41917644720525E-05,7.83670620876364E-05,7.59544273023494E-05,7.42500778869726E-05,0.000144891397212632,0.000187498328159563,0.000175944209331647,0.00016145923291333,0.000151357453432865,0.000146538106491789,0.000144789853948168,0.000140616626595147,0.000136116286739707,0.000134332876768894,0.00012934445112478,6.42825907561928E-05,6.26803142722565E-09,2.78080469762187E-09,2.75677414229847E-09,1.22359067322719E-09,1.19864596026531E-09,2.5713953188955E-09,5.46885514651763E-09,9.03758916592778E-08,5.83483197260648E-05,9.12069663172588E-05,9.68573804129846E-05,9.98286850517616E-05,0.000101679856015835,0.00010303136514267,0.000105283324955963,4.00090830225963E-05,3.14224016619846E-05,6.05552452626057E-09,5.3874227887718E-05,0.000118223448225763,0.000134947316837497,0.00014814104360994,0.000158303577336483,0.000165848570759408,0.000172239582752809,0.000178140689968131,0.000183295182068832,0.000139144452987239,7.06388455000706E-05,7.14790221536532E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
