"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Bluefin tuna"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.6297138078224E-11,2.61073610646756E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.43101605354757E-11,5.38884700751474E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.94906981892236E-14,1.53111017245876E-13,3.3523897091485E-13,7.33580026151398E-13,-9999,-9999,-9999,-9999,-9999,6.34400127916268E-12,1.16252736603872E-11,2.18769152099396E-11,4.49703191351958E-11,4.49685046144399E-11,9.79391151512132E-11,9.54015755283422E-11,9.65530919105895E-11,1.01603635227487E-10,1.07586384245906E-10,1.07293576800949E-10,2.30627197894684E-10,-9999,-9999,1.40279643456864E-09,3.31494653948994E-09,3.44257333750875E-09,7.88230725135008E-09,7.52039053253384E-09,6.79051614937976E-09,5.87723070211155E-09,4.94117147198381E-09,2.07082617720289E-09,8.9445578721481E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.99864089750112E-14,1.54678421221584E-13,3.39430713354114E-13,7.36972332118779E-13,1.57645565438541E-12,3.30038275354883E-12,7.04931295628097E-12,-9999,1.63007142506277E-11,1.59653401610171E-11,1.40869165290991E-11,2.52286108670674E-11,4.75249735398808E-11,9.79524794608722E-11,9.81643724640158E-11,2.1463676669331E-10,2.10159611935268E-10,2.13733822307383E-10,2.25069685111379E-10,2.34963715151082E-10,2.37406705405618E-10,5.31142740900492E-10,5.43836808919451E-10,1.26793753274512E-09,2.94509772125195E-09,6.64202781663903E-09,6.37714503426423E-09,1.34283899555498E-08,1.23856267464362E-08,1.12485567527187E-08,1.02235508947501E-08,9.15614872809556E-09,4.11252232268566E-09,1.85043569356225E-09,8.0761325405021E-10,3.52975731976457E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.55757405671114E-13,3.44211584148851E-13,7.549396763111E-13,1.63738944278236E-12,3.48983320540286E-12,7.2332344107362E-12,1.5108428397248E-11,3.36635094799753E-11,3.42418905729946E-11,3.41177225360312E-11,3.02949020036802E-11,5.45749730129774E-11,1.03546941854216E-10,2.14754852789767E-10,2.16247825202132E-10,4.76706452090525E-10,4.71567507265291E-10,4.85518236725824E-10,5.17606568717355E-10,5.46268918988346E-10,5.58424473329211E-10,1.25288857066863E-09,1.24542776092085E-09,2.71942646179468E-09,5.67232616432989E-09,1.09635944767206E-08,8.70565664001788E-09,1.47566101560415E-08,1.26688988189017E-08,1.18049969799472E-08,1.21925749496654E-08,1.28835546675532E-08,6.85883394524467E-09,3.53725226887036E-09,1.70666747401071E-09,7.85963960581171E-10,3.57952750773549E-10,1.61943958243427E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.89946094877186E-13,8.56881772026523E-14,3.86448651670725E-14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.56080636467316E-13,-9999,-9999,-9999,8.45698457010297E-13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.39699324442347E-13,7.44668703870494E-13,1.62727231863002E-12,-9999,3.14047121641181E-11,7.16195019956345E-11,7.27474955275476E-11,7.33085744886175E-11,6.59461582563914E-11,1.20736490250017E-10,2.32721272808156E-10,4.89138118897614E-10,4.9707965521506E-10,1.10732722991003E-09,1.10738840319868E-09,1.15584930515666E-09,1.24922516775428E-09,1.32930355611904E-09,1.35704791848212E-09,2.96595725757243E-09,2.77133627157866E-09,5.31712496254499E-09,9.08168917845842E-09,1.31736257458215E-08,7.46446726651584E-09,5.19428454026638E-07,2.29520883294754E-05,3.8844377741043E-06,9.02631285271127E-08,1.51187187213964E-08,8.70802541186322E-09,5.7572484557511E-09,3.3486231565405E-09,1.7173881206034E-09,8.17397871610837E-10,3.7275482700494E-10,3.76518649591873E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.98737791916515E-13,1.81039414687799E-13,8.20304314383923E-14,3.66383118776629E-14,1.64085901170705E-14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.60528610803484E-12,1.6182464439643E-12,-9999,-9999,1.72569033715653E-12,1.76368154022194E-12,-9999,-9999,1.95440430332539E-12,8.97001277509052E-13,-9999,-9999,-9999,-9999,-9999,3.92369166671291E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.72579422711372E-11,1.53674517555658E-10,1.57190663263584E-10,1.60947005722889E-10,1.48007384126458E-10,2.78055412028522E-10,5.47454470645192E-10,1.16739218292139E-09,1.19770915407713E-09,2.6904420913354E-09,2.70432076732163E-09,2.83477130658127E-09,3.06502045965829E-09,3.23796256473941E-09,3.21670667879914E-09,6.64179333753623E-09,5.64247448764377E-09,8.93250984290717E-09,1.1493550111652E-08,2.1804892114119E-08,1.00950383057352E-05,5.99362756474875E-05,5.66383750992827E-05,3.8381102058338E-05,7.86551117926138E-06,3.47160806768443E-07,9.51088523493127E-08,7.98925636757986E-09,5.91751314615863E-09,3.57594265310013E-09,1.86063353613264E-09,8.80525097279872E-10,8.89539109039106E-10,3.91278176525844E-10,-9999,-9999,-9999,-9999,-9999,3.78210310292282E-12,1.70498446090683E-12,8.01543401963978E-13,3.71175936124055E-13,1.70268774123475E-13,7.72753239977782E-14,3.47610259803996E-14,1.54322694488791E-14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.28531853129527E-12,1.24950549039438E-12,-9999,-9999,-9999,-9999,1.63319130355027E-12,3.59092399912497E-12,3.57700826424112E-12,3.65493659643112E-12,3.70475915570379E-12,3.68011393928058E-12,3.74488330970313E-12,3.8714248820626E-12,4.01814779366072E-12,4.14444043320139E-12,-9999,5.14153086425551E-12,5.06434781263887E-12,-9999,-9999,8.19210758257194E-12,8.62035529763938E-12,9.10932614062165E-12,9.54906986816439E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.15144750573371E-11,7.00084157312375E-11,-9999,-9999,-9999,3.40778849583501E-10,3.51718126845313E-10,3.68025498964641E-10,3.47998574401487E-10,6.70686173265267E-10,1.33792521506138E-09,2.85510393105426E-09,2.91256174733689E-09,6.46716502572531E-09,6.41367847720176E-09,6.60968568766407E-09,6.97754920508942E-09,7.11051795221351E-09,6.67752297900392E-09,1.26619026374897E-08,9.56948298380667E-09,1.23369243709703E-08,1.80051262788083E-08,4.30641957791522E-05,5.98981569055468E-05,6.03699154453352E-05,6.07908186793793E-05,5.91618991165888E-05,4.75187407573685E-05,1.80506085598608E-05,1.40515851398959E-06,1.22258958512589E-08,9.35629707043972E-09,6.82490819414738E-09,4.02823552292375E-09,2.05225325622393E-09,2.13288964268088E-09,9.35899913123706E-10,4.13783840524928E-10,1.79818923640163E-10,7.53497125804969E-11,2.82604703527589E-11,2.30370045956052E-11,8.71179951095202E-12,3.67759295238912E-12,1.65597255959854E-12,7.61065798056404E-13,3.49987481487388E-13,1.59912149711242E-13,7.24199007511549E-14,3.24909742936263E-14,1.43706999967443E-14,6.41050755162994E-15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
