"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Brown shrimp"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.36166840092722E-11,3.96230964705424E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.72074193572192E-11,3.87954043890026E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.30504074161253E-10,2.5036461792638E-09,6.04175043328326E-10,1.00495211111107E-11,-9999,-9999,-9999,-9999,-9999,0.0838568583130836,0.114723354578018,0.101075939834118,0.0820776894688606,0.0263886544853449,0.0349868685007095,0.141604393720627,0.154838427901268,0.134142935276031,0.0187989789992571,0.0760532766580582,0.0680926591157913,-9999,-9999,0.0351326465606689,0.0473394170403481,0.000654428848065436,0.000616432982496917,7.05186397557261E-13,1.2298871773439E-12,1.62639715063639E-12,1.34699239609515E-12,0.0182026866823435,0.00754211889579892,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.16924736454283E-10,9.9208401493911E-09,1.12093334792007E-06,1.20798276270762E-07,2.27761240423341E-10,5.76971977139795E-12,4.27401516955861E-11,-9999,0.0253700278699398,0.0805004462599754,0.0861567705869675,0.123147904872894,0.136340886354446,0.150418400764465,0.10364904999733,0.137528210878372,0.144147738814354,0.168110519647598,0.17563870549202,0.119024001061916,0.117514565587044,0.0572656020522118,0.0650700554251671,0.0325638093054295,0.0299055408686399,0.0307283457368612,0.00288812862709165,0.00384951289743185,1.93586986718675E-12,2.97730590181899E-12,3.62699800748878E-12,3.15686127412562E-12,0.0262352358549833,0.0236971266567707,0.0236010197550058,3.20430726223619E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.19821119482344E-09,1.57092085828481E-06,0.000824921415187418,0.0001118568397942,3.07307423952352E-08,1.35529906741816E-10,1.11383798018228E-10,1.79178112347245E-08,1.35245245473925E-05,0.0547168739140034,0.0611814260482788,0.0964118540287018,0.157918989658356,0.214359849691391,0.211565643548965,0.218031004071236,0.20237834751606,0.203938961029053,0.211294919252396,0.144589707255363,0.12831823527813,0.0668676644563675,0.0349049381911755,2.11706034647374E-11,3.67977219875582E-12,3.18688977117565E-12,0.0217595361173153,0.0637039467692375,0.119306124746799,0.0838905870914459,0.0366099663078785,6.35142632932073E-12,5.00097099148666E-12,4.49197450069772E-12,5.77987917943501E-12,1.37604797348367E-11,2.89360674310402E-10,5.24245591382311E-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.09145787358284,0.0925673842430115,0.0658315941691399,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0419443845748901,-9999,-9999,-9999,0.0606269724667072,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000843691697809845,0.000105903731309809,3.10188603691586E-08,-9999,4.12948786276957E-10,7.58883516027709E-07,0.00373385357670486,0.0643418282270432,0.088357537984848,0.109718911349773,0.103057324886322,0.136756330728531,0.190968960523605,0.256782948970795,0.225524708628654,0.170279532670975,0.154613941907883,0.083292655646801,0.055687140673399,0.00810733158141375,2.332066310895E-11,8.73918212102032E-12,5.7647033847863E-12,0.0341499634087086,0.123425327241421,0.205657750368118,0.024482611566782,0.108754217624664,0.0950828269124031,0.0236212518066168,0.0169349238276482,0.0134957544505596,0.000544047565199435,3.77795211781162E-10,6.62749854996036E-08,0.000184547563549131,0.000303142936900258,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0540966913104057,0.0754892900586128,0.0435182303190231,0.0465380288660526,0.0644207522273064,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0746116116642952,0.0688150301575661,-9999,-9999,0.101721987128258,0.106258265674114,-9999,-9999,0.083621621131897,0.107462614774704,-9999,-9999,-9999,-9999,-9999,0.134820356965065,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.4242637331493E-11,2.72551620161821E-10,0.0416076332330704,0.0667900815606117,0.0957881584763527,0.101941540837288,0.0626534223556519,0.0915410667657852,0.145199984312057,0.277364015579224,0.28753724694252,0.207274824380875,0.109225787222385,0.0296690631657839,0.0112821962684393,0.00480699725449085,7.48530317590257E-12,0.00172716239467263,0.0486167371273041,0.140149936079979,0.0784372240304947,8.55987318786749E-13,9.15200207285416E-13,0.00213698344305158,0.0790325924754143,0.125508159399033,0.0866681858897209,0.0446289293467999,0.00174070103093982,4.37877609726911E-08,0.000160841576871462,0.000534867751412094,0.000505675503518432,0.0265852957963943,-9999,-9999,-9999,-9999,-9999,5.03542105434462E-05,0.00451135076582432,0.00596383167430758,0.0143389087170362,0.0100735519081354,0.0384638234972954,0.0530413128435612,0.0845348313450813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0684603899717331,0.092770479619503,-9999,-9999,-9999,-9999,0.119506746530533,0.128460094332695,0.107148066163063,0.155285745859146,0.155364885926247,0.155522122979164,0.166659906506538,0.118117682635784,0.136388212442398,0.0889503881335258,-9999,0.0637030079960823,0.136355325579643,-9999,-9999,0.180169343948364,0.0976579263806343,0.0657085254788399,0.012444275431335,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.179433941841125,0.109809130430222,-9999,-9999,-9999,0.133385673165321,0.192329004406929,0.182882845401764,0.129836916923523,0.105402804911137,0.0578204914927483,0.0923115015029907,0.139339134097099,0.225573852658272,0.211464062333107,0.153691276907921,0.0801174640655518,0.0129256881773472,0.00845716614276171,7.42181489876703E-12,7.6438282786695E-12,0.00368543458171189,0.0943964496254921,0.000317425525281578,7.44564186781066E-13,7.832626691337E-13,8.1832896578829E-13,8.86772372112737E-13,0.000246183975832537,0.0314597971737385,0.145779952406883,0.114658623933792,0.0213031638413668,0.00734911253675818,0.00105792691465467,0.00110679771751165,0.00060155033133924,0.0349738858640194,0.0404933355748653,0.0516511425375938,1.37308011640379E-13,0.0150617156177759,0.0103514119982719,0.000237547734286636,0.000895454955752939,0.00278644263744354,0.00692468462511897,0.0119128748774529,0.00988335069268942,0.0344316326081753,0.0457571111619473,0.10219693928957,0.148399263620377,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
