"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Cephalopod

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00127350992988795,0.00126155093312263,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00169489253312349,0.00165431073401123,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.27546683567925E-06,1.14132690214319E-05,1.68011738423957E-05,2.0453737306525E-05,-9999,-9999,-9999,-9999,-9999,0.00139577535446733,0.00133979006204754,0.00165928900241852,0.00181456201244146,0.0018809053581208,0.00170580332633108,0.00128236855380237,0.000907214998733252,0.00098466977942735,0.00142268871422857,0.00133524951525033,0.00106212089303881,-9999,-9999,0.000219692665268667,0.000127000937936828,5.39430075150449E-05,6.84894403093494E-05,0.000192947962204926,0.00034100329503417,0.000443926081061363,0.000372370006516576,0.000251970574026927,9.11862953216769E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.80498192700907E-06,2.00760769075714E-05,0.000114317932457197,0.000161507225129753,0.000204006297281012,0.000457341491710395,0.00279954099096358,-9999,0.00262086582370102,0.00192290102131665,0.00136375427246094,0.0010407529771328,0.00106219912413508,0.00117721839342266,0.0013707842445001,0.0011987688485533,0.000850965734571218,0.000597847567405552,0.000584277790039778,0.000774292449932545,0.000826391216833144,0.000831000274047256,0.000585477217100561,0.000438588991528377,0.000283315981505439,0.000150907493662089,0.00011055039067287,0.000179960610694252,0.000360714009730145,0.000543158559594303,0.000624546548351645,0.000575290468987077,0.000420746684540063,0.000208368306630291,0.00011154415551573,4.44918441644404E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.37884317155113E-05,0.00012875378888566,0.00217614136636257,0.00273778173141181,0.00283145625144243,0.0028493432328105,0.00322680454701185,0.00303565035574138,0.00274914409965277,0.00195210159290582,0.00116193084977567,0.000821618654299527,0.000688089698087424,0.000668139255139977,0.000597932375967503,0.000502426642924547,0.000442387099610642,0.00035197997931391,0.000354345451341942,0.000446085527073592,0.000486820354126394,0.000505426782183349,0.000455341156339273,0.0003890959196724,0.000310143281240016,0.000268129835603759,0.000281314103631303,0.000458507973235101,0.000839358079247177,0.00106376910116524,0.00106703210622072,0.000959215511102229,0.000729356775991619,0.000412117457017303,0.000190301041584462,6.81943856761791E-05,2.79508567473385E-05,2.08117598958779E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00042250900878571,0.000550419150386006,0.000710209482349455,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00208528083749115,-9999,-9999,-9999,0.00180555996485054,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00331378169357777,0.0033767856657505,0.00346031598746777,-9999,0.00328539265319705,0.0030058310367167,0.00264149415306747,0.00192315352614969,0.00114699907135218,0.000794999243225902,0.000732027110643685,0.000702270481269807,0.000459423376014456,0.000366705557098612,0.000420250988099724,0.000458184105809778,0.000484924676129594,0.000510904123075306,0.000541645858902484,0.000558104715310037,0.000572323333472013,0.00057216064305976,0.000606171844992787,0.000659064680803567,0.000821336114313453,0.00133278651628643,0.00162170443218201,0.00211449223570526,0.00206790002994239,0.00175620999652892,0.0013614147901535,0.000831999292131513,0.000486665230710059,0.000281614193227142,0.000118718147859909,3.76776697521564E-05,3.50143200193997E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000562841363716871,0.000600911618676037,0.000751889892853796,0.000786378281190991,0.000782166491262615,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00186180614400655,0.00189170241355896,-9999,-9999,0.00179827923420817,0.0015640709316358,-9999,-9999,0.00111230416223407,0.00106963631696999,-9999,-9999,-9999,-9999,-9999,0.00205301935784519,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00302955973893404,0.00287025002762675,0.00245785526931286,0.00181423057802022,0.00116991205140948,0.000896385870873928,0.000880976498592645,0.000710595340933651,0.000421981181716546,0.000350668735336512,0.000494468666147441,0.000650982721708715,0.000712376146111637,0.000685010920278728,0.000706289138179272,0.000732698303181678,0.00078076048521325,0.000891015282832086,0.00107074761763215,0.00143318914342672,0.00175709859468043,0.00182497384957969,0.00208100886084139,0.00244457693770528,0.00266732089221478,0.00259832502342761,0.0021360523533076,0.001450628740713,0.000963449361734092,0.000683063233736902,0.000326637644320726,8.80596344359219E-05,5.06933465658221E-05,6.60730584058911E-05,-9999,-9999,-9999,-9999,-9999,0.00048566737677902,0.000549077522009611,0.000565939233638346,0.000586146838031709,0.000583168410230428,0.000629257876425982,0.000660442165099084,0.000697777839377522,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0016905372031033,0.0017004752298817,-9999,-9999,-9999,-9999,0.00138603989034891,0.00151142338290811,0.00169747951440513,0.00153429934289306,0.00163769547361881,0.00160360347945243,0.00126246467698365,0.00109302124474198,0.000926143489778042,0.00102463678922504,-9999,0.00156101561151445,0.00155615049879998,-9999,-9999,0.00190732732880861,0.00212459405884147,0.00236092461273074,0.00260785175487399,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00175582070369273,0.00215097726322711,-9999,-9999,-9999,0.0022454431746155,0.0013469533296302,0.00113844056613743,0.000979756237939,0.000959419354330748,0.000908671994693577,0.000639011210296303,0.000357380515197292,0.000334284617565572,0.000533004989847541,0.000777984445448965,0.000912073301151395,0.000960578327067196,0.00100206979550421,0.00105614622589201,0.00109493371564895,0.00124503043480217,0.00157975580077618,0.0018614650471136,0.00186086737085134,0.00200231303460896,0.00214118044823408,0.00231486395932734,0.00252145435661077,0.0026761160697788,0.00264507276006043,0.00188440154306591,0.00134842796251178,0.000927040411625057,0.000503694638609886,0.000193571439012885,9.46113650570624E-05,6.01468018430751E-05,2.83949339063838E-05,2.34495055337902E-05,4.06266844947822E-05,6.9663321482949E-05,0.000112206813355442,0.000257638050243258,0.0004441941564437,0.000538526859600097,0.000595884514041245,0.000620902806986123,0.000633352145086974,0.000557943596504629,0.000573025550693274,0.000521861598826945,0.000501703761983663,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
