"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Coastal omnivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.59093521890463E-05,3.4479278838262E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.52380583435297E-05,9.6133713668678E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.14585393793132E-10,1.23150578623665E-09,4.18596979301356E-09,9.45181088951585E-09,-9999,-9999,-9999,-9999,-9999,0.281485855579376,0.288409858942032,0.0891207307577133,0.0363386608660221,0.00806663651019335,0.00724000716581941,0.057492196559906,0.20182591676712,0.114167883992195,0.000220587869989686,0.00441223289817572,0.105211824178696,-9999,-9999,0.0585968941450119,0.0588992945849895,0.0266853254288435,0.0359333269298077,0.0398378558456898,0.0533939339220524,0.0603960640728474,0.0565208196640015,0.0541600845754147,0.0551980398595333,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.17075760144958E-10,6.63818222612633E-10,3.03226932452105E-09,1.08270477028327E-08,1.38085329837168E-08,1.71605479408754E-05,0.000100830940937158,-9999,0.00276991911232471,0.106649309396744,0.322162449359894,0.509515464305878,0.396372228860855,0.254087954759598,0.0628867521882057,0.0699258521199226,0.162928730249405,0.305396556854248,0.290913760662079,0.166745722293854,0.142049744725227,0.105922497808933,0.14160980284214,0.0895811691880226,0.054320402443409,0.0391885004937649,0.0223646908998489,0.0211611427366734,0.0170655492693186,0.019114950671792,0.0196071434766054,0.0223085936158895,0.0246117860078812,0.0248376186937094,0.0173850134015083,0.0117071000859141,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.11074721537352E-10,1.22017884685022E-09,6.3081952994537E-09,1.21189813739875E-08,1.79293547262205E-05,9.25926942727529E-05,0.000392477872082964,0.00125396810472012,0.00255670794285834,0.0836286321282387,0.509268403053284,0.778570950031281,0.601453423500061,0.434958219528198,0.291455060243607,0.22383177280426,0.194619536399841,0.188811302185059,0.166166976094246,0.156102925539017,0.143730327486992,0.112293347716331,0.0760456919670105,0.049793291836977,0.036291167140007,0.0237196460366249,0.0169133860617876,0.0149846775457263,0.0110966460779309,0.0122408410534263,0.0121798254549503,0.0108875213190913,0.0117522533982992,0.0127137117087841,0.00992654636502266,0.00977432914078236,0.00820783618837595,0.00965228676795959,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.264501065015793,0.281387329101563,0.254694759845734,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0065535088069737,-9999,-9999,-9999,0.0927435383200645,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.799864031379E-09,1.27331727384217E-08,5.75992316953489E-06,-9999,0.000496854481752962,0.00124440365470946,0.00265948195010424,0.0913720279932022,0.61682391166687,0.792645931243896,0.556194603443146,0.391280204057693,0.228714123368263,0.16252039372921,0.111812226474285,0.0905260667204857,0.0753242820501328,0.0694489404559135,0.0621765479445457,0.0554716810584068,0.0334480851888657,0.0247653461992741,0.0192058067768812,0.0171977411955595,0.0120996525511146,8.79710933077149E-06,3.29808756305283E-07,7.66328753343259E-07,0.00037391867954284,0.0045756115578115,0.00636744266375899,0.00863587763160467,0.00864050630480051,0.00968064833432436,0.0101551692932844,0.0111579317599535,0.0109280003234744,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.186083167791367,0.18796369433403,0.182622179389,0.271099328994751,0.264993250370026,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0141342403367162,0.0147185884416103,-9999,-9999,0.0660251155495644,0.184342727065086,-9999,-9999,0.241262286901474,0.355343580245972,-9999,-9999,-9999,-9999,-9999,0.011535482481122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00106673082336783,0.00197588675655425,0.00618895189836621,0.130004957318306,0.572521269321442,0.747294843196869,0.494060963392258,0.325522363185883,0.167176246643066,0.108859144151211,0.0626079216599464,0.0451102182269096,0.0359061509370804,0.030982656404376,0.0288878250867128,0.0267935506999493,0.0181913841515779,0.0144581785425544,0.0140512073412538,0.00560941779986024,4.43209557943192E-07,4.21422043928033E-08,7.2714252397077E-09,3.24205409185652E-08,5.37637959041604E-07,1.99440110009164E-05,0.000323801912600175,0.00562345096841455,0.00675406865775585,0.00775525346398354,0.00978707242757082,0.0113438386470079,0.0140694510191679,0.0193996373564005,-9999,-9999,-9999,-9999,-9999,0.116196654736996,0.133155986666679,0.138679087162018,0.138834685087204,0.234951257705688,0.238613203167915,0.243514806032181,0.265088766813278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0354865230619907,0.0294781234115362,-9999,-9999,-9999,-9999,0.148325741291046,0.108598679304123,0.0190739873796701,0.0440519973635674,0.0175612773746252,0.0560477934777737,0.226887330412865,0.147630348801613,0.275364637374878,0.244417697191238,-9999,0.111529715359211,0.151773646473885,-9999,-9999,0.0297762621194124,0.0132469404488802,0.00298653775826097,0.00164649053476751,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0596700087189674,0.000831063545774668,-9999,-9999,-9999,0.0052248383872211,0.877783536911011,0.883917689323425,0.801762759685516,0.611143469810486,0.3853819668293,0.219306170940399,0.122423984110355,0.0661931559443474,0.0362805649638176,0.0243102088570595,0.021494897082448,0.0168013516813517,0.0154687110334635,0.0124348420649767,0.0102245034649968,0.00874832645058632,0.00530772330239415,2.23017821099347E-07,7.06203850953102E-09,7.08498981705219E-10,1.3243613150582E-10,7.18329395965611E-10,1.76751093761141E-08,3.04869729461643E-07,1.14119904992549E-06,0.00696454755961895,0.00657825591042638,0.00690204789862037,0.00845957454293966,0.01269815210253,0.0148323252797127,0.0211308281868696,0.0255795530974865,0.00424707448109984,5.38406275154557E-05,0.002208286896348,0.0444694831967354,0.0732752904295921,0.0887660011649132,0.103319600224495,0.0961941108107567,0.111559450626373,0.136401206254959,0.253378599882126,0.231327190995216,0.210660442709923,0.197650983929634,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
