"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Cobia

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00146946939639747,0.00147766631562263,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00201370171271265,0.00164742150809616,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000611904717516154,0.00064754975028336,0.000690135755576193,0.000747083453461528,-9999,-9999,-9999,-9999,-9999,0.00447339052334428,0.00519174430519342,0.00421139365062118,0.00699588656425476,0.00372894294559956,0.00411507533863187,0.00403694994747639,0.00354863749817014,0.00314334454014897,0.0018735685152933,0.00201877881772816,0.00152165093459189,-9999,-9999,0.00224952748976648,0.00265638693235815,0.00236431183293462,0.00308598950505257,0.00295519642531872,0.00253415876068175,0.0028104146476835,0.00311709870584309,0.00308279716409743,0.00293815322220325,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000591674004681408,0.00063035695347935,0.000701271696016192,0.000771548540797085,0.000655965355690569,0.000766019162256271,0.000488552555907518,-9999,0.00145754381082952,0.00258664204739034,0.00480280537158251,0.00466462643817067,0.00512298848479986,0.00610555149614811,0.00385532667860389,0.00492151733487844,0.0047344327904284,0.00538560375571251,0.00487842550501227,0.00363645050674677,0.00320635177195072,0.00158504524733871,0.00258062453940511,0.00222926400601864,0.00296134268864989,0.00428165588527918,0.00437740469351411,0.00309795211069286,0.00362204341217875,0.00316892121918499,0.00426052184775472,0.00261768372729421,0.0042636264115572,0.00389662547968328,0.00298048579134047,0.00159309571608901,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000623567844741046,0.000667172309476882,0.000778510991949588,0.000866445247083902,0.000730636529624462,0.000840685330331326,0.000734901230316609,0.00112657784484327,0.000939648365601897,0.00162342598196119,0.00430751079693437,0.00463725393638015,0.00664628809317946,0.00811383035033941,0.00816475600004196,0.00928318407386541,0.0080429445952177,0.00762197654694319,0.00740993209183216,0.00636222725734115,0.00508022680878639,0.0051326435059309,0.00302277505397797,0.00426707603037357,0.00310310651548207,0.00416324939578772,0.00262022786773741,0.00420944159850478,0.00295998505316675,0.00378233334049582,0.00469035608693957,0.00407308200374246,0.00208001700229943,0.00304901227355003,0.00295786396600306,0.0026483885012567,0.00141666131094098,0.00105977244675159,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0048117320984602,0.00409078085795045,0.00313931587152183,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000169566657859832,-9999,-9999,-9999,0.000166631347383372,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000931374845094979,0.000970771769061685,0.000652981805615127,-9999,0.000917839468456805,0.00116732274182141,0.00111328333150595,0.00166361138690263,0.00257091363891959,0.00407523615285754,0.00525040272623301,0.00776971038430929,0.00945222564041615,0.0101785063743591,0.00757284043356776,0.00657221768051386,0.00635159760713577,0.011174607090652,0.00591383455321193,0.00526127032935619,0.00604842696338892,0.00587374251335859,0.00198303465731442,0.00243458757176995,0.00483759399503469,0.00212762574665248,0.00210643094033003,0.001331188948825,0.00243919412605464,0.0025904153008014,0.00320008350536227,0.00319532095454633,0.00146887509617954,0.00257029361091554,0.00228168629109859,0.00193199329078197,0.00107584951911122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00545725133270025,0.00653510820120573,0.00256463303230703,0.00309413741342723,0.00330025027506053,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000349954323610291,0.000375092262402177,-9999,-9999,0.000596976606175303,0.000530495250131935,-9999,-9999,0.000348843139363453,0.000410735694458708,-9999,-9999,-9999,-9999,-9999,0.00171083409804851,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00152355059981346,0.00149850419256836,0.00123087968677282,0.00136996887158602,0.00196791905909777,0.00303296465426683,0.00264924461953342,0.00683817267417908,0.00469403248280287,0.00507306028157473,0.00479833548888564,0.0035383019130677,0.00383617472834885,0.00477398419752717,0.00460790144279599,0.00384758855216205,0.00387737527489662,0.00502525409683585,0.00234888680279255,0.00216233055107296,0.00194308918435127,0.00170672812964767,0.00110627326648682,0.00104199803899974,0.00139336485881358,0.00202984595671296,0.000662897829897702,0.000686209590639919,0.00148495985195041,0.001440963242203,0.00174414576031268,0.0023613185621798,0.00152199738658965,0.00289238360710442,-9999,-9999,-9999,-9999,-9999,0.00293777766637504,0.00345134129747748,0.00529874209314585,0.00649818917736411,0.00701529858633876,0.00536709185689688,0.00575641077011824,0.00391421560198069,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00109435629565269,0.00186706450767815,-9999,-9999,-9999,-9999,0.000898127851542085,0.00122930260840803,0.00108503922820091,0.00151991820894182,0.0017200296279043,0.0013716813409701,0.00111981690861285,0.00168758747167885,0.00172147422563285,0.000791649159509689,-9999,0.000161517978995107,0.000576106598600745,-9999,-9999,0.00141957658343017,0.000833769736345857,0.000798438733909279,0.00150700251106173,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00208221608772874,0.00175639521330595,-9999,-9999,-9999,0.00172556191682816,0.00197680154815316,0.00208938773721457,0.00202327640727162,0.00428702216595411,0.00253523420542479,0.00329474615864456,0.00440728524699807,0.00381561554968357,0.00309577584266663,0.00245651626028121,0.00217666896060109,0.00224358355626464,0.00444961991161108,0.00261316704563797,0.00226270663551986,0.00198150798678398,0.00158395536709577,0.00154937314800918,0.00167226151097566,0.00112038862425834,0.00118588702753186,0.000997498864308,0.000954829971306026,0.000922654813621193,0.000741719850338995,0.000913122261408716,0.00144994945731014,0.00197714217938483,0.00183660734910518,0.00208963989280164,0.002189687686041,0.0014383316738531,0.00138313928619027,0.00185042270459235,0.00139759562443942,0.00174382945988327,0.003000324126333,0.00601004948839545,0.00437122397124767,0.00583544094115496,0.00649228319525719,0.00499449903145432,0.00405134214088321,0.00815028045326471,0.00731098651885986,0.00470972619950771,0.00563519820570946,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
