"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Crab

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.49048838019371,0.472676247358322,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.470427274703979,0.46127837896347,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00354892294853926,0.00578872673213482,0.00698731653392315,0.0077269384637475,-9999,-9999,-9999,-9999,-9999,0.428437471389771,0.402838259935379,0.424548238515854,0.413100093603134,0.424201786518097,0.404349476099014,0.350161999464035,0.298825800418854,0.311986297369003,0.376303821802139,0.356222093105316,0.326608866453171,-9999,-9999,0.162941619753838,0.129661217331886,0.138251140713692,0.139535203576088,0.146527335047722,0.168964892625809,0.18708436191082,0.176287099719048,0.176850974559784,0.161513522267342,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00376593065448105,0.00842378381639719,0.0308031477034092,0.0389942564070225,0.0468531735241413,0.0946228131651878,0.581077218055725,-9999,0.574169635772705,0.456766307353973,0.377043843269348,0.314671397209167,0.282810062170029,0.275810927152634,0.302660584449768,0.284507155418396,0.238081574440002,0.199770838022232,0.197151511907578,0.237637311220169,0.248412758111954,0.259257823228836,0.194543302059174,0.159754633903503,0.136127963662148,0.103347823023796,0.0902925506234169,0.101817913353443,0.127646788954735,0.151844441890717,0.168308064341545,0.178199514746666,0.154637351632118,0.125734329223633,0.0818489342927933,0.0451880544424057,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00665955152362585,0.0344854556024075,0.482652992010117,0.558727562427521,0.574344217777252,0.580021440982819,0.644987165927887,0.620342195034027,0.579512059688568,0.453397333621979,0.335770726203918,0.263495326042175,0.189382568001747,0.168400421738625,0.146582514047623,0.12536159157753,0.120758287608624,0.114058539271355,0.111007899045944,0.11968769133091,0.131516620516777,0.141554430127144,0.139762341976166,0.125318080186844,0.116165369749069,0.0957907885313034,0.083346962928772,0.0854238718748093,0.0785982310771942,0.118932828307152,0.15130415558815,0.159428656101227,0.161226242780685,0.123062841594219,0.0834200456738472,0.0456270575523376,0.0378298796713352,0.0514365993440151,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.246513232588768,0.269612848758698,0.300870805978775,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.535620450973511,-9999,-9999,-9999,0.519961714744568,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.633845388889313,0.642519772052765,0.661762773990631,-9999,0.66248494386673,0.611671090126038,0.552625894546509,0.452817291021347,0.333884388208389,0.239124700427055,0.193735346198082,0.177462473511696,0.119839727878571,0.0989329144358635,0.106368765234947,0.112589783966541,0.110581688582897,0.106161527335644,0.119456864893436,0.123058073222637,0.120270267128944,0.120731197297573,0.137225866317749,0.1244106143713,0.094416618347168,0.000254455284448341,3.10176659468198E-07,4.41120982941356E-06,0.0205406062304974,0.121371611952782,0.161921471357346,0.157071873545647,0.136538967490196,0.106789886951447,0.0816190242767334,0.0570222474634647,0.0828157812356949,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.230918228626251,0.212444111704826,0.262351334095001,0.282889664173126,0.28510844707489,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.482050865888596,0.483150035142899,-9999,-9999,0.469693422317505,0.458741068840027,-9999,-9999,0.397835493087769,0.404871076345444,-9999,-9999,-9999,-9999,-9999,0.491044640541077,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.610008776187897,0.589533686637878,0.532588183879852,0.450483709573746,0.326982855796814,0.263881146907806,0.244935885071754,0.187350898981094,0.123738683760166,0.105816096067429,0.120505206286907,0.134617522358894,0.137415513396263,0.130184337496758,0.134013220667839,0.134675815701485,0.13018524646759,0.132034331560135,0.155493944883347,0.0637147799134254,6.06423270710366E-07,8.82619755060432E-09,3.60879381933188E-10,2.25236949091823E-08,3.69336976291379E-06,0.00180939468555152,0.0280715767294168,0.172973275184631,0.189761444926262,0.167133823037148,0.123432137072086,0.0673187598586082,0.0847467035055161,0.127036616206169,-9999,-9999,-9999,-9999,-9999,0.229976668953896,0.223348036408424,0.194412112236023,0.185498461127281,0.191113919019699,0.207608908414841,0.230448588728905,0.269999176263809,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.449934393167496,0.435749799013138,-9999,-9999,-9999,-9999,0.408825755119324,0.415965676307678,0.426555931568146,0.381730169057846,0.392522692680359,0.40776851773262,0.381210178136826,0.346465826034546,0.325865149497986,0.366294384002686,-9999,0.469740301370621,0.459979355335236,-9999,-9999,0.459277033805847,0.508207440376282,0.552753388881683,0.60215151309967,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.448429346084595,0.483736932277679,-9999,-9999,-9999,0.497060149908066,0.406049519777298,0.345182508230209,0.298342347145081,0.275054574012756,0.246739640831947,0.178296625614166,0.118724286556244,0.115277335047722,0.133163034915924,0.151369884610176,0.157789975404739,0.156829580664635,0.141157791018486,0.146230265498161,0.149987116456032,0.155799880623817,0.0869946181774139,5.60572388508263E-08,3.12825071402401E-10,4.75552800263679E-12,2.93547683990342E-13,2.64215749973262E-11,8.04452682245937E-09,1.17568754376407E-06,7.05200145603158E-05,0.148807898163795,0.193045750260353,0.166578248143196,0.133975371718407,0.0954540595412254,0.101329937577248,0.127077519893646,0.144959226250648,0.154675021767616,0.19109833240509,0.176946878433228,0.130994141101837,0.149441972374916,0.176517710089684,0.168135777115822,0.178526073694229,0.193904995918274,0.199590265750885,0.186083808541298,0.224209502339363,0.254795551300049,0.265150010585785,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
