"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Dusky shark"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.3571018732157E-09,8.1729343293091E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.19043459534396E-08,2.10255564070394E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.38397704355187E-11,5.46414649638116E-11,1.25569221687272E-10,2.85539120126188E-10,-9999,-9999,-9999,-9999,-9999,2.14125361708284E-06,2.14112878893502E-06,1.44491264109092E-06,6.2299170622282E-07,2.76608830063196E-07,2.92504978460784E-07,2.02874025490019E-06,2.19923981603642E-06,1.673232191024E-06,3.00700619959571E-08,1.13295882897546E-07,1.58623834067839E-06,-9999,-9999,2.50069024332333E-06,3.10544351123099E-06,2.70821442427405E-06,2.71122144113178E-06,4.269872988516E-06,5.08387893205509E-06,4.80445078210323E-06,4.8138740567083E-06,3.80880305783649E-06,2.66857455244462E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.32509220210453E-11,5.33522045986778E-11,1.24061705353284E-10,2.87183277158931E-10,6.60177745803736E-10,1.51761192501709E-09,3.45083672748103E-09,-9999,2.74831606361658E-08,2.39600944951235E-06,3.03750061902974E-06,3.54621829501411E-06,4.1563998820493E-06,4.88054638481117E-06,1.23853033073829E-06,3.00325723401329E-06,3.77205128643254E-06,3.92459332942963E-06,3.41707595907792E-06,3.0605488063884E-06,3.08541984850308E-06,2.37177005146805E-06,3.32195395458257E-06,4.16865304941894E-06,5.41939652975998E-06,9.22684193938039E-06,1.53410073835403E-05,2.27267755690264E-05,2.2442998670158E-05,2.35621828323929E-05,2.48015585384564E-05,2.60721753875259E-05,2.86605572910048E-05,2.12803697650088E-05,7.62912577556563E-06,4.52005906481645E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.20557139060962E-11,1.20289236904547E-10,2.83942785950231E-10,6.57054188835104E-10,1.50267076559629E-09,3.43187878115714E-09,8.19045009592401E-09,1.8215505548369E-08,3.97035364585463E-08,1.85135843366879E-06,4.22874927608063E-06,4.36988966612262E-06,6.63649279886158E-06,9.1080901256646E-06,1.26139302665251E-05,1.36266480694758E-05,1.21080674944096E-05,1.45439744301257E-05,1.68082278833026E-05,1.25142514662002E-05,1.21426473924657E-05,1.10504970507463E-05,1.20534486995894E-05,2.08153414860135E-05,2.32316888286732E-05,2.70907439698931E-05,3.30074653902557E-05,4.76628192700446E-05,0.000145669589983299,9.50274625211023E-05,6.24817475909367E-05,6.03850457991939E-05,5.36593943252228E-05,4.73927248094697E-05,3.47651002812199E-05,2.49342901952332E-05,1.21487310025259E-05,4.19133903051261E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.71133853352512E-06,4.74066109745763E-06,4.77169623991358E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.01424535109618E-07,-9999,-9999,-9999,1.00276224657136E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.31757466048654E-10,2.99582192386794E-10,6.7738636921888E-10,-9999,6.04260685932445E-09,1.4897181266349E-08,4.92639777860404E-08,2.83265677580857E-07,4.36856089436333E-06,4.88170826429268E-06,5.56924851480289E-06,4.59069451608229E-06,1.08776494016638E-05,2.80360964097781E-05,3.84418417525012E-05,3.9041398849804E-05,3.96613868360873E-05,3.31237315549515E-05,2.87451075564604E-05,3.33478492393624E-05,3.8437432522187E-05,3.84187878808007E-05,3.82641301257536E-05,4.15900649386458E-05,7.80448026489466E-05,0.000302273110719398,0.000338632962666452,0.000328435533447191,0.000249504402745515,0.000168759710504673,0.000128041225252673,7.61754054110497E-05,4.8243731725961E-05,4.26621554652229E-05,2.58959826169303E-05,1.49677098306711E-05,4.69979522677022E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.47143008589046E-06,6.64955041429494E-06,5.65784057471319E-06,5.09540905113681E-06,4.85153759655077E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.13617556205281E-07,5.73793556668534E-07,-9999,-9999,8.69256666646834E-07,1.3911767382524E-06,-9999,-9999,2.94885285256896E-06,3.81182621822518E-06,-9999,-9999,-9999,-9999,-9999,2.36146444620999E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.8788976998776E-09,2.41194619832186E-08,8.7577902263547E-08,2.71999994083671E-07,4.26003316533752E-06,4.24309973823256E-06,4.20635205955477E-06,3.80452593162772E-06,8.84629480424337E-06,3.11095827782992E-05,6.05998357059434E-05,7.53583735786378E-05,7.26919242879376E-05,6.42549639451317E-05,5.63805988349486E-05,5.60553162358701E-05,5.7979592384072E-05,6.21946892351843E-05,5.88357361266389E-05,0.000192108273040503,0.000341742328600958,0.000344265397870913,0.000338006822858006,0.000329725444316864,0.000322964449878782,0.000284414738416672,0.000244475406361744,0.000135452632093802,7.23071498214267E-05,6.05797104071826E-05,4.41007687186357E-05,2.70310283667641E-05,1.34904585138429E-05,4.75382239528699E-06,-9999,-9999,-9999,-9999,-9999,5.05669277117704E-06,5.3335088523454E-06,7.7392787716235E-06,9.62124249781482E-06,8.84134533407632E-06,7.17885041012778E-06,6.12882377026835E-06,4.88336900161812E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.88517375931951E-07,9.30187198378007E-08,-9999,-9999,-9999,-9999,1.56359067204903E-06,1.35993798267009E-06,5.68545885926142E-07,2.13421844819095E-06,5.16145007622981E-07,1.42863336805021E-06,3.55888596459408E-06,5.07903178004199E-06,3.7687823351007E-06,2.95870108857343E-06,-9999,2.71377621174906E-06,1.51879805798671E-06,-9999,-9999,2.95482607270969E-07,5.19181817537628E-08,2.36281501031499E-08,1.09515232438184E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.23802510138194E-07,3.90817085360595E-08,-9999,-9999,-9999,3.93584791424928E-08,3.60132867172069E-06,4.35424317402067E-06,4.49862545792712E-06,4.21793765781331E-06,3.98188967665192E-06,4.52415042673238E-06,1.08533358798013E-05,3.15132856485434E-05,7.4783616582863E-05,9.13981057237834E-05,9.16162243811414E-05,7.84677249612287E-05,7.80419723014347E-05,8.03761577117257E-05,7.35844296286814E-05,7.78823086875491E-05,0.000183712836587802,0.000351609836798161,0.000349413225194439,0.000342894461937249,0.000336405355483294,0.000329345464706421,0.000323667394695804,0.000320078019285575,0.00030377515940927,0.000159159986651503,9.57086886046454E-05,7.42145493859425E-05,5.12611259182449E-05,3.22402229357976E-05,2.03250510821817E-05,5.42476163900574E-06,2.52451536653098E-06,5.32781484707812E-07,4.94532237382828E-08,9.23237337246974E-07,6.83175767335342E-06,1.06318912003189E-05,1.35134687297978E-05,1.5296034689527E-05,1.44556752275093E-05,1.42612498166272E-05,1.24705529742641E-05,9.63375714491121E-06,6.13835163676413E-06,4.86432281832094E-06,4.8628407967044E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
