"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Gag grouper (0-3yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.8720806238548E-08,3.57457814459394E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.45931097708763E-08,4.59730635782307E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.33517933093819E-12,2.15239874534756E-11,5.05318668853061E-11,1.1834415392098E-10,-9999,-9999,-9999,-9999,-9999,6.35649257674231E-08,6.13854851394535E-08,5.75781022860156E-08,6.85583856352423E-08,4.51149020364028E-08,9.28341421513323E-08,2.03171552470849E-07,1.95028206917414E-07,2.10275445056141E-07,1.64591078544163E-08,1.27786776715766E-07,2.18807372220908E-07,-9999,-9999,8.53946289680607E-07,2.09443419407762E-06,1.99319856619695E-06,2.64976597463829E-06,1.24314337881515E-05,1.88130343303783E-05,1.82716648851056E-05,1.97365625353996E-05,8.48067884362536E-06,2.53386292570212E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.03691357856395E-12,2.06908396666039E-11,4.85001899752646E-11,1.16774090397342E-10,2.90489660104143E-10,7.5362904805587E-10,1.84720316820375E-09,-9999,7.45838590887615E-09,4.50818156139121E-08,7.73614132754119E-08,1.82648179247735E-07,3.86933521667743E-07,6.07845947797614E-07,5.30323461589433E-07,9.36901017212222E-07,1.13283806513209E-06,1.87201908374846E-06,1.55488544351101E-06,1.36547419060662E-06,1.15771956643584E-06,7.21936885383911E-07,1.39848930302833E-06,4.03660123993177E-06,1.06086599771515E-05,3.72541071556043E-05,9.24154228414409E-05,0.000110980792669579,9.94938163785264E-05,0.000102083715319168,0.000102549442090094,8.59748761286028E-05,0.000124894897453487,0.000126712970086373,5.11002290295437E-05,1.4037322216609E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.00734064786934E-11,4.60519573863838E-11,1.08740592918988E-10,2.62721594479487E-10,6.5881994304462E-10,1.7449619527099E-09,4.53205029060655E-09,8.83637429893724E-09,1.11154276893899E-08,5.57543629042812E-08,1.87523042427529E-07,3.83234691980761E-07,1.88100966624916E-06,5.88980583415832E-06,1.67193738889182E-05,2.98501126962947E-05,2.83603294519708E-05,4.11448927479796E-05,5.14896928507369E-05,4.85321324958932E-05,4.34527391917072E-05,4.03815502068028E-05,4.3002626625821E-05,8.12882135505788E-05,8.68551287567243E-05,0.000105682622233871,8.69998184498399E-05,0.000100761601061095,5.18149063282181E-05,8.95229677553289E-05,0.000100369601568673,0.000122547484352253,9.44113344303332E-05,0.000122510842629708,0.000121910954476334,0.000124411439173855,6.31947259535082E-05,8.94366166903637E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.2591602544253E-07,2.00354563162364E-07,1.76334935986233E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.65560859150582E-09,-9999,-9999,-9999,1.09733555575531E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.91317958539739E-11,1.14700512976462E-10,2.69282984799446E-10,-9999,3.51971785050864E-09,7.37851246768173E-09,1.11168452221477E-08,1.35778384091623E-08,8.9178307405291E-08,3.36974494530295E-07,9.6230269264197E-07,7.79639151460287E-07,1.60668878379511E-05,5.04332638229243E-05,5.47883464605547E-05,6.18226331425831E-05,7.60528055252507E-05,0.000116293682367541,0.000100792567536701,0.000113830850750674,0.000112698027805891,0.000113829497422557,8.73254903126508E-05,8.76592166605406E-05,6.90855231368914E-05,1.76754411995717E-07,2.38079024938997E-07,2.4077638727249E-07,3.02710986943566E-06,4.21226613980252E-05,5.39364482392557E-05,7.68294485169463E-05,9.34642011998221E-05,0.000116253992018756,0.00010220606054645,8.3519313193392E-05,1.07138612293056E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.40055134226714E-07,1.09215295651666E-06,2.84234602077049E-07,2.19069420381857E-07,1.85535199648257E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.35590925154361E-08,1.41994380697952E-08,-9999,-9999,1.7168957811009E-08,1.78986852006346E-08,-9999,-9999,1.9175271148697E-08,1.00436192695952E-08,-9999,-9999,-9999,-9999,-9999,1.07674509308708E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.51648909990843E-09,9.69906999159775E-09,1.51742387544118E-08,1.83803408049243E-08,7.6677956428739E-08,1.59285519885088E-07,2.81801561641259E-07,4.48299971367305E-07,8.55950111144921E-06,3.04363275063224E-05,3.29948597936891E-05,4.4618976971833E-05,6.0049813328078E-05,9.06307541299611E-05,9.02657266124152E-05,9.62708872975782E-05,0.000102426987723447,0.000103801612567622,7.68522586440668E-05,2.32199145102641E-05,1.48408446420945E-07,1.24797296052748E-07,1.83530360686746E-07,2.53544925499227E-07,5.50076322269888E-07,4.11699403457533E-07,1.99163491743093E-06,3.62961181963328E-05,6.61743615637533E-05,8.72130185598508E-05,0.000109378881461453,0.000109675464045722,7.26032376405783E-05,8.62132583279163E-06,-9999,-9999,-9999,-9999,-9999,1.44936893775593E-06,1.17020931611478E-06,3.77810124518874E-06,5.24590132044978E-06,3.90709965358838E-06,1.548529212414E-06,6.44458509668766E-07,2.18417184782993E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.01557542772935E-09,7.87601894813861E-09,-9999,-9999,-9999,-9999,2.02822079131693E-08,2.03774082052632E-08,1.87937665430127E-08,8.67679545990541E-08,2.18357545378467E-08,2.16702034094851E-08,2.04843590978498E-08,2.2818439049388E-07,7.50231734514273E-08,2.61116408495354E-08,-9999,3.7384328521739E-08,3.72869237708073E-08,-9999,-9999,3.88160366071588E-08,2.08491517383891E-08,2.23086757955571E-08,2.25627108108029E-08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.52904244400088E-09,2.1963536767089E-08,-9999,-9999,-9999,2.15215436583094E-08,2.93191639855195E-08,3.44036550359306E-08,9.61007060595875E-08,1.48801262866982E-07,4.31092672670275E-07,8.93279377578438E-07,1.76455068867654E-05,2.79951636912301E-05,3.16095756716095E-05,3.83305159630254E-05,5.3315354307415E-05,6.7103399487678E-05,9.31762115214951E-05,8.09578050393611E-05,7.50856779632159E-05,6.97742798365653E-05,2.46054532908602E-05,9.83725811920522E-08,1.09189350894212E-07,9.28930958821184E-08,1.32679474518227E-07,1.68515498444322E-07,4.17346200265456E-07,4.10128393468767E-07,4.47796992375515E-07,2.97588339890353E-05,6.34965836070478E-05,9.37814911594614E-05,0.00011940178956138,0.000135238224174827,0.000103771373687778,1.28507354020257E-05,5.34128446361137E-07,1.70874670857302E-07,1.60225024359306E-08,6.79153060900717E-07,9.16732005862286E-06,1.94661079149228E-05,2.11402293643914E-05,2.84563157038065E-05,1.56741098180646E-05,8.96540495887166E-06,6.10405049883411E-06,5.27310703546391E-06,7.40476366445364E-07,2.15220111954295E-07,1.52513123907738E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
