"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Gag grouper (3+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.69532715214882E-05,4.72457650175784E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.57373888720758E-05,8.77234560903162E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.87077045363549E-11,5.40392591785732E-11,6.34273328303792E-11,7.46595146816631E-11,-9999,-9999,-9999,-9999,-9999,1.27584753872867E-09,4.7597450425485E-09,3.52269466930011E-08,3.83039832740906E-07,3.45792091138719E-06,1.39342564580147E-05,2.77511699096067E-05,5.19446148246061E-05,8.1434081948828E-05,0.000116630006232299,0.000128243133076467,0.000123605990665965,-9999,-9999,0.000135646187118255,0.000162517331773415,0.000156641704961658,0.000151177169755101,0.000144334539072588,0.000139055817271583,0.000133276684209704,0.000129037172882818,0.000125310805742629,0.000124329963000491,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.73465537609297E-11,5.1062116340761E-11,5.92146262579085E-11,7.38775290942684E-11,1.01128515284099E-10,1.61500438022877E-10,2.34175567825901E-10,-9999,9.56679402364102E-10,1.47242984471774E-09,5.89357007640956E-09,3.70472719168902E-08,2.90655066237377E-07,1.9125809558318E-06,9.15784039534628E-06,2.68115600192687E-05,4.37863054685295E-05,7.18556984793395E-05,0.000102963451354299,0.00013341756130103,0.000152685795910656,0.000154002962517552,0.000130763102788478,0.000126984756207094,0.000137378301587887,0.000222814167500474,0.00067395536461845,0.00133102654945105,0.0010742946760729,0.00114460499025881,0.00111633620690554,0.000759905902668834,0.00144853012170643,0.000884559354744852,0.000185813900316134,0.000106132996734232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.93924103006638E-11,5.4529148557636E-11,6.50242637512122E-11,8.29362412080314E-11,1.18012974392734E-10,2.05889777449286E-10,3.99457189548258E-10,8.21126833194796E-10,1.67078673118937E-09,1.04463060424109E-08,6.97243152103511E-08,4.75347832207262E-07,2.53795928983891E-06,8.93452306627296E-06,2.6300909667043E-05,6.77390344208106E-05,6.7203254729975E-05,0.000140367425046861,0.000275732629233971,0.000246714305831119,0.000249278295086697,0.000244365422986448,0.000258128682617098,0.000856522063259035,0.00113897607661784,0.00178085826337337,0.0017337566241622,0.00308952457271516,0.00528109353035688,0.00478942552581429,0.00327466544695199,0.00350385718047619,0.00246892194263637,0.00294570229016244,0.00216998998075724,0.00145734241232276,0.000270605552941561,8.07565156719647E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.32832556118956E-05,1.0284033123753E-05,4.99800216857693E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.80841208674565E-09,-9999,-9999,-9999,1.76179959510137E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.52847984006222E-11,7.63303864559362E-11,9.20254081271388E-11,-9999,6.11572625874857E-10,1.22502297195126E-09,3.91939769528449E-09,5.27840491315601E-08,5.88018338021357E-07,2.84852285403758E-06,9.52962909650523E-06,2.43278664129321E-05,4.59000257251319E-05,0.000256549479672685,0.000434844725532457,0.000554084661416709,0.00084577570669353,0.00118947611190379,0.00095983617939055,0.00153644604142755,0.00224770233035088,0.00253134593367577,0.00211152178235352,0.00244135200046003,0.00441370205953717,0.00398602476343513,0.00218020216561854,0.00375049374997616,0.00546098733320832,0.00515364110469818,0.0039690681733191,0.00350818852894008,0.00272159278392792,0.0029854669701308,0.00131657416932285,0.000502589740790427,0.000103328660770785,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.65323760686442E-05,1.94646599993575E-05,8.878219887265E-06,4.92645131089375E-06,2.2597093902732E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.86316864159153E-08,1.96347382797057E-08,-9999,-9999,1.80849077935363E-08,1.82628507872096E-08,-9999,-9999,3.9869551216043E-08,5.05083352919655E-09,-9999,-9999,-9999,-9999,-9999,6.58417320664739E-09,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.33134053465534E-10,1.39724332104407E-09,6.95456092714153E-09,2.20071157741586E-07,2.11254473470035E-06,7.54091979615623E-06,1.89708880498074E-05,3.63754625141155E-05,4.6314402425196E-05,0.00017727589874994,0.000554844795260578,0.0011947121238336,0.00167336314916611,0.00229091360233724,0.00213325093500316,0.00254235812462866,0.0031869406811893,0.00383702851831913,0.00287434831261635,0.00637609185650945,0.00231507373973727,6.52113667456433E-05,7.31813051970676E-05,0.00104681286029518,0.0044594993814826,0.00525336433202028,0.00390160176903009,0.00374400429427624,0.00312553578987718,0.00351242278702557,0.00302655878476799,0.00180300266947597,0.000457393500255421,0.00016109281568788,-9999,-9999,-9999,-9999,-9999,7.35181747586466E-05,5.89934570598416E-05,6.17131518083625E-05,4.34824469266459E-05,1.58479324454674E-05,9.08330730453599E-06,4.28102339355974E-06,2.2172064291226E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.68235056388733E-09,4.76972328300462E-09,-9999,-9999,-9999,-9999,2.23484363459647E-07,2.43171854208413E-07,2.54510268860031E-07,2.76708817636973E-07,3.27149024315077E-07,1.85650051776065E-07,2.34230256523915E-07,4.21048838461502E-07,5.03631440551544E-07,9.5737027550058E-07,-9999,5.52079654880799E-06,5.62490686206729E-06,-9999,-9999,2.92144568447839E-06,1.79305118308548E-06,8.14539930615865E-07,3.52212452980893E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.81910774910943E-10,1.25080292789903E-08,-9999,-9999,-9999,3.8119382224977E-05,1.41001946758479E-05,9.46855107031297E-06,1.47076771099819E-05,2.88916980935028E-05,5.47139025002252E-05,8.1983525888063E-05,0.000104267768620048,0.000268299627350643,0.00106123217847198,0.0017228132346645,0.00233218260109425,0.00243221176788211,0.00325037050060928,0.00319890421815217,0.00288016465492547,0.00304172420874238,0.00492225121706724,0.000320759660098702,0.000104816346720327,0.000101800564152654,0.000105406375951134,0.000124136000522412,0.000578755221795291,0.00338448095135391,0.00440542073920369,0.00444254744797945,0.00362798478454351,0.0040542702190578,0.00396463880315423,0.00306920381262898,0.00137772678863257,0.000180329428985715,0.000142319011501968,0.000120257907838095,9.62509730015881E-05,0.000108904729131609,0.000125942518934608,0.000169162842212245,0.000152362030348741,0.000182612406206317,8.56185433804058E-05,3.72332287952304E-05,1.85982698894804E-05,8.36070375953568E-06,4.61008039565058E-06,2.23835468204925E-06,1.08570975498878E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
