"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"King mackerel (1+yr)"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.1222480427241E-05,3.03478445857763E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.32165909640025E-05,4.31492589996196E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.32948085663065E-09,1.26485488749495E-08,3.19704298590295E-08,8.14283112049452E-08,-9999,-9999,-9999,-9999,-9999,0.000302657805150375,0.000330621289322153,0.000230762205319479,0.000199043934117071,0.000105828628875315,0.000107506362837739,0.000276274047791958,0.000645243504550308,0.000523783324752003,2.12280410778476E-05,0.000232642545597628,0.000575307058170438,-9999,-9999,0.000284133071545511,0.000355325028067455,2.45474475377705E-05,8.1083244367619E-06,4.48714999947697E-05,6.69485307298601E-05,7.16577560524456E-05,6.92566754878499E-05,3.62014579877723E-05,5.9860572036996E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.91350293785331E-09,1.12335500901395E-08,2.70952966729965E-08,7.31932985331696E-08,2.19461995243364E-07,7.18667536148132E-07,2.04332627617987E-06,-9999,1.83227657544194E-05,0.000236865482293069,0.00059489521663636,0.00162108743097633,0.00215474283322692,0.00187931105028838,0.000787754135672003,0.000857887032907456,0.00155546539463103,0.00391986826434731,0.00352037465199828,0.00196818704716861,0.00179297651629895,0.000900149752851576,0.00207928568124771,0.00302314315922558,0.00258720852434635,0.00113966013304889,0.000516212487127632,0.000322263455018401,0.000267120281932876,0.000264038681052625,0.000276823178865016,0.000277949904557317,0.000292436598101631,0.000382090802304447,0.000787694996688515,0.000901834631804377,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.05859134791331E-08,2.3658289549644E-08,5.6163536044096E-08,1.54213779524071E-07,4.84418819723942E-07,1.76322157585673E-06,5.94547145738034E-06,1.52475367940497E-05,1.87499481398845E-05,0.000581082713324577,0.00198110309429467,0.00308614526875317,0.00758825847879052,0.00928957294672728,0.00967190787196159,0.0099619310349226,0.0105276331305504,0.0111754722893238,0.0106829944998026,0.00931254960596561,0.00847191456705332,0.00753476982936263,0.0066253044642508,0.0051052151247859,0.00290767778642476,0.0018740933155641,0.00127915118355304,0.000920816150028259,0.000659269688185304,0.000620838953182101,0.00069610308855772,0.000738573260605335,0.00075389991980046,0.000870686548296362,0.00114737928379327,0.00134634505957365,0.00134461384732276,0.000927820918150246,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000171266423421912,0.000197708024643362,0.000243473376031034,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000237536121858284,-9999,-9999,-9999,0.00179289223160595,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.33542163385891E-08,5.95898832500552E-08,1.55824182002107E-07,-9999,7.09946107235737E-06,1.45897029142361E-05,1.75136228790507E-05,0.000363439496140927,0.00102225283626467,0.00302453502081335,0.00537085765972733,0.00298676895909011,0.00970422476530075,0.0101734399795532,0.0105204302817583,0.0104139018803835,0.0094707990065217,0.00818277429789305,0.00724260462448001,0.00650265021249652,0.00561380200088024,0.0042605702765286,0.00323631172068417,0.0027179445605725,0.00218307971954346,0.000691697117872536,6.34154787348962E-07,4.95265630888753E-05,0.0010322667658329,0.001394227379933,0.00139151292387396,0.0014120249543339,0.00147663569077849,0.00152163545135409,0.00138486793730408,0.00104536057915539,0.000549933756701648,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00026944957789965,0.000775607069954276,0.000483475916553289,0.000298951112199575,0.000376093579689041,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000273819401627406,0.000340823084115982,-9999,-9999,0.000482605770230293,0.000918749487027526,-9999,-9999,0.00174841994885355,0.00571709498763084,-9999,-9999,-9999,-9999,-9999,4.71487619506661E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.52532011270523E-05,2.02814098884119E-05,3.32527051796205E-05,0.000457720860140398,0.000818344589788467,0.00089651282178238,0.000889995659235865,0.000795730855315924,0.00636794278398156,0.00722340634092689,0.007633235771209,0.00750712351873517,0.00642409222200513,0.00467487750574946,0.00414108252152801,0.00399695336818695,0.00392610160633922,0.00381157430820167,0.00368983764201403,0.00338165764696896,1.22879746413673E-05,1.08843263291192E-08,4.34962155182461E-09,1.26463284289002E-08,2.17680335481418E-05,0.000961589103098959,0.00155704491771758,0.00192582991439849,0.00179912848398089,0.00170650822110474,0.00151036970783025,0.00109345151577145,0.000571692711673677,0.000201006871066056,-9999,-9999,-9999,-9999,-9999,7.22247277735732E-05,0.000152368258568458,0.000609129434451461,0.00120202580001205,0.00130113167688251,0.00111874972935766,0.000709812738932669,0.000293954595690593,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000213476087083109,0.000177312918822281,-9999,-9999,-9999,-9999,0.000899339036550373,0.000596931611653417,0.000276857288554311,0.00146585458423942,0.000500417954754084,0.0010121037485078,0.00319290207698941,0.00587262026965618,0.0037338393740356,0.00211787619628012,-9999,0.00211840984411538,0.0018315160414204,-9999,-9999,0.000281557091511786,6.69577857479453E-05,3.24184475175571E-05,2.0755249352078E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000308783899527043,1.89995553228073E-05,-9999,-9999,-9999,3.80010023945943E-05,0.0007388602825813,0.000669270579237491,0.000663341896142811,0.000622513936832547,0.000455975212389603,0.000711209606379271,0.00286439573392272,0.00304711097851396,0.00318308244459331,0.0034107172396034,0.00322273722849786,0.0029262185562402,0.00298305414617062,0.00316801015287638,0.00342110567726195,0.00382556021213531,0.00401504198089242,3.00427167587713E-08,6.29618268632726E-09,5.55037071858777E-10,2.6320212676012E-10,6.77995326547887E-10,9.15669318146684E-09,1.96136170416139E-06,0.000400351127609611,0.00251353695057333,0.0023896056227386,0.00215208437293768,0.00179986481089145,0.00122444506268948,0.000579416402615607,0.000153048356878571,3.23266408486234E-06,4.60802482393774E-07,5.64714275341771E-10,1.45042611165991E-06,0.000109732718556188,0.000275276077445596,0.000502723618410528,0.000837645377032459,0.00108666671440005,0.00124318350572139,0.00142028334084898,0.0013908154796809,0.000419692136347294,0.000223548064241186,0.000276612554444,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
