"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Large oceanic sharks"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.92564068674409E-13,2.92450552706949E-13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.51997607379468E-13,6.51205001381272E-13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.66268471475134E-16,1.26464178959083E-15,2.82121539027698E-15,6.28296853021244E-15,-9999,-9999,-9999,-9999,-9999,6.52787353794433E-14,6.45576054094689E-14,1.41267084293427E-13,3.09761575114156E-13,6.80931222865611E-13,6.74172685993096E-13,6.66874812749879E-13,1.46822126938922E-12,1.45882318811769E-12,1.45093691835546E-12,1.44454034237823E-12,1.43829631364667E-12,-9999,-9999,6.9181375038363E-12,1.54035447591516E-11,3.43741285435684E-11,7.66357463599654E-11,7.66867888635225E-11,7.67611668672785E-11,7.68005450901832E-11,3.44837491894623E-11,3.44346565150921E-11,1.54496953425065E-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.65862901512077E-16,1.26545208248399E-15,2.83593025839492E-15,6.33155645764932E-15,1.40902194358211E-14,3.13217638945543E-14,6.96223203329634E-14,-9999,1.4970982082068E-13,1.48280137625932E-13,1.45986236879496E-13,1.43514811579842E-13,3.13132278353251E-13,6.85896001453856E-13,1.50716049883426E-12,1.49209702753061E-12,1.47636232666198E-12,3.25177970487978E-12,3.2313882472601E-12,3.21327968573482E-12,3.19542005702833E-12,3.1748126263359E-12,7.0013144587433E-12,6.96288556326086E-12,1.54225434506605E-11,3.42780213935523E-11,7.6320935682439E-11,1.70079131334155E-10,1.7034004762273E-10,1.7059295642774E-10,1.70697164736389E-10,7.66178093192238E-11,7.64331931080164E-11,3.4186119213242E-11,1.52398666602993E-11,6.80392504490146E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.26256613535358E-15,2.83265520550436E-15,6.38801416819913E-15,1.42702842408473E-14,3.16834266342412E-14,6.98568874729806E-14,1.53500557533923E-13,3.3720446682324E-13,3.33568621942865E-13,3.29273040040531E-13,3.23942099273583E-13,3.17907809452289E-13,6.92494726926146E-13,1.51521395257148E-12,3.326663380529E-12,3.29318191640005E-12,3.26030370235986E-12,7.1871987528116E-12,7.1451954596069E-12,7.1073954013845E-12,7.0704791847731E-12,7.03095481141558E-12,1.55498044995817E-11,1.54836456156549E-11,3.43427890292514E-11,7.63248075852374E-11,1.69929015303438E-10,3.78832243352889E-10,3.79492964830419E-10,3.80140724454137E-10,3.80430936752774E-10,1.70750372174844E-10,1.70298816715153E-10,7.60943946742643E-11,3.39215842914964E-11,1.51149526922412E-11,6.73942412293682E-12,3.01346165902661E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.29672920120532E-15,1.03327992812512E-15,4.65032787685195E-16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.94248742667598E-14,-9999,-9999,-9999,1.30872392526478E-14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.90323210825195E-15,6.46904388103232E-15,1.43909949061605E-14,-9999,3.37694797255747E-13,7.44453001848278E-13,7.37128945122595E-13,7.27743386386148E-13,7.16128924823506E-13,7.02854224474136E-13,1.53107171038669E-12,3.349486920462E-12,7.35176069327492E-12,7.27712421572102E-12,7.20802931231113E-12,1.59060195570326E-11,1.58265605482155E-11,1.57558497498878E-11,1.56862526440316E-11,1.5613578138729E-11,3.45865350248609E-11,3.44955834730154E-11,7.66135696550485E-11,1.70396280418927E-10,3.79531017724588E-10,3.36842411741145E-08,2.74966873803351E-06,3.57023338892759E-07,4.16712220285831E-09,3.81426390472228E-10,3.8058700635446E-10,1.70052694148382E-10,7.58121135313594E-11,3.37596721411426E-11,1.50339168197844E-11,6.70767044338993E-12,6.68853340768383E-12,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.08234294967626E-15,2.28844119557468E-15,1.03130538844595E-15,4.64550508300852E-16,2.09196835650858E-16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.90718953088482E-14,6.48504416399937E-14,-9999,-9999,2.88156949473581E-14,2.88519648981595E-14,-9999,-9999,2.8682280481902E-14,1.29703182127406E-14,-9999,-9999,-9999,-9999,-9999,6.61399036125214E-14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.45734095135286E-13,1.63690231074626E-12,1.62189261587037E-12,1.60315901179264E-12,1.57961491109582E-12,1.55214263750786E-12,3.3846525842457E-12,7.40878105393028E-12,1.62696869865364E-11,1.61134248305439E-11,1.59769628083062E-11,3.5304946466308E-11,3.51611691151721E-11,3.50334622423176E-11,3.49042600378269E-11,3.47741141437652E-11,7.71120944875747E-11,7.69614025286636E-11,1.71033173734791E-10,3.80459996840443E-10,1.17860076898069E-06,8.22489073470933E-06,7.74101408751449E-06,5.16338513989467E-06,8.48399565711588E-07,2.24758220923604E-08,4.17437240329832E-09,3.80211917505591E-10,1.69574770891856E-10,7.55119439199703E-11,3.35934023654172E-11,1.49662383180926E-11,1.49101356261561E-11,6.69311481238388E-12,-9999,-9999,-9999,-9999,-9999,5.49668546356158E-14,2.47623932670598E-14,1.11933608269808E-14,5.05261802245826E-15,2.28051042608954E-15,1.02906932734431E-15,4.64106133640899E-16,2.09002904810606E-16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.86457360924256E-14,2.8649439320471E-14,-9999,-9999,-9999,-9999,6.37768510962713E-14,6.39516786965846E-14,1.42332827923926E-13,6.36220609073583E-14,6.34698795799228E-14,6.34734845521463E-14,6.33508206288567E-14,6.30363681175181E-14,6.2952173042561E-14,6.30909238155848E-14,-9999,1.41141154211093E-13,1.41322866495201E-13,-9999,-9999,1.45168355418154E-13,1.45719319857157E-13,1.45750206066546E-13,1.45799767658356E-13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.22311486311219E-13,7.15332578327815E-13,-9999,-9999,-9999,3.57413187587752E-12,3.55579324665123E-12,3.52372905160214E-12,3.47956038981856E-12,3.42507511068291E-12,7.48043727655245E-12,1.63942730918576E-11,3.6038241835179E-11,3.57338152123798E-11,3.54852675021888E-11,7.85323889251899E-11,7.82791470532729E-11,7.80349604379005E-11,7.77858472078563E-11,7.75380801232295E-11,1.72026629052802E-10,1.7169959898311E-10,3.81434744900488E-10,6.19148750047316E-06,8.47955652716337E-06,8.47956926008919E-06,8.43842462927569E-06,8.13495989859803E-06,6.47104479867266E-06,2.18368722926243E-06,1.11814088654683E-07,3.81043613328913E-10,1.70112479658258E-10,7.57836016163083E-11,3.37015831908261E-11,3.34384117617326E-11,3.32903114796945E-11,1.49259580389804E-11,6.69500392624922E-12,3.00016240149803E-12,1.34411969401893E-12,6.01991763729548E-13,2.69981248728762E-13,1.21557616945302E-13,5.47818389230129E-14,2.47178088408481E-14,1.1158975524487E-14,5.03937635639383E-15,2.2760787497095E-15,1.02780470715406E-15,4.63836141888961E-16,2.09097031346869E-16,9.41743803902642E-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
