"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Mutton snapper"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.02952719771565E-06,9.06731486338685E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.12915494760091E-06,2.75333286481327E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.91543979998232E-13,1.10889878009168E-12,3.131975798501E-12,7.90858437765829E-12,-9999,-9999,-9999,-9999,-9999,1.80138997052381E-07,3.21525675417433E-07,8.93318770067708E-07,1.92982429325639E-06,4.18466015617014E-06,8.74901434144704E-06,1.00383085737121E-05,1.12729048851179E-05,1.06413390312809E-05,9.39894016482867E-06,7.91241382103181E-06,8.98401685844874E-06,-9999,-9999,9.45546798902797E-06,9.38908215175616E-06,8.26274936116533E-06,1.60256677190773E-05,1.7798278349801E-05,2.07320972549496E-05,2.32477759709582E-05,2.3823957235436E-05,2.27421824092744E-05,2.03034796868451E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.08084666719027E-13,6.43746015695223E-13,2.10070849604449E-12,8.2631150186141E-12,4.12141293315571E-11,2.27019805731921E-10,5.64557123272635E-10,-9999,6.0840106286264E-09,1.65383099215433E-07,3.0460594757642E-07,9.45819010667037E-07,1.99883061213768E-06,4.34900994150667E-06,8.7517646534252E-06,1.80763963726349E-05,2.07524371944601E-05,2.32532438531052E-05,2.25646981562022E-05,2.14599203900434E-05,1.79641028807964E-05,1.90049340744736E-05,1.71717001649085E-05,2.44973361986922E-05,2.006857903325E-05,1.79913422471145E-05,1.55906163854524E-05,0.000116721930680797,0.000112172521767206,0.000159471062943339,0.000187543322681449,0.000184206684934907,0.000308381160721183,9.45049760048278E-05,1.41453820106108E-05,1.05649260149221E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.76091220883126E-13,9.52051805447329E-13,3.86529870610719E-12,1.40028700440498E-11,6.98249930097816E-11,3.94976246154144E-10,2.41779840592926E-09,1.74295806232294E-07,1.82764480882724E-07,3.15893629476705E-07,9.59254748522653E-07,2.07738617064024E-06,4.46723834102158E-06,8.85824556462467E-06,1.67594498634571E-05,3.33372154273093E-05,3.80044948542491E-05,4.25551806984004E-05,4.08996420446783E-05,3.97478397644591E-05,3.31117444147822E-05,3.40580918418709E-05,3.02977969113272E-05,0.000112769797851797,0.000171111547388136,0.000380468321964145,0.000645925232674927,0.00273339310660958,0.00757887726649642,0.00853140745311975,0.00612190505489707,0.00601626140996814,0.00376200163736939,0.00254081189632416,0.000638859579339623,0.000141122756758705,8.69597170094494E-06,6.59906072542071E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.99005841952749E-06,2.25429766942398E-06,1.20028562378138E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.48929700571898E-07,-9999,-9999,-9999,2.8773189342246E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.98870042497934E-12,9.30531172949056E-12,1.98678920537709E-11,-9999,1.90553237189306E-07,7.39069605515397E-07,7.22883783055295E-07,1.22634742183436E-06,2.40236795434612E-06,5.01051863466273E-06,9.87733710644534E-06,1.8667507902137E-05,3.29585236613639E-05,9.15032433113083E-05,0.000381921767257154,0.000551795354112983,0.000760828144848347,0.000593243457842618,0.000320045539410785,0.000813667837064713,0.00197997689247131,0.00201667472720146,0.0017496373038739,0.00283085042610765,0.00747125316411257,0.000565970607567579,1.90969476534519E-05,2.00263984879712E-05,0.00841898564249277,0.011140045709908,0.008225342258811,0.006687649525702,0.00294965505599976,0.00204100995324552,0.000163104850798845,1.72025356732775E-05,7.00560894983937E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.90862100580125E-06,4.51138339485624E-06,2.53662028626422E-06,1.21784751172527E-06,5.77852972583059E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.58345431550333E-07,3.74935723357339E-07,-9999,-9999,3.15340628276317E-07,7.43301086458814E-07,-9999,-9999,6.34791945230972E-07,3.19234430889992E-07,-9999,-9999,-9999,-9999,-9999,2.77599070841461E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.73821795974072E-07,1.76945604835055E-06,9.27781798054639E-07,1.49563641116401E-06,2.96043049274886E-06,6.0404609030229E-06,1.17263061838457E-05,2.14457631955156E-05,3.54539479303639E-05,7.52039632061496E-05,0.00130500004161149,0.00471737654879689,0.00663455622270703,0.0073255323804915,0.00553191965445876,0.0066182822920382,0.00877398066222668,0.0106007046997547,0.00794711243361235,0.0134756555780768,1.78610425791703E-05,2.22502203541808E-05,1.34012661874294E-05,1.37902070491691E-05,2.22743492486188E-05,0.00279620173387229,0.00637266878038645,0.00774203985929489,0.00644260179251432,0.00565203465521336,0.0022507980465889,0.000221285634324886,1.08026770249126E-05,5.2227023843443E-06,-9999,-9999,-9999,-9999,-9999,5.90049285165151E-06,1.09855463961139E-05,1.05699391497183E-05,8.52306675369618E-06,4.99050111102406E-06,2.44588136411039E-06,1.20438994599681E-06,5.77165167214844E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.73713731960379E-07,3.82441498913977E-07,-9999,-9999,-9999,-9999,8.01520457116567E-07,7.9605445080233E-07,8.02511920028337E-07,7.26981340903876E-07,1.0562642955847E-06,7.94375523582858E-07,1.49753134337516E-06,1.38968960072816E-06,1.37915321829496E-06,1.40868189646426E-06,-9999,1.50708342516737E-06,1.07180790109851E-06,-9999,-9999,1.38138034344593E-06,7.04697924902575E-07,5.94958066812978E-07,5.44448027994804E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.93607598678136E-07,8.06631533123436E-07,-9999,-9999,-9999,3.96334326069336E-06,2.13755788536218E-06,1.67481334756303E-06,3.30517582369794E-06,6.5549097598705E-06,1.23544941743603E-05,2.13546263694298E-05,3.38226418534759E-05,8.95073608262464E-05,0.00326095358468592,0.00771242892369628,0.0117801539599895,0.0118328304961324,0.0153607055544853,0.0145059805363417,0.0119609385728836,0.01224444527179,0.0136407846584916,1.78056197910337E-05,1.19503065434401E-05,1.29550198835204E-05,6.5895915213332E-06,6.83139569446212E-06,1.41203372550081E-05,2.38463035202585E-05,0.000107614207081497,0.0104194553568959,0.00895993411540985,0.00869838520884514,0.00530067039653659,0.000988388317637146,7.43005512049422E-05,1.02372114270111E-05,4.83904932480073E-06,2.57144370152673E-06,2.61641685028735E-06,5.39322900294792E-06,6.68063557895948E-06,9.72959514911054E-06,1.98868419829523E-05,1.93463565665297E-05,1.58928451128304E-05,9.37780441745417E-06,4.69562746729935E-06,2.41141674450773E-06,1.21858465718105E-06,6.12628980434238E-07,2.8478743274718E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
