"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Oceanic piscivores"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000512967177201062,0.000477312249131501,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000538555148523301,0.000499023648444563,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.34237850236241E-05,3.90277273254469E-05,5.52148267161101E-05,6.61782469251193E-05,-9999,-9999,-9999,-9999,-9999,0.00103385967668146,0.000846993294544518,0.000776641420088708,0.000661806203424931,0.000578304985538125,0.000435015099355951,0.000333807343849912,0.000238253880525008,0.000242035719566047,0.000359929748810828,0.000261286011664197,0.000251692224992439,-9999,-9999,3.0486800824292E-05,7.33470096747624E-06,0.00791027117520571,0.00859497673809528,0.00152848067227751,0.000925643311347812,0.000755649816710502,0.000878342601936311,0.00151086668483913,0.00887987297028303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.48644773819251E-05,4.93253792228643E-05,0.000132342393044382,0.000204120442504063,0.000270085729425773,0.00047405727673322,0.000982454512268305,-9999,0.00214677304029465,0.0013051483547315,0.000719422590918839,0.000336488126777112,0.000208937795832753,0.000171031686477363,0.000196885841432959,0.000139743919135071,8.81732048583217E-05,4.98487315780949E-05,4.94825253554154E-05,6.86772837070748E-05,6.89311709720641E-05,7.83647483331151E-05,3.08626622427255E-05,9.27962901187129E-06,3.36812831847055E-06,0.000500574707984924,0.0005728131509386,0.000587275892030448,0.000398592004785314,0.000324111373629421,0.000312251329887658,0.000406520674005151,0.000391122361179441,0.000440295960288495,9.57975571509451E-05,4.91715109092183E-05,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.05814207624644E-05,0.000131379929371178,0.000671420537400991,0.000994150876067579,0.00111929653212428,0.00114650011528283,0.00166181742679328,0.00207712454721332,0.00203089648857713,0.001065036165528,0.000432651082519442,0.000163744029123336,5.11893158545718E-05,2.73548212135211E-05,1.82621224666946E-05,1.13318510557292E-05,8.7078014985309E-06,6.06750290899072E-06,5.34360196979833E-06,5.86424584980705E-06,6.5075641941803E-06,7.02555826137541E-06,4.61814079244505E-06,1.26747090689605E-06,0.000174035114469007,0.000157426547957584,0.000199913411051966,0.000210091777262278,0.00021586602088064,0.000260537548456341,0.00031090882839635,0.000286674301605672,0.000358361983671784,0.00023103145940695,7.76897577452473E-05,3.10690957121551E-05,3.99360651499592E-05,0.000119368814921472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00114232033956796,0.000748025195207447,0.000532481935806572,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00136600458063185,-9999,-9999,-9999,0.0010045386152342,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00160225352738053,0.00172393431421369,0.00178748671896756,-9999,0.00226215226575732,0.0022138673812151,0.00203304761089385,0.00120812107343227,0.000508208177052438,0.000157875459990464,6.00424464209937E-05,3.59390542143956E-05,9.21149876376148E-06,3.38381232722895E-06,2.97517954095383E-06,2.8761166959157E-06,2.31737772082852E-06,9.19907051866176E-07,9.61165142143727E-07,1.07889036371489E-06,8.96916299097938E-06,8.63698223838583E-05,0.000170988831087016,0.000146761682117358,0.000127176230307668,7.18665614840575E-05,0.00166517589241266,0.000267560419160873,8.41336586745456E-05,0.000134796486236155,0.000270231801550835,0.000279256404610351,0.000170980434631929,8.92393582034856E-05,5.85519483138341E-05,8.6153406300582E-05,0.000211316466447897,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000685809529386461,0.000289439252810553,0.000417037954321131,0.000402200414100662,0.000274636957328767,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.000916225195396692,0.000911455019377172,-9999,-9999,0.000630420283414423,0.000640518090222031,-9999,-9999,0.000504360941704363,0.000394330971175805,-9999,-9999,-9999,-9999,-9999,0.00196644058451056,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00249792472459376,0.00228965817950666,0.00179890880826861,0.00116718374192715,0.000602365878876299,0.000302159256534651,0.000170151281054132,7.41553085390478E-05,1.22114270197926E-05,3.46926094607625E-06,2.66200936493988E-06,3.83945825888077E-06,3.70059497072361E-05,0.000257628213148564,0.000240372391999699,0.000202355164219625,0.000176664747414179,0.000174802233232185,0.00020282446348574,6.86965067870915E-05,0.000524730363395065,0.00586603721603751,0.00578895816579461,0.00287334504537284,0.000390653236536309,8.03344446467236E-05,0.000150461914017797,0.000276134756859392,0.000363313563866541,0.000238252978306264,0.000125805323477834,7.84889780334197E-05,0.000169319901033305,0.000421568605815992,-9999,-9999,-9999,-9999,-9999,0.00116470025386661,0.000652937334962189,0.000256691040704027,0.000147305880091153,0.000145378391607665,0.00015565607463941,0.000175759458215907,0.000192334846360609,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00106728461105376,0.00102050777059048,-9999,-9999,-9999,-9999,0.000396348536014557,0.000456970126833767,0.000386883155442774,0.000137431561597623,0.000132859902805649,0.000162348980666138,0.000127131279441528,6.16622128291056E-05,8.66214468260296E-05,0.000253306003287435,-9999,0.000628363864962012,0.0004697771219071,-9999,-9999,0.000992425135336816,0.00184385059401393,0.00230665411800146,0.00249340455047786,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00108090753201395,0.00150630122516304,-9999,-9999,-9999,0.00145089987199754,0.00107863696757704,0.00080395833356306,0.000514314917381853,0.000319647340802476,0.000174327593413182,4.57887545053381E-05,9.18614750844426E-05,0.000149843806866556,0.000474200787721202,0.000467565841972828,0.000462321127997711,0.000445387908257544,0.000295005273073912,0.000262443587416783,0.000263498834101483,0.000230735764489509,0.000101879537396599,0.00371224898844957,0.00689862808212638,0.00692001637071371,0.00695863226428628,0.00649677962064743,0.00420838268473744,0.00105732271913439,0.000130392640130594,0.000146864855196327,0.000254920916631818,0.000206550423172303,0.000137968163471669,0.000103100101114251,0.000241202869801782,0.000948138360399753,0.00491460366174579,0.00559169286862016,0.00897726509720087,0.00309822615236044,0.000610048417001963,0.000511420948896557,0.000354911258909851,0.000179565278813243,0.000196134482393973,0.00024245394160971,0.000221242604311556,0.000165662466315553,0.00033559906296432,0.000394459319068119,0.000271601573331282,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
