"<HEADER software/>"
EwEVersion,"6.7.0.18858 (compiled 5/2/2024)"
Date,"6/12/2025 10:17:18 PM"
"<HEADER ecopath/>"
ModelName,1
ModelSource,"C:\Users\mattw\OneDrive\Documents\Ecopath\GWEM\Calibrate\USGIST_for Nicole.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"Woodstock_vuln and effort"
TimeSeries,-
StartYear,1980
"<HEADER ecospace/>"
EcospaceScenario,exp2_04_MOM6-phyc-vint
MapRows,53
MapCols,131
MapCellLength,14.84601
MapCellSize,0.1335878
MapLatitude,31.00668
MapLongitude,-98
NoActiveCells,5258
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\mattw\AppData\Roaming\Ecopath with Ecosim\ewe_datasets.xml"
"Layer 1 Surface temp",Temp-surf
"Layer 2 Bottom temp",Temp-bot
"Layer 4 Average temp",Temp-avg
"Layer 5 Salinity",Salt
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,"Other tunas"

Step,1
Year,0.08333334
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.90519653340016E-07,4.8547826736467E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.02783133115736E-06,9.94357947092794E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.68137337386298E-09,3.70335939692268E-09,8.06416977638946E-09,1.75403727098455E-08,-9999,-9999,-9999,-9999,-9999,1.22219751119701E-06,2.55666668635968E-06,5.20568164574797E-06,4.67612198917777E-06,4.09796029998688E-06,3.56604186890763E-06,3.10085238197644E-06,2.67601035375264E-06,2.29221018344106E-06,1.99234591491404E-06,1.74715876255505E-06,1.49366690038732E-06,-9999,-9999,7.3727460403461E-07,6.54853351989004E-07,5.76060642742959E-07,5.27239990333328E-07,1.23747986435774E-06,1.79592791482719E-06,1.58799321070546E-06,1.61250090968679E-06,5.10393078911875E-07,5.19100694873487E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.71415270866504E-09,3.80595954752039E-09,8.41980529742159E-09,1.82247834601412E-08,3.86924128292776E-08,8.09969193937832E-08,1.73907778844296E-07,-9999,6.36844276868942E-07,1.33901448862161E-06,2.73566729447339E-06,5.50173399460618E-06,1.08173098851694E-05,9.22714752960019E-06,7.52374990042881E-06,6.16712759438087E-06,5.16956424689852E-06,4.32914657721994E-06,3.69350027540349E-06,3.12275210490043E-06,2.58725731328013E-06,2.03879721993871E-06,1.35112679799931E-06,9.43694487887115E-07,2.52415338763967E-06,9.69581105891848E-06,4.35041365562938E-05,0.000135825001052581,0.000132262852275744,0.000148011895362288,0.000167490885360166,0.00018993038975168,0.000267888681264594,0.00010702005965868,5.93607546761632E-06,1.41057535074651E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.84788156893023E-09,8.63750049262535E-09,1.94936191633133E-08,4.23241388602946E-08,8.92039579980519E-08,1.81257135523083E-07,3.68882524526271E-07,7.33350702830649E-07,1.460381099605E-06,2.96974917546322E-06,5.97423786530271E-06,1.16599039756693E-05,2.91006781480974E-05,5.07998665852938E-05,7.88895704317838E-05,7.42832780815661E-05,5.12994374730624E-05,7.80853151809424E-05,9.83938152785413E-05,3.92721194657497E-05,3.3063319278881E-05,2.34275139519013E-05,2.643736115715E-05,0.000115021677629557,0.000157450442202389,0.000214745465200394,0.000408534280722961,0.0010923984227702,0.00697054667398334,0.00437667267397046,0.002126086037606,0.00174552563112229,0.00152007001452148,0.00100941909477115,0.000470078957732767,0.000177271154825576,2.58995441981824E-05,1.18998070774978E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.55191935391485E-06,3.45374246535357E-06,3.43883357345476E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.04892682834179E-06,-9999,-9999,-9999,4.3075547182525E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.07089692248064E-09,1.98109617599584E-08,4.29878070917766E-08,-9999,1.56862029143667E-07,3.16158747182271E-07,6.44104886760033E-07,1.29597674458637E-06,2.56238899964956E-06,4.87988654640503E-06,8.67054313857807E-06,6.26645942247706E-06,3.51364833477419E-05,0.000396360555896536,0.000816626474261284,0.000890839321073145,0.000883972854353487,0.000485841213958338,0.000325483619235456,0.000423943565692753,0.000610272167250514,0.00064187787938863,0.000610364426393062,0.000777667853981256,0.00329257850535214,0.00842179451137781,0.00826295558363199,0.00818462204188108,0.00808782875537872,0.00731582241132855,0.00609919102862477,0.00313694518990815,0.00105382967740297,0.000816755404230207,0.00021729595027864,4.20108590333257E-05,1.54023803133896E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.76329319603974E-06,6.38013716525165E-06,6.47535807729582E-06,2.820165718731E-06,2.89194713332108E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.02862531498249E-06,6.63477521811728E-06,-9999,-9999,7.66791526984889E-06,7.98718883743277E-06,-9999,-9999,6.88927593728295E-06,3.47269588019117E-06,-9999,-9999,-9999,-9999,-9999,5.32388753526902E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.39283445782712E-07,6.42238546788576E-07,2.57432930084178E-07,5.02120997225575E-07,9.76867681856675E-07,1.8318022512176E-06,3.11790472551365E-06,4.75565821034252E-06,1.54979006765643E-05,0.000387312727980316,0.00224132370203733,0.00406923424452543,0.00367995025590062,0.00250774272717535,0.00181138888001442,0.00170763838104904,0.00174498453270644,0.00223629944957793,0.00193676073104143,0.00848791841417551,0.00855513662099838,0.00814963225275278,0.00791842024773359,0.00781213492155075,0.00779526168480515,0.00782247446477413,0.0078214518725872,0.00638433732092381,0.00272151036188006,0.00204360671341419,0.000873601878993213,0.000239528802921996,2.91364867734956E-05,1.59930038989842E-06,-9999,-9999,-9999,-9999,-9999,2.88596606878855E-06,3.25877272189246E-06,4.06727440349641E-06,1.62448322953423E-05,1.17562685773009E-05,5.22993968843366E-06,5.58881220058538E-06,2.56480211646704E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.81996472292667E-06,1.77787251232076E-06,-9999,-9999,-9999,-9999,9.27714245335665E-06,6.71223278914113E-06,1.34996125780162E-05,1.27785233416944E-05,1.28967230921262E-05,1.36012304210453E-05,1.35679010782042E-05,2.98622926493408E-05,1.19207261377596E-05,1.23312483992777E-05,-9999,4.9167010729434E-06,5.01383055961924E-06,-9999,-9999,1.08698441181332E-06,1.10674795905652E-06,4.82536506751785E-07,4.77095852602361E-07,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.12285633235842E-07,2.29048296773726E-07,-9999,-9999,-9999,1.0741056257757E-06,4.41988731836318E-07,8.56395274695387E-07,1.64594212037628E-06,1.38769735258393E-06,2.26363795263751E-06,3.30358489009086E-06,2.02754854399245E-05,0.000332171795889735,0.00360810570418835,0.00599749851971865,0.00587601959705353,0.00431327568367124,0.00407160865142941,0.00407536840066314,0.00312635814771056,0.00347991310991347,0.00876449234783649,0.00883710756897926,0.00824292749166489,0.00783969555050135,0.00758521026000381,0.00744677893817425,0.00739814527332783,0.00742214499041438,0.00749786384403706,0.00669873924925923,0.00423337100073695,0.00279580941423774,0.00138534372672439,0.000396700808778405,9.60991383180954E-05,2.09983727472718E-06,5.44127317425591E-07,3.22125742968637E-07,4.28755015491333E-07,1.28263468468504E-06,5.07575623487355E-06,1.84091313712997E-05,3.60828671546187E-05,5.38563836016692E-05,4.31538028351497E-05,3.72528629668523E-05,2.76662449323339E-05,1.42290173243964E-05,5.17722946824506E-06,2.62645335169509E-06,1.29939110138366E-06,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
